District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2024,ELA,60.0,49.0,81.7,48.0,29.2,435.0
Achievement First Hartford Academy District,2024,ELA,61.0,60.0,98.4,60.0,21.7,411.0
Amistad Academy District,2024,ELA,62.0,54.0,87.1,54.0,31.5,452.0
Ansonia School District,2024,ELA,151.0,149.0,98.7,149.0,,432.0
Area Cooperative Educational Services,2024,ELA,33.0,19.0,57.6,19.0,,
Avon School District,2024,ELA,239.0,230.0,96.2,228.0,84.6,575.0
Berlin School District,2024,ELA,240.0,237.0,98.8,237.0,67.9,520.0
Bethel School District,2024,ELA,287.0,267.0,93.0,267.0,68.2,521.0
Bloomfield School District,2024,ELA,167.0,161.0,96.4,161.0,36.0,438.0
Bolton School District,2024,ELA,48.0,48.0,100.0,48.0,70.8,536.0
Branford School District,2024,ELA,192.0,187.0,97.4,187.0,61.5,506.0
Bridgeport School District,2024,ELA,1213.0,1097.0,90.4,1097.0,26.7,412.0
Bristol School District,2024,ELA,619.0,579.0,93.5,579.0,42.7,458.0
Brookfield School District,2024,ELA,222.0,219.0,98.6,219.0,71.2,534.0
Brooklyn School District,2024,ELA,,,,,,
Canterbury School District,2024,ELA,,,,,,
Canton School District,2024,ELA,110.0,103.0,93.6,103.0,80.6,550.0
Capital Preparatory Harbor School District,2024,ELA,39.0,37.0,94.9,37.0,45.9,459.0
Capitol Region Education Council,2024,ELA,459.0,421.0,91.7,421.0,34.9,444.0
Cheshire School District,2024,ELA,306.0,304.0,99.3,303.0,80.2,553.0
Clinton School District,2024,ELA,130.0,127.0,97.7,127.0,60.6,498.0
Colchester School District,2024,ELA,137.0,133.0,97.1,133.0,63.9,512.0
Common Ground High School District,2024,ELA,50.0,46.0,92.0,46.0,,455.0
Connecticut Technical Education and Career System,2024,ELA,2664.0,2609.0,97.9,2607.0,31.5,431.0
Cooperative Educational Services,2024,ELA,11.0,6.0,,6.0,,
Coventry School District,2024,ELA,92.0,89.0,96.7,89.0,71.9,527.0
Cromwell School District,2024,ELA,133.0,129.0,97.0,128.0,66.4,528.0
Danbury School District,2024,ELA,893.0,866.0,97.0,866.0,35.2,432.0
Darien School District,2024,ELA,352.0,331.0,94.0,318.0,90.9,605.0
Derby School District,2024,ELA,109.0,105.0,96.3,105.0,38.1,439.0
East Granby School District,2024,ELA,67.0,67.0,100.0,67.0,,538.0
East Haddam School District,2024,ELA,67.0,65.0,97.0,65.0,69.2,527.0
East Hampton School District,2024,ELA,123.0,122.0,99.2,121.0,72.7,528.0
East Hartford School District,2024,ELA,551.0,511.0,92.7,511.0,34.4,439.0
East Haven School District,2024,ELA,193.0,180.0,93.3,179.0,39.1,450.0
East Lyme School District,2024,ELA,219.0,205.0,93.6,205.0,80.0,557.0
East Windsor School District,2024,ELA,59.0,57.0,96.6,57.0,,445.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2024,ELA,79.0,70.0,88.6,70.0,60.0,496.0
EdAdvance,2024,ELA,19.0,13.0,,13.0,,
Ellington School District,2024,ELA,171.0,160.0,93.6,160.0,72.5,534.0
Elm City College Preparatory School District,2024,ELA,45.0,37.0,82.2,37.0,32.4,463.0
Enfield School District,2024,ELA,330.0,316.0,95.8,316.0,54.4,497.0
Explorations District,2024,ELA,26.0,20.0,76.9,20.0,,419.0
Fairfield School District,2024,ELA,678.0,660.0,97.3,656.0,81.3,565.0
Farmington School District,2024,ELA,321.0,311.0,96.9,300.0,78.3,568.0
Glastonbury School District,2024,ELA,469.0,459.0,97.9,457.0,79.2,566.0
Goodwin University Educational Services (GUES),2024,ELA,111.0,92.0,82.9,91.0,24.2,438.0
Granby School District,2024,ELA,140.0,137.0,97.9,137.0,83.2,562.0
Great Oaks Charter School District,2024,ELA,91.0,77.0,84.6,77.0,15.6,382.0
Greenwich School District,2024,ELA,671.0,658.0,98.1,647.0,81.9,578.0
Griswold School District,2024,ELA,146.0,141.0,96.6,141.0,47.5,469.0
Groton School District,2024,ELA,239.0,222.0,92.9,222.0,54.5,481.0
Guilford School District,2024,ELA,269.0,266.0,98.9,262.0,82.8,561.0
Hamden School District,2024,ELA,403.0,380.0,94.3,379.0,49.3,478.0
Hartford School District,2024,ELA,1114.0,898.0,80.6,895.0,28.5,413.0
Highville Charter School District,2024,ELA,12.0,12.0,,12.0,,
Jumoke Academy District,2024,ELA,,,,,,
Killingly School District,2024,ELA,170.0,162.0,95.3,162.0,51.9,481.0
Learn,2024,ELA,100.0,100.0,100.0,100.0,72.0,543.0
Lebanon School District,2024,ELA,80.0,79.0,98.8,77.0,66.2,505.0
Ledyard School District,2024,ELA,177.0,173.0,97.7,173.0,59.5,503.0
Litchfield School District,2024,ELA,52.0,51.0,98.1,51.0,68.6,525.0
Madison School District,2024,ELA,193.0,192.0,99.5,191.0,78.5,569.0
Manchester School District,2024,ELA,469.0,385.0,82.1,384.0,41.1,452.0
Meriden School District,2024,ELA,643.0,588.0,91.4,586.0,37.5,440.0
Middletown School District,2024,ELA,320.0,299.0,93.4,299.0,44.8,461.0
Milford School District,2024,ELA,393.0,376.0,95.7,376.0,62.5,509.0
Monroe School District,2024,ELA,272.0,258.0,94.9,257.0,71.6,532.0
Montville School District,2024,ELA,139.0,137.0,98.6,137.0,54.0,482.0
Naugatuck School District,2024,ELA,328.0,312.0,95.1,311.0,40.8,445.0
New Britain School District,2024,ELA,606.0,536.0,88.4,536.0,29.9,419.0
New Canaan School District,2024,ELA,322.0,315.0,97.8,300.0,88.7,599.0
New Fairfield School District,2024,ELA,177.0,171.0,96.6,171.0,71.3,528.0
New Haven School District,2024,ELA,1284.0,1093.0,85.1,1093.0,35.3,438.0
New London School District,2024,ELA,196.0,180.0,91.8,180.0,,388.0
New Milford School District,2024,ELA,314.0,300.0,95.5,298.0,65.4,510.0
Newington School District,2024,ELA,324.0,308.0,95.1,308.0,61.0,503.0
Newtown School District,2024,ELA,341.0,324.0,95.0,324.0,72.5,548.0
North Branford School District,2024,ELA,99.0,97.0,98.0,97.0,59.8,495.0
North Haven School District,2024,ELA,251.0,246.0,98.0,245.0,65.3,515.0
North Stonington School District,2024,ELA,58.0,57.0,98.3,57.0,77.2,536.0
Norwalk School District,2024,ELA,993.0,870.0,87.6,870.0,44.1,459.0
Norwich Free Academy District,2024,ELA,563.0,540.0,95.9,540.0,47.0,467.0
Norwich School District,2024,ELA,10.0,6.0,,6.0,,
Old Saybrook School District,2024,ELA,85.0,84.0,98.8,84.0,71.4,545.0
Oxford School District,2024,ELA,148.0,148.0,100.0,148.0,63.5,506.0
Plainfield School District,2024,ELA,120.0,94.0,78.3,90.0,52.2,480.0
Plainville School District,2024,ELA,159.0,144.0,90.6,144.0,60.4,499.0
Plymouth School District,2024,ELA,69.0,66.0,95.7,66.0,,463.0
Portland School District,2024,ELA,82.0,79.0,96.3,79.0,68.4,502.0
Preston School District,2024,ELA,,,,,,
Putnam School District,2024,ELA,65.0,63.0,96.9,63.0,,451.0
Regional School District 01,2024,ELA,96.0,90.0,93.8,90.0,55.6,495.0
Regional School District 04,2024,ELA,110.0,109.0,99.1,109.0,58.7,499.0
Regional School District 05,2024,ELA,327.0,323.0,98.8,318.0,75.2,553.0
Regional School District 06,2024,ELA,88.0,83.0,94.3,83.0,67.5,513.0
Regional School District 07,2024,ELA,172.0,159.0,92.4,159.0,66.0,517.0
Regional School District 08,2024,ELA,198.0,189.0,95.5,189.0,70.9,534.0
Regional School District 09,2024,ELA,193.0,187.0,96.9,187.0,89.3,569.0
Regional School District 10,2024,ELA,167.0,164.0,98.2,164.0,77.4,539.0
Regional School District 11,2024,ELA,29.0,29.0,100.0,29.0,65.5,534.0
Regional School District 12,2024,ELA,85.0,84.0,98.8,83.0,74.7,540.0
Regional School District 13,2024,ELA,104.0,98.0,94.2,98.0,68.4,532.0
Regional School District 14,2024,ELA,148.0,148.0,100.0,148.0,57.4,501.0
Regional School District 15,2024,ELA,245.0,243.0,99.2,241.0,75.9,540.0
Regional School District 16,2024,ELA,153.0,153.0,100.0,153.0,68.6,514.0
Regional School District 17,2024,ELA,126.0,125.0,99.2,125.0,76.0,548.0
Regional School District 18,2024,ELA,95.0,93.0,97.9,93.0,82.8,569.0
Regional School District 19,2024,ELA,286.0,274.0,95.8,274.0,69.7,534.0
Ridgefield School District,2024,ELA,373.0,360.0,96.5,360.0,87.2,590.0
Rocky Hill School District,2024,ELA,166.0,160.0,96.4,160.0,62.5,516.0
Seymour School District,2024,ELA,165.0,162.0,98.2,162.0,58.6,499.0
Shelton School District,2024,ELA,344.0,337.0,98.0,337.0,68.2,514.0
Simsbury School District,2024,ELA,311.0,300.0,96.5,300.0,85.3,574.0
Somers School District,2024,ELA,99.0,95.0,96.0,95.0,80.0,537.0
South Windsor School District,2024,ELA,332.0,330.0,99.4,324.0,72.2,545.0
Southington School District,2024,ELA,488.0,473.0,96.9,472.0,66.9,516.0
Stafford School District,2024,ELA,77.0,76.0,98.7,76.0,57.9,485.0
Stamford School District,2024,ELA,1268.0,1150.0,90.7,1147.0,49.6,474.0
Stonington School District,2024,ELA,175.0,168.0,96.0,168.0,81.0,551.0
Stratford School District,2024,ELA,562.0,543.0,96.6,538.0,40.1,448.0
Suffield School District,2024,ELA,160.0,158.0,98.8,158.0,71.5,539.0
The Bridge Academy District,2024,ELA,41.0,41.0,100.0,41.0,,429.0
The Gilbert School District,2024,ELA,87.0,87.0,100.0,87.0,51.7,481.0
The Woodstock Academy District,2024,ELA,253.0,246.0,97.2,246.0,70.3,518.0
Thomaston School District,2024,ELA,46.0,43.0,93.5,43.0,,501.0
Thompson School District,2024,ELA,51.0,49.0,96.1,49.0,,473.0
Tolland School District,2024,ELA,158.0,156.0,98.7,155.0,74.8,535.0
Torrington School District,2024,ELA,248.0,222.0,89.5,222.0,44.1,463.0
Trumbull School District,2024,ELA,555.0,551.0,99.3,549.0,73.6,545.0
Unified School District #2,2024,ELA,13.0,11.0,,11.0,,
Vernon School District,2024,ELA,248.0,235.0,94.8,235.0,49.4,475.0
Voluntown School District,2024,ELA,,,,,,
Wallingford School District,2024,ELA,401.0,392.0,97.8,392.0,53.1,489.0
Waterbury School District,2024,ELA,1211.0,1162.0,96.0,1160.0,26.4,412.0
Waterford School District,2024,ELA,171.0,169.0,98.8,169.0,75.1,543.0
Watertown School District,2024,ELA,182.0,178.0,97.8,178.0,58.4,481.0
West Hartford School District,2024,ELA,736.0,718.0,97.6,717.0,74.5,555.0
West Haven School District,2024,ELA,461.0,436.0,94.6,436.0,35.8,437.0
Westbrook School District,2024,ELA,44.0,44.0,100.0,44.0,,508.0
Weston School District,2024,ELA,185.0,178.0,96.2,177.0,91.5,600.0
Westport School District,2024,ELA,406.0,403.0,99.3,388.0,91.0,612.0
Wethersfield School District,2024,ELA,289.0,284.0,98.3,282.0,61.0,510.0
Wilton School District,2024,ELA,304.0,298.0,98.0,292.0,92.5,605.0
Winchester School District,2024,ELA,,0.0,,0.0,,
Windham School District,2024,ELA,141.0,130.0,92.2,130.0,,419.0
Windsor Locks School District,2024,ELA,122.0,109.0,89.3,109.0,49.5,485.0
Windsor School District,2024,ELA,261.0,239.0,91.6,239.0,52.3,490.0
Wolcott School District,2024,ELA,159.0,150.0,94.3,150.0,58.0,504.0
