District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2018,Math,53.0,45.0,84.9,45.0,,490.0
Achievement First Hartford Academy District,2018,Math,36.0,36.0,100.0,36.0,19.4,453.0
Amistad Academy District,2018,Math,51.0,45.0,88.2,45.0,33.3,481.0
Ansonia School District,2018,Math,150.0,148.0,98.7,148.0,21.6,460.0
Area Cooperative Educational Services,2018,Math,20.0,13.0,65.0,13.0,,
Avon School District,2018,Math,226.0,218.0,96.5,218.0,78.9,594.0
Berlin School District,2018,Math,232.0,231.0,99.6,231.0,55.0,537.0
Bethel School District,2018,Math,233.0,230.0,98.7,229.0,42.8,516.0
Bloomfield School District,2018,Math,156.0,152.0,97.4,151.0,20.5,461.0
Bolton School District,2018,Math,67.0,67.0,100.0,67.0,50.7,519.0
Branford School District,2018,Math,225.0,217.0,96.4,217.0,39.6,503.0
Bridgeport School District,2018,Math,1218.0,1052.0,86.4,1047.0,13.1,428.0
Bristol School District,2018,Math,594.0,566.0,95.3,566.0,31.8,478.0
Brookfield School District,2018,Math,217.0,209.0,96.3,208.0,59.6,544.0
Brooklyn School District,2018,Math,,,,,,
Canton School District,2018,Math,120.0,117.0,97.5,117.0,63.2,561.0
Capital Preparatory Harbor School District,2018,Math,31.0,29.0,93.5,29.0,20.7,449.0
Capitol Region Education Council,2018,Math,523.0,488.0,93.3,481.0,26.8,468.0
Cheshire School District,2018,Math,375.0,358.0,95.5,358.0,58.4,549.0
Clinton School District,2018,Math,141.0,138.0,97.9,138.0,,501.0
Colchester School District,2018,Math,189.0,183.0,96.8,180.0,45.6,515.0
Columbia School District,2018,Math,,,,,,
Common Ground High School District,2018,Math,46.0,45.0,97.8,45.0,26.7,467.0
Connecticut Technical Education and Career System,2018,Math,2435.0,2389.0,98.1,2380.0,13.5,445.0
Cooperative Educational Services,2018,Math,20.0,18.0,90.0,17.0,,
Coventry School District,2018,Math,104.0,104.0,100.0,101.0,52.5,518.0
Cromwell School District,2018,Math,132.0,126.0,95.5,125.0,42.4,504.0
Danbury School District,2018,Math,686.0,662.0,96.5,662.0,21.5,460.0
Darien School District,2018,Math,339.0,306.0,90.3,305.0,80.3,605.0
Derby School District,2018,Math,70.0,66.0,94.3,66.0,16.7,438.0
East Granby School District,2018,Math,73.0,73.0,100.0,73.0,49.3,531.0
East Haddam School District,2018,Math,74.0,71.0,95.9,71.0,,507.0
East Hampton School District,2018,Math,130.0,127.0,97.7,127.0,44.1,524.0
East Hartford School District,2018,Math,530.0,503.0,94.9,502.0,17.5,451.0
East Haven School District,2018,Math,210.0,197.0,93.8,196.0,20.9,458.0
East Lyme School District,2018,Math,254.0,246.0,96.9,245.0,51.8,540.0
East Windsor School District,2018,Math,67.0,65.0,97.0,65.0,21.5,460.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2018,Math,80.0,70.0,87.5,67.0,16.4,431.0
EdAdvance,2018,Math,8.0,6.0,,6.0,,
Ellington School District,2018,Math,199.0,196.0,98.5,196.0,52.0,528.0
Elm City College Preparatory School District,2018,Math,29.0,28.0,96.6,27.0,,492.0
Enfield School District,2018,Math,311.0,306.0,98.4,306.0,28.8,490.0
Explorations District,2018,Math,24.0,24.0,100.0,23.0,,432.0
Fairfield School District,2018,Math,778.0,762.0,97.9,758.0,59.8,556.0
Farmington School District,2018,Math,289.0,284.0,98.3,282.0,71.3,582.0
Glastonbury School District,2018,Math,507.0,501.0,98.8,500.0,68.2,578.0
Granby School District,2018,Math,176.0,173.0,98.3,171.0,57.3,549.0
Greenwich School District,2018,Math,685.0,657.0,95.9,657.0,68.9,589.0
Griswold School District,2018,Math,134.0,125.0,93.3,125.0,30.4,478.0
Groton School District,2018,Math,273.0,251.0,91.9,244.0,45.1,501.0
