District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2025,Math,53.0,48.0,90.6,48.0,22.9,453.0
Achievement First Hartford Academy District,2025,Math,48.0,48.0,100.0,48.0,16.7,421.0
Amistad Academy District,2025,Math,54.0,47.0,87.0,46.0,13.0,441.0
Ansonia School District,2025,Math,152.0,149.0,98.0,149.0,9.4,412.0
Area Cooperative Educational Services,2025,Math,40.0,29.0,72.5,29.0,0.0,336.0
Avon School District,2025,Math,215.0,213.0,99.1,213.0,62.0,572.0
Berlin School District,2025,Math,193.0,188.0,97.4,188.0,34.6,495.0
Bethel School District,2025,Math,278.0,266.0,95.7,266.0,40.6,503.0
Bloomfield School District,2025,Math,151.0,149.0,98.7,147.0,8.2,409.0
Bolton School District,2025,Math,64.0,64.0,100.0,64.0,,506.0
Branford School District,2025,Math,188.0,177.0,94.1,177.0,35.0,494.0
Bridgeport School District,2025,Math,1268.0,1106.0,87.2,1103.0,10.0,394.0
Bristol School District,2025,Math,557.0,536.0,96.2,534.0,23.0,449.0
Brookfield School District,2025,Math,205.0,202.0,98.5,202.0,43.1,515.0
Brooklyn School District,2025,Math,,0.0,,0.0,,
Canterbury School District,2025,Math,,0.0,,0.0,,
Canton School District,2025,Math,99.0,99.0,100.0,99.0,49.5,524.0
Capital Preparatory Harbor School District,2025,Math,54.0,54.0,100.0,54.0,13.0,421.0
Capitol Region Education Council,2025,Math,575.0,543.0,94.4,543.0,8.1,397.0
Cheshire School District,2025,Math,296.0,284.0,95.9,284.0,54.9,541.0
Clinton School District,2025,Math,132.0,129.0,97.7,128.0,30.5,485.0
Colchester School District,2025,Math,147.0,142.0,96.6,142.0,42.3,501.0
Common Ground High School District,2025,Math,49.0,45.0,91.8,45.0,22.2,436.0
Connecticut Technical Education and Career System,2025,Math,2590.0,2540.0,98.1,2535.0,9.6,412.0
Cooperative Educational Services,2025,Math,7.0,6.0,,6.0,,
Coventry School District,2025,Math,116.0,110.0,94.8,110.0,51.8,526.0
Cromwell School District,2025,Math,113.0,111.0,98.2,110.0,39.1,500.0
Danbury School District,2025,Math,865.0,835.0,96.5,835.0,11.9,412.0
Darien School District,2025,Math,359.0,351.0,97.8,351.0,78.6,603.0
Derby School District,2025,Math,69.0,67.0,97.1,66.0,9.1,411.0
East Granby School District,2025,Math,66.0,66.0,100.0,66.0,47.0,529.0
East Haddam School District,2025,Math,61.0,59.0,96.7,59.0,32.2,468.0
East Hampton School District,2025,Math,120.0,117.0,97.5,117.0,35.0,490.0
East Hartford School District,2025,Math,557.0,514.0,92.3,514.0,20.8,435.0
East Haven School District,2025,Math,216.0,209.0,96.8,209.0,19.6,434.0
East Lyme School District,2025,Math,242.0,234.0,96.7,234.0,48.7,534.0
East Windsor School District,2025,Math,58.0,58.0,100.0,58.0,22.4,456.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2025,Math,88.0,76.0,86.4,76.0,9.2,427.0
EdAdvance,2025,Math,10.0,7.0,,7.0,,
Ellington School District,2025,Math,194.0,177.0,91.2,177.0,49.2,532.0
Elm City College Preparatory School District,2025,Math,39.0,32.0,82.1,32.0,18.8,421.0
Enfield School District,2025,Math,322.0,313.0,97.2,313.0,29.7,470.0
Explorations District,2025,Math,21.0,21.0,100.0,21.0,,388.0
Fairfield School District,2025,Math,729.0,708.0,97.1,707.0,52.9,538.0
Farmington School District,2025,Math,328.0,324.0,98.8,320.0,61.9,564.0
Franklin School District,2025,Math,,0.0,,0.0,,
Glastonbury School District,2025,Math,428.0,423.0,98.8,423.0,57.4,560.0
Goodwin University Educational Services (GUES),2025,Math,119.0,107.0,89.9,105.0,11.4,433.0
Granby School District,2025,Math,132.0,132.0,100.0,132.0,53.0,524.0
Great Oaks Charter School District,2025,Math,87.0,76.0,87.4,76.0,,376.0
Greenwich School District,2025,Math,661.0,649.0,98.2,649.0,63.8,571.0
Griswold School District,2025,Math,146.0,139.0,95.2,139.0,18.0,440.0
Groton School District,2025,Math,234.0,224.0,95.7,221.0,32.1,479.0
Guilford School District,2025,Math,220.0,217.0,98.6,217.0,56.7,544.0
Hamden School District,2025,Math,411.0,386.0,93.9,386.0,18.4,448.0
Hartford School District,2025,Math,1024.0,868.0,84.8,862.0,15.8,407.0
Highville Charter School District,2025,Math,11.0,11.0,,11.0,,
Jumoke Academy District,2025,Math,,,,,,
Killingly School District,2025,Math,198.0,189.0,95.5,189.0,16.4,444.0
Learn,2025,Math,115.0,110.0,95.7,109.0,40.4,495.0
Lebanon School District,2025,Math,72.0,70.0,97.2,70.0,30.0,465.0
Ledyard School District,2025,Math,176.0,174.0,98.9,174.0,37.9,498.0
Lisbon School District,2025,Math,,,,,,
Madison School District,2025,Math,187.0,183.0,97.9,183.0,,578.0
Manchester School District,2025,Math,422.0,367.0,87.0,365.0,17.3,431.0
Meriden School District,2025,Math,648.0,596.0,92.0,596.0,14.6,420.0
Middletown School District,2025,Math,323.0,280.0,86.7,280.0,15.4,430.0
Milford School District,2025,Math,392.0,374.0,95.4,374.0,39.6,499.0
Monroe School District,2025,Math,278.0,268.0,96.4,268.0,47.0,523.0
Montville School District,2025,Math,137.0,136.0,99.3,136.0,24.3,451.0
Naugatuck School District,2025,Math,300.0,289.0,96.3,289.0,12.1,412.0
New Britain School District,2025,Math,632.0,557.0,88.1,554.0,7.0,385.0
New Canaan School District,2025,Math,310.0,297.0,95.8,297.0,74.7,602.0
New Fairfield School District,2025,Math,178.0,178.0,100.0,178.0,53.9,534.0
New Haven School District,2025,Math,1315.0,1162.0,88.4,1159.0,11.6,406.0
New London School District,2025,Math,200.0,185.0,92.5,180.0,,361.0
New Milford School District,2025,Math,280.0,268.0,95.7,267.0,27.0,466.0
Newington School District,2025,Math,301.0,292.0,97.0,292.0,34.6,484.0
Newtown School District,2025,Math,288.0,281.0,97.6,281.0,47.3,527.0
North Branford School District,2025,Math,103.0,101.0,98.1,101.0,40.6,499.0
North Haven School District,2025,Math,212.0,211.0,99.5,210.0,42.4,498.0
North Stonington School District,2025,Math,49.0,49.0,100.0,49.0,,516.0
Norwalk School District,2025,Math,886.0,839.0,94.7,839.0,26.9,465.0
Norwich Free Academy District,2025,Math,517.0,490.0,94.8,490.0,18.0,437.0
Norwich School District,2025,Math,11.0,,,,,
Old Saybrook School District,2025,Math,73.0,72.0,98.6,71.0,42.3,515.0
Oxford School District,2025,Math,116.0,116.0,100.0,116.0,,492.0
Plainfield School District,2025,Math,152.0,146.0,96.1,146.0,11.6,419.0
Plainville School District,2025,Math,178.0,171.0,96.1,170.0,27.1,464.0
Plymouth School District,2025,Math,89.0,82.0,92.1,82.0,28.0,464.0
Portland School District,2025,Math,83.0,81.0,97.6,81.0,,482.0
Preston School District,2025,Math,,,,,,
Putnam School District,2025,Math,61.0,58.0,95.1,58.0,19.0,427.0
Regional School District 01,2025,Math,88.0,84.0,95.5,84.0,,490.0
Regional School District 04,2025,Math,106.0,104.0,98.1,104.0,35.6,496.0
Regional School District 05,2025,Math,320.0,319.0,99.7,319.0,52.7,548.0
Regional School District 07,2025,Math,131.0,118.0,90.1,118.0,37.3,506.0
Regional School District 08,2025,Math,185.0,176.0,95.1,176.0,50.0,532.0
Regional School District 09,2025,Math,170.0,165.0,97.1,165.0,59.4,554.0
Regional School District 10,2025,Math,161.0,159.0,98.8,159.0,40.9,512.0
Regional School District 11,2025,Math,19.0,18.0,,18.0,,
Regional School District 12,2025,Math,104.0,103.0,99.0,103.0,53.4,538.0
Regional School District 13,2025,Math,81.0,77.0,95.1,77.0,51.9,515.0
Regional School District 14,2025,Math,185.0,185.0,100.0,185.0,41.1,504.0
Regional School District 15,2025,Math,239.0,236.0,98.7,234.0,43.2,515.0
Regional School District 16,2025,Math,150.0,149.0,99.3,149.0,41.6,512.0
Regional School District 17,2025,Math,126.0,125.0,99.2,125.0,48.8,531.0
Regional School District 18,2025,Math,93.0,86.0,92.5,86.0,70.9,582.0
Regional School District 19,2025,Math,236.0,232.0,98.3,232.0,44.4,516.0
Regional School District 20,2025,Math,151.0,146.0,96.7,146.0,37.0,496.0
Ridgefield School District,2025,Math,361.0,352.0,97.5,352.0,65.9,569.0
Rocky Hill School District,2025,Math,186.0,182.0,97.8,182.0,54.4,546.0
Salem School District,2025,Math,,,,,,
Seymour School District,2025,Math,155.0,149.0,96.1,149.0,27.5,467.0
Shelton School District,2025,Math,302.0,296.0,98.0,296.0,38.9,501.0
Simsbury School District,2025,Math,300.0,289.0,96.3,289.0,55.7,547.0
Somers School District,2025,Math,73.0,70.0,95.9,70.0,,492.0
South Windsor School District,2025,Math,370.0,367.0,99.2,366.0,54.9,543.0
Southington School District,2025,Math,496.0,489.0,98.6,488.0,36.1,488.0
Stafford School District,2025,Math,94.0,91.0,96.8,91.0,,501.0
Stamford School District,2025,Math,1213.0,1070.0,88.2,1068.0,23.2,450.0
Sterling School District,2025,Math,,0.0,,0.0,,
Stonington School District,2025,Math,132.0,129.0,97.7,129.0,40.3,518.0
Stratford School District,2025,Math,569.0,551.0,96.8,551.0,13.2,435.0
Suffield School District,2025,Math,143.0,139.0,97.2,137.0,42.3,508.0
The Bridge Academy District,2025,Math,45.0,45.0,100.0,45.0,13.3,438.0
The Gilbert School District,2025,Math,61.0,58.0,95.1,58.0,15.5,439.0
The Woodstock Academy District,2025,Math,276.0,271.0,98.2,270.0,34.1,488.0
Thomaston School District,2025,Math,41.0,40.0,97.6,40.0,25.0,470.0
Thompson School District,2025,Math,56.0,48.0,85.7,46.0,,436.0
Tolland School District,2025,Math,171.0,168.0,98.2,168.0,48.2,518.0
Torrington School District,2025,Math,277.0,257.0,92.8,257.0,17.5,435.0
Trumbull School District,2025,Math,560.0,555.0,99.1,555.0,50.3,532.0
Unified School District #2,2025,Math,13.0,11.0,,11.0,,
