District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2023,ELA,49.0,46.0,93.9,46.0,26.1,430.0
Achievement First Hartford Academy District,2023,ELA,66.0,61.0,92.4,61.0,18.0,394.0
Amistad Academy District,2023,ELA,69.0,63.0,91.3,63.0,,432.0
Ansonia School District,2023,ELA,139.0,137.0,98.6,137.0,,438.0
Area Cooperative Educational Services,2023,ELA,26.0,13.0,50.0,13.0,,
Avon School District,2023,ELA,227.0,218.0,96.0,218.0,83.0,586.0
Berlin School District,2023,ELA,192.0,189.0,98.4,189.0,65.6,523.0
Bethel School District,2023,ELA,246.0,235.0,95.5,234.0,65.0,527.0
Bloomfield School District,2023,ELA,128.0,121.0,94.5,120.0,25.8,432.0
Bolton School District,2023,ELA,48.0,44.0,91.7,44.0,,531.0
Branford School District,2023,ELA,217.0,206.0,94.9,206.0,59.7,497.0
Bridgeport School District,2023,ELA,1194.0,1080.0,90.5,1074.0,23.9,421.0
Bristol School District,2023,ELA,592.0,545.0,92.1,542.0,43.2,472.0
Brookfield School District,2023,ELA,225.0,224.0,99.6,224.0,67.4,522.0
Brooklyn School District,2023,ELA,,,,,,
Canton School District,2023,ELA,106.0,103.0,97.2,103.0,79.6,556.0
Capital Preparatory Harbor School District,2023,ELA,54.0,54.0,100.0,54.0,20.4,427.0
Capitol Region Education Council,2023,ELA,490.0,421.0,85.9,417.0,32.4,448.0
Cheshire School District,2023,ELA,286.0,280.0,97.9,280.0,71.1,544.0
Clinton School District,2023,ELA,121.0,119.0,98.3,119.0,56.3,505.0
Colchester School District,2023,ELA,161.0,152.0,94.4,151.0,69.5,523.0
Common Ground High School District,2023,ELA,47.0,43.0,91.5,40.0,,416.0
Connecticut Technical Education and Career System,2023,ELA,2668.0,2621.0,98.2,2612.0,31.5,442.0
Cooperative Educational Services,2023,ELA,16.0,12.0,,12.0,,
Coventry School District,2023,ELA,102.0,98.0,96.1,98.0,64.3,519.0
Cromwell School District,2023,ELA,141.0,138.0,97.9,137.0,59.1,503.0
Danbury School District,2023,ELA,768.0,736.0,95.8,734.0,34.7,450.0
Darien School District,2023,ELA,329.0,315.0,95.7,310.0,88.4,598.0
Derby School District,2023,ELA,95.0,86.0,90.5,86.0,,440.0
East Granby School District,2023,ELA,47.0,47.0,100.0,47.0,68.1,528.0
East Haddam School District,2023,ELA,64.0,62.0,96.9,62.0,53.2,492.0
East Hampton School District,2023,ELA,147.0,144.0,98.0,143.0,67.1,519.0
East Hartford School District,2023,ELA,471.0,441.0,93.6,441.0,36.3,450.0
East Haven School District,2023,ELA,200.0,193.0,96.5,193.0,37.3,457.0
East Lyme School District,2023,ELA,241.0,235.0,97.5,235.0,79.1,550.0
East Windsor School District,2023,ELA,64.0,59.0,92.2,59.0,,450.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2023,ELA,66.0,55.0,83.3,54.0,,487.0
EdAdvance,2023,ELA,14.0,6.0,,6.0,,
Ellington School District,2023,ELA,194.0,179.0,92.3,179.0,59.8,511.0
Elm City College Preparatory School District,2023,ELA,50.0,47.0,94.0,47.0,,448.0
Enfield School District,2023,ELA,355.0,345.0,97.2,344.0,49.1,483.0
Explorations District,2023,ELA,23.0,23.0,100.0,23.0,,452.0
Fairfield School District,2023,ELA,811.0,779.0,96.1,776.0,77.7,556.0
Farmington School District,2023,ELA,302.0,295.0,97.7,295.0,79.3,569.0
Glastonbury School District,2023,ELA,446.0,434.0,97.3,434.0,74.7,551.0
Goodwin University Educational Services (GUES),2023,ELA,105.0,99.0,94.3,98.0,32.7,453.0
Granby School District,2023,ELA,140.0,138.0,98.6,138.0,76.8,542.0
Great Oaks Charter School District,2023,ELA,66.0,55.0,83.3,54.0,,405.0
Greenwich School District,2023,ELA,648.0,632.0,97.5,626.0,76.8,567.0
Griswold School District,2023,ELA,113.0,104.0,92.0,104.0,46.2,473.0
Groton School District,2023,ELA,238.0,222.0,93.3,221.0,55.2,505.0
Guilford School District,2023,ELA,268.0,264.0,98.5,264.0,80.3,563.0
Hamden School District,2023,ELA,430.0,398.0,92.6,396.0,37.9,464.0
Hartford School District,2023,ELA,1043.0,878.0,84.2,870.0,26.3,427.0
Highville Charter School District,2023,ELA,18.0,15.0,,15.0,,
Jumoke Academy District,2023,ELA,6.0,,,,,
Killingly School District,2023,ELA,157.0,147.0,93.6,147.0,58.5,496.0
Learn,2023,ELA,95.0,90.0,94.7,90.0,62.2,527.0
