District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2016,Math,36.0,35.0,97.2,35.0,40.0,489.0
Achievement First Hartford Academy District,2016,Math,32.0,30.0,93.8,30.0,,537.0
Amistad Academy District,2016,Math,45.0,44.0,97.8,44.0,22.7,470.0
Ansonia School District,2016,Math,151.0,138.0,91.4,138.0,21.7,448.0
Area Cooperative Educational Services,2016,Math,30.0,19.0,63.3,16.0,,
Avon School District,2016,Math,249.0,245.0,98.4,244.0,76.6,603.0
Berlin School District,2016,Math,236.0,230.0,97.5,230.0,49.1,525.0
Bethel School District,2016,Math,202.0,194.0,96.0,194.0,57.2,531.0
Bloomfield School District,2016,Math,173.0,166.0,96.0,166.0,14.5,454.0
Bolton School District,2016,Math,67.0,67.0,100.0,67.0,47.8,516.0
Branford School District,2016,Math,256.0,245.0,95.7,245.0,34.7,498.0
Bridgeport School District,2016,Math,1185.0,1022.0,86.2,1020.0,10.0,422.0
Bristol School District,2016,Math,580.0,554.0,95.5,554.0,34.1,492.0
Brookfield School District,2016,Math,228.0,223.0,97.8,223.0,56.5,542.0
Brooklyn School District,2016,Math,,,,,,
Canton School District,2016,Math,117.0,116.0,99.1,116.0,56.9,545.0
Capital Preparatory Harbor School District,2016,Math,28.0,28.0,100.0,28.0,,419.0
Capitol Region Education Council,2016,Math,526.0,487.0,92.6,487.0,24.0,469.0
Cheshire School District,2016,Math,391.0,374.0,95.7,374.0,62.8,562.0
Clinton School District,2016,Math,129.0,125.0,96.9,124.0,,475.0
Colchester School District,2016,Math,200.0,194.0,97.0,193.0,43.0,512.0
Columbia School District,2016,Math,,0.0,,0.0,,
Common Ground High School District,2016,Math,42.0,39.0,92.9,39.0,,427.0
Connecticut Technical Education and Career System,2016,Math,2498.0,2445.0,97.9,2444.0,14.3,446.0
Cooperative Educational Services,2016,Math,13.0,10.0,,10.0,,
Coventry School District,2016,Math,131.0,128.0,97.7,128.0,,513.0
Cromwell School District,2016,Math,150.0,146.0,97.3,146.0,45.9,509.0
Danbury School District,2016,Math,673.0,642.0,95.4,641.0,24.6,462.0
Darien School District,2016,Math,331.0,312.0,94.3,312.0,83.7,626.0
Derby School District,2016,Math,90.0,86.0,95.6,86.0,15.1,431.0
East Granby School District,2016,Math,63.0,62.0,98.4,62.0,,515.0
East Haddam School District,2016,Math,82.0,79.0,96.3,78.0,26.9,481.0
East Hampton School District,2016,Math,134.0,129.0,96.3,129.0,44.2,509.0
East Hartford School District,2016,Math,491.0,449.0,91.4,447.0,20.4,456.0
East Haven School District,2016,Math,230.0,215.0,93.5,215.0,18.1,450.0
East Lyme School District,2016,Math,260.0,256.0,98.5,256.0,59.4,552.0
East Windsor School District,2016,Math,69.0,66.0,95.7,65.0,,477.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2016,Math,85.0,72.0,84.7,72.0,12.5,429.0
EdAdvance,2016,Math,,,,,,
Ellington School District,2016,Math,204.0,203.0,99.5,203.0,49.3,528.0
Elm City College Preparatory School District,2016,Math,34.0,33.0,97.1,33.0,,478.0
Enfield School District,2016,Math,363.0,346.0,95.3,346.0,33.2,487.0
Explorations District,2016,Math,23.0,21.0,91.3,21.0,,440.0
Fairfield School District,2016,Math,736.0,713.0,96.9,713.0,63.4,557.0
Farmington School District,2016,Math,313.0,300.0,95.8,300.0,61.3,568.0
Franklin School District,2016,Math,,0.0,,0.0,,
Glastonbury School District,2016,Math,495.0,483.0,97.6,483.0,69.4,581.0
Granby School District,2016,Math,156.0,151.0,96.8,151.0,62.9,555.0
Greenwich School District,2016,Math,647.0,617.0,95.4,617.0,64.2,575.0
Griswold School District,2016,Math,134.0,125.0,93.3,125.0,,486.0
Groton School District,2016,Math,258.0,240.0,93.0,240.0,35.4,499.0
Guilford School District,2016,Math,258.0,254.0,98.4,253.0,63.6,561.0
Hamden School District,2016,Math,415.0,375.0,90.4,374.0,32.9,489.0
Hartford School District,2016,Math,1329.0,1163.0,87.5,1161.0,14.8,430.0
Highville Charter School District,2016,Math,9.0,9.0,,9.0,,
Jumoke Academy District,2016,Math,7.0,,,,,
Killingly School District,2016,Math,193.0,173.0,89.6,173.0,19.1,464.0
Learn,2016,Math,195.0,186.0,95.4,185.0,33.5,483.0
Lebanon School District,2016,Math,83.0,83.0,100.0,83.0,53.0,541.0
Ledyard School District,2016,Math,209.0,199.0,95.2,199.0,41.2,515.0
Litchfield School District,2016,Math,78.0,74.0,94.9,74.0,56.8,530.0
Madison School District,2016,Math,303.0,296.0,97.7,296.0,69.6,578.0
Manchester School District,2016,Math,401.0,352.0,87.8,352.0,20.5,454.0
Meriden School District,2016,Math,510.0,479.0,93.9,477.0,13.6,423.0
Middletown School District,2016,Math,304.0,285.0,93.8,283.0,25.8,466.0
Milford School District,2016,Math,485.0,452.0,93.2,451.0,36.4,502.0
Monroe School District,2016,Math,279.0,270.0,96.8,269.0,61.7,552.0
Montville School District,2016,Math,144.0,137.0,95.1,135.0,37.8,500.0
Naugatuck School District,2016,Math,312.0,291.0,93.3,288.0,19.8,448.0
New Britain School District,2016,Math,546.0,471.0,86.3,471.0,11.3,421.0
New Canaan School District,2016,Math,328.0,319.0,97.3,319.0,84.0,609.0
New Fairfield School District,2016,Math,227.0,227.0,100.0,227.0,47.1,523.0
New Haven School District,2016,Math,1313.0,1147.0,87.4,1145.0,13.4,432.0
New London School District,2016,Math,192.0,170.0,88.5,170.0,22.4,445.0
New Milford School District,2016,Math,311.0,302.0,97.1,302.0,46.4,526.0
Newington School District,2016,Math,308.0,300.0,97.4,300.0,46.3,522.0
Newtown School District,2016,Math,424.0,403.0,95.0,403.0,65.5,562.0
North Branford School District,2016,Math,155.0,154.0,99.4,153.0,34.6,493.0
North Haven School District,2016,Math,249.0,245.0,98.4,245.0,43.7,507.0
North Stonington School District,2016,Math,56.0,55.0,98.2,55.0,56.4,538.0
Norwalk School District,2016,Math,832.0,752.0,90.4,752.0,29.1,482.0
Norwich Free Academy District,2016,Math,593.0,570.0,96.1,569.0,33.6,485.0
Norwich School District,2016,Math,9.0,,,,,
Old Saybrook School District,2016,Math,97.0,96.0,99.0,96.0,50.0,533.0
Oxford School District,2016,Math,171.0,167.0,97.7,167.0,40.7,517.0
Path Academy District,2016,Math,23.0,6.0,26.1,6.0,,
Plainfield School District,2016,Math,160.0,149.0,93.1,146.0,,478.0
Plainville School District,2016,Math,182.0,181.0,99.5,181.0,36.5,495.0
Plymouth School District,2016,Math,119.0,111.0,93.3,111.0,,477.0
Portland School District,2016,Math,95.0,92.0,96.8,92.0,50.0,544.0
Putnam School District,2016,Math,60.0,56.0,93.3,55.0,12.7,447.0
Regional School District 01,2016,Math,110.0,107.0,97.3,107.0,,503.0
Regional School District 04,2016,Math,146.0,144.0,98.6,144.0,47.9,525.0
Regional School District 05,2016,Math,352.0,344.0,97.7,344.0,64.0,563.0
Regional School District 06,2016,Math,113.0,113.0,100.0,113.0,,508.0
Regional School District 07,2016,Math,194.0,187.0,96.4,187.0,57.2,539.0
Regional School District 08,2016,Math,249.0,243.0,97.6,242.0,63.6,562.0
Regional School District 09,2016,Math,274.0,263.0,96.0,263.0,72.6,573.0
Regional School District 10,2016,Math,190.0,187.0,98.4,186.0,60.8,550.0
Regional School District 11,2016,Math,43.0,42.0,97.7,42.0,,493.0
Regional School District 12,2016,Math,50.0,49.0,98.0,49.0,,542.0
Regional School District 13,2016,Math,146.0,140.0,95.9,140.0,51.4,528.0
Regional School District 14,2016,Math,174.0,171.0,98.3,171.0,49.7,531.0
Regional School District 15,2016,Math,314.0,307.0,97.8,307.0,61.2,550.0
Regional School District 16,2016,Math,168.0,164.0,97.6,164.0,39.6,501.0
Regional School District 17,2016,Math,150.0,146.0,97.3,146.0,54.1,531.0
Regional School District 18,2016,Math,120.0,119.0,99.2,119.0,59.7,543.0
Regional School District 19,2016,Math,282.0,268.0,95.0,268.0,53.7,545.0
Ridgefield School District,2016,Math,434.0,418.0,96.3,418.0,80.4,604.0
Rocky Hill School District,2016,Math,174.0,171.0,98.3,171.0,53.8,532.0
Salem School District,2016,Math,,,,,,
Seymour School District,2016,Math,166.0,151.0,91.0,151.0,36.4,496.0
Shelton School District,2016,Math,381.0,371.0,97.4,371.0,53.9,524.0
Sherman School District,2016,Math,,0.0,,0.0,,
Simsbury School District,2016,Math,367.0,361.0,98.4,361.0,72.6,588.0
Somers School District,2016,Math,108.0,103.0,95.4,103.0,51.5,537.0
South Windsor School District,2016,Math,335.0,326.0,97.3,326.0,59.8,550.0
Southington School District,2016,Math,484.0,470.0,97.1,470.0,51.1,536.0
Stafford School District,2016,Math,109.0,101.0,92.7,101.0,47.5,526.0
Stamford Academy District,2016,Math,54.0,25.0,46.3,25.0,0.0,370.0
Stamford School District,2016,Math,1186.0,1098.0,92.6,1094.0,32.3,484.0
Stonington School District,2016,Math,175.0,168.0,96.0,168.0,46.4,529.0
Stratford School District,2016,Math,482.0,464.0,96.3,464.0,28.0,475.0
Suffield School District,2016,Math,187.0,180.0,96.3,180.0,54.4,534.0
The Bridge Academy District,2016,Math,41.0,40.0,97.6,40.0,,431.0
The Gilbert School District,2016,Math,103.0,102.0,99.0,101.0,36.6,499.0
The Woodstock Academy District,2016,Math,260.0,258.0,99.2,258.0,50.8,538.0
Thomaston School District,2016,Math,63.0,62.0,98.4,62.0,,478.0
Thompson School District,2016,Math,49.0,44.0,89.8,44.0,27.3,471.0
