District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2016,ELA,36.0,35.0,97.2,34.0,,515.0
Achievement First Hartford Academy District,2016,ELA,32.0,30.0,93.8,30.0,,529.0
Amistad Academy District,2016,ELA,45.0,44.0,97.8,44.0,,515.0
Ansonia School District,2016,ELA,151.0,138.0,91.4,138.0,,476.0
Area Cooperative Educational Services,2016,ELA,30.0,19.0,63.3,18.0,,
Avon School District,2016,ELA,249.0,245.0,98.4,243.0,90.1,607.0
Berlin School District,2016,ELA,236.0,230.0,97.5,230.0,73.9,532.0
Bethel School District,2016,ELA,202.0,194.0,96.0,194.0,78.9,543.0
Bloomfield School District,2016,ELA,173.0,166.0,96.0,166.0,,468.0
Bolton School District,2016,ELA,67.0,67.0,100.0,67.0,82.1,555.0
Branford School District,2016,ELA,256.0,245.0,95.7,245.0,62.4,519.0
Bridgeport School District,2016,ELA,1185.0,1022.0,86.2,1022.0,29.2,438.0
Bristol School District,2016,ELA,580.0,554.0,95.5,554.0,68.6,515.0
Brookfield School District,2016,ELA,228.0,223.0,97.8,223.0,84.8,565.0
Brooklyn School District,2016,ELA,,,,,,
Canton School District,2016,ELA,117.0,116.0,99.1,116.0,83.6,571.0
Capital Preparatory Harbor School District,2016,ELA,28.0,28.0,100.0,28.0,,416.0
Capitol Region Education Council,2016,ELA,526.0,487.0,92.6,487.0,56.3,506.0
Cheshire School District,2016,ELA,391.0,374.0,95.7,374.0,85.3,567.0
Clinton School District,2016,ELA,129.0,125.0,96.9,125.0,72.8,535.0
Colchester School District,2016,ELA,200.0,194.0,97.0,194.0,76.8,549.0
Columbia School District,2016,ELA,,0.0,,0.0,,
Common Ground High School District,2016,ELA,42.0,39.0,92.9,39.0,,462.0
Connecticut Technical Education and Career System,2016,ELA,2498.0,2445.0,97.9,2445.0,44.3,469.0
Cooperative Educational Services,2016,ELA,13.0,10.0,,10.0,,
Coventry School District,2016,ELA,131.0,128.0,97.7,128.0,75.0,538.0
Cromwell School District,2016,ELA,150.0,146.0,97.3,146.0,71.9,529.0
Danbury School District,2016,ELA,673.0,642.0,95.4,642.0,51.2,485.0
Darien School District,2016,ELA,331.0,312.0,94.3,312.0,94.6,619.0
Derby School District,2016,ELA,90.0,86.0,95.6,86.0,31.4,446.0
East Granby School District,2016,ELA,63.0,62.0,98.4,62.0,74.2,553.0
East Haddam School District,2016,ELA,82.0,79.0,96.3,78.0,76.9,532.0
East Hampton School District,2016,ELA,134.0,129.0,96.3,129.0,78.3,549.0
East Hartford School District,2016,ELA,491.0,449.0,91.4,449.0,43.7,467.0
East Haven School District,2016,ELA,230.0,215.0,93.5,215.0,49.8,481.0
East Lyme School District,2016,ELA,260.0,256.0,98.5,256.0,85.9,575.0
East Windsor School District,2016,ELA,69.0,66.0,95.7,65.0,63.1,501.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2016,ELA,85.0,72.0,84.7,72.0,56.9,488.0
EdAdvance,2016,ELA,,,,,,
Ellington School District,2016,ELA,204.0,203.0,99.5,203.0,76.4,540.0
Elm City College Preparatory School District,2016,ELA,34.0,33.0,97.1,33.0,,479.0
Enfield School District,2016,ELA,363.0,346.0,95.3,346.0,59.5,500.0
Explorations District,2016,ELA,23.0,21.0,91.3,21.0,,479.0
Fairfield School District,2016,ELA,736.0,713.0,96.9,713.0,84.6,572.0
