District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2025,ELA,53.0,48.0,90.6,48.0,,474.0
Achievement First Hartford Academy District,2025,ELA,48.0,48.0,100.0,48.0,29.2,431.0
Amistad Academy District,2025,ELA,54.0,47.0,87.0,46.0,,465.0
Ansonia School District,2025,ELA,152.0,149.0,98.0,149.0,,440.0
Area Cooperative Educational Services,2025,ELA,40.0,29.0,72.5,29.0,,373.0
Avon School District,2025,ELA,215.0,213.0,99.1,213.0,85.0,592.0
Berlin School District,2025,ELA,193.0,188.0,97.4,188.0,68.1,518.0
Bethel School District,2025,ELA,278.0,266.0,95.7,266.0,70.7,526.0
Bloomfield School District,2025,ELA,151.0,149.0,98.7,147.0,,448.0
Bolton School District,2025,ELA,64.0,64.0,100.0,64.0,76.6,527.0
Branford School District,2025,ELA,188.0,177.0,94.1,177.0,67.2,517.0
Bridgeport School District,2025,ELA,1268.0,1106.0,87.2,1103.0,33.5,430.0
Bristol School District,2025,ELA,557.0,536.0,96.2,534.0,50.9,472.0
Brookfield School District,2025,ELA,205.0,202.0,98.5,202.0,76.2,538.0
Brooklyn School District,2025,ELA,,0.0,,0.0,,
Canterbury School District,2025,ELA,,0.0,,0.0,,
Canton School District,2025,ELA,99.0,99.0,100.0,99.0,80.8,562.0
Capital Preparatory Harbor School District,2025,ELA,54.0,54.0,100.0,54.0,,462.0
Capitol Region Education Council,2025,ELA,575.0,543.0,94.4,543.0,39.0,449.0
Cheshire School District,2025,ELA,296.0,284.0,95.9,284.0,79.9,555.0
Clinton School District,2025,ELA,132.0,129.0,97.7,128.0,68.0,510.0
Colchester School District,2025,ELA,147.0,142.0,96.6,142.0,68.3,522.0
Common Ground High School District,2025,ELA,49.0,45.0,91.8,45.0,,460.0
Connecticut Technical Education and Career System,2025,ELA,2590.0,2540.0,98.1,2535.0,35.0,437.0
Cooperative Educational Services,2025,ELA,7.0,6.0,,6.0,,
Coventry School District,2025,ELA,116.0,110.0,94.8,110.0,80.0,548.0
Cromwell School District,2025,ELA,113.0,111.0,98.2,110.0,68.2,524.0
Danbury School District,2025,ELA,865.0,835.0,96.5,835.0,35.7,438.0
Darien School District,2025,ELA,359.0,351.0,97.8,351.0,94.3,615.0
Derby School District,2025,ELA,69.0,67.0,97.1,66.0,,444.0
East Granby School District,2025,ELA,66.0,66.0,100.0,66.0,80.3,555.0
East Haddam School District,2025,ELA,61.0,59.0,96.7,59.0,64.4,510.0
East Hampton School District,2025,ELA,120.0,117.0,97.5,117.0,81.2,544.0
East Hartford School District,2025,ELA,557.0,514.0,92.3,514.0,39.5,449.0
East Haven School District,2025,ELA,216.0,209.0,96.8,209.0,43.1,466.0
East Lyme School District,2025,ELA,242.0,234.0,96.7,234.0,82.1,563.0
East Windsor School District,2025,ELA,58.0,58.0,100.0,58.0,48.3,474.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2025,ELA,88.0,76.0,86.4,76.0,59.2,501.0
EdAdvance,2025,ELA,10.0,7.0,,7.0,,
Ellington School District,2025,ELA,194.0,177.0,91.2,177.0,75.7,540.0
Elm City College Preparatory School District,2025,ELA,39.0,32.0,82.1,32.0,53.1,467.0
Enfield School District,2025,ELA,322.0,313.0,97.2,313.0,57.2,488.0
Explorations District,2025,ELA,21.0,21.0,100.0,21.0,,454.0
Fairfield School District,2025,ELA,729.0,708.0,97.1,707.0,82.9,560.0
Farmington School District,2025,ELA,328.0,324.0,98.8,320.0,80.0,576.0
