District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2019,Math,47.0,47.0,100.0,47.0,27.7,487.0
Achievement First Hartford Academy District,2019,Math,39.0,39.0,100.0,39.0,41.0,492.0
Amistad Academy District,2019,Math,57.0,55.0,96.5,54.0,,474.0
Ansonia School District,2019,Math,149.0,147.0,98.7,147.0,17.7,439.0
Area Cooperative Educational Services,2019,Math,22.0,18.0,81.8,17.0,,
Avon School District,2019,Math,236.0,232.0,98.3,231.0,72.7,588.0
Berlin School District,2019,Math,202.0,202.0,100.0,202.0,41.6,516.0
Bethel School District,2019,Math,228.0,226.0,99.1,225.0,46.7,523.0
Bloomfield School District,2019,Math,160.0,154.0,96.3,152.0,13.2,439.0
Bolton School District,2019,Math,61.0,61.0,100.0,61.0,,506.0
Bozrah School District,2019,Math,,0.0,,0.0,,
Branford School District,2019,Math,238.0,229.0,96.2,229.0,46.3,513.0
Bridgeport School District,2019,Math,1149.0,1066.0,92.8,1062.0,12.6,413.0
Bristol School District,2019,Math,528.0,510.0,96.6,506.0,32.8,484.0
Brookfield School District,2019,Math,204.0,198.0,97.1,198.0,59.6,550.0
Brooklyn School District,2019,Math,,,,,,
Canton School District,2019,Math,115.0,113.0,98.3,112.0,69.6,555.0
Capital Preparatory Harbor School District,2019,Math,44.0,44.0,100.0,44.0,,440.0
Capitol Region Education Council,2019,Math,517.0,486.0,94.0,479.0,22.8,458.0
Cheshire School District,2019,Math,344.0,333.0,96.8,332.0,63.9,562.0
Clinton School District,2019,Math,162.0,161.0,99.4,161.0,37.3,492.0
Colchester School District,2019,Math,181.0,179.0,98.9,178.0,39.9,509.0
Common Ground High School District,2019,Math,41.0,41.0,100.0,41.0,,412.0
Connecticut Technical Education and Career System,2019,Math,2429.0,2417.0,99.5,2411.0,12.1,434.0
Cooperative Educational Services,2019,Math,12.0,12.0,,10.0,,
Coventry School District,2019,Math,122.0,120.0,98.4,119.0,57.1,532.0
Cromwell School District,2019,Math,128.0,125.0,97.7,124.0,48.4,510.0
Danbury School District,2019,Math,741.0,714.0,96.4,711.0,21.8,454.0
Darien School District,2019,Math,358.0,347.0,96.9,346.0,85.8,628.0
Derby School District,2019,Math,88.0,82.0,93.2,80.0,13.8,423.0
East Granby School District,2019,Math,53.0,53.0,100.0,53.0,50.9,518.0
East Haddam School District,2019,Math,79.0,78.0,98.7,78.0,,512.0
East Hampton School District,2019,Math,118.0,115.0,97.5,115.0,45.2,501.0
East Hartford School District,2019,Math,507.0,489.0,96.4,487.0,20.5,443.0
East Haven School District,2019,Math,226.0,219.0,96.9,218.0,12.8,436.0
East Lyme School District,2019,Math,241.0,235.0,97.5,235.0,53.2,533.0
East Windsor School District,2019,Math,71.0,66.0,93.0,66.0,27.3,475.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2019,Math,93.0,90.0,96.8,90.0,10.0,427.0
EdAdvance,2019,Math,9.0,7.0,,7.0,,
Ellington School District,2019,Math,186.0,181.0,97.3,181.0,44.2,519.0
Elm City College Preparatory School District,2019,Math,51.0,50.0,98.0,49.0,,474.0
Enfield School District,2019,Math,328.0,325.0,99.1,324.0,38.6,499.0
Explorations District,2019,Math,22.0,22.0,100.0,22.0,,414.0
Fairfield School District,2019,Math,739.0,731.0,98.9,729.0,66.4,570.0
Farmington School District,2019,Math,300.0,296.0,98.7,295.0,66.1,575.0
Glastonbury School District,2019,Math,497.0,493.0,99.2,493.0,73.4,583.0
Granby School District,2019,Math,161.0,160.0,99.4,160.0,61.9,551.0
Greenwich School District,2019,Math,692.0,683.0,98.7,682.0,64.8,571.0
Griswold School District,2019,Math,131.0,128.0,97.7,128.0,27.3,461.0
Groton School District,2019,Math,237.0,221.0,93.2,219.0,40.6,502.0
Guilford School District,2019,Math,284.0,284.0,100.0,283.0,68.6,576.0
Hamden School District,2019,Math,391.0,377.0,96.4,376.0,31.1,474.0
Hartford School District,2019,Math,1152.0,987.0,85.7,980.0,19.5,436.0
Hartland School District,2019,Math,,,,,,
Highville Charter School District,2019,Math,14.0,14.0,,14.0,,
Jumoke Academy District,2019,Math,,,,,,
Killingly School District,2019,Math,169.0,156.0,92.3,155.0,24.5,474.0
Learn,2019,Math,214.0,204.0,95.3,203.0,37.9,495.0
Lebanon School District,2019,Math,78.0,77.0,98.7,76.0,46.1,509.0
Ledyard School District,2019,Math,187.0,183.0,97.9,182.0,40.7,498.0
