town_code,district_code,town,fiscal_year,source_sheet,source_file,source_type,count_date,drg,wealth_decile,alliance_flag,psd_flag,reform_flag,pic_rank_raw,pic_score,resident_students,frpl_count,frpl_pct,frpl_weighted,conc_pov_threshold,conc_pov_threshold_students,excess_frpl_students,excess_frpl_weighted,conc_pov_students_above_threshold,ell_count,ell_pct,ell_weighted,need_students,engl_grand_list_years,engl_avg,population_year,population,engl_per_capita,engl_median,engl_threshold,engl_factor,mhi_year,mhi,mhi_median,mhi_threshold,mhi_factor,wealth_adj_factor,base_aid_ratio,pic_bar_adjustment,final_base_aid_ratio,rsd_students,rsd_grades,rsd_per_pupil_bonus,rsd_bonus,endowed_students,endowed_grades,endowed_bonus,foundation,base_formula_aid,fully_funded_grant,fully_funded_grant_hh,fy2017_actual,fy2018_statutory_pre_holdback,prior_year_entitlement,phase_in_gap_base,phase_in_start_base,hh_floor_fy2017,grant_adjustment,ff_greater_than_prior,phase_in_amount,entitlement_no_hh,entitlement,derived_columns,backend_resident_students,backend_frpl_count,backend_ell_count,backend_engl_per_capita,backend_mhi,backend_fully_funded_grant,backend_final_base_aid_ratio,backend_pic_score
12,12,Bolton,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,C,,,,,85,224.72113476688875,755.06,67,0.0887346700924429,,0.75,,,0.0,,7.0,0.0092707864275686,,,,,,,123899.15,,,,,88625,,,,,,,,,,,,,,,11525.0,,2468903,,2983350,2834182.5,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,755.06,67,7,123899.15,88625,2468903,,224.72113476688875
13,13,Bozrah,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,54,239.75266313314395,310.66,63,0.202794051374493,,0.75,,,0.0,,3.0,0.0096568595892615,,,,,,,113870.1,,,,,76307,,,,,,,,,,,,,,,11525.0,,1326344,,1223830,1162638.5,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,310.66,63,3,113870.1,76307,1326344,,239.75266313314395
14,14,Branford,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,D,,,,,106,218.46520328064207,3032.72,805,0.2654382864227492,,0.75,,,0.0,,119.0,0.0392387032103194,,,,,,,176986.75,,,,,71058,,,,,,,,,,,,,,,11525.0,,4492948,,2211848,2101255.6,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,3032.72,805,119,176986.75,71058,4492948,,218.46520328064207
15,15,Bridgeport,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,I,,,,,4,403.8155739904018,21103.2,11068,0.5244702225254938,,0.75,,,0.0,,3383.0,0.1603074415254558,,,,,,,56371.59,,,,,41204,,,,,,,,,,,,,,,11525.0,,209223905,,181105390,181105390.0,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,21103.2,11068,3383,56371.59,41204,209223905,,403.8155739904018
16,16,Bridgewater,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,C,,,,,156,156.20503520511352,122.12,2,0.0163773337700622,,0.75,,,0.0,,1.0,0.0081886668850311,,,,,,,304831.09,,,,,93750,,,,,,,,,,,,,,,11525.0,,26261,,23014,21863.3,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,122.12,2,1,304831.09,93750,26261,,156.20503520511352
17,17,Bristol,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,G,,,,,16,298.9724118016729,8330.11,3842,0.4612183992768403,,0.75,,,0.0,,358.0,0.0429766233579148,,,,,,,91153.54,,,,,60208,,,,,,,,,,,,,,,11525.0,,56169465,,44853676,44853676.0,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,8330.11,3842,358,91153.54,60208,56169465,,298.9724118016729
18,18,Brookfield,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,B,,,,,139,192.82179936541075,2719.17,265,0.0974562090637952,,0.75,,,0.0,,83.0,0.0305240201973396,,,,,,,186540.61,,,,,106920,,,,,,,,,,,,,,,11525.0,,323982,,1417583,1346703.85,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,2719.17,265,83,186540.61,106920,323982,,192.82179936541075
19,19,Brooklyn,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,33,273.4020781214178,1198.72,321,0.2677856380138814,,0.75,,,0.0,,7.0,0.0058395621996796,,,,,,,90942.15,,,,,59369,,,,,,,,,,,,,,,11525.0,,7232431,,6975373,6626604.35,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,1198.72,321,7,90942.15,59369,7232431,,273.4020781214178
20,20,Burlington,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,C,,,,,119,213.20672002504813,1590.56,77,0.0484106226737752,,0.75,,,0.0,,24.0,0.0150890252489689,,,,,,,133723.67,,,,,109037,,,,,,,,,,,,,,,11525.0,,3547376,,4359350,4141382.5,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,1590.56,77,24,133723.67,109037,3547376,,213.20672002504813
21,21,Canaan,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,115,214.2502877384313,109.3,15,0.1372369624885636,,0.75,,,0.0,,3.0,0.0274473924977127,,,,,,,196920.06,,,,,68021,,,,,,,,,,,,,,,11525.0,,66252,,177216,168355.2,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,109.3,15,3,196920.06,68021,66252,,214.2502877384313
22,22,Canterbury,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,F,,,,,43,259.23558299757883,642.55,137,0.2132129795346665,,0.75,,,0.0,,0.0,0.0,,,,,,,98079.02,,,,,81496,,,,,,,,,,,,,,,11525.0,,3117723,,4665608,4432327.6,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,642.55,137,0,98079.02,81496,3117723,,259.23558299757883
23,23,Canton,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,C,,,,,130,207.27334268992016,1631.98,113,0.0692410446206448,,0.75,,,0.0,,11.0,0.0067402786798857,,,,,,,149543.25,,,,,89452,,,,,,,,,,,,,,,11525.0,,3349266,,3403900,3233705.0,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,1631.98,113,11,149543.25,89452,3349266,,207.27334268992016
24,24,Chaplin,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,26,282.44443856207096,269.27,100,0.3713744568648568,,0.75,,,0.0,,3.0,0.0111412337059457,,,,,,,97296.32,,,,,78750,,,,,,,,,,,,,,,11525.0,,1408386,,1856992,1764142.4,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,269.27,100,3,97296.32,78750,1408386,,282.44443856207096
25,25,Cheshire,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,B,,,,,129,208.4026575619375,4339.03,360,0.082967852261911,,0.75,,,0.0,,38.0,0.0087577177387572,,,,,,,136461.23,,,,,107716,,,,,,,,,,,,,,,11525.0,,8970388,,9436665,8964831.75,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,4339.03,360,38,136461.23,107716,8970388,,208.4026575619375
26,26,Chester,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,133,203.62053114003243,431.79,64,0.1482201996340813,,0.75,,,0.0,,2.0,0.004631881238565,,,,,,,147455.61,,,,,74063,,,,,,,,,,,,,,,11525.0,,1178580,,659216,626255.2,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,431.79,64,2,147455.61,74063,1178580,,203.62053114003243
27,27,Clinton,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,D,,,,,89,223.3876192147657,1810.29,418,0.2309022311342381,,0.75,,,0.0,,84.0,0.0464014052997033,,,,,,,162330.13,,,,,71028,,,,,,,,,,,,,,,11525.0,,3936935,,6326998,6010648.1,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,1810.29,418,84,162330.13,71028,3936935,,223.3876192147657
28,28,Colchester,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,D,,,,,64,235.55633010941912,2650.66,471,0.1776915937917349,,0.75,,,0.0,,22.0,0.0082998196675544,,,,,,,104634.7,,,,,98899,,,,,,,,,,,,,,,11525.0,,10387653,,13503310,12828144.5,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,2650.66,471,22,104634.7,98899,10387653,,235.55633010941912
29,29,Colebrook,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,99,220.32081776233724,184.93,28,0.151408641107446,,0.75,,,0.0,,0.0,0.0,,,,,,,161512.66,,,,,78854,,,,,,,,,,,,,,,11525.0,,354324,,491388,466818.6,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,184.93,28,0,161512.66,78854,354324,,220.32081776233724
30,30,Columbia,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,C,,,,,83,225.05672968262752,703.17,112,0.1592786950524055,,0.75,,,0.0,,1.0,0.001422131205825,,,,,,,129333.2,,,,,93953,,,,,,,,,,,,,,,11525.0,,2040605,,2523462,2397288.9,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,703.17,112,1,129333.2,93953,2040605,,225.05672968262752
31,31,Cornwall,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,C,,,,,159,137.86022058795103,115.62,20,0.1729804532087874,,0.75,,,0.0,,3.0,0.0259470679813181,,,,,,,358184.04,,,,,80234,,,,,,,,,,,,,,,11525.0,,15361,,6976,6627.2,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,115.62,20,3,358184.04,80234,15361,,137.86022058795103
32,32,Coventry,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,70,231.70557003837655,1704.54,331,0.1941872880659884,,0.75,,,0.0,,5.0,0.00293334272003,,,,,,,108999.2,,,,,92663,,,,,,,,,,,,,,,11525.0,,6710650,,8756165,8318356.75,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,1704.54,331,5,108999.2,92663,6710650,,231.70557003837655
33,33,Cromwell,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,D,,,,,81,225.4266145179551,2086.43,375,0.1797328450990448,,0.75,,,0.0,,67.0,0.0321122683243626,,,,,,,134009.45,,,,,80028,,,,,,,,,,,,,,,11525.0,,6629647,,4646922,4414575.9,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,2086.43,375,67,134009.45,80028,6629647,,225.4266145179551
