district,district_code,school,school_code,low_grade,high_grade,enrollment,pct_high_needs,ppe_instruction,ppe_support_services_students,ppe_improvement_of_instruction,ppe_library_and_media_services,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_operation_and_maintenance_of_plant,ppe_transportation_other_than_to_from_home,ppe_enterprise_operations,ppe_minor_school_construction,ppe_total,fiscal_year,cpi_u,deflator,ppe_instruction_real,ppe_support_services_students_real,ppe_improvement_of_instruction_real,ppe_library_and_media_services_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_operation_and_maintenance_of_plant_real,ppe_transportation_other_than_to_from_home_real,ppe_enterprise_operations_real,ppe_minor_school_construction_real,ppe_total_real
Avon School District,0040011,Avon High School,0046111,9,12,1011,14.3,10631,1306,57,192,3,911,1878,114,779,0.0,15869,2018,251.1,1.282206292313819,13631.135093588211,1674.5614177618477,73.0857586618877,246.18360812425328,3.8466188769414575,1168.0899322978892,2407.9834169653523,146.1715173237754,998.8387017124651,0.0,20347.331652727997
Avon School District,0040011,Avon Middle School,0045111,7,8,556,12.8,10980,907,48,269,0,941,1571,5,80,0.0,14801,2018,251.1,1.282206292313819,14078.625089605734,1162.961107128634,61.54590203106332,344.91349263241733,0.0,1206.5561210673038,2014.3460852250098,6.411031461569095,102.57650338510553,0.0,18977.935332536836
Avon School District,0040011,Pine Grove School,0040411,K,4,616,23.1,10204,726,52,81,7,830,1246,1,13,0.0,13161,2018,251.1,1.282206292313819,13083.633006770211,930.8817682198327,66.6747272003186,103.85870967741934,8.975444046196733,1064.23122262047,1597.6290402230186,1.282206292313819,16.66868180007965,0.0,16875.117013142175
Avon School District,0040011,Roaring Brook School,0040311,K,4,477,13.6,10944,916,47,105,6,1027,1474,0,14,0.0,14535,2018,251.1,1.282206292313819,14032.465663082436,1174.5009637594583,60.2636957387495,134.63166069295102,7.693237753882915,1316.8258622062922,1889.9720748705693,0.0,17.950888092393466,0.0,18636.868458781362
Avon School District,0040011,Thompson Brook School,0040511,5,6,487,12.3,10344,943,62,332,-1,947,1563,2,24,0.0,14216,2018,251.1,1.282206292313819,13263.141887694144,1209.1205336519315,79.49679012345679,425.69248904818795,-1.282206292313819,1214.2493588211867,2004.0884348864993,2.564412584627638,30.77295101553166,0.0,18227.84465153325
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,PK,6,222,26.6,8552,2,0,330,367,4,294,0,0,0.0,9549,2018,251.1,1.282206292313819,10965.42821186778,2.564412584627638,0.0,423.1280764635603,470.5697092791716,5.128825169255276,376.9686499402628,0.0,0.0,0.0,12243.787885304659
Berlin School District,0070011,Berlin High School,0076111,9,12,904,22.3,9078,1329,263,200,0,891,1580,100,663,0.0,14104,2018,251.1,1.282206292313819,11639.868721624849,1704.0521624850655,337.22025487853443,256.4412584627638,0.0,1142.4458064516127,2025.8859418558343,128.2206292313819,850.1027718040621,0.0,18084.237546794106
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,6,8,664,23.0,7765,871,264,136,0,902,1135,15,122,0.0,11211,2018,251.1,1.282206292313819,9956.331859816806,1116.8016806053365,338.5024611708482,174.3800557546794,0.0,1156.550075667065,1455.3041417761847,19.233094384707286,156.42916766228592,0.0,14374.814743130226
Berlin School District,0070011,Emma Hart Willard School,0070411,PK,5,492,36.2,8056,1246,263,251,0,598,1135,0,0,0.0,11550,2018,251.1,1.282206292313819,10329.453890880126,1597.6290402230186,337.22025487853443,321.8337793707686,0.0,766.7593628036639,1455.3041417761847,0.0,0.0,0.0,14809.48267622461
Berlin School District,0070011,Mary E. Griswold School,0070511,K,5,505,22.6,7079,823,263,250,0,580,1130,0,0,0.0,10126,2018,251.1,1.282206292313819,9076.738343289526,1055.255778574273,337.22025487853443,320.5515730784548,0.0,743.6796495420151,1448.8931103146156,0.0,0.0,0.0,12983.620915969732
Berlin School District,0070011,Richard D. Hubbard School,0070111,K,5,211,29.4,21440,3876,263,752,0,3358,3068,0,192,0.0,32950,2018,251.1,1.282206292313819,27490.502907208283,4969.831589008363,337.22025487853443,964.219131819992,0.0,4305.648729589804,3933.808904818797,0.0,246.18360812425328,0.0,42248.69733174034
Bethany School District,0080011,Bethany Community School,0080111,PK,6,364,21.7,11882,370,197,25,301,224,8,0,0,0.0,13007,2018,251.1,1.282206292313819,15235.175165272798,474.4163281561131,252.59463958582236,32.05515730784548,385.94409398645956,287.21420947829546,10.257650338510553,0.0,0.0,0.0,16677.657244125847
Bethel School District,0090011,Anna H. Rockwell School,0090411,K,3,435,30.8,8037,532,393,310,587,664,1340,0,0,0.0,11862,2018,251.1,1.282206292313819,10305.091971326165,682.1337475109518,503.9070728793309,397.48395061728394,752.6550935882118,851.3849780963759,1718.1564317005177,0.0,0.0,0.0,15209.531039426522
Bethel School District,0090011,Bethel High School,0096111,9,12,896,29.2,9943,882,393,266,587,958,1441,96,0,0.0,14566,2018,251.1,1.282206292313819,12748.977164476304,1130.9059498207885,503.9070728793309,341.0668737554759,752.6550935882118,1228.3536280366386,1847.6592672242134,123.09180406212664,0.0,0.0,18676.61685384309
Bethel School District,0090011,Bethel Middle School,0095111,6,8,659,29.7,8385,666,393,244,587,1006,1490,11,0,0.0,12781,2018,251.1,1.282206292313819,10751.299761051374,853.9493906810035,503.9070728793309,312.85833532457184,752.6550935882118,1289.899530067702,1910.4873755475905,14.10426921545201,0.0,0.0,16387.878622062923
Bethel School District,0090011,Frank A. Berry School,0090111,PK,3,522,31.8,9470,428,393,288,587,556,1368,0,0,0.0,13090,2018,251.1,1.282206292313819,12142.493588211866,548.7842931103146,503.9070728793309,369.2754121863799,752.6550935882118,712.9066985264834,1754.0582078853045,0.0,0.0,0.0,16784.08036638789
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,4,5,516,29.1,7369,430,393,156,587,555,1260,0,0,0.0,10750,2018,251.1,1.282206292313819,9448.578168060532,551.3487056949422,503.9070728793309,200.02418160095579,752.6550935882118,711.6244922341696,1615.579928315412,0.0,0.0,0.0,13783.717642373555
Bloomfield School District,0110011,Bloomfield High School,0116111,9,12,520,56.3,10516,1820,338,5,0,2421,2200,126,797,0.0,18223,2018,251.1,1.282206292313819,13483.681369972122,2333.615452011151,433.38572680207085,6.411031461569095,0.0,3104.221433691756,2820.853843090402,161.5579928315412,1021.9184149741138,0.0,23365.645264834726
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,5,6,244,61.1,9815,1384,14,104,0,1876,2290,7,8,0.0,15498,2018,251.1,1.282206292313819,12584.854759060134,1774.5735085623257,17.950888092393466,133.3494544006372,0.0,2405.419004380725,2936.252409398646,8.975444046196733,10.257650338510553,0.0,19871.63311827957
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,7,8,217,66.4,11512,1596,2,120,0,2340,1923,22,66,0.0,17581,2018,251.1,1.282206292313819,14760.758837116686,2046.4012425328553,2.564412584627638,153.8647550776583,0.0,3000.362724014337,2465.6827001194742,28.20853843090402,84.62561529271206,0.0,22542.468825169253
Bloomfield School District,0110011,Global Experience Magnet School,0116311,6,12,215,58.6,11446,909,0,0,0,2232,1043,435,85,0.0,16151,2018,251.1,1.282206292313819,14676.133221823973,1165.5255197132615,0.0,0.0,0.0,2861.8844444444444,1337.3411628833132,557.7597371565113,108.98753484667462,0.0,20708.913827160493
Bloomfield School District,0110011,Laurel Literacy Academy,0110611,K,2,368,58.7,9948,609,13,140,0,1050,831,10,0,0.0,12600,2018,251.1,1.282206292313819,12755.388195937872,780.8636320191158,16.66868180007965,179.50888092393467,0.0,1346.31660692951,1065.5134289127836,12.82206292313819,0.0,0.0,16155.799283154121
Bloomfield School District,0110011,Learning Academy at Bloomfield,0116411,9,12,14,64.3,13834,2328,0,0,0,0,0,0,0,0.0,16162,2018,251.1,1.282206292313819,17738.041847869372,2984.9762485065708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20723.018096375945
Bloomfield School District,0110011,Metacomet School,0110511,3,4,234,63.2,11797,1755,8,208,0,1534,1349,16,0,0.0,16665,2018,251.1,1.282206292313819,15126.187630426124,2250.2720430107524,10.257650338510553,266.6989088012744,0.0,1966.9044524093986,1729.696288331342,20.515300677021106,0.0,0.0,21367.967861409794
Bloomfield School District,0110011,Wintonbury Early Childhood Magnet School,0110811,PK,K,323,33.1,11368,869,6,0,0,1198,1113,269,0,0.0,14822,2018,251.1,1.282206292313819,14576.121131023496,1114.2372680207088,7.693237753882915,0.0,0.0,1536.0831381919552,1427.0956033452808,344.91349263241733,0.0,0.0,19004.861664675427
Bolton School District,0120011,Bolton Center School,0120111,PK,8,530,24.3,8801,885,131,281,0,1069,1218,0,53,0.0,12438,2018,251.1,1.282206292313819,11284.697578653922,1134.7525686977299,167.9690242931103,360.2999681401832,0.0,1370.6785264834725,1561.7272640382316,0.0,67.95693349263242,0.0,15948.081863799282
Bolton School District,0120011,Bolton High School,0126111,9,12,275,21.1,11446,1995,215,570,0,1989,1886,0,616,0.0,18717,2018,251.1,1.282206292313819,14676.133221823973,2558.0015531660692,275.6743528474711,730.8575866188769,0.0,2550.3083154121864,2418.241067303863,0.0,789.8390760653126,0.0,23999.055173237753
Booker T. Washington Academy District,2950013,Booker T. Washington Academy,2950113,K,4,300,84.0,6811,526,995,0,0,1333,2067,0,0,0.0,11733,2018,251.1,1.282206292313819,8733.107056949422,674.4405097570689,1275.79526085225,0.0,0.0,1709.180987654321,2650.3204062126642,0.0,0.0,0.0,15044.12642771804
Bozrah School District,0130011,Fields Memorial School,0130111,PK,8,202,35.6,12298,2199,0,234,20,999,2153,40,62,122.0,18126,2018,251.1,1.282206292313819,15768.572982875346,2819.571636798088,0.0,300.0362724014337,25.64412584627638,1280.9240860215052,2760.5901473516524,51.28825169255276,79.49679012345679,156.42916766228592,23241.271254480285
Branford School District,0140011,Branford High School,0146111,9,12,852,33.1,10278,1907,404,204,426,1146,1554,105,1019,225.0,17267,2018,251.1,1.282206292313819,13178.516272401434,2445.167399442453,518.0113420947829,261.5700836320191,546.2198805256869,1469.4084109916366,1992.5485782556748,134.63166069295102,1306.5682118677817,288.4964157706093,22139.856049382714
Branford School District,0140011,Francis Walsh Intermediate School,0145111,5,8,889,35.8,9838,1376,402,192,426,905,1188,14,134,0.0,14476,2018,251.1,1.282206292313819,12614.345503783352,1764.315858223815,515.4469295101553,246.18360812425328,546.2198805256869,1160.3966945440063,1523.2610752688172,17.950888092393466,171.81564317005177,0.0,18561.218287534844
Branford School District,0140011,John B. Sliney School,0141611,PK,4,303,42.6,11478,823,410,81,426,938,1000,0,0,0.0,15156,2018,251.1,1.282206292313819,14717.163823178016,1055.255778574273,525.7045798486658,103.85870967741934,546.2198805256869,1202.7095021903624,1282.2062923138192,0.0,0.0,0.0,19433.118566308243
Branford School District,0140011,Mary R. Tisko School,0141511,PK,4,386,29.0,10043,821,405,53,426,731,881,0,2,0.0,13362,2018,251.1,1.282206292313819,12877.197793707684,1052.6913659896454,519.2935483870967,67.95693349263242,546.2198805256869,937.2927996814018,1129.6237435284747,0.0,2.564412584627638,0.0,17132.84047789725
Branford School District,0140011,Mary T. Murphy School,0141411,PK,4,388,47.4,10797,822,400,45,426,771,1131,0,0,0.0,14391,2018,251.1,1.282206292313819,13843.981338112304,1053.9735722819594,512.8825169255276,57.69928315412186,546.2198805256869,988.5810513739546,1450.1753166069293,0.0,0.0,0.0,18452.23075268817
Brass City Charter School District,2900013,Brass City Charter School,2900113,PK,5,254,68.1,8140,0,203,0,15,892,379,0,0,0.0,9629,2018,251.1,1.282206292313819,10437.159219434487,0.0,260.2878773397053,0.0,19.233094384707286,1143.7280127439267,485.95618478693746,0.0,0.0,0.0,12346.364388689764
Bridgeport School District,0150011,A.B. Skane Center,0154411,PK,PK,211,64.0,15106,7423,31,0,5,1337,1227,0,0,12.0,25142,2018,251.1,1.282206292313819,19369.00825169255,9517.817307845478,39.748395061728395,0.0,6.411031461569095,1714.309812823576,1573.267120669056,0.0,0.0,15.38647550776583,32237.23060135404
Bridgeport School District,0150011,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School",0150811,9,12,475,39.6,6658,453,36,0,0,700,1756,0,24,0.0,9626,2018,251.1,1.282206292313819,8536.929494225407,580.83945041816,46.15942652329749,0.0,0.0,897.5444046196734,2251.554249303066,0.0,30.77295101553166,0.0,12342.517769812823
Bridgeport School District,0150011,Barnum School,0150111,PK,8,603,86.2,9158,1044,315,0,1,768,1082,0,0,39.0,12407,2018,251.1,1.282206292313819,11742.445225009955,1338.6233691756272,403.894982078853,0.0,1.282206292313819,984.7344324970131,1387.3472082835522,0.0,0.0,50.006045400238946,15908.333468737554
Bridgeport School District,0150011,Bassick High School,0156111,9,12,970,81.6,7849,829,40,95,1,977,1459,47,261,1.0,11558,2018,251.1,1.282206292313819,10064.037188371167,1062.949016328156,51.28825169255276,121.80959776981281,1.282206292313819,1252.7155475906013,1870.7389804858622,60.2636957387495,334.6558422939068,1.282206292313819,14819.740326563122
Bridgeport School District,0150011,Beardsley School,0150211,PK,6,336,71.4,8480,550,391,0,3,819,1119,0,0,7.0,11370,2018,251.1,1.282206292313819,10873.109358821186,705.2134607726005,501.34266029470325,0.0,3.8466188769414575,1050.126953405018,1434.7888410991636,0.0,0.0,8.975444046196733,14578.685543608124
Bridgeport School District,0150011,"Biotechnology, Research & Zoological Studies Magnet High School",0150611,9,12,471,62.6,7167,462,36,0,0,880,1757,0,10,0.0,10311,2018,251.1,1.282206292313819,9189.572497013141,592.3793070489844,46.15942652329749,0.0,0.0,1128.3415372361608,2252.8364555953804,0.0,12.82206292313819,0.0,13220.829080047788
Bridgeport School District,0150011,Black Rock School,0150311,PK,8,458,57.0,7681,523,31,0,2,765,945,0,0,0.0,9948,2018,251.1,1.282206292313819,9848.626531262444,670.5938908801274,39.748395061728395,0.0,2.564412584627638,980.8878136200716,1211.684946236559,0.0,0.0,0.0,12755.388195937872
Bridgeport School District,0150011,Blackham School,0154011,PK,8,1103,62.3,6721,613,31,0,1,631,803,0,0,0.0,8800,2018,251.1,1.282206292313819,8617.708490641178,785.9924571883711,39.748395061728395,0.0,1.282206292313819,809.0721704500198,1029.6116527279967,0.0,0.0,0.0,11283.415372361607
Bridgeport School District,0150011,Bridgeport Military Academy,0151611,9,12,301,70.4,7720,725,36,0,4,969,1557,0,57,0.0,11068,2018,251.1,1.282206292313819,9898.632576662683,929.5995619275188,46.15942652329749,0.0,5.128825169255276,1242.4578972520908,1996.3951971326164,0.0,73.0857586618877,0.0,14191.45924332935
Bridgeport School District,0150011,Bryant School,0150411,PK,6,348,79.9,7940,738,31,0,3,625,1176,0,0,0.0,10513,2018,251.1,1.282206292313819,10180.717960971724,946.2682437275985,39.748395061728395,0.0,3.8466188769414575,801.378932696137,1507.8745997610513,0.0,0.0,0.0,13479.83475109518
Bridgeport School District,0150011,Central High School,0156211,9,12,1612,60.0,7326,972,40,0,1,755,976,28,167,0.0,10265,2018,251.1,1.282206292313819,9393.44329749104,1246.3045161290322,51.28825169255276,0.0,1.282206292313819,968.0657506969334,1251.4333412982874,35.90177618478693,214.1284508164078,0.0,13161.847590601354
Bridgeport School District,0150011,Cesar Batalla School,0151411,PK,8,1127,83.6,7370,570,144,0,1,580,836,0,0,32.0,9533,2018,251.1,1.282206292313819,9449.860374352847,730.8575866188769,184.63770609318996,0.0,1.282206292313819,743.6796495420151,1071.9244603743527,0.0,0.0,41.03060135404221,12223.272584627637
Bridgeport School District,0150011,Classical Studies Academy,0152111,PK,8,407,54.3,6638,606,35,0,3,1119,1353,0,0,0.0,9755,2018,251.1,1.282206292313819,8511.28536837913,777.0170131421744,44.87722023098367,0.0,3.8466188769414575,1434.7888410991636,1734.8251135005974,0.0,0.0,0.0,12507.922381521304
Bridgeport School District,0150011,Columbus School,0150511,PK,8,576,85.8,7436,635,249,0,2,851,891,0,0,0.0,10063,2018,251.1,1.282206292313819,9534.485989645558,814.2009956192751,319.26936678614095,0.0,2.564412584627638,1091.15755475906,1142.4458064516127,0.0,0.0,0.0,12902.84191955396
Bridgeport School District,0150011,Edison School,0150711,K,6,241,68.9,9024,779,546,0,5,1152,821,3,0,0.0,12329,2018,251.1,1.282206292313819,11570.629581839903,998.8387017124651,700.0846356033452,0.0,6.411031461569095,1477.1016487455197,1052.6913659896454,3.8466188769414575,0.0,0.0,15808.321377937076
Bridgeport School District,0150011,Geraldine Claytor Magnet Academy,0153111,PK,8,455,86.2,5489,372,31,0,2,1059,1275,0,0,0.0,8229,2018,251.1,1.282206292313819,7038.0303385105535,476.9807407407407,39.748395061728395,0.0,2.564412584627638,1357.8564635603345,1634.8130227001193,0.0,0.0,0.0,10551.275579450417
Bridgeport School District,0150011,Geraldine Johnson School,0153211,PK,8,809,77.5,7240,639,31,0,1,770,775,0,0,45.0,9503,2018,251.1,1.282206292313819,9283.17355635205,819.3298207885304,39.748395061728395,0.0,1.282206292313819,987.2988450816407,993.7098765432098,0.0,0.0,57.69928315412186,12184.806395858222
Bridgeport School District,0150011,Hall School,0151111,K,6,232,72.4,9243,1218,608,0,5,1125,1011,0,0,0.0,13209,2018,251.1,1.282206292313819,11851.43275985663,1561.7272640382316,779.581425726802,0.0,6.411031461569095,1442.4820788530465,1296.3105615292711,0.0,0.0,0.0,16936.662915173238
Bridgeport School District,0150011,Hallen School,0151211,PK,6,311,56.6,8580,954,31,0,4,796,939,0,0,0.0,11303,2018,251.1,1.282206292313819,11001.329988052568,1223.2248028673835,39.748395061728395,0.0,5.128825169255276,1020.6362086818,1203.9917084826761,0.0,0.0,0.0,14492.777722023098
Bridgeport School District,0150011,High Horizons Magnet School,0154511,K,8,419,52.7,6101,607,31,0,3,943,1140,0,0,1571.0,10397,2018,251.1,1.282206292313819,7822.7405894066105,778.2992194344882,39.748395061728395,0.0,3.8466188769414575,1209.1205336519315,1461.7151732377538,0.0,0.0,2014.3460852250098,13331.098821186777
Bridgeport School District,0150011,Information Technology & Software Engineering Magnet High School,0151511,9,12,475,39.6,6181,414,36,0,2,946,1596,0,39,0.0,9213,2018,251.1,1.282206292313819,7925.317092791716,530.8334050179211,46.15942652329749,0.0,2.564412584627638,1212.967152528873,2046.4012425328553,0.0,50.006045400238946,0.0,11812.966571087216
Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,PK,8,492,32.7,7416,783,31,0,2,407,885,0,0,0.0,9525,2018,251.1,1.282206292313819,9508.841863799282,1003.9675268817203,39.748395061728395,0.0,2.564412584627638,521.8579609717244,1134.7525686977299,0.0,0.0,0.0,12213.014934289127
Bridgeport School District,0150011,James J. Curiale School,0154211,K,8,628,79.8,6680,868,383,0,2,703,913,0,0,0.0,9548,2018,251.1,1.282206292313819,8565.138032656312,1112.955061728395,491.0850099561927,0.0,2.564412584627638,901.3910234966148,1170.6543448825169,0.0,0.0,0.0,12242.505679012345
Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,PK,8,658,79.2,9333,1207,189,155,1,911,1011,0,0,0.0,12805,2018,251.1,1.282206292313819,11966.831326164875,1547.6229948227797,242.3369892473118,198.74197530864197,1.282206292313819,1168.0899322978892,1296.3105615292711,0.0,0.0,0.0,16418.651573078452
Bridgeport School District,0150011,John Winthrop School,0153611,PK,8,664,51.2,6827,609,31,0,2,715,894,0,0,139.0,9217,2018,251.1,1.282206292313819,8753.622357626444,780.8636320191158,39.748395061728395,0.0,2.564412584627638,916.7774990043806,1146.2924253285544,0.0,0.0,178.22667463162085,11818.09539625647
Bridgeport School District,0150011,Luis Munoz Marin School,0151011,PK,8,808,85.8,6431,720,31,0,1,814,957,0,1,0.0,8955,2018,251.1,1.282206292313819,8245.86866587017,923.1885304659497,39.748395061728395,0.0,1.282206292313819,1043.7159219434488,1227.0714217443249,0.0,1.282206292313819,0.0,11482.15734767025
Bridgeport School District,0150011,Madison School,0152011,K,6,497,63.6,8707,548,31,0,2,912,894,0,0,0.0,11095,2018,251.1,1.282206292313819,11164.170187176423,702.6490481879729,39.748395061728395,0.0,2.564412584627638,1169.3721385902031,1146.2924253285544,0.0,0.0,0.0,14226.078813221822
Bridgeport School District,0150011,Multicultural Magnet School,0154611,K,8,464,54.1,7084,615,293,0,4,592,881,0,0,2155.0,11625,2018,251.1,1.282206292313819,9083.149374751094,788.5568697729988,375.686443647949,0.0,5.128825169255276,759.0661250497809,1129.6237435284747,0.0,0.0,2763.1545599362803,14905.648148148148
Bridgeport School District,0150011,Park City Magnet School,0151711,PK,8,509,42.2,7165,1008,31,0,2,454,890,0,0,0.0,9550,2018,251.1,1.282206292313819,9187.008084428513,1292.4639426523297,39.748395061728395,0.0,2.564412584627638,582.1216567104739,1141.163600159299,0.0,0.0,0.0,12245.070091596972
Bridgeport School District,0150011,Paul Laurence Dunbar School,0154111,PK,8,404,80.9,6934,769,31,0,4,1029,1125,0,0,0.0,9892,2018,251.1,1.282206292313819,8890.818430904023,986.0166387893269,39.748395061728395,0.0,5.128825169255276,1319.3902747909199,1442.4820788530465,0.0,0.0,0.0,12683.584643568298
Bridgeport School District,0150011,Read School,0152511,PK,8,905,68.4,6697,561,172,0,1,760,756,0,0,0.0,8946,2018,251.1,1.282206292313819,8586.935539625647,719.3177299880525,220.53948227797687,0.0,1.282206292313819,974.4767821585025,969.3479569892472,0.0,0.0,0.0,11470.617491039426
Bridgeport School District,0150011,Roosevelt School,0152611,PK,8,549,81.1,7186,715,31,0,2,838,1217,0,0,0.0,9990,2018,251.1,1.282206292313819,9213.934416567105,916.7774990043806,39.748395061728395,0.0,2.564412584627638,1074.4888729589804,1560.445057745918,0.0,0.0,0.0,12809.240860215054
Bridgeport School District,0150011,Thomas Hooker School,0151311,K,8,343,57.1,9309,813,370,0,3,1666,1331,0,0,41.0,13533,2018,251.1,1.282206292313819,11936.058375149341,1042.433715651135,474.4163281561131,0.0,3.8466188769414575,2136.1556829948227,1706.6165750696932,0.0,0.0,52.570457984866586,17352.097753882914
Bridgeport School District,0150011,Waltersville School,0153011,PK,8,473,85.6,8888,1078,592,0,2,988,1275,0,0,49.0,12872,2018,251.1,1.282206292313819,11396.249526085225,1382.218383114297,759.0661250497809,0.0,2.564412584627638,1266.8198168060533,1634.8130227001193,0.0,0.0,62.82810832337714,16504.55939466348
Bridgeport School District,0150011,Warren Harding High School,0156311,9,12,967,85.5,8060,784,40,125,1,1189,1322,47,274,0.0,11844,2018,251.1,1.282206292313819,10334.582716049383,1005.2497331740342,51.28825169255276,160.2757865392274,1.282206292313819,1524.543281561131,1695.076718438869,60.2636957387495,351.32452409398644,0.0,15186.451326164874
Bridgeport School District,0150011,Wilbur Cross School,0153911,PK,8,336,81.3,8592,604,387,0,3,1726,1430,0,0,0.0,12744,2018,251.1,1.282206292313819,11016.716463560333,774.4526005575467,496.213835125448,0.0,3.8466188769414575,2213.088060533652,1833.5549980087612,0.0,0.0,0.0,16340.436989247311
Bristol School District,0170011,Bristol Central High School,0176111,9,12,1125,49.6,7237,606,154,444,81,675,1251,0,12,5.0,10466,2018,251.1,1.282206292313819,9279.326937475109,777.0170131421744,197.45976901632815,569.2995937873357,103.85870967741934,865.4892473118279,1604.0400716845877,0.0,15.38647550776583,6.411031461569095,13419.571055356431
Bristol School District,0170011,Bristol Eastern High School,0176211,9,12,1116,46.5,7267,858,153,440,90,670,1204,0,9,0.0,10690,2018,251.1,1.282206292313819,9317.793126244524,1100.1329988052569,196.17756272401434,564.1707686180804,115.39856630824372,859.0782158502589,1543.7763759458383,0.0,11.539856630824373,0.0,13706.785264834727
