"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA",541,540,99.8,540,141,26.1,152,28.1,139,25.7,108,20.0,247,45.7
,,"Math",541,540,99.8,540,167,30.9,146,27.0,102,18.9,125,23.1,227,42.0
"Achievement First Hartford Academy District","=""2880013""","ELA",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
,,"Math",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","ELA",538,534,99.3,534,109,20.4,134,25.1,199,37.3,92,17.2,291,54.5
,,"Math",538,533,99.1,533,119,22.3,161,30.2,139,26.1,114,21.4,253,47.5
"Andover School District","=""0010011""","ELA",159,156,98.1,156,12,7.7,27,17.3,45,28.8,72,46.2,117,75.0
,,"Math",159,156,98.1,156,8,5.1,35,22.4,54,34.6,59,37.8,113,72.4
"Ansonia School District","=""0020011""","ELA",1054,1037,98.4,1037,389,37.5,294,28.4,249,24.0,105,10.1,354,34.1
,,"Math",1054,1036,98.3,1035,418,40.4,367,35.5,175,16.9,75,7.2,250,24.2
"Area Cooperative Educational Services","=""2440014""","ELA",1287,1275,99.1,1274,480,37.7,319,25.0,331,26.0,144,11.3,475,37.3
,,"Math",1287,1268,98.5,1268,638,50.3,361,28.5,187,14.7,82,6.5,269,21.2
"Ashford School District","=""0030011""","ELA",233,232,99.6,232,35,15.1,52,22.4,82,35.3,63,27.2,145,62.5
,,"Math",233,232,99.6,232,48,20.7,71,30.6,73,31.5,40,17.2,113,48.7
"Avon School District","=""0040011""","ELA",1545,1541,99.7,1541,85,5.5,207,13.4,501,32.5,748,48.5,1249,81.1
,,"Math",1548,1541,99.5,1541,115,7.5,266,17.3,440,28.6,720,46.7,1160,75.3
"Barkhamsted School District","=""0050011""","ELA",176,169,96.0,169,19,11.2,39,23.1,57,33.7,54,32.0,111,65.7
,,"Math",176,169,96.0,169,43,25.4,64,37.9,42,24.9,20,11.8,62,36.7
"Berlin School District","=""0070011""","ELA",1319,1313,99.5,1312,135,10.3,276,21.0,507,38.6,394,30.0,901,68.7
,,"Math",1319,1310,99.3,1308,225,17.2,385,29.4,377,28.8,321,24.5,698,53.4
"Bethany School District","=""0080011""","ELA",232,224,96.6,224,29,12.9,49,21.9,70,31.3,76,33.9,146,65.2
,,"Math",232,224,96.6,224,24,10.7,58,25.9,67,29.9,75,33.5,142,63.4
"Bethel School District","=""0090011""","ELA",1329,1320,99.3,1320,149,11.3,225,17.0,488,37.0,458,34.7,946,71.7
,,"Math",1329,1318,99.2,1318,185,14.0,402,30.5,391,29.7,340,25.8,731,55.5
"Bloomfield School District","=""0110011""","ELA",767,764,99.6,764,197,25.8,195,25.5,260,34.0,112,14.7,372,48.7
,,"Math",767,763,99.5,763,289,37.9,278,36.4,142,18.6,54,7.1,196,25.7
"Bolton School District","=""0120011""","ELA",356,347,97.5,347,38,11.0,38,11.0,129,37.2,142,40.9,271,78.1
