"Smarter Balanced Assessments, 2018-19"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA",546,543,99.5,543,77,14.2,118,21.7,176,32.4,172,31.7,348,64.1
,,"Math",545,542,99.4,542,117,21.6,136,25.1,132,24.4,157,29.0,289,53.3
"Achievement First Hartford Academy District","=""2880013""","ELA",599,598,99.8,598,105,17.6,142,23.7,206,34.4,145,24.2,351,58.7
,,"Math",599,597,99.7,597,129,21.6,149,25.0,173,29.0,146,24.5,319,53.4
"Amistad Academy District","=""2790013""","ELA",523,521,99.6,521,126,24.2,107,20.5,170,32.6,118,22.6,288,55.3
,,"Math",523,520,99.4,519,120,23.1,142,27.4,127,24.5,130,25.0,257,49.5
"Andover School District","=""0010011""","ELA",99,99,100.0,99,6,6.1,20,20.2,23,23.2,50,50.5,73,73.7
,,"Math",99,99,100.0,99,"*","*","*","*",34,34.3,36,36.4,70,70.7
"Ansonia School District","=""0020011""","ELA",1049,1039,99.0,1039,365,35.1,291,28.0,260,25.0,123,11.8,383,36.9
,,"Math",1049,1036,98.8,1036,411,39.7,315,30.4,221,21.3,89,8.6,310,29.9
"Area Cooperative Educational Services","=""2440014""","ELA",1223,1204,98.4,1203,430,35.7,266,22.1,352,29.3,155,12.9,507,42.1
,,"Math",1223,1191,97.4,1190,506,42.5,309,26.0,207,17.4,168,14.1,375,31.5
"Ashford School District","=""0030011""","ELA",246,243,98.8,243,47,19.3,65,26.7,58,23.9,73,30.0,131,53.9
,,"Math",246,240,97.6,240,62,25.8,74,30.8,64,26.7,40,16.7,104,43.3
"Avon School District","=""0040011""","ELA",1499,1496,99.8,1496,109,7.3,206,13.8,454,30.3,727,48.6,1181,78.9
,,"Math",1499,1494,99.7,1494,145,9.7,233,15.6,417,27.9,699,46.8,1116,74.7
"Barkhamsted School District","=""0050011""","ELA",139,135,97.1,135,14,10.4,33,24.4,47,34.8,41,30.4,88,65.2
,,"Math",139,135,97.1,135,20,14.8,37,27.4,43,31.9,35,25.9,78,57.8
"Berlin School District","=""0070011""","ELA",1278,1250,97.8,1249,190,15.2,245,19.6,478,38.3,336,26.9,814,65.2
,,"Math",1276,1248,97.8,1247,178,14.3,296,23.7,333,26.7,440,35.3,773,62.0
"Bethany School District","=""0080011""","ELA",211,208,98.6,202,18,8.9,38,18.8,54,26.7,92,45.5,146,72.3
,,"Math",211,208,98.6,202,21,10.4,47,23.3,59,29.2,75,37.1,134,66.3
"Bethel School District","=""0090011""","ELA",1452,1441,99.2,1441,193,13.4,284,19.7,500,34.7,464,32.2,964,66.9
,,"Math",1452,1438,99.0,1438,214,14.9,377,26.2,408,28.4,439,30.5,847,58.9
"Bloomfield School District","=""0110011""","ELA",841,839,99.8,839,288,34.3,208,24.8,238,28.4,105,12.5,343,40.9
,,"Math",841,838,99.6,837,311,37.2,265,31.7,175,20.9,86,10.3,261,31.2
"Bolton School District","=""0120011""","ELA",358,351,98.0,351,36,10.3,55,15.7,132,37.6,128,36.5,260,74.1
,,"Math",358,350,97.8,350,42,12.0,79,22.6,104,29.7,125,35.7,229,65.4
"Booker T. Washington Academy District","=""2950013""","ELA",133,133,100.0,133,34,25.6,32,24.1,48,36.1,19,14.3,67,50.4
,,"Math",133,133,100.0,133,29,21.8,42,31.6,42,31.6,20,15.0,62,46.6
"Bozrah School District","=""0130011""","ELA",127,125,98.4,125,26,20.8,35,28.0,46,36.8,18,14.4,64,51.2
,,"Math",127,125,98.4,125,28,22.4,45,36.0,31,24.8,21,16.8,52,41.6
"Branford School District","=""0140011""","ELA",1255,1246,99.3,1246,221,17.7,280,22.5,426,34.2,319,25.6,745,59.8
,,"Math",1255,1243,99.0,1242,227,18.3,317,25.5,353,28.4,345,27.8,698,56.2
"Brass City Charter School District","=""2900013""","ELA",143,143,100.0,143,30,21.0,31,21.7,45,31.5,37,25.9,82,57.3
,,"Math",143,143,100.0,143,29,20.3,42,29.4,41,28.7,31,21.7,72,50.3
"Bridgeport School District","=""0150011""","ELA",9374,9330,99.5,9330,4501,48.2,2276,24.4,1844,19.8,709,7.6,2553,27.4
,,"Math",9357,9306,99.5,9303,5442,58.5,2400,25.8,1038,11.2,423,4.5,1461,15.7
"Bristol School District","=""0170011""","ELA",3641,3629,99.7,3629,966,26.6,911,25.1,1097,30.2,655,18.0,1752,48.3
,,"Math",3633,3612,99.4,3611,1142,31.6,1085,30.0,835,23.1,549,15.2,1384,38.3
