"Smarter Balanced Assessments, 2017-18"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA",525,523,99.6,523,105,20.1,114,21.8,161,30.8,143,27.3,304,58.1
,,"Math",525,522,99.4,522,125,23.9,113,21.6,131,25.1,153,29.3,284,54.4
"Achievement First Hartford Academy District","=""2880013""","ELA",681,680,99.9,680,124,18.2,168,24.7,231,34.0,157,23.1,388,57.1
,,"Math",681,678,99.6,678,171,25.2,160,23.6,164,24.2,183,27.0,347,51.2
"Amistad Academy District","=""2790013""","ELA",541,538,99.4,538,106,19.7,159,29.6,165,30.7,108,20.1,273,50.7
,,"Math",541,537,99.3,537,117,21.8,146,27.2,161,30.0,113,21.0,274,51.0
"Andover School District","=""0010011""","ELA",115,114,99.1,114,7,6.1,24,21.1,37,32.5,46,40.4,83,72.8
,,"Math",115,114,99.1,114,6,5.3,28,24.6,41,36.0,39,34.2,80,70.2
"Ansonia School District","=""0020011""","ELA",1077,1063,98.7,1063,366,34.4,295,27.8,275,25.9,127,11.9,402,37.8
,,"Math",1078,1064,98.7,1064,380,35.7,365,34.3,212,19.9,107,10.1,319,30.0
"Area Cooperative Educational Services","=""2440014""","ELA",1249,1240,99.3,1239,434,35.0,307,24.8,348,28.1,150,12.1,498,40.2
,,"Math",1249,1234,98.8,1232,548,44.5,350,28.4,201,16.3,133,10.8,334,27.1
"Ashford School District","=""0030011""","ELA",237,230,97.0,230,39,17.0,48,20.9,76,33.0,67,29.1,143,62.2
,,"Math",237,230,97.0,230,57,24.8,70,30.4,63,27.4,40,17.4,103,44.8
"Avon School District","=""0040011""","ELA",1526,1524,99.9,1524,102,6.7,200,13.1,485,31.8,737,48.4,1222,80.2
,,"Math",1526,1524,99.9,1524,137,9.0,238,15.6,400,26.2,749,49.1,1149,75.4
"Barkhamsted School District","=""0050011""","ELA",150,142,94.7,142,19,13.4,32,22.5,52,36.6,39,27.5,91,64.1
,,"Math",150,141,94.0,141,32,22.7,51,36.2,36,25.5,22,15.6,58,41.1
"Berlin School District","=""0070011""","ELA",1256,1241,98.8,1240,152,12.3,262,21.1,437,35.2,389,31.4,826,66.6
,,"Math",1256,1240,98.7,1237,181,14.6,291,23.5,372,30.1,393,31.8,765,61.8
"Bethany School District","=""0080011""","ELA",218,210,96.3,210,19,9.0,39,18.6,79,37.6,73,34.8,152,72.4
,,"Math",218,210,96.3,210,27,12.9,53,25.2,73,34.8,57,27.1,130,61.9
"Bethel School District","=""0090011""","ELA",1394,1382,99.1,1382,164,11.9,238,17.2,524,37.9,456,33.0,980,70.9
,,"Math",1394,1382,99.1,1381,176,12.7,358,25.9,419,30.3,428,31.0,847,61.3
"Bloomfield School District","=""0110011""","ELA",795,793,99.7,792,251,31.7,219,27.7,230,29.0,92,11.6,322,40.7
,,"Math",794,791,99.6,791,282,35.7,282,35.7,158,20.0,69,8.7,227,28.7
"Bolton School District","=""0120011""","ELA",375,362,96.5,362,34,9.4,63,17.4,126,34.8,139,38.4,265,73.2
,,"Math",375,362,96.5,362,33,9.1,79,21.8,104,28.7,146,40.3,250,69.1
"Booker T. Washington Academy District","=""2950013""","ELA",72,72,100.0,72,10,13.9,16,22.2,21,29.2,25,34.7,46,63.9
,,"Math",72,72,100.0,72,"*","*",26,36.1,26,36.1,"*","*","*","*"
"Bozrah School District","=""0130011""","ELA",135,133,98.5,133,24,18.0,37,27.8,50,37.6,22,16.5,72,54.1
,,"Math",135,133,98.5,133,34,25.6,43,32.3,37,27.8,19,14.3,56,42.1
"Branford School District","=""0140011""","ELA",1290,1275,98.8,1273,266,20.9,311,24.4,387,30.4,309,24.3,696,54.7
,,"Math",1290,1275,98.8,1273,285,22.4,293,23.0,350,27.5,345,27.1,695,54.6
"Brass City Charter School District","=""2900013""","ELA",111,111,100.0,111,14,12.6,24,21.6,33,29.7,40,36.0,73,65.8
,,"Math",111,111,100.0,111,11,9.9,26,23.4,39,35.1,35,31.5,74,66.7
"Bridgeport School District","=""0150011""","ELA",9453,9415,99.6,9414,4588,48.7,2402,25.5,1782,18.9,642,6.8,2424,25.7
,,"Math",9434,9389,99.5,9387,5595,59.6,2395,25.5,997,10.6,400,4.3,1397,14.9
"Bristol School District","=""0170011""","ELA",3635,3623,99.7,3623,862,23.8,857,23.7,1209,33.4,695,19.2,1904,52.6
,,"Math",3629,3609,99.4,3609,1061,29.4,1070,29.6,888,24.6,590,16.3,1478,41.0
"Brookfield School District","=""0180011""","ELA",1242,1169,94.1,1169,133,11.4,259,22.2,439,37.6,338,28.9,777,66.5
,,"Math",1242,1166,93.9,1166,156,13.4,317,27.2,370,31.7,323,27.7,693,59.4
"Brooklyn School District","=""0190011""","ELA",518,515,99.4,515,77,15.0,111,21.6,173,33.6,154,29.9,327,63.5
,,"Math",518,516,99.6,516,102,19.8,169,32.8,137,26.6,108,20.9,245,47.5
"Canaan School District","=""0210011""","ELA",47,46,97.9,46,7,15.2,7,15.2,15,32.6,17,37.0,32,69.6
,,"Math",47,46,97.9,46,13,28.3,6,13.0,16,34.8,11,23.9,27,58.7
"Canterbury School District","=""0220011""","ELA",267,266,99.6,266,48,18.0,65,24.4,100,37.6,53,19.9,153,57.5
,,"Math",267,266,99.6,266,57,21.4,97,36.5,80,30.1,32,12.0,112,42.1
"Canton School District","=""0230011""","ELA",742,734,98.9,734,86,11.7,113,15.4,252,34.3,283,38.6,535,72.9
,,"Math",742,733,98.8,733,83,11.3,158,21.6,195,26.6,297,40.5,492,67.1
"Capital Preparatory Harbor School District","=""2970013""","ELA",185,185,100.0,185,63,34.1,44,23.8,58,31.4,20,10.8,78,42.2
,,"Math",186,186,100.0,186,85,45.7,61,32.8,29,15.6,11,5.9,40,21.5
"Capitol Region Education Council","=""2410014""","ELA",3463,3401,98.2,3400,936,27.5,803,23.6,991,29.1,670,19.7,1661,48.9
,,"Math",3465,3395,98.0,3392,1233,36.4,962,28.4,672,19.8,525,15.5,1197,35.3
"Chaplin School District","=""0240011""","ELA",72,70,97.2,70,9,12.9,16,22.9,25,35.7,20,28.6,45,64.3
,,"Math",72,70,97.2,70,8,11.4,24,34.3,23,32.9,15,21.4,38,54.3
"Cheshire School District","=""0250011""","ELA",1945,1920,98.7,1920,130,6.8,291,15.2,649,33.8,850,44.3,1499,78.1
,,"Math",1945,1918,98.6,1918,240,12.5,368,19.2,528,27.5,782,40.8,1310,68.3
"Chester School District","=""0260011""","ELA",111,111,100.0,111,10,9.0,10,9.0,33,29.7,58,52.3,91,82.0
,,"Math",112,112,100.0,112,11,9.8,23,20.5,30,26.8,48,42.9,78,69.6
"Clinton School District","=""0270011""","ELA",832,818,98.3,817,139,17.0,190,23.3,315,38.6,173,21.2,488,59.7
,,"Math",832,818,98.3,818,154,18.8,259,31.7,244,29.8,161,19.7,405,49.5
"Colchester School District","=""0280011""","ELA",1075,1070,99.5,1070,116,10.8,193,18.0,412,38.5,349,32.6,761,71.1
,,"Math",1075,1070,99.5,1070,105,9.8,248,23.2,333,31.1,384,35.9,717,67.0
"Colebrook School District","=""0290011""","ELA",53,47,88.7,47,"*","*","*","*",20,42.6,16,34.0,36,76.6
,,"Math",53,47,88.7,47,7,14.9,12,25.5,15,31.9,13,27.7,28,59.6
"Columbia School District","=""0300011""","ELA",268,260,97.0,260,51,19.6,62,23.8,92,35.4,55,21.2,147,56.5
,,"Math",267,259,97.0,259,57,22.0,82,31.7,83,32.0,37,14.3,120,46.3
"Cooperative Educational Services","=""2430014""","ELA",319,317,99.4,317,103,32.5,78,24.6,84,26.5,52,16.4,136,42.9
,,"Math",318,316,99.4,316,118,37.3,90,28.5,73,23.1,35,11.1,108,34.2
"Cornwall School District","=""0310011""","ELA",50,46,92.0,46,8,17.4,8,17.4,12,26.1,18,39.1,30,65.2
,,"Math",50,46,92.0,46,14,30.4,13,28.3,10,21.7,9,19.6,19,41.3
"Coventry School District","=""0320011""","ELA",750,739,98.5,739,66,8.9,110,14.9,270,36.5,293,39.6,563,76.2
,,"Math",750,738,98.4,737,93,12.6,176,23.9,256,34.7,212,28.8,468,63.5
"Cromwell School District","=""0330011""","ELA",915,914,99.9,914,138,15.1,193,21.1,315,34.5,268,29.3,583,63.8
,,"Math",915,913,99.8,913,160,17.5,254,27.8,235,25.7,264,28.9,499,54.7
"Danbury School District","=""0340011""","ELA",5249,5223,99.5,5221,1424,27.3,1376,26.4,1574,30.1,847,16.2,2421,46.4
,,"Math",5249,5217,99.4,5215,1627,31.2,1692,32.4,1163,22.3,733,14.1,1896,36.4
"Darien School District","=""0350011""","ELA",2254,2237,99.2,2237,107,4.8,265,11.8,711,31.8,1154,51.6,1865,83.4
,,"Math",2254,2237,99.2,2236,111,5.0,306,13.7,534,23.9,1285,57.5,1819,81.4
"Deep River School District","=""0360011""","ELA",172,171,99.4,171,21,12.3,26,15.2,64,37.4,60,35.1,124,72.5
,,"Math",172,171,99.4,171,20,11.7,46,26.9,52,30.4,53,31.0,105,61.4
"Derby School District","=""0370011""","ELA",680,674,99.1,674,265,39.3,144,21.4,173,25.7,92,13.6,265,39.3
,,"Math",682,676,99.1,676,306,45.3,182,26.9,123,18.2,65,9.6,188,27.8
"East Granby School District","=""0400011""","ELA",397,396,99.7,396,51,12.9,73,18.4,133,33.6,139,35.1,272,68.7
,,"Math",397,395,99.5,395,40,10.1,85,21.5,114,28.9,156,39.5,270,68.4
"East Haddam School District","=""0410011""","ELA",441,439,99.5,438,49,11.2,96,21.9,142,32.4,151,34.5,293,66.9
,,"Math",444,441,99.3,441,80,18.1,114,25.9,116,26.3,131,29.7,247,56.0
"East Hampton School District","=""0420011""","ELA",901,875,97.1,875,114,13.0,207,23.7,332,37.9,222,25.4,554,63.3
,,"Math",901,874,97.0,874,153,17.5,282,32.3,273,31.2,166,19.0,439,50.2
"East Hartford School District","=""0430011""","ELA",3011,3006,99.8,3005,1221,40.6,740,24.6,727,24.2,317,10.5,1044,34.7
,,"Math",2990,2981,99.7,2980,1478,49.6,836,28.1,472,15.8,194,6.5,666,22.3
"East Haven School District","=""0440011""","ELA",1233,1217,98.7,1215,379,31.2,299,24.6,345,28.4,192,15.8,537,44.2
,,"Math",1233,1217,98.7,1214,445,36.7,384,31.6,241,19.9,144,11.9,385,31.7
"East Lyme School District","=""0450011""","ELA",1164,1143,98.2,1143,92,8.0,171,15.0,430,37.6,450,39.4,880,77.0
,,"Math",1164,1143,98.2,1143,129,11.3,262,22.9,298,26.1,454,39.7,752,65.8
"East Windsor School District","=""0470011""","ELA",453,448,98.9,448,126,28.1,120,26.8,138,30.8,64,14.3,202,45.1
,,"Math",453,450,99.3,450,174,38.7,149,33.1,85,18.9,42,9.3,127,28.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA",66,65,98.5,65,53,81.5,"*","*","*","*",0,0.0,"*","*"
,,"Math",66,65,98.5,64,61,95.3,"*","*","*","*",0,0.0,"*","*"
"Eastford School District","=""0390011""","ELA",93,93,100.0,93,17,18.3,22,23.7,34,36.6,20,21.5,54,58.1
,,"Math",94,94,100.0,94,14,14.9,35,37.2,25,26.6,20,21.3,45,47.9
"Easton School District","=""0460011""","ELA",625,612,97.9,612,32,5.2,58,9.5,220,35.9,302,49.3,522,85.3
,,"Math",625,612,97.9,612,46,7.5,104,17.0,186,30.4,276,45.1,462,75.5
"EdAdvance","=""2420014""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA",1262,1255,99.4,1255,163,13.0,213,17.0,440,35.1,439,35.0,879,70.0
,,"Math",1263,1250,99.0,1250,185,14.8,304,24.3,354,28.3,407,32.6,761,60.9
"Elm City College Preparatory School District","=""2890013""","ELA",377,376,99.7,376,66,17.6,74,19.7,137,36.4,99,26.3,236,62.8
,,"Math",377,375,99.5,374,76,20.3,93,24.9,104,27.8,101,27.0,205,54.8
"Elm City Montessori School District","=""2910013""","ELA",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
,,"Math",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","ELA",2225,2212,99.4,2211,507,22.9,585,26.5,742,33.6,377,17.1,1119,50.6
,,"Math",2219,2204,99.3,2203,608,27.6,784,35.6,534,24.2,277,12.6,811,36.8
"Essex School District","=""0500011""","ELA",197,191,97.0,191,20,10.5,33,17.3,47,24.6,91,47.6,138,72.3
,,"Math",197,191,97.0,191,25,13.1,54,28.3,58,30.4,54,28.3,112,58.6
"Fairfield School District","=""0510011""","ELA",4677,4632,99.0,4628,347,7.5,677,14.6,1754,37.9,1850,40.0,3604,77.9
,,"Math",4675,4622,98.9,4621,427,9.2,937,20.3,1421,30.8,1836,39.7,3257,70.5
"Farmington School District","=""0520011""","ELA",1933,1918,99.2,1918,143,7.5,234,12.2,597,31.1,944,49.2,1541,80.3
,,"Math",1930,1915,99.2,1915,185,9.7,311,16.2,469,24.5,950,49.6,1419,74.1
"Franklin School District","=""0530011""","ELA",100,100,100.0,100,16,16.0,19,19.0,38,38.0,27,27.0,65,65.0
,,"Math",100,100,100.0,100,30,30.0,30,30.0,30,30.0,10,10.0,40,40.0
"Glastonbury School District","=""0540011""","ELA",2712,2703,99.7,2703,205,7.6,407,15.1,878,32.5,1213,44.9,2091,77.4
,,"Math",2713,2703,99.6,2703,249,9.2,441,16.3,673,24.9,1340,49.6,2013,74.5
"Granby School District","=""0560011""","ELA",830,827,99.6,827,74,8.9,146,17.7,296,35.8,311,37.6,607,73.4
,,"Math",830,827,99.6,827,103,12.5,207,25.0,256,31.0,261,31.6,517,62.5
"Great Oaks Charter School District","=""2940013""","ELA",290,277,95.5,277,161,58.1,70,25.3,40,14.4,6,2.2,46,16.6
,,"Math",290,279,96.2,279,167,59.9,60,21.5,37,13.3,15,5.4,52,18.6
"Greenwich School District","=""0570011""","ELA",4100,4089,99.7,4089,351,8.6,550,13.5,1398,34.2,1790,43.8,3188,78.0
,,"Math",4098,4083,99.6,4083,428,10.5,738,18.1,1078,26.4,1839,45.0,2917,71.4
"Griswold School District","=""0580011""","ELA",783,781,99.7,780,152,19.5,186,23.8,259,33.2,183,23.5,442,56.7
,,"Math",783,781,99.7,780,139,17.8,200,25.6,227,29.1,214,27.4,441,56.5
"Groton School District","=""0590011""","ELA",1930,1925,99.7,1925,404,21.0,403,20.9,649,33.7,469,24.4,1118,58.1
,,"Math",1929,1922,99.6,1922,449,23.4,579,30.1,516,26.8,378,19.7,894,46.5
"Guilford School District","=""0600011""","ELA",1551,1549,99.9,1548,99,6.4,183,11.8,538,34.8,728,47.0,1266,81.8
,,"Math",1551,1549,99.9,1548,116,7.5,223,14.4,429,27.7,780,50.4,1209,78.1
"Hamden School District","=""0620011""","ELA",2491,2443,98.1,2443,653,26.7,556,22.8,652,26.7,582,23.8,1234,50.5
,,"Math",2491,2432,97.6,2432,715,29.4,699,28.7,514,21.1,504,20.7,1018,41.9
"Hampton School District","=""0630011""","ELA",52,52,100.0,52,7,13.5,12,23.1,16,30.8,17,32.7,33,63.5
,,"Math",51,51,100.0,51,6,11.8,20,39.2,15,29.4,10,19.6,25,49.0
"Hartford School District","=""0640011""","ELA",8854,8792,99.3,8788,4619,52.6,2045,23.3,1550,17.6,574,6.5,2124,24.2
,,"Math",8855,8778,99.1,8777,4857,55.3,2286,26.0,1092,12.4,542,6.2,1634,18.6
"Hartland School District","=""0650011""","ELA",116,116,100.0,116,9,7.8,21,18.1,51,44.0,35,30.2,86,74.1
,,"Math",116,116,100.0,116,19,16.4,36,31.0,31,26.7,30,25.9,61,52.6
"Hebron School District","=""0670011""","ELA",377,375,99.5,375,53,14.1,74,19.7,142,37.9,106,28.3,248,66.1
,,"Math",377,375,99.5,375,31,8.3,100,26.7,124,33.1,120,32.0,244,65.1
"Highville Charter School District","=""2860013""","ELA",196,196,100.0,196,88,44.9,58,29.6,39,19.9,11,5.6,50,25.5
,,"Math",196,196,100.0,196,102,52.0,66,33.7,22,11.2,6,3.1,28,14.3
"Integrated Day Charter School District","=""2640013""","ELA",194,194,100.0,193,47,24.4,45,23.3,65,33.7,36,18.7,101,52.3
,,"Math",194,193,99.5,192,66,34.4,62,32.3,41,21.4,23,12.0,64,33.3
"Interdistrict School for Arts and Comm District","=""2650013""","ELA",259,259,100.0,259,104,40.2,78,30.1,59,22.8,18,6.9,77,29.7
,,"Math",259,259,100.0,259,157,60.6,78,30.1,"*","*","*","*",24,9.3
