"Smarter Balanced Assessments, 2017-18"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Jumoke Academy District","=""2610013""","ELA",427,420,98.4,420,162,38.6,102,24.3,105,25.0,51,12.1,156,37.1
,,"Math",427,418,97.9,418,176,42.1,140,33.5,70,16.7,32,7.7,102,24.4
"Kent School District","=""0680011""","ELA",158,153,96.8,153,9,5.9,26,17.0,44,28.8,74,48.4,118,77.1
,,"Math",158,152,96.2,152,15,9.9,39,25.7,42,27.6,56,36.8,98,64.5
"Killingly School District","=""0690011""","ELA",989,984,99.5,984,197,20.0,236,24.0,368,37.4,183,18.6,551,56.0
,,"Math",988,983,99.5,983,256,26.0,354,36.0,245,24.9,128,13.0,373,37.9
"Learn","=""2450014""","ELA",542,536,98.9,536,167,31.2,122,22.8,148,27.6,99,18.5,247,46.1
,,"Math",542,537,99.1,537,229,42.6,174,32.4,88,16.4,46,8.6,134,25.0
"Lebanon School District","=""0710011""","ELA",443,411,92.8,411,63,15.3,72,17.5,139,33.8,137,33.3,276,67.2
,,"Math",443,408,92.1,408,73,17.9,106,26.0,119,29.2,110,27.0,229,56.1
"Ledyard School District","=""0720011""","ELA",1047,1038,99.1,1038,210,20.2,246,23.7,350,33.7,232,22.4,582,56.1
,,"Math",1047,1037,99.0,1037,216,20.8,295,28.4,273,26.3,253,24.4,526,50.7
"Lisbon School District","=""0730011""","ELA",250,250,100.0,247,35,14.2,55,22.3,91,36.8,66,26.7,157,63.6
,,"Math",250,250,100.0,247,65,26.3,82,33.2,63,25.5,37,15.0,100,40.5
"Litchfield School District","=""0740011""","ELA",397,393,99.0,393,42,10.7,59,15.0,136,34.6,156,39.7,292,74.3
,,"Math",397,393,99.0,393,36,9.2,77,19.6,119,30.3,161,41.0,280,71.2
"Madison School District","=""0760011""","ELA",1171,1036,88.5,1036,150,14.5,202,19.5,339,32.7,345,33.3,684,66.0
,,"Math",1171,1034,88.3,1034,112,10.8,249,24.1,330,31.9,343,33.2,673,65.1
"Manchester School District","=""0770011""","ELA",2746,2698,98.3,2697,1057,39.2,672,24.9,642,23.8,326,12.1,968,35.9
,,"Math",2751,2691,97.8,2686,1181,44.0,767,28.6,500,18.6,238,8.9,738,27.5
"Mansfield School District","=""0780011""","ELA",774,742,95.9,742,68,9.2,93,12.5,241,32.5,340,45.8,581,78.3
,,"Math",774,738,95.3,738,72,9.8,149,20.2,184,24.9,333,45.1,517,70.1
"Marlborough School District","=""0790011""","ELA",296,296,100.0,296,33,11.1,57,19.3,101,34.1,105,35.5,206,69.6
,,"Math",296,296,100.0,296,30,10.1,80,27.0,79,26.7,107,36.1,186,62.8
"Meriden School District","=""0800011""","ELA",3620,3568,98.6,3568,1137,31.9,865,24.2,962,27.0,604,16.9,1566,43.9
,,"Math",3616,3521,97.4,3519,1233,35.0,1059,30.1,764,21.7,463,13.2,1227,34.9
"Middletown School District","=""0830011""","ELA",2017,2015,99.9,2015,582,28.9,491,24.4,560,27.8,382,19.0,942,46.7
,,"Math",2014,2010,99.8,2010,654,32.5,586,29.2,410,20.4,360,17.9,770,38.3
"Milford School District","=""0840011""","ELA",2596,2550,98.2,2550,383,15.0,557,21.8,946,37.1,664,26.0,1610,63.1
,,"Math",2595,2550,98.3,2549,356,14.0,685,26.9,751,29.5,757,29.7,1508,59.2
"Monroe School District","=""0850011""","ELA",1470,1443,98.2,1443,96,6.7,216,15.0,463,32.1,668,46.3,1131,78.4
,,"Math",1470,1442,98.1,1442,143,9.9,328,22.7,411,28.5,560,38.8,971,67.3
"Montville School District","=""0860011""","ELA",1021,1021,100.0,1021,177,17.3,236,23.1,344,33.7,264,25.9,608,59.5
,,"Math",1019,1018,99.9,1018,190,18.7,256,25.1,295,29.0,277,27.2,572,56.2
"Naugatuck School District","=""0880011""","ELA",1908,1899,99.5,1899,463,24.4,440,23.2,607,32.0,389,20.5,996,52.4
,,"Math",1907,1896,99.4,1895,430,22.7,536,28.3,465,24.5,464,24.5,929,49.0
"New Beginnings Inc Family Academy District","=""2800013""","ELA",250,250,100.0,250,119,47.6,70,28.0,52,20.8,9,3.6,61,24.4
,,"Math",250,250,100.0,249,154,61.8,67,26.9,"*","*","*","*",28,11.2
"New Britain School District","=""0890011""","ELA",4687,4661,99.4,4656,2607,56.0,1025,22.0,738,15.9,286,6.1,1024,22.0
,,"Math",4684,4648,99.2,4645,2899,62.4,1109,23.9,475,10.2,162,3.5,637,13.7
"New Canaan School District","=""0900011""","ELA",1963,1947,99.2,1947,58,3.0,169,8.7,559,28.7,1161,59.6,1720,88.3
,,"Math",1963,1945,99.1,1945,54,2.8,183,9.4,457,23.5,1251,64.3,1708,87.8
"New Fairfield School District","=""0910011""","ELA",979,931,95.1,930,77,8.3,138,14.8,346,37.2,369,39.7,715,76.9
,,"Math",979,925,94.5,925,79,8.5,204,22.1,267,28.9,375,40.5,642,69.4
"New Hartford School District","=""0920011""","ELA",255,250,98.0,250,36,14.4,50,20.0,83,33.2,81,32.4,164,65.6
,,"Math",255,248,97.3,248,36,14.5,72,29.0,72,29.0,68,27.4,140,56.5
"New Haven School District","=""0930011""","ELA",9277,9232,99.5,9232,3627,39.3,2514,27.2,2117,22.9,974,10.6,3091,33.5
,,"Math",9277,9215,99.3,9212,4627,50.2,2625,28.5,1286,14.0,674,7.3,1960,21.3
"New London School District","=""0950011""","ELA",1625,1612,99.2,1612,735,45.6,373,23.1,328,20.3,176,10.9,504,31.3
,,"Math",1622,1607,99.1,1607,803,50.0,459,28.6,225,14.0,120,7.5,345,21.5
"New Milford School District","=""0960011""","ELA",1873,1839,98.2,1839,339,18.4,429,23.3,660,35.9,411,22.3,1071,58.2
,,"Math",1868,1825,97.7,1825,415,22.7,550,30.1,482,26.4,378,20.7,860,47.1
"Newington School District","=""0940011""","ELA",1901,1898,99.8,1897,331,17.4,430,22.7,731,38.5,405,21.3,1136,59.9
,,"Math",1901,1897,99.8,1896,373,19.7,534,28.2,571,30.1,418,22.0,989,52.2
"Newtown School District","=""0970011""","ELA",1906,1887,99.0,1887,185,9.8,306,16.2,697,36.9,699,37.0,1396,74.0
,,"Math",1906,1887,99.0,1887,215,11.4,401,21.3,521,27.6,750,39.7,1271,67.4
"Norfolk School District","=""0980011""","ELA",57,56,98.2,56,9,16.1,17,30.4,15,26.8,15,26.8,30,53.6
,,"Math",57,56,98.2,56,11,19.6,15,26.8,16,28.6,14,25.0,30,53.6
"North Branford School District","=""0990011""","ELA",830,821,98.9,821,162,19.7,192,23.4,300,36.5,167,20.3,467,56.9
,,"Math",830,821,98.9,821,167,20.3,255,31.1,213,25.9,186,22.7,399,48.6
"North Canaan School District","=""1000011""","ELA",162,162,100.0,162,25,15.4,32,19.8,58,35.8,47,29.0,105,64.8
,,"Math",162,162,100.0,162,46,28.4,41,25.3,43,26.5,32,19.8,75,46.3
"North Haven School District","=""1010011""","ELA",1439,1428,99.2,1428,157,11.0,255,17.9,502,35.2,514,36.0,1016,71.1
,,"Math",1439,1423,98.9,1423,184,12.9,339,23.8,405,28.5,495,34.8,900,63.2
"North Stonington School District","=""1020011""","ELA",359,357,99.4,357,26,7.3,52,14.6,128,35.9,151,42.3,279,78.2
,,"Math",359,357,99.4,357,28,7.8,71,19.9,104,29.1,154,43.1,258,72.3
"Norwalk School District","=""1030011""","ELA",5205,5164,99.2,5160,1367,26.5,1300,25.2,1506,29.2,987,19.1,2493,48.3
,,"Math",5208,5165,99.2,5162,1517,29.4,1524,29.5,1151,22.3,970,18.8,2121,41.1
"Norwich School District","=""1040011""","ELA",2090,2077,99.4,2076,905,43.6,492,23.7,402,19.4,277,13.3,679,32.7
,,"Math",2088,2073,99.3,2071,979,47.3,576,27.8,306,14.8,210,10.1,516,24.9
"Odyssey Community School District","=""2630013""","ELA",217,217,100.0,217,52,24.0,64,29.5,76,35.0,25,11.5,101,46.5
,,"Math",217,217,100.0,217,61,28.1,80,36.9,51,23.5,25,11.5,76,35.0
"Old Saybrook School District","=""1060011""","ELA",552,541,98.0,541,73,13.5,119,22.0,216,39.9,133,24.6,349,64.5
,,"Math",552,539,97.6,539,70,13.0,162,30.1,163,30.2,144,26.7,307,57.0
"Orange School District","=""1070011""","ELA",682,674,98.8,673,66,9.8,102,15.2,218,32.4,287,42.6,505,75.0
,,"Math",682,672,98.5,671,64,9.5,139,20.7,231,34.4,237,35.3,468,69.7
"Oxford School District","=""1080011""","ELA",896,879,98.1,879,121,13.8,188,21.4,324,36.9,246,28.0,570,64.8
,,"Math",896,876,97.8,876,122,13.9,263,30.0,268,30.6,223,25.5,491,56.1
"Park City Prep Charter School District","=""2830013""","ELA",346,346,100.0,346,126,36.4,100,28.9,97,28.0,23,6.6,120,34.7
,,"Math",346,345,99.7,345,159,46.1,118,34.2,39,11.3,29,8.4,68,19.7
"Plainfield School District","=""1090011""","ELA",983,975,99.2,974,174,17.9,250,25.7,331,34.0,219,22.5,550,56.5
,,"Math",983,975,99.2,974,212,21.8,314,32.2,288,29.6,160,16.4,448,46.0
"Plainville School District","=""1100011""","ELA",1028,1028,100.0,1028,151,14.7,222,21.6,394,38.3,261,25.4,655,63.7
,,"Math",1028,1028,100.0,1028,172,16.7,295,28.7,291,28.3,270,26.3,561,54.6
"Plymouth School District","=""1110011""","ELA",667,665,99.7,665,156,23.5,163,24.5,197,29.6,149,22.4,346,52.0
,,"Math",667,664,99.6,664,132,19.9,176,26.5,213,32.1,143,21.5,356,53.6
"Pomfret School District","=""1120011""","ELA",272,272,100.0,261,18,6.9,68,26.1,95,36.4,80,30.7,175,67.0
,,"Math",272,272,100.0,261,25,9.6,71,27.2,82,31.4,83,31.8,165,63.2
"Portland School District","=""1130011""","ELA",614,601,97.9,601,72,12.0,109,18.1,203,33.8,217,36.1,420,69.9
,,"Math",614,600,97.7,600,75,12.5,145,24.2,191,31.8,189,31.5,380,63.3
"Preston School District","=""1140011""","ELA",274,274,100.0,273,50,18.3,59,21.6,96,35.2,68,24.9,164,60.1
,,"Math",275,274,99.6,273,52,19.0,89,32.6,73,26.7,59,21.6,132,48.4
"Putnam School District","=""1160011""","ELA",523,521,99.6,521,122,23.4,121,23.2,163,31.3,115,22.1,278,53.4
,,"Math",523,520,99.4,520,160,30.8,156,30.0,131,25.2,73,14.0,204,39.2
"Redding School District","=""1170011""","ELA",599,595,99.3,594,38,6.4,87,14.6,212,35.7,257,43.3,469,79.0
,,"Math",599,594,99.2,592,37,6.3,94,15.9,171,28.9,290,49.0,461,77.9
"Regional School District 01","=""2010012""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","ELA",321,318,99.1,318,27,8.5,46,14.5,139,43.7,106,33.3,245,77.0
,,"Math",321,317,98.8,317,44,13.9,75,23.7,89,28.1,109,34.4,198,62.5
