"Smarter Balanced Assessments, 2016-17"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA",536,530,98.9,530,160,30.2,111,20.9,137,25.8,122,23.0,259,48.9
,,"Math",536,530,98.9,530,157,29.6,129,24.3,101,19.1,143,27.0,244,46.0
"Achievement First Hartford Academy District","=""2880013""","ELA",616,614,99.7,614,157,25.6,141,23.0,186,30.3,130,21.2,316,51.5
,,"Math",616,613,99.5,612,208,34.0,140,22.9,145,23.7,119,19.4,264,43.1
"Amistad Academy District","=""2790013""","ELA",535,531,99.3,531,136,25.6,147,27.7,155,29.2,93,17.5,248,46.7
,,"Math",535,531,99.3,531,114,21.5,154,29.0,150,28.2,113,21.3,263,49.5
"Andover School District","=""0010011""","ELA",135,134,99.3,134,11,8.2,25,18.7,53,39.6,45,33.6,98,73.1
,,"Math",135,134,99.3,134,9,6.7,29,21.6,50,37.3,46,34.3,96,71.6
"Ansonia School District","=""0020011""","ELA",1033,1015,98.3,1015,370,36.5,299,29.5,258,25.4,88,8.7,346,34.1
,,"Math",1033,1004,97.2,1004,427,42.5,339,33.8,180,17.9,58,5.8,238,23.7
"Area Cooperative Educational Services","=""2440014""","ELA",1271,1256,98.8,1256,448,35.7,316,25.2,345,27.5,147,11.7,492,39.2
,,"Math",1271,1256,98.8,1256,594,47.3,346,27.5,195,15.5,121,9.6,316,25.2
"Ashford School District","=""0030011""","ELA",250,248,99.2,248,45,18.1,55,22.2,71,28.6,77,31.0,148,59.7
,,"Math",250,248,99.2,248,63,25.4,78,31.5,68,27.4,39,15.7,107,43.1
"Avon School District","=""0040011""","ELA",1531,1529,99.9,1529,103,6.7,200,13.1,496,32.4,730,47.7,1226,80.2
,,"Math",1530,1528,99.9,1528,116,7.6,283,18.5,414,27.1,715,46.8,1129,73.9
"Barkhamsted School District","=""0050011""","ELA",165,157,95.2,157,14,8.9,40,25.5,57,36.3,46,29.3,103,65.6
,,"Math",165,156,94.5,156,39,25.0,51,32.7,41,26.3,25,16.0,66,42.3
"Berlin School District","=""0070011""","ELA",1308,1296,99.1,1294,160,12.4,292,22.6,483,37.3,359,27.7,842,65.1
,,"Math",1308,1296,99.1,1294,197,15.2,305,23.6,388,30.0,404,31.2,792,61.2
"Bethany School District","=""0080011""","ELA",226,221,97.8,221,25,11.3,43,19.5,84,38.0,69,31.2,153,69.2
,,"Math",226,220,97.3,220,17,7.7,51,23.2,81,36.8,71,32.3,152,69.1
