"Smarter Balanced Assessments, 2022-23"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA",552,548,99.3,548,162,29.6,132,24.1,174,31.8,80,14.6,254,46.4
,,"Math",552,542,98.2,542,248,45.8,163,30.1,91,16.8,40,7.4,131,24.2
"Achievement First Hartford Academy District","=""2880013""","ELA",519,516,99.4,516,172,33.3,130,25.2,150,29.1,64,12.4,214,41.5
,,"Math",519,514,99.0,514,274,53.3,133,25.9,79,15.4,28,5.4,107,20.8
"Amistad Academy District","=""2790013""","ELA",552,543,98.4,543,205,37.8,130,23.9,140,25.8,68,12.5,208,38.3
,,"Math",552,538,97.5,538,262,48.7,162,30.1,81,15.1,33,6.1,114,21.2
"Andover School District","=""0010011""","ELA",82,82,100.0,82,17,20.7,14,17.1,25,30.5,26,31.7,51,62.2
,,"Math",82,82,100.0,82,12,14.6,19,23.2,27,32.9,24,29.3,51,62.2
"Ansonia School District","=""0020011""","ELA",1078,1070,99.3,1070,630,58.9,235,22.0,143,13.4,62,5.8,205,19.2
,,"Math",1078,1063,98.6,1063,633,59.5,269,25.3,122,11.5,39,3.7,161,15.1
"Area Cooperative Educational Services","=""2440014""","ELA",1146,1128,98.4,1127,506,44.9,281,24.9,245,21.7,95,8.4,340,30.2
,,"Math",1146,1111,96.9,1110,624,56.2,283,25.5,124,11.2,79,7.1,203,18.3
"Ashford School District","=""0030011""","ELA",228,222,97.4,222,49,22.1,51,23.0,72,32.4,50,22.5,122,55.0
,,"Math",227,221,97.4,221,52,23.5,73,33.0,42,19.0,54,24.4,96,43.4
"Avon School District","=""0040011""","ELA",1456,1452,99.7,1452,189,13.0,254,17.5,462,31.8,547,37.7,1009,69.5
,,"Math",1456,1451,99.7,1451,234,16.1,310,21.4,377,26.0,530,36.5,907,62.5
"Barkhamsted School District","=""0050011""","ELA",106,105,99.1,105,20,19.0,21,20.0,33,31.4,31,29.5,64,61.0
,,"Math",106,105,99.1,105,10,9.5,29,27.6,37,35.2,29,27.6,66,62.9
"Berlin School District","=""0070011""","ELA",1178,1158,98.3,1158,188,16.2,234,20.2,421,36.4,315,27.2,736,63.6
,,"Math",1179,1153,97.8,1152,192,16.7,250,21.7,338,29.3,372,32.3,710,61.6
"Bethany School District","=""0080011""","ELA",245,244,99.6,244,24,9.8,44,18.0,60,24.6,116,47.5,176,72.1
,,"Math",245,243,99.2,243,25,10.3,52,21.4,67,27.6,99,40.7,166,68.3
"Bethel School District","=""0090011""","ELA",1447,1436,99.2,1436,296,20.6,310,21.6,506,35.2,324,22.6,830,57.8
,,"Math",1447,1435,99.2,1435,299,20.8,378,26.3,373,26.0,385,26.8,758,52.8
"Bloomfield School District","=""0110011""","ELA",770,764,99.2,764,313,41.0,195,25.5,175,22.9,81,10.6,256,33.5
,,"Math",770,763,99.1,762,389,51.0,204,26.8,108,14.2,61,8.0,169,22.2
"Bolton School District","=""0120011""","ELA",335,314,93.7,314,64,20.4,55,17.5,108,34.4,87,27.7,195,62.1
,,"Math",333,310,93.1,310,65,21.0,72,23.2,90,29.0,83,26.8,173,55.8
"Booker T. Washington Academy District","=""2950013""","ELA",271,270,99.6,270,111,41.1,85,31.5,54,20.0,20,7.4,74,27.4
,,"Math",271,269,99.3,269,121,45.0,89,33.1,45,16.7,14,5.2,59,21.9
"Bozrah School District","=""0130011""","ELA",97,95,97.9,95,17,17.9,28,29.5,33,34.7,17,17.9,50,52.6
,,"Math",97,95,97.9,95,20,21.1,24,25.3,33,34.7,18,18.9,51,53.7
"Branford School District","=""0140011""","ELA",1154,1148,99.5,1148,255,22.2,271,23.6,366,31.9,256,22.3,622,54.2
,,"Math",1153,1147,99.5,1147,239,20.8,332,28.9,315,27.5,261,22.8,576,50.2
"Brass City Charter School District","=""2900013""","ELA",213,213,100.0,213,68,31.9,50,23.5,65,30.5,30,14.1,95,44.6
,,"Math",212,212,100.0,212,80,37.7,78,36.8,33,15.6,21,9.9,54,25.5
"Bridgeport School District","=""0150011""","ELA",8569,8511,99.3,8511,5003,58.8,1839,21.6,1283,15.1,386,4.5,1669,19.6
,,"Math",8568,8492,99.1,8491,5755,67.8,1819,21.4,688,8.1,229,2.7,917,10.8
"Bristol School District","=""0170011""","ELA",3394,3352,98.8,3351,878,26.2,825,24.6,1000,29.8,648,19.3,1648,49.2
,,"Math",3392,3332,98.2,3331,1098,33.0,861,25.8,712,21.4,660,19.8,1372,41.2
"Brookfield School District","=""0180011""","ELA",1138,1101,96.7,1101,184,16.7,240,21.8,366,33.2,311,28.2,677,61.5
,,"Math",1138,1094,96.1,1094,187,17.1,306,28.0,325,29.7,276,25.2,601,54.9
"Brooklyn School District","=""0190011""","ELA",541,540,99.8,540,121,22.4,135,25.0,174,32.2,110,20.4,284,52.6
,,"Math",541,540,99.8,540,130,24.1,167,30.9,149,27.6,94,17.4,243,45.0
"Canaan School District","=""0210011""","ELA",46,46,100.0,46,7,15.2,6,13.0,18,39.1,15,32.6,33,71.7
,,"Math",46,46,100.0,46,9,19.6,10,21.7,14,30.4,13,28.3,27,58.7
"Canterbury School District","=""0220011""","ELA",289,285,98.6,285,53,18.6,78,27.4,113,39.6,41,14.4,154,54.0
,,"Math",289,285,98.6,285,58,20.4,93,32.6,84,29.5,50,17.5,134,47.0
"Canton School District","=""0230011""","ELA",695,681,98.0,681,120,17.6,144,21.1,235,34.5,182,26.7,417,61.2
,,"Math",695,679,97.7,679,125,18.4,163,24.0,196,28.9,195,28.7,391,57.6
"Capital Preparatory Harbor School District","=""2970013""","ELA",373,373,100.0,373,172,46.1,83,22.3,86,23.1,32,8.6,118,31.6
,,"Math",373,373,100.0,373,216,57.9,90,24.1,49,13.1,18,4.8,67,18.0
"Capitol Region Education Council","=""2410014""","ELA",3587,3491,97.3,3491,1606,46.0,842,24.1,673,19.3,370,10.6,1043,29.9
,,"Math",3584,3453,96.3,3453,1999,57.9,779,22.6,404,11.7,271,7.8,675,19.5
"Chaplin School District","=""0240011""","ELA",71,71,100.0,71,20,28.2,20,28.2,16,22.5,15,21.1,31,43.7
,,"Math",71,71,100.0,71,16,22.5,24,33.8,11,15.5,20,28.2,31,43.7
"Cheshire School District","=""0250011""","ELA",1868,1840,98.5,1840,148,8.0,287,15.6,616,33.5,789,42.9,1405,76.4
,,"Math",1869,1836,98.2,1836,134,7.3,348,19.0,466,25.4,888,48.4,1354,73.7
"Chester School District","=""0260011""","ELA",129,124,96.1,124,11,8.9,20,16.1,36,29.0,57,46.0,93,75.0
,,"Math",129,124,96.1,124,13,10.5,20,16.1,35,28.2,56,45.2,91,73.4
"Clinton School District","=""0270011""","ELA",614,609,99.2,609,144,23.6,166,27.3,192,31.5,107,17.6,299,49.1
,,"Math",614,608,99.0,608,121,19.9,192,31.6,170,28.0,125,20.6,295,48.5
"Colchester School District","=""0280011""","ELA",916,912,99.6,912,135,14.8,222,24.3,331,36.3,224,24.6,555,60.9
,,"Math",915,912,99.7,912,89,9.8,223,24.5,269,29.5,331,36.3,600,65.8
"Colebrook School District","=""0290011""","ELA",51,50,98.0,50,6,12.0,7,14.0,14,28.0,23,46.0,37,74.0
,,"Math",51,50,98.0,50,"*","*","*","*",19,38.0,18,36.0,37,74.0
"Columbia School District","=""0300011""","ELA",306,299,97.7,299,66,22.1,82,27.4,93,31.1,58,19.4,151,50.5
,,"Math",305,297,97.4,297,68,22.9,91,30.6,74,24.9,64,21.5,138,46.5
"Cooperative Educational Services","=""2430014""","ELA",292,287,98.3,287,91,31.7,87,30.3,72,25.1,37,12.9,109,38.0
,,"Math",292,287,98.3,287,114,39.7,90,31.4,52,18.1,31,10.8,83,28.9
