"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA",529,527,99.6,527,197,37.4,131,24.9,147,27.9,52,9.9,199,37.8
,,"Math",528,522,98.9,521,273,52.4,133,25.5,82,15.7,33,6.3,115,22.1
"Achievement First Hartford Academy District","=""2880013""","ELA",440,436,99.1,436,144,33.0,116,26.6,108,24.8,68,15.6,176,40.4
,,"Math",440,434,98.6,432,198,45.8,116,26.9,79,18.3,39,9.0,118,27.3
"Amistad Academy District","=""2790013""","ELA",538,538,100.0,538,221,41.1,122,22.7,128,23.8,67,12.5,195,36.2
,,"Math",538,535,99.4,535,230,43.0,154,28.8,99,18.5,52,9.7,151,28.2
"Andover School District","=""0010011""","ELA",109,108,99.1,108,13,12.0,25,23.1,38,35.2,32,29.6,70,64.8
,,"Math",110,109,99.1,109,14,12.8,37,33.9,31,28.4,27,24.8,58,53.2
"Ansonia School District","=""0020011""","ELA",1139,1129,99.1,1126,559,49.6,273,24.2,213,18.9,81,7.2,294,26.1
,,"Math",1140,1128,98.9,1127,605,53.7,272,24.1,156,13.8,94,8.3,250,22.2
"Area Cooperative Educational Services","=""2440014""","ELA",914,897,98.1,895,399,44.6,219,24.5,207,23.1,70,7.8,277,30.9
,,"Math",914,888,97.2,887,486,54.8,197,22.2,117,13.2,87,9.8,204,23.0
"Ashford School District","=""0030011""","ELA",228,226,99.1,226,53,23.5,52,23.0,72,31.9,49,21.7,121,53.5
,,"Math",228,226,99.1,226,51,22.6,61,27.0,59,26.1,55,24.3,114,50.4
"Avon School District","=""0040011""","ELA",1404,1400,99.7,1400,158,11.3,240,17.1,475,33.9,527,37.6,1002,71.6
,,"Math",1400,1391,99.4,1391,179,12.9,267,19.2,354,25.4,591,42.5,945,67.9
"Barkhamsted School District","=""0050011""","ELA",127,127,100.0,127,28,22.0,34,26.8,34,26.8,31,24.4,65,51.2
,,"Math",127,127,100.0,127,28,22.0,36,28.3,27,21.3,36,28.3,63,49.6
"Berlin School District","=""0070011""","ELA",1172,1154,98.5,1153,188,16.3,249,21.6,417,36.2,299,25.9,716,62.1
,,"Math",1172,1148,98.0,1147,185,16.1,281,24.5,301,26.2,380,33.1,681,59.4
"Bethany School District","=""0080011""","ELA",255,251,98.4,251,20,8.0,46,18.3,72,28.7,113,45.0,185,73.7
,,"Math",255,251,98.4,251,29,11.6,51,20.3,73,29.1,98,39.0,171,68.1
"Bethel School District","=""0090011""","ELA",1421,1409,99.2,1409,259,18.4,302,21.4,457,32.4,391,27.8,848,60.2
,,"Math",1421,1404,98.8,1404,254,18.1,301,21.4,344,24.5,505,36.0,849,60.5
"Bloomfield School District","=""0110011""","ELA",678,673,99.3,673,249,37.0,185,27.5,163,24.2,76,11.3,239,35.5
,,"Math",678,673,99.3,673,314,46.7,173,25.7,116,17.2,70,10.4,186,27.6
"Bolton School District","=""0120011""","ELA",303,289,95.4,289,41,14.2,62,21.5,93,32.2,93,32.2,186,64.4
,,"Math",301,285,94.7,285,43,15.1,55,19.3,64,22.5,123,43.2,187,65.6
"Booker T. Washington Academy District","=""2950013""","ELA",256,255,99.6,254,95,37.4,70,27.6,70,27.6,19,7.5,89,35.0
,,"Math",256,253,98.8,253,111,43.9,67,26.5,53,20.9,22,8.7,75,29.6
"Bozrah School District","=""0130011""","ELA",108,107,99.1,107,19,17.8,30,28.0,34,31.8,24,22.4,58,54.2
,,"Math",108,107,99.1,107,15,14.0,20,18.7,31,29.0,41,38.3,72,67.3
"Branford School District","=""0140011""","ELA",1131,1122,99.2,1121,201,17.9,288,25.7,337,30.1,295,26.3,632,56.4
,,"Math",1131,1120,99.0,1117,230,20.6,316,28.3,270,24.2,301,26.9,571,51.1
"Brass City Charter School District","=""2900013""","ELA",242,242,100.0,242,63,26.0,72,29.8,69,28.5,38,15.7,107,44.2
,,"Math",243,243,100.0,243,95,39.1,69,28.4,41,16.9,38,15.6,79,32.5
"Bridgeport School District","=""0150011""","ELA",8648,8581,99.2,8581,5063,59.0,1719,20.0,1370,16.0,429,5.0,1799,21.0
,,"Math",8643,8533,98.7,8531,5199,60.9,1994,23.4,907,10.6,431,5.1,1338,15.7
"Bristol School District","=""0170011""","ELA",3462,3419,98.8,3419,949,27.8,822,24.0,1020,29.8,628,18.4,1648,48.2
,,"Math",3459,3408,98.5,3408,1128,33.1,883,25.9,720,21.1,677,19.9,1397,41.0
"Brookfield School District","=""0180011""","ELA",1168,1143,97.9,1143,178,15.6,255,22.3,397,34.7,313,27.4,710,62.1
,,"Math",1168,1142,97.8,1142,213,18.7,309,27.1,318,27.8,302,26.4,620,54.3
"Brooklyn School District","=""0190011""","ELA",544,544,100.0,544,114,21.0,164,30.1,153,28.1,113,20.8,266,48.9
,,"Math",544,540,99.3,540,131,24.3,132,24.4,167,30.9,110,20.4,277,51.3
"Canaan School District","=""0210011""","ELA",47,47,100.0,47,"*","*","*","*",20,42.6,12,25.5,32,68.1
,,"Math",47,47,100.0,47,7,14.9,14,29.8,9,19.1,17,36.2,26,55.3
"Canterbury School District","=""0220011""","ELA",311,307,98.7,307,62,20.2,85,27.7,120,39.1,40,13.0,160,52.1
,,"Math",311,307,98.7,307,58,18.9,80,26.1,94,30.6,75,24.4,169,55.0
"Canton School District","=""0230011""","ELA",645,634,98.3,634,77,12.1,141,22.2,237,37.4,179,28.2,416,65.6
,,"Math",645,633,98.1,633,95,15.0,147,23.2,183,28.9,208,32.9,391,61.8
"Capital Preparatory Harbor School District","=""2970013""","ELA",359,359,100.0,359,130,36.2,101,28.1,87,24.2,41,11.4,128,35.7
,,"Math",359,359,100.0,358,188,52.5,102,28.5,53,14.8,15,4.2,68,19.0
"Capitol Region Education Council","=""2410014""","ELA",3685,3614,98.1,3614,1688,46.7,849,23.5,693,19.2,384,10.6,1077,29.8
,,"Math",3682,3587,97.4,3587,1954,54.5,825,23.0,491,13.7,317,8.8,808,22.5
"Chaplin School District","=""0240011""","ELA",79,78,98.7,78,29,37.2,22,28.2,18,23.1,9,11.5,27,34.6
,,"Math",78,77,98.7,77,17,22.1,25,32.5,21,27.3,14,18.2,35,45.5
"Cheshire School District","=""0250011""","ELA",2015,1993,98.9,1993,138,6.9,317,15.9,631,31.7,907,45.5,1538,77.2
,,"Math",2016,1993,98.9,1993,154,7.7,314,15.8,520,26.1,1005,50.4,1525,76.5
"Chester School District","=""0260011""","ELA",118,116,98.3,116,13,11.2,22,19.0,32,27.6,49,42.2,81,69.8
,,"Math",118,116,98.3,116,8,6.9,31,26.7,32,27.6,45,38.8,77,66.4
"Clinton School District","=""0270011""","ELA",607,604,99.5,604,129,21.4,171,28.3,180,29.8,124,20.5,304,50.3
,,"Math",607,604,99.5,604,100,16.6,165,27.3,175,29.0,164,27.2,339,56.1
"Colchester School District","=""0280011""","ELA",960,955,99.5,955,148,15.5,249,26.1,308,32.3,250,26.2,558,58.4
,,"Math",960,954,99.4,954,126,13.2,237,24.8,280,29.4,311,32.6,591,61.9
"Colebrook School District","=""0290011""","ELA",39,37,94.9,37,"*","*","*","*",17,45.9,13,35.1,30,81.1
,,"Math",39,37,94.9,37,"*","*","*","*",11,29.7,17,45.9,28,75.7
"Columbia School District","=""0300011""","ELA",290,274,94.5,274,62,22.6,67,24.5,86,31.4,59,21.5,145,52.9
,,"Math",290,273,94.1,273,60,22.0,81,29.7,63,23.1,69,25.3,132,48.4
"Cooperative Educational Services","=""2430014""","ELA",268,263,98.1,263,101,38.4,69,26.2,61,23.2,32,12.2,93,35.4
,,"Math",268,263,98.1,263,91,34.6,80,30.4,62,23.6,30,11.4,92,35.0
"Cornwall School District","=""0310011""","ELA",55,53,96.4,53,"*","*","*","*",18,34.0,21,39.6,39,73.6
,,"Math",55,53,96.4,53,"*","*","*","*",17,32.1,23,43.4,40,75.5
"Coventry School District","=""0320011""","ELA",722,718,99.4,718,78,10.9,112,15.6,271,37.7,257,35.8,528,73.5
,,"Math",721,714,99.0,714,96,13.4,161,22.5,206,28.9,251,35.2,457,64.0
"Cromwell School District","=""0330011""","ELA",889,875,98.4,875,157,17.9,184,21.0,303,34.6,231,26.4,534,61.0
,,"Math",889,873,98.2,873,185,21.2,222,25.4,221,25.3,245,28.1,466,53.4
"Danbury School District","=""0340011""","ELA",5441,5426,99.7,5426,2300,42.4,1310,24.1,1171,21.6,645,11.9,1816,33.5
,,"Math",5441,5422,99.7,5422,2355,43.4,1436,26.5,931,17.2,700,12.9,1631,30.1
"Darien School District","=""0350011""","ELA",2113,2107,99.7,2107,125,5.9,222,10.5,682,32.4,1078,51.2,1760,83.5
,,"Math",2113,2107,99.7,2107,113,5.4,248,11.8,517,24.5,1229,58.3,1746,82.9
"Deep River School District","=""0360011""","ELA",109,109,100.0,109,21,19.3,16,14.7,40,36.7,32,29.4,72,66.1
,,"Math",109,109,100.0,109,12,11.0,21,19.3,36,33.0,40,36.7,76,69.7
"Derby School District","=""0370011""","ELA",609,608,99.8,608,245,40.3,156,25.7,148,24.3,59,9.7,207,34.0
,,"Math",610,606,99.3,606,291,48.0,171,28.2,96,15.8,48,7.9,144,23.8
"East Granby School District","=""0400011""","ELA",404,403,99.8,403,37,9.2,74,18.4,130,32.3,162,40.2,292,72.5
,,"Math",404,402,99.5,402,71,17.7,83,20.6,99,24.6,149,37.1,248,61.7
"East Haddam School District","=""0410011""","ELA",417,409,98.1,409,90,22.0,92,22.5,124,30.3,103,25.2,227,55.5
,,"Math",417,409,98.1,409,88,21.5,101,24.7,123,30.1,97,23.7,220,53.8
"East Hampton School District","=""0420011""","ELA",754,743,98.5,743,100,13.5,178,24.0,271,36.5,194,26.1,465,62.6
,,"Math",754,741,98.3,741,125,16.9,188,25.4,221,29.8,207,27.9,428,57.8
"East Hartford School District","=""0430011""","ELA",2708,2689,99.3,2687,1028,38.3,616,22.9,655,24.4,388,14.4,1043,38.8
,,"Math",2708,2683,99.1,2682,1090,40.6,690,25.7,514,19.2,388,14.5,902,33.6
"East Haven School District","=""0440011""","ELA",1143,1135,99.3,1135,397,35.0,304,26.8,300,26.4,134,11.8,434,38.2
,,"Math",1144,1132,99.0,1132,462,40.8,342,30.2,199,17.6,129,11.4,328,29.0
"East Lyme School District","=""0450011""","ELA",1063,1016,95.6,1016,136,13.4,183,18.0,365,35.9,332,32.7,697,68.6
,,"Math",1063,1012,95.2,1012,147,14.5,223,22.0,267,26.4,375,37.1,642,63.4
"East Windsor School District","=""0470011""","ELA",446,444,99.6,444,111,25.0,107,24.1,139,31.3,87,19.6,226,50.9
