"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA",564,564,100.0,564,196,34.8,164,29.1,131,23.2,73,12.9,204,36.2
,,"Math",564,562,99.6,562,255,45.4,152,27.0,108,19.2,47,8.4,155,27.6
"Achievement First Hartford Academy District","=""2880013""","ELA",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
,,"Math",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","ELA",544,541,99.4,541,127,23.5,149,27.5,164,30.3,101,18.7,265,49.0
,,"Math",544,540,99.3,540,169,31.3,185,34.3,117,21.7,69,12.8,186,34.4
"Andover School District","=""0010011""","ELA",167,163,97.6,163,6,3.7,27,16.6,43,26.4,87,53.4,130,79.8
,,"Math",167,165,98.8,165,9,5.5,41,24.8,48,29.1,67,40.6,115,69.7
"Ansonia School District","=""0020011""","ELA",1225,1205,98.4,1205,397,32.9,361,30.0,305,25.3,142,11.8,447,37.1
,,"Math",1226,1207,98.5,1207,533,44.2,439,36.4,166,13.8,69,5.7,235,19.5
"Area Cooperative Educational Services","=""2440014""","ELA",1297,1277,98.5,1268,417,32.9,379,29.9,355,28.0,117,9.2,472,37.2
,,"Math",1298,1275,98.2,1272,657,51.7,372,29.2,171,13.4,72,5.7,243,19.1
"Ashford School District","=""0030011""","ELA",253,252,99.6,252,34,13.5,64,25.4,84,33.3,70,27.8,154,61.1
,,"Math",253,249,98.4,248,69,27.8,73,29.4,68,27.4,38,15.3,106,42.7
"Avon School District","=""0040011""","ELA",1841,1812,98.4,1809,101,5.6,220,12.2,624,34.5,864,47.8,1488,82.3
,,"Math",1841,1823,99.0,1823,149,8.2,354,19.4,563,30.9,757,41.5,1320,72.4
"Barkhamsted School District","=""0050011""","ELA",205,198,96.6,197,27,13.7,34,17.3,70,35.5,66,33.5,136,69.0
,,"Math",205,197,96.1,197,46,23.4,69,35.0,57,28.9,25,12.7,82,41.6
"Berlin School District","=""0070011""","ELA",1607,1595,99.3,1559,227,14.6,370,23.7,606,38.9,356,22.8,962,61.7
