"Smarter Balanced Assessments, 2021-22"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA",536,531,99.1,531,155,29.2,136,25.6,156,29.4,84,15.8,240,45.2
,,"Math",536,524,97.8,522,224,42.9,160,30.7,98,18.8,40,7.7,138,26.4
"Achievement First Hartford Academy District","=""2880013""","ELA",543,542,99.8,542,167,30.8,154,28.4,153,28.2,68,12.5,221,40.8
,,"Math",543,530,97.6,530,219,41.3,172,32.5,94,17.7,45,8.5,139,26.2
"Amistad Academy District","=""2790013""","ELA",557,547,98.2,547,170,31.1,152,27.8,150,27.4,75,13.7,225,41.1
,,"Math",557,540,96.9,540,259,48.0,171,31.7,83,15.4,27,5.0,110,20.4
"Andover School District","=""0010011""","ELA",77,77,100.0,77,18,23.4,18,23.4,24,31.2,17,22.1,41,53.2
,,"Math",77,76,98.7,76,9,11.8,26,34.2,20,26.3,21,27.6,41,53.9
"Ansonia School District","=""0020011""","ELA",1048,1041,99.3,1041,551,52.9,248,23.8,184,17.7,58,5.6,242,23.2
,,"Math",1048,1032,98.5,1032,624,60.5,288,27.9,91,8.8,29,2.8,120,11.6
"Area Cooperative Educational Services","=""2440014""","ELA",1181,1163,98.5,1162,504,43.4,264,22.7,293,25.2,101,8.7,394,33.9
,,"Math",1181,1148,97.2,1147,656,57.2,289,25.2,123,10.7,79,6.9,202,17.6
"Ashford School District","=""0030011""","ELA",234,230,98.3,230,57,24.8,49,21.3,71,30.9,53,23.0,124,53.9
,,"Math",234,229,97.9,229,70,30.6,69,30.1,45,19.7,45,19.7,90,39.3
"Avon School District","=""0040011""","ELA",1415,1407,99.4,1407,170,12.1,216,15.4,439,31.2,582,41.4,1021,72.6
,,"Math",1415,1406,99.4,1406,204,14.5,315,22.4,367,26.1,520,37.0,887,63.1
"Barkhamsted School District","=""0050011""","ELA",111,111,100.0,111,21,18.9,24,21.6,34,30.6,32,28.8,66,59.5
,,"Math",111,111,100.0,111,20,18.0,35,31.5,27,24.3,29,26.1,56,50.5
"Berlin School District","=""0070011""","ELA",1158,1135,98.0,1135,207,18.2,245,21.6,401,35.3,282,24.8,683,60.2
,,"Math",1158,1128,97.4,1128,221,19.6,318,28.2,300,26.6,289,25.6,589,52.2
"Bethany School District","=""0080011""","ELA",216,211,97.7,211,19,9.0,38,18.0,62,29.4,92,43.6,154,73.0
,,"Math",216,211,97.7,211,23,10.9,48,22.7,67,31.8,73,34.6,140,66.4
"Bethel School District","=""0090011""","ELA",1450,1446,99.7,1446,302,20.9,328,22.7,469,32.4,347,24.0,816,56.4
,,"Math",1450,1427,98.4,1427,342,24.0,399,28.0,322,22.6,364,25.5,686,48.1
"Bloomfield School District","=""0110011""","ELA",776,768,99.0,768,287,37.4,207,27.0,172,22.4,102,13.3,274,35.7
