District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2015,High Needs,,,
Achievement First Bridgeport Academy District,2015,Non-High Needs,,,
Amistad Academy District,2015,High Needs,,,
Amistad Academy District,2015,Non-High Needs,,,
Ansonia School District,2015,High Needs,137.0,115.0,83.9
Ansonia School District,2015,Non-High Needs,35.0,34.0,97.1
Avon School District,2015,High Needs,47.0,44.0,93.6
Avon School District,2015,Non-High Needs,200.0,196.0,98.0
Berlin School District,2015,High Needs,54.0,47.0,87.0
Berlin School District,2015,Non-High Needs,154.0,152.0,98.7
Bethel School District,2015,High Needs,77.0,73.0,94.8
Bethel School District,2015,Non-High Needs,141.0,141.0,100.0
Bloomfield School District,2015,High Needs,119.0,105.0,88.2
Bloomfield School District,2015,Non-High Needs,55.0,55.0,100.0
Bolton School District,2015,High Needs,20.0,18.0,90.0
Bolton School District,2015,Non-High Needs,56.0,56.0,100.0
Branford School District,2015,High Needs,86.0,70.0,81.4
Branford School District,2015,Non-High Needs,167.0,162.0,97.0
Bridgeport School District,2015,High Needs,,,
Bridgeport School District,2015,Non-High Needs,,,
Bristol School District,2015,High Needs,358.0,280.0,78.2
Bristol School District,2015,Non-High Needs,284.0,275.0,96.8
Brookfield School District,2015,High Needs,46.0,40.0,87.0
Brookfield School District,2015,Non-High Needs,188.0,185.0,98.4
Canton School District,2015,High Needs,27.0,24.0,88.9
Canton School District,2015,Non-High Needs,106.0,106.0,100.0
Capitol Region Education Council,2015,High Needs,191.0,175.0,91.6
Capitol Region Education Council,2015,Non-High Needs,130.0,126.0,96.9
Cheshire School District,2015,High Needs,77.0,68.0,88.3
Cheshire School District,2015,Non-High Needs,315.0,315.0,100.0
Clinton School District,2015,High Needs,51.0,42.0,82.4
Clinton School District,2015,Non-High Needs,111.0,108.0,97.3
Colchester School District,2015,High Needs,69.0,61.0,88.4
Colchester School District,2015,Non-High Needs,159.0,154.0,96.9
Common Ground High School District,2015,High Needs,25.0,25.0,100.0
Common Ground High School District,2015,Non-High Needs,12.0,12.0,
Connecticut Technical Education and Career System,2015,High Needs,1604.0,1563.0,97.4
Connecticut Technical Education and Career System,2015,Non-High Needs,863.0,847.0,98.1
Coventry School District,2015,High Needs,37.0,32.0,86.5
Coventry School District,2015,Non-High Needs,79.0,79.0,100.0
Cromwell School District,2015,High Needs,36.0,32.0,88.9
Cromwell School District,2015,Non-High Needs,91.0,91.0,100.0
Danbury School District,2015,High Needs,492.0,377.0,76.6
Danbury School District,2015,Non-High Needs,283.0,270.0,95.4
Darien School District,2015,High Needs,46.0,43.0,93.5
Darien School District,2015,Non-High Needs,287.0,284.0,99.0
Derby School District,2015,High Needs,76.0,67.0,88.2
Derby School District,2015,Non-High Needs,26.0,26.0,100.0
East Granby School District,2015,High Needs,10.0,10.0,
East Granby School District,2015,Non-High Needs,51.0,51.0,100.0
East Haddam School District,2015,High Needs,34.0,29.0,85.3
East Haddam School District,2015,Non-High Needs,79.0,77.0,97.5
East Hampton School District,2015,High Needs,29.0,24.0,82.8
East Hampton School District,2015,Non-High Needs,98.0,97.0,99.0
East Hartford School District,2015,High Needs,429.0,380.0,88.6
East Hartford School District,2015,Non-High Needs,123.0,121.0,98.4
East Haven School District,2015,High Needs,153.0,101.0,66.0
East Haven School District,2015,Non-High Needs,89.0,84.0,94.4
East Lyme School District,2015,High Needs,65.0,57.0,87.7
East Lyme School District,2015,Non-High Needs,208.0,206.0,99.0
East Windsor School District,2015,High Needs,49.0,40.0,81.6
East Windsor School District,2015,Non-High Needs,42.0,39.0,92.9
Eastern Connecticut Regional Educational Service Center (EASTCONN),2015,High Needs,42.0,35.0,83.3
Eastern Connecticut Regional Educational Service Center (EASTCONN),2015,Non-High Needs,29.0,23.0,79.3
Ellington School District,2015,High Needs,56.0,51.0,91.1
Ellington School District,2015,Non-High Needs,150.0,150.0,100.0
Elm City College Preparatory School District,2015,High Needs,,,
Elm City College Preparatory School District,2015,Non-High Needs,,,
Enfield School District,2015,High Needs,167.0,132.0,79.0
Enfield School District,2015,Non-High Needs,225.0,212.0,94.2
Explorations District,2015,High Needs,16.0,13.0,
Explorations District,2015,Non-High Needs,7.0,7.0,
Fairfield School District,2015,High Needs,182.0,154.0,84.6
Fairfield School District,2015,Non-High Needs,535.0,531.0,99.3
Farmington School District,2015,High Needs,73.0,67.0,91.8
Farmington School District,2015,Non-High Needs,260.0,259.0,99.6
Glastonbury School District,2015,High Needs,109.0,101.0,92.7
Glastonbury School District,2015,Non-High Needs,415.0,413.0,99.5
Granby School District,2015,High Needs,30.0,28.0,93.3
Granby School District,2015,Non-High Needs,134.0,133.0,99.3
