District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2022,High Needs,45.0,43.0,95.6
Achievement First Bridgeport Academy District,2022,Non-High Needs,16.0,15.0,
Achievement First Hartford Academy District,2022,High Needs,,,
Achievement First Hartford Academy District,2022,Non-High Needs,,,
Amistad Academy District,2022,High Needs,53.0,51.0,96.2
Amistad Academy District,2022,Non-High Needs,7.0,7.0,
Ansonia School District,2022,High Needs,112.0,92.0,82.1
Ansonia School District,2022,Non-High Needs,38.0,33.0,86.8
Avon School District,2022,High Needs,48.0,42.0,87.5
Avon School District,2022,Non-High Needs,197.0,194.0,98.5
Berlin School District,2022,High Needs,68.0,58.0,85.3
Berlin School District,2022,Non-High Needs,145.0,144.0,99.3
Bethel School District,2022,High Needs,85.0,73.0,85.9
Bethel School District,2022,Non-High Needs,122.0,120.0,98.4
Bloomfield School District,2022,High Needs,123.0,112.0,91.1
Bloomfield School District,2022,Non-High Needs,28.0,28.0,100.0
Bolton School District,2022,High Needs,30.0,27.0,90.0
Bolton School District,2022,Non-High Needs,45.0,44.0,97.8
Branford School District,2022,High Needs,97.0,86.0,88.7
Branford School District,2022,Non-High Needs,98.0,96.0,98.0
Bridgeport School District,2022,High Needs,1141.0,867.0,76.0
Bridgeport School District,2022,Non-High Needs,194.0,181.0,93.3
Bristol School District,2022,High Needs,345.0,302.0,87.5
Bristol School District,2022,Non-High Needs,223.0,216.0,96.9
Brookfield School District,2022,High Needs,90.0,84.0,93.3
Brookfield School District,2022,Non-High Needs,135.0,133.0,98.5
Canton School District,2022,High Needs,48.0,44.0,91.7
Canton School District,2022,Non-High Needs,69.0,67.0,97.1
Capital Preparatory Harbor School District,2022,High Needs,19.0,19.0,
Capital Preparatory Harbor School District,2022,Non-High Needs,10.0,10.0,
Capitol Region Education Council,2022,High Needs,343.0,343.0,100.0
Capitol Region Education Council,2022,Non-High Needs,127.0,127.0,100.0
Cheshire School District,2022,High Needs,114.0,104.0,91.2
Cheshire School District,2022,Non-High Needs,266.0,266.0,100.0
Clinton School District,2022,High Needs,61.0,56.0,91.8
Clinton School District,2022,Non-High Needs,67.0,66.0,98.5
Colchester School District,2022,High Needs,74.0,64.0,86.5
Colchester School District,2022,Non-High Needs,111.0,106.0,95.5
Common Ground High School District,2022,High Needs,37.0,32.0,86.5
Common Ground High School District,2022,Non-High Needs,13.0,13.0,
Connecticut Technical Education and Career System,2022,High Needs,2156.0,2073.0,96.2
Connecticut Technical Education and Career System,2022,Non-High Needs,462.0,446.0,96.5
Coventry School District,2022,High Needs,44.0,40.0,90.9
Coventry School District,2022,Non-High Needs,65.0,65.0,100.0
Cromwell School District,2022,High Needs,45.0,39.0,86.7
Cromwell School District,2022,Non-High Needs,79.0,79.0,100.0
Danbury School District,2022,High Needs,645.0,520.0,80.6
Danbury School District,2022,Non-High Needs,206.0,193.0,93.7
Darien School District,2022,High Needs,94.0,88.0,93.6
Darien School District,2022,Non-High Needs,265.0,265.0,100.0
Department of Mental Health and Addiction Services,2022,High Needs,,,
Derby School District,2022,High Needs,61.0,42.0,68.9
Derby School District,2022,Non-High Needs,19.0,18.0,
East Granby School District,2022,High Needs,27.0,26.0,96.3
East Granby School District,2022,Non-High Needs,37.0,36.0,97.3
East Haddam School District,2022,High Needs,26.0,23.0,88.5
East Haddam School District,2022,Non-High Needs,49.0,48.0,98.0
East Hampton School District,2022,High Needs,39.0,35.0,89.7
East Hampton School District,2022,Non-High Needs,98.0,97.0,99.0
East Hartford School District,2022,High Needs,379.0,337.0,88.9
East Hartford School District,2022,Non-High Needs,121.0,121.0,100.0
East Haven School District,2022,High Needs,164.0,124.0,75.6
East Haven School District,2022,Non-High Needs,64.0,61.0,95.3
East Lyme School District,2022,High Needs,88.0,76.0,86.4
East Lyme School District,2022,Non-High Needs,157.0,156.0,99.4
East Windsor School District,2022,High Needs,46.0,40.0,87.0
East Windsor School District,2022,Non-High Needs,29.0,29.0,100.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2022,High Needs,38.0,38.0,100.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2022,Non-High Needs,22.0,22.0,100.0
Ellington School District,2022,High Needs,57.0,52.0,91.2
Ellington School District,2022,Non-High Needs,149.0,149.0,100.0
Elm City College Preparatory School District,2022,High Needs,,,
Elm City College Preparatory School District,2022,Non-High Needs,,,
Enfield School District,2022,High Needs,183.0,160.0,87.4
Enfield School District,2022,Non-High Needs,168.0,162.0,96.4
Explorations District,2022,High Needs,27.0,24.0,88.9
Explorations District,2022,Non-High Needs,6.0,6.0,
Fairfield School District,2022,High Needs,246.0,226.0,91.9
Fairfield School District,2022,Non-High Needs,497.0,493.0,99.2
Farmington School District,2022,High Needs,118.0,112.0,94.9
Farmington School District,2022,Non-High Needs,223.0,223.0,100.0
Glastonbury School District,2022,High Needs,128.0,115.0,89.8
Glastonbury School District,2022,Non-High Needs,371.0,371.0,100.0
Goodwin University Educational Services (GUES),2022,High Needs,81.0,81.0,100.0
Goodwin University Educational Services (GUES),2022,Non-High Needs,20.0,20.0,100.0
Granby School District,2022,High Needs,46.0,45.0,97.8
Granby School District,2022,Non-High Needs,114.0,114.0,100.0
Great Oaks Charter School District,2022,High Needs,42.0,37.0,88.1
Great Oaks Charter School District,2022,Non-High Needs,8.0,6.0,
Greenwich School District,2022,High Needs,275.0,262.0,95.3
Greenwich School District,2022,Non-High Needs,414.0,414.0,100.0
Griswold School District,2022,High Needs,74.0,63.0,85.1
Griswold School District,2022,Non-High Needs,52.0,51.0,98.1
Groton School District,2022,High Needs,146.0,127.0,87.0
Groton School District,2022,Non-High Needs,117.0,114.0,97.4
Guilford School District,2022,High Needs,85.0,74.0,87.1
Guilford School District,2022,Non-High Needs,189.0,187.0,98.9
Hamden School District,2022,High Needs,285.0,247.0,86.7
Hamden School District,2022,Non-High Needs,147.0,144.0,98.0
Hartford School District,2022,High Needs,900.0,698.0,77.6
Hartford School District,2022,Non-High Needs,161.0,154.0,95.7
Highville Charter School District,2022,High Needs,,,
Highville Charter School District,2022,Non-High Needs,,,
Jumoke Academy District,2022,High Needs,7.0,7.0,
Killingly School District,2022,High Needs,109.0,85.0,78.0
Killingly School District,2022,Non-High Needs,68.0,68.0,100.0
Learn,2022,High Needs,36.0,36.0,100.0
Learn,2022,Non-High Needs,59.0,59.0,100.0
Lebanon School District,2022,High Needs,27.0,24.0,88.9
Lebanon School District,2022,Non-High Needs,50.0,50.0,100.0
Ledyard School District,2022,High Needs,84.0,79.0,94.0
Ledyard School District,2022,Non-High Needs,111.0,110.0,99.1
Litchfield School District,2022,High Needs,22.0,19.0,86.4
Litchfield School District,2022,Non-High Needs,38.0,38.0,100.0
Madison School District,2022,High Needs,36.0,34.0,94.4
Madison School District,2022,Non-High Needs,200.0,198.0,99.0
Manchester School District,2022,High Needs,334.0,291.0,87.1
Manchester School District,2022,Non-High Needs,139.0,138.0,99.3
Meriden School District,2022,High Needs,532.0,458.0,86.1
Meriden School District,2022,Non-High Needs,96.0,95.0,99.0
Middletown School District,2022,High Needs,189.0,178.0,94.2
Middletown School District,2022,Non-High Needs,161.0,160.0,99.4
Milford School District,2022,High Needs,174.0,154.0,88.5
Milford School District,2022,Non-High Needs,247.0,247.0,100.0
Monroe School District,2022,High Needs,63.0,61.0,96.8
Monroe School District,2022,Non-High Needs,230.0,230.0,100.0
Montville School District,2022,High Needs,83.0,76.0,91.6
Montville School District,2022,Non-High Needs,63.0,63.0,100.0
Naugatuck School District,2022,High Needs,218.0,194.0,89.0
Naugatuck School District,2022,Non-High Needs,113.0,109.0,96.5
New Britain School District,2022,High Needs,527.0,449.0,85.2
New Britain School District,2022,Non-High Needs,59.0,54.0,91.5
New Canaan School District,2022,High Needs,43.0,42.0,97.7
New Canaan School District,2022,Non-High Needs,240.0,240.0,100.0
New Fairfield School District,2022,High Needs,47.0,43.0,91.5
New Fairfield School District,2022,Non-High Needs,133.0,133.0,100.0
New Haven School District,2022,High Needs,1065.0,848.0,79.6
New Haven School District,2022,Non-High Needs,256.0,245.0,95.7
New London School District,2022,High Needs,225.0,182.0,80.9
New London School District,2022,Non-High Needs,17.0,17.0,
New Milford School District,2022,High Needs,151.0,114.0,75.5
New Milford School District,2022,Non-High Needs,174.0,170.0,97.7
Newington School District,2022,High Needs,133.0,124.0,93.2
Newington School District,2022,Non-High Needs,186.0,184.0,98.9
Newtown School District,2022,High Needs,109.0,101.0,92.7
Newtown School District,2022,Non-High Needs,254.0,253.0,99.6
North Branford School District,2022,High Needs,49.0,45.0,91.8
North Branford School District,2022,Non-High Needs,82.0,81.0,98.8
North Haven School District,2022,High Needs,111.0,96.0,86.5
North Haven School District,2022,Non-High Needs,165.0,163.0,98.8
North Stonington School District,2022,High Needs,22.0,22.0,100.0
North Stonington School District,2022,Non-High Needs,28.0,28.0,100.0
Norwalk School District,2022,High Needs,649.0,587.0,90.4
Norwalk School District,2022,Non-High Needs,309.0,306.0,99.0
Norwich Free Academy District,2022,High Needs,327.0,282.0,86.2
