District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2023,High Needs,46.0,42.0,91.3
Achievement First Bridgeport Academy District,2023,Non-High Needs,18.0,17.0,
Achievement First Hartford Academy District,2023,High Needs,58.0,54.0,93.1
Achievement First Hartford Academy District,2023,Non-High Needs,12.0,10.0,
Amistad Academy District,2023,High Needs,46.0,45.0,97.8
Amistad Academy District,2023,Non-High Needs,20.0,20.0,100.0
Ansonia School District,2023,High Needs,107.0,83.0,77.6
Ansonia School District,2023,Non-High Needs,32.0,30.0,93.8
Avon School District,2023,High Needs,52.0,44.0,84.6
Avon School District,2023,Non-High Needs,177.0,177.0,100.0
Berlin School District,2023,High Needs,83.0,72.0,86.7
Berlin School District,2023,Non-High Needs,161.0,160.0,99.4
Bethel School District,2023,High Needs,121.0,114.0,94.2
Bethel School District,2023,Non-High Needs,126.0,123.0,97.6
Bloomfield School District,2023,High Needs,108.0,96.0,88.9
Bloomfield School District,2023,Non-High Needs,47.0,47.0,100.0
Bolton School District,2023,High Needs,21.0,18.0,85.7
Bolton School District,2023,Non-High Needs,53.0,53.0,100.0
Branford School District,2023,High Needs,99.0,89.0,89.9
Branford School District,2023,Non-High Needs,109.0,106.0,97.2
Bridgeport School District,2023,High Needs,1188.0,907.0,76.3
Bridgeport School District,2023,Non-High Needs,158.0,139.0,88.0
Bristol School District,2023,High Needs,404.0,351.0,86.9
Bristol School District,2023,Non-High Needs,249.0,244.0,98.0
Brookfield School District,2023,High Needs,71.0,68.0,95.8
Brookfield School District,2023,Non-High Needs,141.0,139.0,98.6
Canton School District,2023,High Needs,54.0,50.0,92.6
Canton School District,2023,Non-High Needs,74.0,71.0,95.9
Capital Preparatory Harbor School District,2023,High Needs,27.0,27.0,100.0
Capital Preparatory Harbor School District,2023,Non-High Needs,8.0,8.0,
Capitol Region Education Council,2023,High Needs,386.0,356.0,92.2
Capitol Region Education Council,2023,Non-High Needs,108.0,107.0,99.1
Cheshire School District,2023,High Needs,96.0,88.0,91.7
Cheshire School District,2023,Non-High Needs,244.0,240.0,98.4
Clinton School District,2023,High Needs,68.0,63.0,92.6
Clinton School District,2023,Non-High Needs,94.0,94.0,100.0
Colchester School District,2023,High Needs,70.0,55.0,78.6
Colchester School District,2023,Non-High Needs,117.0,113.0,96.6
Common Ground High School District,2023,High Needs,49.0,38.0,77.6
Common Ground High School District,2023,Non-High Needs,6.0,6.0,
Connecticut Technical Education and Career System,2023,High Needs,2151.0,2072.0,96.3
Connecticut Technical Education and Career System,2023,Non-High Needs,464.0,456.0,98.3
Coventry School District,2023,High Needs,39.0,34.0,87.2
Coventry School District,2023,Non-High Needs,65.0,64.0,98.5
Cromwell School District,2023,High Needs,50.0,48.0,96.0
Cromwell School District,2023,Non-High Needs,99.0,99.0,100.0
Danbury School District,2023,High Needs,554.0,439.0,79.2
Danbury School District,2023,Non-High Needs,235.0,220.0,93.6
Darien School District,2023,High Needs,91.0,88.0,96.7
Darien School District,2023,Non-High Needs,249.0,249.0,100.0
Derby School District,2023,High Needs,74.0,57.0,77.0
Derby School District,2023,Non-High Needs,17.0,14.0,
East Granby School District,2023,High Needs,23.0,23.0,100.0
East Granby School District,2023,Non-High Needs,49.0,49.0,100.0
