District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2018,High Needs,30.0,28.0,93.3
Achievement First Hartford Academy District,2018,High Needs,34.0,34.0,100.0
Amistad Academy District,2018,High Needs,44.0,44.0,100.0
Ansonia School District,2018,High Needs,143.0,122.0,85.3
Ansonia School District,2018,Non-High Needs,28.0,27.0,96.4
Avon School District,2018,High Needs,55.0,50.0,90.9
Avon School District,2018,Non-High Needs,226.0,226.0,100.0
Berlin School District,2018,High Needs,69.0,63.0,91.3
Berlin School District,2018,Non-High Needs,146.0,144.0,98.6
Bethel School District,2018,High Needs,72.0,68.0,94.4
Bethel School District,2018,Non-High Needs,130.0,128.0,98.5
Bloomfield School District,2018,High Needs,121.0,105.0,86.8
Bloomfield School District,2018,Non-High Needs,54.0,52.0,96.3
Bolton School District,2018,High Needs,22.0,21.0,95.5
Bolton School District,2018,Non-High Needs,58.0,58.0,100.0
Branford School District,2018,High Needs,104.0,96.0,92.3
Branford School District,2018,Non-High Needs,121.0,117.0,96.7
Bridgeport School District,2018,High Needs,1423.0,1102.0,77.4
Bridgeport School District,2018,Non-High Needs,17.0,14.0,
Bristol School District,2018,High Needs,337.0,280.0,83.1
Bristol School District,2018,Non-High Needs,261.0,258.0,98.9
Brookfield School District,2018,High Needs,64.0,60.0,93.8
Brookfield School District,2018,Non-High Needs,148.0,145.0,98.0
Canton School District,2018,High Needs,33.0,28.0,84.8
Canton School District,2018,Non-High Needs,83.0,82.0,98.8
Capitol Region Education Council,2018,High Needs,388.0,377.0,97.2
Capitol Region Education Council,2018,Non-High Needs,146.0,142.0,97.3
Cheshire School District,2018,High Needs,91.0,84.0,92.3
Cheshire School District,2018,Non-High Needs,256.0,255.0,99.6
Clinton School District,2018,High Needs,47.0,34.0,72.3
Clinton School District,2018,Non-High Needs,86.0,85.0,98.8
Colchester School District,2018,High Needs,74.0,68.0,91.9
Colchester School District,2018,Non-High Needs,145.0,143.0,98.6
Common Ground High School District,2018,High Needs,26.0,25.0,96.2
Common Ground High School District,2018,Non-High Needs,11.0,11.0,
Connecticut Technical Education and Career System,2018,High Needs,1669.0,1636.0,98.0
Connecticut Technical Education and Career System,2018,Non-High Needs,733.0,719.0,98.1
Coventry School District,2018,High Needs,47.0,41.0,87.2
Coventry School District,2018,Non-High Needs,77.0,77.0,100.0
Cromwell School District,2018,High Needs,40.0,36.0,90.0
Cromwell School District,2018,Non-High Needs,116.0,115.0,99.1
Danbury School District,2018,High Needs,551.0,443.0,80.4
Danbury School District,2018,Non-High Needs,241.0,235.0,97.5
Darien School District,2018,High Needs,72.0,67.0,93.1
Darien School District,2018,Non-High Needs,269.0,269.0,100.0
Derby School District,2018,High Needs,64.0,48.0,75.0
Derby School District,2018,Non-High Needs,35.0,34.0,97.1
East Granby School District,2018,High Needs,9.0,8.0,
East Granby School District,2018,Non-High Needs,52.0,52.0,100.0
East Haddam School District,2018,High Needs,29.0,26.0,89.7
East Haddam School District,2018,Non-High Needs,53.0,53.0,100.0
East Hampton School District,2018,High Needs,35.0,31.0,88.6
East Hampton School District,2018,Non-High Needs,76.0,75.0,98.7
