District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Amistad Academy District,2014,High Needs,,,
Amistad Academy District,2014,Non-High Needs,,,
Ansonia School District,2014,High Needs,112.0,85.0,75.9
Ansonia School District,2014,Non-High Needs,44.0,40.0,90.9
Avon School District,2014,High Needs,44.0,40.0,90.9
Avon School District,2014,Non-High Needs,228.0,227.0,99.6
Berlin School District,2014,High Needs,62.0,56.0,90.3
Berlin School District,2014,Non-High Needs,173.0,171.0,98.8
Bethel School District,2014,High Needs,81.0,72.0,88.9
Bethel School District,2014,Non-High Needs,163.0,159.0,97.5
Bloomfield School District,2014,High Needs,122.0,112.0,91.8
Bloomfield School District,2014,Non-High Needs,49.0,46.0,93.9
Bolton School District,2014,High Needs,16.0,14.0,
Bolton School District,2014,Non-High Needs,85.0,85.0,100.0
Branford School District,2014,High Needs,110.0,94.0,85.5
Branford School District,2014,Non-High Needs,188.0,181.0,96.3
Bridgeport School District,2014,High Needs,,,
Bridgeport School District,2014,Non-High Needs,,,
Bristol School District,2014,High Needs,341.0,262.0,76.8
Bristol School District,2014,Non-High Needs,356.0,340.0,95.5
Brookfield School District,2014,High Needs,46.0,45.0,97.8
Brookfield School District,2014,Non-High Needs,186.0,186.0,100.0
Canton School District,2014,High Needs,24.0,20.0,83.3
Canton School District,2014,Non-High Needs,112.0,111.0,99.1
Capitol Region Education Council,2014,High Needs,223.0,182.0,81.6
Capitol Region Education Council,2014,Non-High Needs,120.0,111.0,92.5
Cheshire School District,2014,High Needs,91.0,80.0,87.9
Cheshire School District,2014,Non-High Needs,298.0,298.0,100.0
Clinton School District,2014,High Needs,28.0,25.0,89.3
Clinton School District,2014,Non-High Needs,102.0,99.0,97.1
Colchester School District,2014,High Needs,58.0,52.0,89.7
Colchester School District,2014,Non-High Needs,190.0,189.0,99.5
Common Ground High School District,2014,High Needs,22.0,19.0,86.4
Common Ground High School District,2014,Non-High Needs,7.0,7.0,
Connecticut Technical Education and Career System,2014,High Needs,1521.0,1459.0,95.9
Connecticut Technical Education and Career System,2014,Non-High Needs,897.0,876.0,97.7
Coventry School District,2014,High Needs,34.0,31.0,91.2
Coventry School District,2014,Non-High Needs,98.0,98.0,100.0
Cromwell School District,2014,High Needs,38.0,26.0,68.4
Cromwell School District,2014,Non-High Needs,97.0,97.0,100.0
Danbury School District,2014,High Needs,441.0,336.0,76.2
Danbury School District,2014,Non-High Needs,307.0,293.0,95.4
Darien School District,2014,High Needs,64.0,57.0,89.1
Darien School District,2014,Non-High Needs,272.0,270.0,99.3
Department of Mental Health and Addiction Services,2014,High Needs,,,
Derby School District,2014,High Needs,66.0,54.0,81.8
Derby School District,2014,Non-High Needs,36.0,34.0,94.4
East Granby School District,2014,High Needs,10.0,7.0,
East Granby School District,2014,Non-High Needs,55.0,54.0,98.2
East Haddam School District,2014,High Needs,34.0,28.0,82.4
East Haddam School District,2014,Non-High Needs,71.0,71.0,100.0
East Hampton School District,2014,High Needs,20.0,17.0,85.0
East Hampton School District,2014,Non-High Needs,101.0,101.0,100.0
East Hartford School District,2014,High Needs,397.0,326.0,82.1
East Hartford School District,2014,Non-High Needs,105.0,95.0,90.5
East Haven School District,2014,High Needs,152.0,114.0,75.0
East Haven School District,2014,Non-High Needs,105.0,100.0,95.2
East Lyme School District,2014,High Needs,64.0,53.0,82.8
East Lyme School District,2014,Non-High Needs,211.0,207.0,98.1
East Windsor School District,2014,High Needs,53.0,50.0,94.3
East Windsor School District,2014,Non-High Needs,56.0,52.0,92.9
Eastern Connecticut Regional Educational Service Center (EASTCONN),2014,High Needs,43.0,32.0,74.4
Eastern Connecticut Regional Educational Service Center (EASTCONN),2014,Non-High Needs,26.0,22.0,84.6
Ellington School District,2014,High Needs,41.0,37.0,90.2
Ellington School District,2014,Non-High Needs,153.0,149.0,97.4
Elm City College Preparatory School District,2014,High Needs,,,
Elm City College Preparatory School District,2014,Non-High Needs,,,
Enfield School District,2014,High Needs,175.0,135.0,77.1
Enfield School District,2014,Non-High Needs,251.0,241.0,96.0
Explorations District,2014,High Needs,,,
Explorations District,2014,Non-High Needs,,,
Fairfield School District,2014,High Needs,169.0,143.0,84.6
Fairfield School District,2014,Non-High Needs,558.0,551.0,98.7
Farmington School District,2014,High Needs,65.0,58.0,89.2
Farmington School District,2014,Non-High Needs,275.0,275.0,100.0
Glastonbury School District,2014,High Needs,124.0,107.0,86.3
Glastonbury School District,2014,Non-High Needs,460.0,459.0,99.8
Granby School District,2014,High Needs,37.0,32.0,86.5
Granby School District,2014,Non-High Needs,164.0,162.0,98.8
Greenwich School District,2014,High Needs,200.0,189.0,94.5
Greenwich School District,2014,Non-High Needs,467.0,462.0,98.9
Griswold School District,2014,High Needs,88.0,70.0,79.5
Griswold School District,2014,Non-High Needs,82.0,79.0,96.3
Groton School District,2014,High Needs,170.0,133.0,78.2
Groton School District,2014,Non-High Needs,147.0,138.0,93.9
Guilford School District,2014,High Needs,69.0,58.0,84.1
Guilford School District,2014,Non-High Needs,215.0,212.0,98.6
Hamden School District,2014,High Needs,228.0,192.0,84.2
Hamden School District,2014,Non-High Needs,229.0,226.0,98.7
Hartford School District,2014,High Needs,1239.0,941.0,75.9
Hartford School District,2014,Non-High Needs,111.0,107.0,96.4
Killingly School District,2014,High Needs,115.0,86.0,74.8
Killingly School District,2014,Non-High Needs,102.0,97.0,95.1
Learn,2014,High Needs,93.0,84.0,90.3
Learn,2014,Non-High Needs,60.0,60.0,100.0
Lebanon School District,2014,High Needs,27.0,24.0,88.9
Lebanon School District,2014,Non-High Needs,78.0,75.0,96.2
Ledyard School District,2014,High Needs,94.0,85.0,90.4
Ledyard School District,2014,Non-High Needs,150.0,148.0,98.7
Lisbon School District,2014,High Needs,,,
Lisbon School District,2014,Non-High Needs,,,
Litchfield School District,2014,High Needs,8.0,7.0,
Litchfield School District,2014,Non-High Needs,60.0,57.0,95.0
Madison School District,2014,High Needs,58.0,54.0,93.1
Madison School District,2014,Non-High Needs,262.0,260.0,99.2
Manchester School District,2014,High Needs,281.0,218.0,77.6
Manchester School District,2014,Non-High Needs,173.0,170.0,98.3
Meriden School District,2014,High Needs,439.0,332.0,75.6
Meriden School District,2014,Non-High Needs,167.0,156.0,93.4
