District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2016,High Needs,,,
Achievement First Bridgeport Academy District,2016,Non-High Needs,,,
Achievement First Hartford Academy District,2016,High Needs,36.0,34.0,94.4
Amistad Academy District,2016,High Needs,,,
Amistad Academy District,2016,Non-High Needs,,,
Ansonia School District,2016,High Needs,97.0,81.0,83.5
Ansonia School District,2016,Non-High Needs,43.0,41.0,95.3
Avon School District,2016,High Needs,42.0,38.0,90.5
Avon School District,2016,Non-High Needs,198.0,197.0,99.5
Berlin School District,2016,High Needs,61.0,53.0,86.9
Berlin School District,2016,Non-High Needs,188.0,187.0,99.5
Bethel School District,2016,High Needs,81.0,76.0,93.8
Bethel School District,2016,Non-High Needs,169.0,166.0,98.2
Bloomfield School District,2016,High Needs,95.0,85.0,89.5
Bloomfield School District,2016,Non-High Needs,61.0,60.0,98.4
Bolton School District,2016,High Needs,17.0,12.0,
Bolton School District,2016,Non-High Needs,68.0,67.0,98.5
Branford School District,2016,High Needs,100.0,91.0,91.0
Branford School District,2016,Non-High Needs,156.0,154.0,98.7
Bridgeport School District,2016,High Needs,1377.0,,
Bridgeport School District,2016,Non-High Needs,6.0,,
Bristol School District,2016,High Needs,370.0,299.0,80.8
Bristol School District,2016,Non-High Needs,288.0,279.0,96.9
Brookfield School District,2016,High Needs,50.0,44.0,88.0
Brookfield School District,2016,Non-High Needs,166.0,165.0,99.4
Canton School District,2016,High Needs,30.0,28.0,93.3
Canton School District,2016,Non-High Needs,75.0,74.0,98.7
Capital Preparatory Harbor School District,2016,High Needs,6.0,6.0,
Capitol Region Education Council,2016,High Needs,297.0,277.0,93.3
Capitol Region Education Council,2016,Non-High Needs,130.0,125.0,96.2
Cheshire School District,2016,High Needs,103.0,96.0,93.2
Cheshire School District,2016,Non-High Needs,285.0,283.0,99.3
Clinton School District,2016,High Needs,45.0,34.0,75.6
Clinton School District,2016,Non-High Needs,94.0,91.0,96.8
Colchester School District,2016,High Needs,65.0,55.0,84.6
Colchester School District,2016,Non-High Needs,152.0,149.0,98.0
Common Ground High School District,2016,High Needs,28.0,25.0,89.3
Common Ground High School District,2016,Non-High Needs,6.0,6.0,
Connecticut Technical Education and Career System,2016,High Needs,1630.0,1581.0,97.0
Connecticut Technical Education and Career System,2016,Non-High Needs,843.0,824.0,97.7
Coventry School District,2016,High Needs,44.0,37.0,84.1
Coventry School District,2016,Non-High Needs,86.0,83.0,96.5
Cromwell School District,2016,High Needs,43.0,38.0,88.4
Cromwell School District,2016,Non-High Needs,101.0,98.0,97.0
Danbury School District,2016,High Needs,455.0,354.0,77.8
Danbury School District,2016,Non-High Needs,305.0,290.0,95.1
Darien School District,2016,High Needs,61.0,57.0,93.4
Darien School District,2016,Non-High Needs,272.0,272.0,100.0
Department of Mental Health and Addiction Services,2016,High Needs,,,
Derby School District,2016,High Needs,73.0,58.0,79.5
Derby School District,2016,Non-High Needs,25.0,23.0,92.0
East Granby School District,2016,High Needs,19.0,18.0,
East Granby School District,2016,Non-High Needs,53.0,53.0,100.0
East Haddam School District,2016,High Needs,24.0,21.0,87.5
East Haddam School District,2016,Non-High Needs,56.0,56.0,100.0
East Hampton School District,2016,High Needs,32.0,30.0,93.8
East Hampton School District,2016,Non-High Needs,119.0,117.0,98.3
East Hartford School District,2016,High Needs,427.0,386.0,90.4
East Hartford School District,2016,Non-High Needs,118.0,116.0,98.3
East Haven School District,2016,High Needs,151.0,108.0,71.5
East Haven School District,2016,Non-High Needs,90.0,81.0,90.0
East Lyme School District,2016,High Needs,63.0,54.0,85.7
East Lyme School District,2016,Non-High Needs,195.0,193.0,99.0
East Windsor School District,2016,High Needs,37.0,31.0,83.8
East Windsor School District,2016,Non-High Needs,41.0,37.0,90.2
Eastern Connecticut Regional Educational Service Center (EASTCONN),2016,High Needs,45.0,35.0,77.8
Eastern Connecticut Regional Educational Service Center (EASTCONN),2016,Non-High Needs,30.0,26.0,86.7
Ellington School District,2016,High Needs,36.0,32.0,88.9
Ellington School District,2016,Non-High Needs,151.0,150.0,99.3
Elm City College Preparatory School District,2016,High Needs,,,
Elm City College Preparatory School District,2016,Non-High Needs,,,
Enfield School District,2016,High Needs,212.0,173.0,81.6
Enfield School District,2016,Non-High Needs,228.0,215.0,94.3
Explorations District,2016,High Needs,16.0,12.0,
Explorations District,2016,Non-High Needs,11.0,9.0,
Fairfield School District,2016,High Needs,201.0,179.0,89.1
Fairfield School District,2016,Non-High Needs,557.0,553.0,99.3
Farmington School District,2016,High Needs,81.0,74.0,91.4
Farmington School District,2016,Non-High Needs,255.0,253.0,99.2
Glastonbury School District,2016,High Needs,118.0,105.0,89.0
Glastonbury School District,2016,Non-High Needs,419.0,419.0,100.0
Granby School District,2016,High Needs,36.0,35.0,97.2
Granby School District,2016,Non-High Needs,158.0,157.0,99.4
Greenwich School District,2016,High Needs,194.0,181.0,93.3
Greenwich School District,2016,Non-High Needs,439.0,436.0,99.3
Griswold School District,2016,High Needs,72.0,55.0,76.4
Griswold School District,2016,Non-High Needs,78.0,77.0,98.7
Groton School District,2016,High Needs,147.0,120.0,81.6
Groton School District,2016,Non-High Needs,119.0,113.0,95.0
Guilford School District,2016,High Needs,72.0,62.0,86.1
Guilford School District,2016,Non-High Needs,178.0,177.0,99.4
Hamden School District,2016,High Needs,250.0,207.0,82.8
Hamden School District,2016,Non-High Needs,213.0,207.0,97.2
Hartford School District,2016,High Needs,1283.0,961.0,74.9
Hartford School District,2016,Non-High Needs,203.0,192.0,94.6
Jumoke Academy District,2016,High Needs,7.0,7.0,
Killingly School District,2016,High Needs,114.0,85.0,74.6
Killingly School District,2016,Non-High Needs,93.0,90.0,96.8
Learn,2016,High Needs,116.0,106.0,91.4
Learn,2016,Non-High Needs,77.0,77.0,100.0
Lebanon School District,2016,High Needs,27.0,24.0,88.9
Lebanon School District,2016,Non-High Needs,74.0,73.0,98.6
Ledyard School District,2016,High Needs,77.0,64.0,83.1
Ledyard School District,2016,Non-High Needs,153.0,148.0,96.7
Litchfield School District,2016,High Needs,22.0,20.0,90.9
Litchfield School District,2016,Non-High Needs,64.0,64.0,100.0
Madison School District,2016,High Needs,54.0,51.0,94.4
Madison School District,2016,Non-High Needs,247.0,246.0,99.6
Manchester School District,2016,High Needs,270.0,222.0,82.2
Manchester School District,2016,Non-High Needs,135.0,132.0,97.8
Meriden School District,2016,High Needs,468.0,328.0,70.1
Meriden School District,2016,Non-High Needs,141.0,137.0,97.2
Middletown School District,2016,High Needs,198.0,174.0,87.9
Middletown School District,2016,Non-High Needs,136.0,134.0,98.5
Milford School District,2016,High Needs,185.0,163.0,88.1
Milford School District,2016,Non-High Needs,298.0,294.0,98.7
Monroe School District,2016,High Needs,56.0,55.0,98.2
Monroe School District,2016,Non-High Needs,234.0,233.0,99.6
Montville School District,2016,High Needs,91.0,79.0,86.8
Montville School District,2016,Non-High Needs,88.0,87.0,98.9
Naugatuck School District,2016,High Needs,194.0,165.0,85.1
Naugatuck School District,2016,Non-High Needs,117.0,112.0,95.7
New Britain School District,2016,High Needs,569.0,429.0,75.4
