"Total Expenditures Used for Special Education, 2009-10"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
="Milford School District",9435887,4281411,4054126,517946,2616888,91791,4892,1239025,100565,34930,22395330
="Monroe School District",4422383,1240183,1207503,761173,873004,33000,17817,613670,63210,100,9249037
="Montville School District",3716660,1204441,1182360,230957,733020,112814,12716,1694,21604,1620,7238114
="Naugatuck School District",6881296,1793745,2825753,35778,1215474,33678,0,1127147,16991,116258,14196550
="New Britain School District",13528344,7897429,5659043,665936,9934401,363972,0,3473236,49489,24194,41757375
="New Canaan School District",6158955,3728103,2157091,1636329,2244153,37175,768,73885,112949,0,16156501
="New Fairfield School District",3499754,1098167,1275923,175367,780011,27334,810,398550,99259,6550,7366831
="New Hartford School District",722246,608804,396583,150686,104098,15538,0,89511,5685,647,2093798
="New Haven School District",22879972,3590788,8969251,3428216,13912205,11561,463811,4945486,73926,698727,59168531
="New London School District",4643838,1485266,1445097,1451446,2531553,67148,9680,1046808,9225,0,12695068
="New Milford School District",5540912,1883249,1794843,1233417,1991247,67603,0,961504,50267,1398,13531764
="Newington School District",3296253,313897,861334,2694442,2534505,224188,47659,0,147822,2165,10148218
="Newtown School District",4505388,2246165,1551349,438891,2251895,116849,100,1294378,171153,81,12659100
="Norfolk School District",56911,29577,10640,240499,6479,1002,0,11206,0,0,356314
="North Branford School District",2446181,705594,550755,251795,693418,67126,12954,386068,55634,927,5187086
="North Canaan School District",448564,118117,191788,38592,51188,4248,0,69249,4533,0,926279
="North Haven School District",3608351,555980,1006432,241166,2060679,31539,0,1007298,0,10738,8523830
="North Stonington School District",1097621,367717,608243,74436,274275,10860,0,68075,4401,3976,2523081
="Norwalk School District",13833132,4241195,5004414,2151631,5871314,65650,5325,2279168,0,0,33475471
="Norwich School District",3322491,1134625,1157182,3248199,7959877,13889,28057,2137031,2429,236001,19288880
="Old Saybrook School District",1740758,885615,418706,279942,954743,37820,0,330241,11214,884,4665109
="Orange School District",1632850,941319,638560,451814,472250,13963,0,232472,13816,1272,4411179
="Oxford School District",2021929,1244772,924266,430966,835752,31962,0,358980,23179,558,5872364
="Plainfield School District",2610313,1538564,784650,697407,1846185,32622,34392,779808,4553,150,8384230
="Plainville School District",2545587,1199616,709581,211552,2171229,38625,743,298850,1773,815,7178800
="Plymouth School District",1683679,523818,698429,208665,1409418,13606,0,641054,3638,2470,5191821
="Pomfret School District",587658,271549,171664,126812,1082188,9192,0,229197,3642,2542,2555975
="Portland School District",1386573,534569,631421,278627,356194,33961,0,165801,0,0,3387146
="Preston School District",551470,409674,246902,231536,1575138,5162,0,162097,403,30,3182412
="Putnam School District",1603455,791831,594768,198183,809640,27535,61,36495,0,479,4068912
="Redding School District",2041523,859152,589838,190169,147924,28064,0,267989,8974,1087,4139597
="Regional School District 01",674377,192551,295687,62913,575990,6925,0,109086,7389,0,1924918
="Regional School District 04",1272424,438354,389174,91772,787128,10132,218,199293,885,1232,3190612
="Regional School District 05",2462157,535313,629189,296154,1665068,5430,180,556746,21232,14129,6195713
="Regional School District 06",1218663,656312,389798,155576,406480,14482,0,260492,69796,185,3195374
="Regional School District 07",843940,284874,233806,1258283,673184,0,0,250073,0,725,3549903
="Regional School District 08",1770324,726036,468016,215775,1154140,4244,0,323879,3346,0,4671911
="Regional School District 09",829450,393595,261991,247902,1798759,7876,0,149418,14040,895,3705362
="Regional School District 10",2748093,922186,844733,563556,1390670,33571,22896,644666,250417,39328,7460116
="Regional School District 11",282977,115058,92478,106095,789089,2135,0,181856,3606,0,1573294
="Regional School District 12",1728408,785718,490011,311696,514513,33798,0,301613,124881,300,4291137
="Regional School District 13",2402745,1507890,1038239,364036,925053,41473,27159,332455,68896,0,6724481
="Regional School District 14",3129905,989491,762004,359801,1987461,57629,6066,443921,6643,495,7743416
="Regional School District 15",4995951,2535580,1402839,891334,1407339,6772,11482,1050285,258857,526392,13118459
="Regional School District 16",2120713,1172397,876987,721382,973700,57103,0,640788,18369,0,6610895
="Regional School District 17",2489201,1030794,712891,385687,932978,17959,5365,318453,138722,6208,6049305
="Regional School District 18",2345091,1108853,671230,300504,1167061,48284,0,442788,75197,3754,6176439
="Regional School District 19",1282883,215748,265173,1124359,888743,15376,4541,333423,41712,183,4174498
="Ridgefield School District",5318339,2132234,2108707,1041712,2920796,58127,0,816324,18137,13266,14443066
="Rocky Hill School District",2490061,1047926,1136230,169660,1087035,19213,70,370580,68289,413,6401434
="Salem School District",515185,136465,122162,358893,569919,1477,55413,197654,0,0,1963727
="Salisbury School District",413597,111477,171553,52718,80000,4009,0,64334,4278,0,901966
="Scotland School District",321723,205445,62384,27440,0,10405,5778,0,3872,909,638567
="Seymour School District",2341174,631552,724927,397776,592840,50123,4589,494289,14000,0,5261515
="Sharon School District",239887,81655,109821,22379,11125,2463,0,38804,2629,0,508763
="Shelton School District",6389615,1889342,1982911,523313,1905697,46693,2645,869447,18998,2231,13637419
="Sherman School District",868474,386775,209909,53013,356244,14018,117,76701,1520,4054,1970825
="Simsbury School District",4857220,2758763,1252420,310198,2125929,120870,0,824861,214676,3964,12468901
="Somers School District",1494551,669742,472755,170909,968499,11728,37250,428351,25472,399,4280080
="South Windsor School District",3662973,2338939,1547686,127987,3032298,15325,57032,1283841,62561,3932,12177731
="Southington School District",6615263,3561327,3699374,1788007,3662335,184170,84153,1716486,9648,5532,21333775
="Sprague School District",432185,194603,181030,146157,367901,7995,1950,26280,0,1419,1372154
="Stafford School District",2269627,737714,731150,319160,1471603,14976,15618,501359,2161,1444,6064812
="Stamford School District",20919333,5810565,6498458,2898288,10127823,146960,209580,4023697,48970,20272,50708574
="Sterling School District",575536,478366,265484,157982,634000,6703,7080,880,2864,107,2143540
="Stonington School District",2904572,1566618,1114621,168924,1520759,21289,0,630854,28354,766,7960561
="Stratford School District",7809695,1810283,2841705,2695992,5007154,170017,17907,1379797,14826,43064,21833222
="Suffield School District",2217108,1016190,617273,236044,1746958,159801,0,282599,8646,1467,6287242
="Thomaston School District",1153515,355904,436081,151784,929245,16255,794,450124,1930,6860,3510857
="Thompson School District",848546,480127,399300,24340,1510285,9066,0,101515,3786,775,3383445
="Tolland School District",2123397,1024150,801358,495811,1940442,25043,4981,375876,51874,4404,6870801
="Torrington School District",5053392,2243843,2368322,764243,5974637,57509,0,1760729,142012,7576,18484188
="Trumbull School District",7831911,2731607,2205408,488210,2734924,245887,0,1613534,161883,945,18022456
="Union School District",33218,14563,16192,71325,57448,948,0,0,0,1712,195406
="Vernon School District",4045772,1485498,1000472,659916,2571087,53408,12000,1239222,119211,1046,11199749
="Voluntown School District",374350,340495,101982,55467,523224,15393,34557,2000,11369,270,1468085
="Wallingford School District",8793669,2826054,1553822,1328781,4643577,33270,89261,2384786,21034,214,21674468
="Waterbury School District",20087984,10374634,14701848,3615884,6577700,179137,0,4748198,90547,2950,61308028
="Waterford School District",3501805,1539501,1388370,545410,2098473,70646,0,944355,16173,29837,10156137
="Watertown School District",3192918,1203727,452316,422186,789991,235332,4604,554655,28482,833,6885142
="West Hartford School District",12431580,3472052,5169118,434541,4641120,225337,143256,2463531,0,1377,28981912
="West Haven School District",7522222,3748865,2504834,674912,6051058,155815,0,1212426,5177,1455,21919580
="Westbrook School District",841954,269879,292765,153691,228198,28848,7787,163667,42823,0,2029612
="Weston School District",3349724,1504774,1398767,1327030,1637294,41687,0,370406,6927,17338,9654325
="Westport School District",8088876,3527592,2500777,697989,3007751,138821,26718,972064,111875,1570,19091222
="Wethersfield School District",4308528,1807723,1346992,373050,2762061,45321,0,1104385,15367,800,11764227
="Willington School District",892313,165436,252888,468169,200639,12484,7724,112767,7692,6502,2127087
="Wilton School District",5348536,3276941,2159539,1707792,1970594,52739,0,550031,17780,0,15089087
="Winchester School District",981507,909573,422851,156459,2259217,63980,0,494889,31302,0,5321710
="Windham School District",5777602,1855132,2166179,692992,2285251,32126,244497,817060,428,150,13878482
="Windsor Locks School District",2337265,1097399,464267,79872,982498,22016,0,476977,27285,1828,5489407
="Windsor School District",5191661,2045012,1787656,347637,4136290,101886,0,1193703,15031,720,14819596
="Wolcott School District",2301918,746503,606186,996505,777929,31537,0,401553,1441,8591,5875205
="Woodbridge School District",1138745,349190,448901,204098,218798,8613,3850,132068,0,34728,2547097
="Woodstock School District",844540,737481,264460,216424,727160,8740,12260,99708,1604,3028,2915899

