"Total Expenditures Used for Special Education, 2006-07"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",237436,149641,40381,87138,1780,6410,1242,30030,0,0,554058
="Ansonia School District",1972664,666612,459850,464595,2410424,28844,8590,510364,12046,312,6542356
="Ashford School District",728933,343447,274479,186797,544095,10442,0,185159,4741,494,2278587
="Avon School District",2740436,1323267,873776,343705,1200600,31996,0,273145,21207,655,6819482
="Barkhamsted School District",51195,1050,15335,538121,0,630,0,24551,1308,0,632190
="Berlin School District",3254077,1325994,670308,265525,870773,36589,0,359255,46813,282,6830218
="Bethany School District",540343,272657,113132,205820,58610,7660,2252,51628,7393,630,1262154
="Bethel School District",3445047,1452749,935285,161279,1145982,45155,1216,614315,2177,1540,7816899
="Bloomfield School District",2784396,953105,671657,53553,2258457,29818,0,526745,18431,1271,7298797
="Bolton School District",664939,418247,337570,386750,355583,5594,0,126363,8587,4016,2316461
="Bozrah School District",338043,93954,54607,53241,333272,1929,0,55284,279,0,933548
="Branford School District",3184781,1218894,933017,261346,2226113,26423,0,532133,42244,6029,8440236
="Bridgeport School District",19830570,6347891,4836286,1273251,14084587,190213,227631,4452796,0,0,51250223
="Bristol School District",7780436,2458764,1975325,488046,3720025,96667,41611,2414196,20689,2586,19033760
="Brookfield School District",2182397,1134688,804949,304959,501252,27183,0,154556,16318,0,5126302
="Brooklyn School District",701346,364277,308970,45455,917426,4003,2665,188316,718,120,2533296
="Canaan School District",109059,35274,40717,15179,57170,488,0,13645,145,0,271677
="Canterbury School District",712800,269218,221098,137792,827370,7152,3484,133366,6462,518,2321721
="Canton School District",1573399,619422,661200,207415,601338,29837,0,220876,5621,1039,3920147
="Chaplin School District",266121,56980,83037,58191,0,4795,737,0,600,361,470822
="Cheshire School District",5494250,2556530,1469278,666616,1220870,98891,66386,449882,28090,1802,12156271
="Chester School District",422213,164058,152037,32651,39460,5296,670,18830,651,307,836173
="Clinton School District",2479460,640899,678792,223991,825793,28348,0,628363,11614,2153,5536658
="Colchester School District",3042650,1048061,894989,163515,1572545,49196,0,743987,19284,0,7544945
="Colebrook School District",49097,3603,30971,146751,51410,182,0,15686,0,29945,327645
="Columbia School District",692751,343489,265180,123178,561290,11025,0,140557,6614,42,2144126
="Cornwall School District",143282,58725,63490,14532,275,3585,0,18060,1399,0,303348
="Coventry School District",1787644,723038,584930,250334,598625,22233,18405,333144,9720,4745,4339550
="Cromwell School District",1467824,684027,499899,41202,483098,18749,0,183120,13968,464,3396122
="Danbury School District",10321860,3263443,1927169,754488,1675027,66075,6331,1747061,44872,0,19823652
="Darien School District",5679091,2904473,1525055,607141,981038,162826,1003,661520,3837,1009,12526993
="Deep River School District",484412,195565,109269,136048,6466,6491,0,21798,2215,407,964789
="Derby School District",1321986,434891,389644,99071,1208073,27702,0,212825,6698,0,3710502
="East Granby School District",757466,500725,279149,177333,343309,14860,2547,145184,10034,46,2230653
="East Haddam School District",1320368,313403,353906,239457,853121,24518,0,219535,353,0,3324661
="East Hampton School District",1958859,697255,471439,486169,1415503,25721,0,742648,8469,30,5816017
="East Hartford School District",7321483,3461935,1980731,266425,2612508,82047,0,1709215,1607,929,17436880
="East Haven School District",2415951,632961,655876,102275,3830367,21458,0,780607,23493,1509,8464497
="East Lyme School District",2538122,2079870,779297,307024,1896709,49254,0,462057,17780,619,8130732
="East Windsor School District",1120996,521855,280488,28439,1425342,5836,0,468602,382,1439,3855484
="Eastford School District",146639,90782,35291,72147,273171,4193,173,56020,3703,10,683869
="Easton School District",1039046,509427,395034,343375,250206,12779,0,174811,14568,0,2745293
="Ellington School District",2174653,772681,870976,355475,629552,32514,0,271831,13530,1615,5122827
="Enfield School District",6300831,1515942,1648789,341530,1516774,80461,26023,1107770,30882,0,12569002
="Essex School District",673170,330045,230048,102524,9466,8969,1261,33336,5286,763,1397815
="Fairfield School District",12318846,3322512,4488825,2992725,2326398,122292,29009,1565127,25736,527,27206959
="Farmington School District",2942174,1464454,834667,255039,1541746,27259,0,408346,12358,1563,7504002
="Franklin School District",332570,31937,47200,29650,304621,11934,0,73085,0,0,830997
="Glastonbury School District",5744332,2497477,1032805,582932,3787716,83901,120772,110570,30605,230,13991426
="Granby School District",1632554,929409,511597,199531,433751,55978,0,229043,3367,3529,4003580
