"Total Expenditures Used for Special Education, 2008-09"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",240959,138949,57504,62547,72469,5202,2484,16953,598,0,597665
="Ansonia School District",2082437,815839,456436,184099,1935880,20249,37243,602809,12816,215,6155828
="Ashford School District",765514,353113,245707,352302,365356,11986,0,202530,4504,522,2301534
="Avon School District",3563542,1643331,1490929,238661,1527924,42580,4674,336936,13383,805,8868322
="Barkhamsted School District",45280,900,5431,552504,31251,2384,0,48971,8297,0,695018
="Berlin School District",3850643,1334039,851697,274832,1115739,36667,0,480710,70902,410,8016139
="Bethany School District",615282,288129,143435,182462,155217,9701,479,96284,4612,1220,1497981
="Bethel School District",3540024,1654269,1098420,108671,1465501,65374,1060,901199,39003,1259,8888181
="Bloomfield School District",2924617,961005,790583,47821,2074799,44154,0,648696,25825,1216,7519831
="Bolton School District",672158,591740,427518,329595,485989,9612,0,189570,24331,8527,2743047
="Bozrah School District",340538,108428,50073,50960,734417,740,0,128219,2800,0,1416600
="Branford School District",3495053,1096046,942994,266396,2691301,22011,0,698806,6500,6977,9237535
="Bridgeport School District",19830352,6836181,5717112,1397894,15111484,133480,399357,4389558,39610,0,53868037
="Bristol School District",8925407,2561809,2317985,571389,4471502,68858,29100,2814672,24596,3598,21793157
="Brookfield School District",2451578,1078956,615944,351808,1364034,27641,0,233882,8077,19536,6167957
="Brooklyn School District",682197,449845,360425,77443,864769,13930,2812,91747,4201,165,2547534
="Canaan School District",115864,40549,43221,23369,81756,1096,0,15418,1460,0,322733
="Canterbury School District",564512,278709,232509,212031,972818,8802,2147,117213,12374,500,2403007
="Canton School District",1636626,697000,598408,233421,869758,29237,1119,309516,11351,2046,4389644
="Chaplin School District",283465,53134,82548,43844,4692,4120,832,794,1053,510,474992
="Cheshire School District",5840695,2845599,1687488,857007,1465226,83267,86308,670466,38380,2292,13684270
="Chester School District",451836,212810,172067,32988,26169,8460,912,21908,761,0,927911
="Clinton School District",2813428,814502,628717,320595,971459,29386,0,583252,5801,1718,6186170
="Colchester School District",3364591,1149326,868971,190189,1370861,10762,0,761470,20077,0,7742167
="Colebrook School District",63100,7742,18530,114732,90827,224,0,48540,0,31622,375406
="Columbia School District",795181,469319,315585,152862,611005,6858,320,189495,14353,0,2556199
="Cornwall School District",153013,57399,61622,23182,103081,3896,50,19692,1865,0,423800
="Coventry School District",1930167,820074,596606,312210,1256370,39606,44149,536668,9980,2476,5553690
="Cromwell School District",1303718,789119,556603,69735,756104,20059,2027,178525,1282,12531,3694548
="Danbury School District",11290122,3763355,2197064,803661,2230772,69077,7195,2262862,34166,0,22668342
="Darien School District",7763896,2990437,1974687,1944026,1646948,72186,359,869107,14970,0,17294440
="Deep River School District",466538,202601,183531,83904,127405,5016,81,92306,788,0,1164403
="Derby School District",1053223,577456,482114,71180,1558886,4341,3769,220273,17289,-928,3987603
="East Granby School District",944210,426620,311392,166032,332102,10700,0,165890,4054,124,2372042
="East Haddam School District",1346438,382264,402743,260674,1342367,29946,0,295792,709,856,4061789
="East Hampton School District",2495807,1097554,877338,342813,779363,38240,8943,550278,8746,326,6211551
="East Hartford School District",8038159,4015256,1880114,503824,2886735,77501,0,1781215,1309,0,19184113
="East Haven School District",3014905,750208,1126576,193917,4999367,28370,185062,916694,13357,797,11231395
="East Lyme School District",2907799,2240286,683641,508177,2055000,45930,0,683418,13597,3848,9141696
="East Windsor School District",1250823,630414,388771,37574,1399429,7934,0,485926,1161,679,4202711
