"Total Expenditures Used for Special Education, 2015-16"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",311238,169727,174935,45625,78564,13146,0,22065,500,0,815800
="Ansonia School District",2181561,769375,497668,1306579,4512942,27304,350,1453766,3683,0,10758531
="Ashford School District",587256,363117,243431,163724,316391,7495,22206,75266,0,715,1779601
="Avon School District",3979202,1698266,1468224,356429,2857638,32035,369,757692,18171,483,11187764
="Barkhamsted School District",61684,18596,24321,668188,155256,1031,0,32736,702,0,962514
="Berlin School District",4107266,1631252,707003,279261,1336309,44935,0,820978,1862,555,8929421
="Bethany School District",782586,288975,178380,195443,36859,65200,0,61359,93834,1285,1710507
="Bethel School District",4226221,1925381,1892040,328342,1131054,46693,168,891162,23251,1499,10479076
="Bloomfield School District",2448179,1194266,1085335,108183,2221065,19542,0,552448,3079,851,7635339
="Bolton School District",918130,571386,497169,132324,458674,29011,0,160273,1367,185,2768519
="Bozrah School District",443265,189448,41316,53997,506275,2938,0,96604,7429,40,1342708
="Branford School District",4073494,1570422,1817914,390772,2679996,15031,0,785274,11015,688,11360807
="Bridgeport School District",23406981,11655512,9609598,2454448,22615270,92998,0,10692741,343,0,80541809
="Bristol School District",8686750,3045415,3146802,1269894,7092082,76934,0,4735466,69742,1598,28132912
="Brookfield School District",3156213,1591256,1365571,898227,1036190,65918,934,391562,6972,1334,8515426
="Brooklyn School District",883093,562920,380278,344392,1682542,16412,0,345250,7825,5878,4228731
="Canaan School District",148364,78753,72012,19866,20637,1874,0,21113,427,0,363046
="Canterbury School District",646645,577885,224103,535231,756537,11946,1528,4893,19266,233,2778267
="Canton School District",2026355,794603,733960,287891,701197,18939,0,448602,2438,3690,5018533
="Chaplin School District",311389,134199,120519,76426,40395,2385,0,0,275,430,686018
="Cheshire School District",6741388,3337975,2300970,788120,2327685,92713,177739,823228,10299,1313,16731765
="Chester School District",465432,220751,190688,31909,13877,7059,1406,37833,0,35,968990
="Clinton School District",3147624,1149417,1354560,268377,873787,44270,0,614651,0,0,7465580
="Colchester School District",3641994,1415009,1301576,202420,2260568,30038,0,971150,0,0,9834307
="Colebrook School District",65854,19450,3794,138386,65447,1150,0,41184,0,26255,361520
="Columbia School District",884852,410440,285596,97175,1647352,11243,75,361231,307,314,3698585
="Cornwall School District",174662,83734,88826,16280,20838,2212,0,24590,497,37,411676
="Coventry School District",2408080,1070983,633232,330016,1216341,18343,22336,496518,1710,6129,6216549
="Cromwell School District",1854681,1101424,536836,132547,1789663,21978,0,629809,1466,0,6069744
="Danbury School District",12121547,4733854,3449214,1034234,3167458,50422,50759,2738921,61061,0,27521074
="Darien School District",12274876,3203975,3802854,2496572,6324408,88280,546,1328712,58197,0,29745638
