"Total Expenditures Used for Special Education, 2012-13"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",277982,125422,71301,97883,216242,5647,2105,61838,696,0,859355
="Ansonia School District",1944093,1129956,518357,114561,2965910,18489,350,923319,9239,30,7635834
="Ashford School District",617428,325168,196011,149223,207689,9041,24879,76878,0,632,1606949
="Avon School District",3422113,1973653,1254283,875707,1861334,34538,1469,555054,1625,860,9984156
="Barkhamsted School District",53978,37904,26609,570549,50163,768,0,29415,279,0,769665
="Berlin School District",3793921,1437968,870551,410117,1405967,31893,0,635918,3478,555,8590368
="Bethany School District",728117,351367,127207,117220,85985,12846,0,116648,1863,852,1543553
="Bethel School District",3829160,1970469,1644195,239357,1205073,46825,168,755932,83346,1621,9786611
="Bloomfield School District",2677650,853858,929431,37582,1080705,12903,0,324296,2137,835,5921907
="Bolton School District",843892,614767,499971,91085,678852,3879,0,330361,0,360,3079197
="Bozrah School District",419752,184549,59404,80665,534221,1296,0,115570,7388,0,1403337
="Branford School District",3693540,1530221,1518610,311636,2899489,76831,0,819380,11424,750,10878718
="Bridgeport School District",20996771,10153879,9213821,1218302,15905846,300824,0,7527168,11253,0,65338582
="Bristol School District",8282749,2674045,2986677,619192,6206019,54275,0,3697582,87032,2966,24613205
="Brookfield School District",2774798,1241994,932322,307890,625300,30497,0,134095,12136,0,6059032
="Brooklyn School District",821671,490231,370725,128583,1352459,6739,756,251632,694,472,3424962
="Canaan School District",129089,43924,55729,16607,0,1795,0,19941,458,0,267543
="Canterbury School District",635668,394149,245105,410435,1015518,3267,7706,161569,16394,225,2890857
="Canton School District",1801138,704122,799652,278389,828867,30831,0,560537,723,3855,5008114
="Chaplin School District",284474,79712,88946,35700,9281,3333,0,2266,0,475,504187
="Cheshire School District",6398439,2878740,1734839,769813,2151991,90257,75598,810863,7265,2239,15077994
="Chester School District",440244,212638,191142,20641,68442,6594,1426,46417,0,0,987544
="Clinton School District",2948695,911016,825720,395598,1116050,40841,0,614112,0,445,6866103
