"Total Expenditures Used for Special Education, 2007-08"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",225291,120962,41592,75765,1663,2782,892,9581,0,0,478528
="Ansonia School District",2311714,942446,657897,229260,2183562,9215,67327,759485,4474,0,7169740
="Ashford School District",737606,335908,292344,171176,534395,9108,0,184399,5927,596,2271459
="Avon School District",2875325,1352462,1421217,278218,1374466,26796,10460,288622,0,1148,7632793
="Barkhamsted School District",42191,1015,2134,562998,0,3297,0,43770,731,0,656136
="Berlin School District",3509492,1388434,667902,266009,1014001,38614,0,350563,36848,390,7273030
="Bethany School District",552924,294973,120252,172170,82573,11512,579,72927,5128,970,1316531
="Bethel School District",3578017,1638267,1084407,100520,1347049,57579,2716,783343,0,1740,8610052
="Bloomfield School District",3032040,827776,769962,95454,2036351,39259,0,511578,9791,1766,7324327
="Bolton School District",627583,527458,356109,351690,442998,13351,0,147207,12400,2176,2487165
="Bozrah School District",310844,104007,49933,56602,502689,1758,0,63049,267,0,1093322
="Branford School District",3410728,1172997,1001474,257413,2399779,41552,0,581963,7620,5366,8884470
="Bridgeport School District",20180911,6660031,5108700,1307576,14737281,181755,185179,4405331,34400,0,52806344
="Bristol School District",8329183,2508416,2076052,728023,4168309,89216,47229,2734529,52794,3299,20747516
="Brookfield School District",2065983,1136535,911000,375549,699895,25432,0,222021,6694,807,5443916
="Brooklyn School District",695918,401026,344998,52585,1003595,8558,2659,120511,3864,1125,2634839
="Canaan School District",112736,31120,41679,18912,11940,726,0,17608,63,0,234784
="Canterbury School District",563969,257339,225502,229541,851587,11178,2644,135192,29941,1203,2311415
="Canton School District",1689165,674864,634587,235832,798375,38755,1572,293187,7512,1149,4375659
="Chaplin School District",276325,61129,81099,36882,4420,3625,352,0,3209,502,467543
="Cheshire School District",5707472,2662413,1511056,849023,1315668,90592,72536,540671,53962,2597,12916187
="Chester School District",444900,207025,170741,31440,47981,10394,580,24626,1010,34,938731
="Clinton School District",2691558,702492,709013,66162,936224,32640,0,628556,2158,1330,5785075
="Colchester School District",3166175,1135624,917915,195234,1638680,25487,0,730849,4937,0,7820848
="Colebrook School District",54987,3641,17149,143871,103002,201,0,19602,0,30342,373614
="Columbia School District",821101,347964,336084,137001,593867,13561,0,159000,2984,1000,2412562
="Cornwall School District",145532,46025,59578,18604,0,3952,118,22490,346,0,296645
="Coventry School District",1902905,764166,625614,231795,863543,19253,18079,435098,6822,4201,4876017
="Cromwell School District",1281572,718698,509645,68919,925624,0,5858,207513,0,593,3729259
="Danbury School District",10792163,3465432,1977953,980319,2387096,85362,6461,1909398,52067,0,21707332
="Darien School District",6548931,2661231,1599982,1514698,1274102,119969,402,735485,17579,0,14472379
="Deep River School District",478327,180149,182615,51101,93489,6136,82,67377,450,80,1063336
="Derby School District",1304975,561193,424355,75539,1301714,27691,1533,221200,1677,310,3920187
="East Granby School District",839265,467827,248506,171628,382098,17891,0,143603,5955,314,2277087
="East Haddam School District",1317414,391373,385819,268673,1364269,26630,0,330075,362,740,4085355
="East Hampton School District",2300673,750673,691972,306038,1298458,37507,0,647573,10835,30,6049436
="East Hartford School District",7392064,3465425,1865496,381477,2343388,92855,0,1615661,2276,0,17158642
="East Haven School District",2372909,1063917,827635,164805,3755971,16024,41005,765319,0,1063,9011499
="East Lyme School District",2689959,2124504,770637,606225,2383813,41236,0,582054,24520,499,9223447
="East Windsor School District",1151905,535531,351854,52904,1320930,6299,0,497218,5601,1799,3926122
="Eastford School District",142430,88333,45168,73947,157288,4480,0,38295,2729,1250,555672
="Easton School District",1150033,571869,408723,363647,269831,14151,0,209624,7423,400,2998453
="Ellington School District",2386003,802631,887032,344754,1095634,34694,0,282980,44724,1982,5880434
="Enfield School District",6452579,1783084,1698329,507822,1691319,66765,26023,1206981,29190,0,13462092
="Essex School District",662360,344713,252368,99208,6444,10833,1153,40080,4811,360,1426877
="Fairfield School District",13613456,3831460,5423684,3088123,2883043,106472,58163,1745786,76367,185,30841882
="Farmington School District",3086514,1485976,826501,189621,2310157,19100,0,423847,18924,2478,8378100
="Franklin School District",292129,34224,42505,32063,233401,18139,0,26710,0,0,679171
="Glastonbury School District",6202185,2663767,1130271,498129,3626158,80262,121514,128324,21926,610,14473146
="Granby School District",1816370,995550,517120,208146,485855,48844,2481,231309,0,0,4309667
="Greenwich School District",15040570,5339601,4789297,1551020,3002250,171756,29968,1647264,114308,26658,31740869
="Griswold School District",2819016,888516,413368,369181,529757,22491,42560,387478,8981,3375,5530477
="Groton School District",6520834,2062296,1602786,1226340,2329622,73234,0,1276065,20104,645,15195682
="Guilford School District",3517645,1680265,1645491,478025,2235830,32533,0,1206548,13070,0,10809407
="Hamden School District",7545021,2173201,3169253,415080,8126730,24099,112,1897144,3981,25,23354646
="Hampton School District",85449,80583,53787,84771,0,6714,0,14025,815,93,326237
="Hartford School District",25977085,8629640,10182952,855770,22768320,75082,1030,12579400,4680,196338,81322293
="Hartland School District",70390,121289,55655,341531,153167,2442,0,37671,0,0,782145
="Hebron School District",1007835,581465,337948,247568,92094,5877,0,120590,3415,0,2411700
="Kent School District",301377,124593,129003,36546,69468,6121,0,47072,168,0,714348
="Killingly School District",2805343,1272135,1184168,193422,2115670,45516,23527,87743,55635,1080,7866458
="Lebanon School District",1169151,401631,513010,282708,786919,25816,8809,268674,21355,960,3479033
="Ledyard School District",3659812,1092491,880923,330312,1343270,224939,0,642275,6794,0,8191515
="Lisbon School District",790543,152673,100848,84583,629919,6637,0,125149,0,1750,1893004
="Litchfield School District",1179681,460719,577567,200568,512671,11372,0,210820,11144,1403,3167606
="Madison School District",2825101,1153948,784908,312901,1784393,76588,0,720662,12708,955,7672164
="Manchester School District",8092677,3889907,4417416,492539,5512597,255196,73494,1704020,16954,5176,24459976
="Mansfield School District",1521346,932595,497160,318650,304730,26167,805,221262,556,666,3845810
="Marlborough School District",654128,168060,142929,67262,219942,10113,6250,114995,3836,596,1389904
