"Total Expenditures Used for Special Education, 2011-12"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",270734,140683,57577,101134,113980,5669,6104,20462,700,0,717043
="Ansonia School District",1969497,1142636,499978,208344,2781509,35423,495,982257,40793,185,7693356
="Ashford School District",646145,394881,305244,221832,184918,17113,0,107622,35759,672,1916132
="Avon School District",3419073,1843481,1682375,407252,2028219,41010,2787,534641,3502,1187,9984054
="Barkhamsted School District",50746,48100,23503,548913,70796,1072,0,22512,55,0,765697
="Berlin School District",3733644,1278352,812594,397796,1559165,33873,0,612584,59369,400,8487777
="Bethany School District",709995,360692,109575,127934,288315,8241,38,69367,8022,598,1686146
="Bethel School District",3798570,1831144,1495214,203404,1358454,36835,192,737125,80576,1663,9553193
="Bloomfield School District",2882305,841931,851418,50632,1446617,15090,0,391702,8246,1562,6492067
="Bolton School District",795571,633354,524845,120168,587880,22215,0,250792,0,663,2940058
="Bozrah School District",404142,159649,63956,83942,578804,2023,0,117302,4444,0,1414828
="Branford School District",3731086,1466511,1459488,347647,2760691,51183,0,732981,14584,8071,10594459
="Bridgeport School District",20907958,9151849,9019979,1138153,18274379,5961,170435,6223025,29522,0,64988829
="Bristol School District",8440866,2681244,3439784,819779,6109538,56005,0,3156545,64181,2719,24777380
="Brookfield School District",2785858,882473,988824,415367,699704,31523,0,149739,1703,79,5957219
="Brooklyn School District",710033,412469,154575,137154,1151931,8464,0,229928,5695,622,2810871
="Canaan School District",130312,40365,54559,15745,0,1994,0,21442,300,0,264717
="Canterbury School District",614118,372566,268117,401482,870643,6810,2157,209005,9388,770,2756042
="Canton School District",1827394,761931,616062,228707,1042494,24366,0,385058,27379,3721,4917112
="Chaplin School District",258769,83956,89025,33194,1672,3357,0,3150,5021,686,478830
="Cheshire School District",6369773,2692030,1842415,730416,1940195,98010,78067,895013,7839,2997,14763553
="Chester School District",416670,168954,189986,55783,31143,7631,533,34490,3399,34,908623
="Clinton School District",2929861,776117,1027323,434087,1437739,42366,0,595824,0,472,7253393
="Colchester School District",3537556,1277613,1020662,225517,1730985,11695,0,884113,0,0,8703034
="Colebrook School District",68994,17196,23070,98909,101640,43,0,17640,0,27707,355199
="Columbia School District",778060,362326,260290,176465,814011,26562,0,239140,7880,195,2682613
="Cornwall School District",176929,74718,73270,24598,61773,1801,14,23750,3019,67,439939
="Coventry School District",2058803,985771,568163,339748,1906226,13913,0,487644,5005,2564,6371714
="Cromwell School District",1580691,839136,577759,168305,667520,5072,0,356927,7514,245,4208115
="Danbury School District",11655042,4256954,3505716,701183,2846464,63285,0,2184270,46173,0,25289836
="Darien School District",9248623,3437303,3994747,1690473,3191330,64424,0,1134892,8146,0,22838815
="Deep River School District",507912,219064,226434,130816,343236,6516,139,192919,700,102,1627976
="Derby School District",1258842,675803,324238,148546,1743634,17552,0,372953,478,9273,4558969
="East Granby School District",989019,473086,357591,174361,336273,19508,0,107658,1933,824,2460253
="East Haddam School District",1497111,455798,507102,329768,1254466,22274,0,311339,3915,1670,4383443
="East Hampton School District",2368744,1185230,890968,543523,654552,26998,0,525928,0,250,6210687
="East Hartford School District",9018321,3725990,1909181,264001,2982967,125463,0,1826360,0,0,19864040
="East Haven School District",2813134,889923,1355050,345992,4642687,12296,220203,1104049,0,69621,11454414
="East Lyme School District",3287897,2135153,1042271,86799,1208092,34548,0,532289,25690,751,8353490
="East Windsor School District",1377181,754017,508121,57341,1254299,10456,0,461651,7255,1072,4435390
="Eastford School District",199350,127045,60340,145028,88477,1703,0,0,0,0,623977
="Easton School District",1304409,628792,468626,630674,353146,15929,0,207712,17756,0,3641323
="Ellington School District",2394542,883442,1010076,338021,999173,34288,0,374688,42721,2384,6079335
="Enfield School District",6977194,2107350,2060456,350008,1828685,32936,0,1366076,18242,660,14799108
="Essex School District",774878,492395,348636,171075,48926,6529,184,92095,4946,0,1939883
="Fairfield School District",15194555,3966121,6846620,3457565,4186245,270160,48045,2181168,98757,326,36267725
="Farmington School District",5648064,410271,1286849,482759,2040595,87629,0,901840,15285,1406,10879053
="Franklin School District",254921,35640,40444,34657,259930,1209,0,71633,0,0,698434
