"Total Expenditures Used for Special Education, 2016-17"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",362652,90987,185466,36958,78327,5797,0,23693,0,200,784080
="Ansonia School District",2292475,892051,498709,1484665,5271316,26655,5452,1450338,7391,0,11942583
="Ashford School District",636718,442420,284603,236416,144083,19997,22267,81618,0,2627,1870749
="Avon School District",3623977,1773274,1439760,214381,3054368,34023,6644,797103,25427,977,11012817
="Barkhamsted School District",63535,20780,23540,691982,132074,1778,0,40256,1443,0,975388
="Berlin School District",4342110,1715012,1024020,591572,1911775,39660,0,1043592,2303,924,10677989
="Bethany School District",745997,332051,191530,162193,58198,77101,0,101159,136871,255,1835223
="Bethel School District",4290343,2085582,1778660,372644,1457728,36091,140,960335,6157,1630,11001465
="Bloomfield School District",2495044,1417436,1127885,148329,2653929,8935,0,728648,2122,836,8585065
="Bolton School District",998087,606729,498434,107605,583156,43102,0,203100,8274,200,3048687
="Bozrah School District",454595,196346,53658,67001,330242,3532,0,24997,5220,40,1136084
="Branford School District",4222853,1611034,1934566,559267,2655007,22254,0,853469,6830,1760,11876919
="Bridgeport School District",24288831,11420785,9925432,2057741,22912178,85633,0,11313892,708,0,82020135
="Bristol School District",10848938,2910806,3083390,1218085,5757289,134337,0,5009059,0,3719,28965623
="Brookfield School District",3419577,1647352,1315169,1069200,1216537,38553,2472,535592,1149,1834,9248907
="Brooklyn School District",743123,586802,550734,354218,1825185,14336,0,424892,2876,0,4502256
="Canaan School District",150889,77826,77389,19370,0,1063,0,22898,1293,0,350728
="Canterbury School District",652515,588805,236088,465482,813253,6301,1982,42725,13844,254,2821249
="Canton School District",2036819,886405,863414,374259,710026,29946,0,458953,360,2415,5362597
="Chaplin School District",291445,163294,127157,97765,111073,1536,0,8610,139,0,801019
="Cheshire School District",7185428,3638475,2398027,774725,1885370,113012,100922,853057,11553,1097,17090202
="Chester School District",468616,265589,200322,44369,11574,8011,165,40586,0,35,1039267
="Clinton School District",3238484,1228295,1443351,358207,801583,28133,0,604696,0,0,7721258
="Colchester School District",3773640,1579842,1317552,148528,2525799,16274,0,999305,0,0,10374301
="Colebrook School District",56351,19949,7743,140628,144292,528,0,47908,0,25713,443282
="Columbia School District",899427,396447,289774,116791,1644867,18858,75,341536,5247,106,3713128
="Cornwall School District",185524,88135,95037,16305,44583,2486,0,26361,533,37,459001
="Coventry School District",2627345,1309640,637693,229252,1465903,11528,0,647946,1741,11550,6956429
="Cromwell School District",2132632,976049,550590,130341,2236862,34937,0,595622,9684,700,6668097
="Danbury School District",12145748,4898541,3828607,1154476,2921642,38328,9900,2955464,76230,0,28116883
="Darien School District",12743921,3557194,3551550,2260582,6693541,96158,0,1111833,42891,0,30261222
="Deep River School District",622716,221935,320697,52487,338626,4963,140,123160,0,433,1685157
="Derby School District",1348062,805300,642297,139599,1770580,10540,0,516648,2860,1903,5237789
="East Granby School District",1092693,592983,424460,166867,1187121,7928,0,275940,1690,20858,3779517
="East Haddam School District",1733218,690340,751292,410435,798774,21679,0,393170,7750,2258,4808916
