"Total Expenditures Used for Special Education, 2010-11"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",290324,153954,36387,99577,98500,5713,1946,19708,497,43,706649
="Ansonia School District",1904696,1130260,485885,311822,2654469,56443,30965,778065,7324,185,7385805
="Ashford School District",640979,340088,257486,248761,275469,19316,0,155802,3564,584,1946297
="Avon School District",3669091,2053173,1784440,326376,1664442,49321,3408,532531,0,9255,10127621
="Barkhamsted School District",50746,45720,21647,560208,72913,1405,0,35355,403,0,788397
="Berlin School District",3642346,1332825,781414,313760,1537176,32410,0,638012,74837,1274,8366370
="Bethany School District",647762,298126,120800,98970,392395,8952,0,100403,14969,1045,1686250
="Bethel School District",3619701,1916887,1348084,225117,1575818,58907,227,780398,79824,1525,9614639
="Bloomfield School District",2997750,987791,882947,55311,1412653,22059,0,412564,8422,1643,6782667
="Bolton School District",780364,593556,488698,228261,527932,23961,481,271787,68588,664,2991355
="Bozrah School District",391305,163972,112802,85215,761080,11073,0,147307,4161,0,1679896
="Branford School District",3649669,1412654,1235428,271596,2821612,34315,0,827055,2345,9144,10272929
="Bridgeport School District",22195240,7464912,7776604,1133345,18202250,27117,237395,6444923,33131,0,63573120
="Bristol School District",9390158,2587420,2613392,693827,5550095,107423,38672,2904579,128819,2501,24030445
="Brookfield School District",2391742,1015183,723432,1363390,0,41528,0,189718,375,0,5743443
="Brooklyn School District",779287,431226,428522,114615,988263,6229,0,171607,0,0,2920754
="Canaan School District",124733,38898,52198,15370,0,1909,0,20524,288,0,253920
="Canterbury School District",620627,336660,284461,228106,720268,6621,2144,141619,7458,305,2349841
="Canton School District",1826543,728631,627820,197250,996498,27719,0,331998,24638,1499,4762596
="Chaplin School District",257239,62285,89916,26780,0,3175,0,3300,5427,425,448547
="Cheshire School District",6188792,2790573,1744529,734478,2011328,88473,101793,810910,35167,2990,14662918
="Chester School District",438392,220925,201436,90250,16455,7234,662,22617,373,0,998344
="Clinton School District",2985526,823618,1037265,364338,1487683,22866,0,616278,6697,287,7367006
="Colchester School District",3444301,1171145,1016137,175068,1865657,6773,0,815285,6162,0,8506853
="Colebrook School District",68377,12489,25039,106434,162952,227,0,17971,0,49147,443592
="Columbia School District",764894,385662,310735,200927,614916,24276,0,198429,7234,331,2566351
="Cornwall School District",157202,54990,73348,16490,57522,4613,58,25876,363,33,390495
="Coventry School District",1911442,823477,651922,328812,1429970,14902,39092,503222,3404,2476,5715954
="Cromwell School District",1619326,812475,550723,170173,639469,12562,0,198616,1427,600,4008984
="Danbury School District",11742332,4307931,2411499,730423,2881395,84052,414,1905999,37978,0,24116997
="Darien School District",9114379,3629147,3665548,2260978,2523206,59728,0,977544,16097,0,22390242
="Deep River School District",496993,221365,218186,105101,401321,5641,137,149449,1012,80,1600988
="Derby School District",1210020,605293,577870,106450,1642934,22125,0,340164,18503,7000,4534089
="East Granby School District",1050847,425210,331866,202741,292355,11665,0,127819,8187,80,2450770
="East Haddam School District",1480755,437344,497306,285538,1149840,30018,0,325322,0,1670,4207793
="East Hampton School District",2459692,1217570,991299,477644,778102,21007,80,638142,111549,215,6703062
="East Hartford School District",8559668,3844170,1870191,357715,3163874,223512,0,1997205,0,79,20016414
="East Haven School District",3125671,802624,1344038,335075,4342866,19143,218242,913836,4120,2410,11109242
="East Lyme School District",2977529,2073786,1135766,244836,1815991,27183,0,672475,52147,0,8999713
="East Windsor School District",1338718,756378,470441,41867,1133055,7206,0,395974,6063,1636,4152338
="Eastford School District",211103,120462,54615,128749,94454,2189,0,0,0,20,612798
="Easton School District",1317283,580631,449999,404790,148650,16008,0,292896,1837,220,3237855
="Ellington School District",2241099,954991,1132674,322875,1047884,34200,0,422808,24079,2805,6187182
="Enfield School District",6878032,2182480,1943658,252283,2158494,15002,3889,1493746,1533,0,14989717
="Essex School District",795181,459498,347257,110237,47108,14224,593,92421,4786,689,1874574
="Fairfield School District",14895744,4048616,6612962,3117943,4550597,209936,30973,2173532,99146,274,35760134
="Farmington School District",5216105,546453,1220631,503478,2194800,43465,0,836044,10149,1284,10576927
="Franklin School District",300521,31827,51979,41408,359827,272,0,27390,0,0,813224
="Glastonbury School District",7051406,3166113,1420371,648187,4275114,98365,143607,0,14156,1961,16958674
="Granby School District",1957457,1128365,657977,155648,632460,32868,669,416052,0,2018,4983514
="Greenwich School District",18689528,5677015,5616943,2168607,3772468,110321,29954,1855152,234719,25082,38220213
="Griswold School District",2723666,1081999,877532,264022,676455,9260,22889,389590,2638,1770,6083407
="Groton School District",6689767,2367095,1841033,1078524,1994672,87383,1588,1162059,857,2962,15244196
="Guilford School District",4889580,1871320,2175151,480707,2643292,62948,0,1158135,13519,0,13294652
="Hamden School District",8172488,2312277,4235463,830753,9485591,54138,2992,2078305,20831,350,27193188
="Hampton School District",127195,103720,65549,80900,0,4262,0,0,0,0,381626
="Hartford School District",21479566,8187920,10050614,878519,31286157,386567,9410,17219108,135253,2970479,92673235
="Hartland School District",26300,84305,4297,431580,80393,2766,0,36446,0,0,666087
="Hebron School District",949405,655616,260090,229137,54330,17608,0,100815,7984,675,2275660
="Kent School District",369610,154608,174317,35053,71869,8065,0,60817,852,0,875191
="Killingly School District",3147343,1654231,1511582,110669,3500100,14121,36222,210038,13794,202,10308844
="Lebanon School District",1084884,528064,490787,360642,1140076,48435,2205,338421,80894,805,4075213
="Ledyard School District",3582654,1163061,883673,487919,1987099,335150,0,835688,6918,0,9299365
="Lisbon School District",757627,167372,160816,106319,692363,17396,0,112919,3960,309,2020302
="Litchfield School District",1278752,518354,667102,140151,551496,41687,0,138945,1069,2115,3340834
="Madison School District",3451033,1846939,1328759,267079,1581123,63768,0,1117152,53824,1555,9711494
="Manchester School District",8510940,4363756,4470190,515487,4093691,226964,0,1702811,4680,1910,23894109
="Mansfield School District",1793144,829923,607718,289919,420014,15915,1292,334183,2411,205,4308145
