"Total Expenditures Used for Special Education, 2014-15"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",324207,169899,89534,112695,50457,5037,0,28187,590,0,780606
="Ansonia School District",1862103,624312,449242,1021149,4120043,11384,350,1393080,9134,0,9503055
="Ashford School District",538219,379999,143547,156135,349950,3514,9159,99658,0,6835,1687016
="Avon School District",3617825,1813684,1322181,333407,2444892,21298,82076,783006,10319,860,10484831
="Barkhamsted School District",58247,19827,28009,643838,91916,992,0,53566,870,0,897265
="Berlin School District",4099197,1483362,771936,279039,1699644,39849,0,742424,22630,17991,9156072
="Bethany School District",776610,313654,137069,147693,0,31621,0,64900,37622,403,1514112
="Bethel School District",4119461,1807611,1817630,136517,1576129,27968,196,830139,37564,1218,10364257
="Bloomfield School District",2589292,1104981,957896,57687,1675045,11251,0,360282,3376,745,6762272
="Bolton School District",953343,573143,577323,71137,693884,43787,0,214931,377,609,3128534
="Bozrah School District",490220,167084,56837,75569,573225,2496,0,98221,4710,50,1468777
="Branford School District",3854432,1441329,1641686,547180,2616402,56953,0,625523,105639,3680,10903484
="Bridgeport School District",23436119,10543711,9206212,1984144,20534295,181209,0,10038338,5101,0,75946399
="Bristol School District",8641306,2704090,3651561,980082,7285338,60050,0,4137532,75368,1004,27551661
="Brookfield School District",3118087,1437753,1379890,353096,1435682,25678,355,329057,4180,241,8087134
="Brooklyn School District",869627,484421,377344,163119,1540291,22538,0,307455,4741,0,3777237
="Canaan School District",150064,42858,70943,6477,213,1757,0,25369,776,0,298457
="Canterbury School District",622100,550288,246263,519200,1202153,5874,3113,35808,8108,644,3193551
="Canton School District",1876299,664591,798074,292899,884894,32237,0,509950,3467,3763,5066174
="Chaplin School District",310081,90730,101699,68077,64764,2891,0,22670,1036,445,662393
="Cheshire School District",6591883,3210690,2248773,764883,2475562,89435,57412,753613,9478,1315,16321821
="Chester School District",451408,231251,180033,34248,18562,9386,1482,37107,0,34,963511
="Clinton School District",3163457,1023246,1224725,403747,1047569,25322,0,652745,0,909,7551571
="Colchester School District",3418781,1338177,1343656,199712,1983842,22807,0,1000297,0,0,9326437
="Colebrook School District",66097,18911,2939,137537,73993,887,0,36861,0,26632,364712
="Columbia School District",902012,386964,291594,97558,1106096,19926,6352,233705,32919,402,3077528
="Cornwall School District",177517,64576,92363,7954,0,3570,0,29792,906,35,376713
="Coventry School District",2369966,1027839,638106,398162,1243137,19070,55988,507140,0,5816,6283218
="Cromwell School District",1885906,844603,489543,72894,1752222,4373,0,457381,0,0,5513263
="Danbury School District",11514007,4565254,3596192,934215,3164224,77651,65517,2545961,37399,0,26607014
="Darien School District",10756136,3544558,4303637,2800392,5345658,67106,191,1583382,39995,0,28576750
="Deep River School District",603516,262308,229006,79061,330718,3940,140,117186,0,94,1625969
="Derby School District",1377719,758668,630726,159362,1471695,5964,2771,380774,0,30,4787811
="East Granby School District",1238902,608541,511571,184728,1009234,4059,0,402619,1897,106,3972076
="East Haddam School District",1530010,481277,662101,337714,1273053,21483,0,481418,0,1265,4788321
="East Hampton School District",2657698,1228699,1000017,707870,796114,97905,0,582237,400,40,7070980
="East Hartford School District",9835474,4009451,2066715,341518,3953303,80209,3116,1844012,19237,241,22215171
="East Haven School District",3322934,960250,1697916,253912,3649392,2701,39473,1236546,0,214706,11380128
="East Lyme School District",3789297,2464018,1062287,393078,915388,13441,5742,641360,0,122,9284733
="East Windsor School District",2022850,1106120,657084,195950,1537769,16562,0,505728,32886,70,6076160
="Eastford School District",172704,139275,63360,126327,102474,3006,0,0,0,185,609558
="Easton School District",1301057,744741,516146,444263,278720,9411,0,181727,5885,500,3502860
="Ellington School District",2838612,1103316,1254911,386223,1088086,37535,0,437405,13644,2284,7162016
="Enfield School District",6793892,2473857,1898659,372677,2896184,23881,0,1926969,8933,0,16405758
="Essex School District",824603,576520,325337,172185,276089,7385,172,130997,2551,0,2315839
="Fairfield School District",16312083,4187306,6959949,3599841,6533537,107571,33697,2667058,50091,1484,40474596
="Farmington School District",6514691,663129,1210995,683244,1969245,65419,0,972385,3662,675,12108546
="Franklin School District",256117,48123,44198,36893,218683,2710,0,9889,0,0,616613
="Glastonbury School District",7574543,3240367,1532721,757117,3678951,82836,173339,0,3836,2130,17220123
="Granby School District",2210691,822381,668957,206966,1186617,47946,0,334343,0,2073,5490587
="Greenwich School District",19429861,6029139,6996055,1685448,4742011,141880,273885,2113638,116488,116488,41674201
="Griswold School District",2771089,1454348,799474,130754,938189,2947,5909,456108,8108,600,6587110
="Groton School District",6878121,3075026,2164718,2928203,3787457,223722,1002,1485652,47133,7175,20598209
="Guilford School District",4991482,2187443,2538647,1050426,3595417,76553,0,1268881,15080,0,15723929
="Hamden School District",9242073,2433914,5954754,583443,8912333,53535,5445,2603244,0,0,29788741
="Hampton School District",124638,129659,58083,73607,0,7330,0,0,0,0,393317
="Hartland School District",0,0,0,408130,351039,4000,0,40005,0,0,803174
="Hebron School District",769718,650835,770484,234525,163577,13932,0,124384,1500,0,2742839
="Kent School District",480896,223494,237142,21910,0,13053,0,81322,2473,0,1060290
="Killingly School District",3390789,1908496,1897125,99968,5731431,16551,34265,601680,7423,227,13790789
="Lebanon School District",1295981,869529,583179,239960,1457662,30541,0,467944,1335,2198,4975723
="Ledyard School District",4048248,985044,1624656,381062,1893956,71243,1278,912151,1944,40,9919622
="Lisbon School District",721257,160500,182475,147801,797230,7793,0,102152,11851,320,2133127
