NAME,B19025_001E,B01003_001E,state,county,county subdivision
"Andover town, Capitol Planning Region, Connecticut",182087700,3148,09,110,01080
"Avon town, Capitol Planning Region, Connecticut",1643023900,18856,09,110,02060
"Berlin town, Capitol Planning Region, Connecticut",1149943300,20210,09,110,04300
"Bloomfield town, Capitol Planning Region, Connecticut",1078584800,21547,09,110,05910
"Bolton town, Capitol Planning Region, Connecticut",274371400,4848,09,110,06260
"Canton town, Capitol Planning Region, Connecticut",713766300,10108,09,110,12270
"Columbia town, Capitol Planning Region, Connecticut",289597700,5268,09,110,16400
"Coventry town, Capitol Planning Region, Connecticut",653611200,12267,09,110,17800
"East Granby town, Capitol Planning Region, Connecticut",272621400,5214,09,110,22070
"East Hartford town, Capitol Planning Region, Connecticut",1670417500,50798,09,110,22630
"East Windsor town, Capitol Planning Region, Connecticut",595806900,11157,09,110,24800
"Ellington town, Capitol Planning Region, Connecticut",917136400,16700,09,110,25360
"Enfield town, Capitol Planning Region, Connecticut",1806712700,41100,09,110,25990
"Farmington town, Capitol Planning Region, Connecticut",1804476400,26685,09,110,27600
"Glastonbury town, Capitol Planning Region, Connecticut",2537229800,35136,09,110,31240
"Granby town, Capitol Planning Region, Connecticut",691183000,11020,09,110,32640
"Hartford town, Capitol Planning Region, Connecticut",3210800500,119970,09,110,37070
"Hebron town, Capitol Planning Region, Connecticut",620273500,9109,09,110,37910
"Manchester town, Capitol Planning Region, Connecticut",2600477300,59473,09,110,44700
"Mansfield town, Capitol Planning Region, Connecticut",572319400,22454,09,110,44910
"Marlborough town, Capitol Planning Region, Connecticut",387628900,6106,09,110,45820
"New Britain town, Capitol Planning Region, Connecticut",2194096100,73301,09,110,50440
"Newington town, Capitol Planning Region, Connecticut",1493255800,30551,09,110,52140
"Plainville town, Capitol Planning Region, Connecticut",826965100,17468,09,110,60120
"Rocky Hill town, Capitol Planning Region, Connecticut",1158254700,20724,09,110,65370
"Simsbury town, Capitol Planning Region, Connecticut",1881810700,24747,09,110,68940
"Somers town, Capitol Planning Region, Connecticut",484432300,10164,09,110,69220
"Southington town, Capitol Planning Region, Connecticut",2535559100,43575,09,110,70550
"South Windsor town, Capitol Planning Region, Connecticut",1690604600,26820,09,110,71390
"Stafford town, Capitol Planning Region, Connecticut",498956700,11462,09,110,72090
"Suffield town, Capitol Planning Region, Connecticut",904519300,15636,09,110,74540
"Tolland town, Capitol Planning Region, Connecticut",988804600,14556,09,110,76290
"Vernon town, Capitol Planning Region, Connecticut",1355894100,30377,09,110,78250
"West Hartford town, Capitol Planning Region, Connecticut",4416184400,63809,09,110,82590
"Wethersfield town, Capitol Planning Region, Connecticut",1520404800,27180,09,110,84900
"Willington town, Capitol Planning Region, Connecticut",266144300,5563,09,110,85950
"Windsor town, Capitol Planning Region, Connecticut",1411731300,29367,09,110,87000
"Windsor Locks town, Capitol Planning Region, Connecticut",549802000,12555,09,110,87070
"County subdivisions not defined, Greater Bridgeport Planning Region, Connecticut",-666666666,0,09,120,00000
"Bridgeport town, Greater Bridgeport Planning Region, Connecticut",4300369800,148012,09,120,08070
"Easton town, Greater Bridgeport Planning Region, Connecticut",623206400,7612,09,120,23890
"Fairfield town, Greater Bridgeport Planning Region, Connecticut",5103733000,62508,09,120,26620
"Monroe town, Greater Bridgeport Planning Region, Connecticut",1263795600,18833,09,120,48620
"Stratford town, Greater Bridgeport Planning Region, Connecticut",2492666300,52403,09,120,74190
"Trumbull town, Greater Bridgeport Planning Region, Connecticut",2181053300,36928,09,120,77200
"County subdivisions not defined, Lower Connecticut River Valley Planning Region, Connecticut",-666666666,0,09,130,00000
"Chester town, Lower Connecticut River Valley Planning Region, Connecticut",204665000,3786,09,130,14300
"Clinton town, Lower Connecticut River Valley Planning Region, Connecticut",745026700,13317,09,130,15350
"Cromwell town, Lower Connecticut River Valley Planning Region, Connecticut",813012800,14301,09,130,18080
"Deep River town, Lower Connecticut River Valley Planning Region, Connecticut",225247900,4432,09,130,19130
"Durham town, Lower Connecticut River Valley Planning Region, Connecticut",465135200,7182,09,130,20810
"East Haddam town, Lower Connecticut River Valley Planning Region, Connecticut",505137800,8934,09,130,22280
"East Hampton town, Lower Connecticut River Valley Planning Region, Connecticut",682157300,12834,09,130,22490
"Essex town, Lower Connecticut River Valley Planning Region, Connecticut",459186900,6766,09,130,26270
"Haddam town, Lower Connecticut River Valley Planning Region, Connecticut",474423800,8562,09,130,35230
"Killingworth town, Lower Connecticut River Valley Planning Region, Connecticut",475560200,6219,09,130,40710
"Lyme town, Lower Connecticut River Valley Planning Region, Connecticut",221663900,2356,09,130,44210
"Middlefield town, Lower Connecticut River Valley Planning Region, Connecticut",253592700,4236,09,130,47080
"Middletown town, Lower Connecticut River Valley Planning Region, Connecticut",2113721200,47646,09,130,47360
"Old Lyme town, Lower Connecticut River Valley Planning Region, Connecticut",604238000,7644,09,130,57040
"Old Saybrook town, Lower Connecticut River Valley Planning Region, Connecticut",739592900,10515,09,130,57320
"Portland town, Lower Connecticut River Valley Planning Region, Connecticut",488223600,9421,09,130,61800
"Westbrook town, Lower Connecticut River Valley Planning Region, Connecticut",400057500,6832,09,130,81680
"Ansonia town, Naugatuck Valley Planning Region, Connecticut",815136100,18951,09,140,01220
"Beacon Falls town, Naugatuck Valley Planning Region, Connecticut",333594200,6089,09,140,03250
"Bethlehem town, Naugatuck Valley Planning Region, Connecticut",183715600,3398,09,140,04930
"Bristol town, Naugatuck Valley Planning Region, Connecticut",2465720200,61129,09,140,08490
"Cheshire town, Naugatuck Valley Planning Region, Connecticut",1892381900,28852,09,140,14160
"Derby town, Naugatuck Valley Planning Region, Connecticut",536194700,12359,09,140,19550
"Middlebury town, Naugatuck Valley Planning Region, Connecticut",444391200,7736,09,140,46940
"Naugatuck town, Naugatuck Valley Planning Region, Connecticut",1352357500,31634,09,140,49950
"Oxford town, Naugatuck Valley Planning Region, Connecticut",800768800,12870,09,140,58300
"Plymouth town, Naugatuck Valley Planning Region, Connecticut",497909800,11715,09,140,60750
"Prospect town, Naugatuck Valley Planning Region, Connecticut",483500100,9414,09,140,62290
"Seymour town, Naugatuck Valley Planning Region, Connecticut",787892300,16799,09,140,67610
"Shelton town, Naugatuck Valley Planning Region, Connecticut",2238321300,41402,09,140,68170
"Southbury town, Naugatuck Valley Planning Region, Connecticut",1293752700,19973,09,140,69640
"Thomaston town, Naugatuck Valley Planning Region, Connecticut",414059400,7476,09,140,75730
"Waterbury town, Naugatuck Valley Planning Region, Connecticut",3243910300,114356,09,140,80070
"Watertown town, Naugatuck Valley Planning Region, Connecticut",1056246600,22171,09,140,80490
"Wolcott town, Naugatuck Valley Planning Region, Connecticut",814285200,16192,09,140,87560
"Woodbury town, Naugatuck Valley Planning Region, Connecticut",589454700,9787,09,140,87910
"Ashford town, Northeastern Connecticut Planning Region, Connecticut",281717100,4220,09,150,01430
"Brooklyn town, Northeastern Connecticut Planning Region, Connecticut",314896500,8456,09,150,09190
"Canterbury town, Northeastern Connecticut Planning Region, Connecticut",254573200,5082,09,150,12130
"Chaplin town, Northeastern Connecticut Planning Region, Connecticut",88837500,2168,09,150,13810
"Eastford town, Northeastern Connecticut Planning Region, Connecticut",77920300,1616,09,150,21860
"Hampton town, Northeastern Connecticut Planning Region, Connecticut",90665400,1628,09,150,36000
"Killingly town, Northeastern Connecticut Planning Region, Connecticut",669610700,17785,09,150,40500
"Plainfield town, Northeastern Connecticut Planning Region, Connecticut",539700200,15079,09,150,59980
"Pomfret town, Northeastern Connecticut Planning Region, Connecticut",226685700,4294,09,150,61030
"Putnam town, Northeastern Connecticut Planning Region, Connecticut",345541900,9256,09,150,62710
"Scotland town, Northeastern Connecticut Planning Region, Connecticut",61427800,1524,09,150,67400
"Sterling town, Northeastern Connecticut Planning Region, Connecticut",127867900,3601,09,150,73420
"Thompson town, Northeastern Connecticut Planning Region, Connecticut",429851000,9275,09,150,75870
"Union town, Northeastern Connecticut Planning Region, Connecticut",50419200,991,09,150,77830
"Voluntown town, Northeastern Connecticut Planning Region, Connecticut",121714000,2587,09,150,78600
"Woodstock town, Northeastern Connecticut Planning Region, Connecticut",508542500,8267,09,150,88190
"Barkhamsted town, Northwest Hills Planning Region, Connecticut",188104900,3652,09,160,02760
"Burlington town, Northwest Hills Planning Region, Connecticut",586649600,9613,09,160,10100
"Canaan town, Northwest Hills Planning Region, Connecticut",58607100,1140,09,160,10940
"Colebrook town, Northwest Hills Planning Region, Connecticut",87728700,1463,09,160,16050
"Cornwall town, Northwest Hills Planning Region, Connecticut",113458900,1438,09,160,17240
"Goshen town, Northwest Hills Planning Region, Connecticut",276013900,3181,09,160,32290
"Hartland town, Northwest Hills Planning Region, Connecticut",111059400,1881,09,160,37140
"Harwinton town, Northwest Hills Planning Region, Connecticut",303034800,5529,09,160,37280
"Kent town, Northwest Hills Planning Region, Connecticut",234607800,3041,09,160,40290
"Litchfield town, Northwest Hills Planning Region, Connecticut",491987400,8249,09,160,43370
"Morris town, Northwest Hills Planning Region, Connecticut",155656100,2100,09,160,49460
"New Hartford town, Northwest Hills Planning Region, Connecticut",470137800,6684,09,160,51350
