NAME,B19025_001E,B01003_001E,state,county,county subdivision
"Andover town, Capitol Planning Region, Connecticut",170812000,3160,09,110,01080
"Avon town, Capitol Planning Region, Connecticut",1690405900,18852,09,110,02060
"Berlin town, Capitol Planning Region, Connecticut",1122197500,20149,09,110,04300
"Bloomfield town, Capitol Planning Region, Connecticut",1039257400,21460,09,110,05910
"Bolton town, Capitol Planning Region, Connecticut",260049200,4851,09,110,06260
"Canton town, Capitol Planning Region, Connecticut",634404300,10125,09,110,12270
"Columbia town, Capitol Planning Region, Connecticut",280520300,5280,09,110,16400
"Coventry town, Capitol Planning Region, Connecticut",641071800,12254,09,110,17800
"East Granby town, Capitol Planning Region, Connecticut",259748300,5198,09,110,22070
"East Hartford town, Capitol Planning Region, Connecticut",1618647100,50942,09,110,22630
"East Windsor town, Capitol Planning Region, Connecticut",552009400,11180,09,110,24800
"Ellington town, Capitol Planning Region, Connecticut",948308000,16558,09,110,25360
"Enfield town, Capitol Planning Region, Connecticut",1707199300,41346,09,110,25990
"Farmington town, Capitol Planning Region, Connecticut",1710032300,26623,09,110,27600
"Glastonbury town, Capitol Planning Region, Connecticut",2447986600,35105,09,110,31240
"Granby town, Capitol Planning Region, Connecticut",667324700,10972,09,110,32640
"Hartford town, Capitol Planning Region, Connecticut",2954595000,121057,09,110,37070
"Hebron town, Capitol Planning Region, Connecticut",607048300,9127,09,110,37910
"Manchester town, Capitol Planning Region, Connecticut",2520242400,59510,09,110,44700
"Mansfield town, Capitol Planning Region, Connecticut",662402800,28378,09,110,44910
"Marlborough town, Capitol Planning Region, Connecticut",371265400,6134,09,110,45820
"New Britain town, Capitol Planning Region, Connecticut",2069380900,74212,09,110,50440
"Newington town, Capitol Planning Region, Connecticut",1451245300,30458,09,110,52140
"Plainville town, Capitol Planning Region, Connecticut",772219100,17505,09,110,60120
"Rocky Hill town, Capitol Planning Region, Connecticut",1098722700,20705,09,110,65370
"Simsbury town, Capitol Planning Region, Connecticut",1780525400,24617,09,110,68940
"Somers town, Capitol Planning Region, Connecticut",470035900,10086,09,110,69220
"Southington town, Capitol Planning Region, Connecticut",2452950800,43569,09,110,70550
"South Windsor town, Capitol Planning Region, Connecticut",1607596000,26805,09,110,71390
"Stafford town, Capitol Planning Region, Connecticut",477666200,11507,09,110,72090
"Suffield town, Capitol Planning Region, Connecticut",913929500,15676,09,110,74540
"Tolland town, Capitol Planning Region, Connecticut",944302100,14601,09,110,76290
"Vernon town, Capitol Planning Region, Connecticut",1266689500,30289,09,110,78250
"West Hartford town, Capitol Planning Region, Connecticut",4251576600,64088,09,110,82590
"Wethersfield town, Capitol Planning Region, Connecticut",1444331200,27192,09,110,84900
"Willington town, Capitol Planning Region, Connecticut",253152200,5586,09,110,85950
"Windsor town, Capitol Planning Region, Connecticut",1320318300,29445,09,110,87000
"Windsor Locks town, Capitol Planning Region, Connecticut",559685500,12563,09,110,87070
"County subdivisions not defined, Greater Bridgeport Planning Region, Connecticut",-666666666,0,09,120,00000
"Bridgeport town, Greater Bridgeport Planning Region, Connecticut",4101298100,148470,09,120,08070
"Easton town, Greater Bridgeport Planning Region, Connecticut",621946700,7630,09,120,23890
"Fairfield town, Greater Bridgeport Planning Region, Connecticut",4715159600,62072,09,120,26620
"Monroe town, Greater Bridgeport Planning Region, Connecticut",1117460900,18851,09,120,48620
"Stratford town, Greater Bridgeport Planning Region, Connecticut",2395575600,52436,09,120,74190
"Trumbull town, Greater Bridgeport Planning Region, Connecticut",2127655800,36922,09,120,77200
"County subdivisions not defined, Lower Connecticut River Valley Planning Region, Connecticut",-666666666,0,09,130,00000
"Chester town, Lower Connecticut River Valley Planning Region, Connecticut",177502500,3740,09,130,14300
"Clinton town, Lower Connecticut River Valley Planning Region, Connecticut",696252700,13284,09,130,15350
"Cromwell town, Lower Connecticut River Valley Planning Region, Connecticut",754928100,14250,09,130,18080
"Deep River town, Lower Connecticut River Valley Planning Region, Connecticut",230611100,4445,09,130,19130
"Durham town, Lower Connecticut River Valley Planning Region, Connecticut",459410100,7197,09,130,20810
"East Haddam town, Lower Connecticut River Valley Planning Region, Connecticut",528733300,8921,09,130,22280
"East Hampton town, Lower Connecticut River Valley Planning Region, Connecticut",645002900,12798,09,130,22490
"Essex town, Lower Connecticut River Valley Planning Region, Connecticut",424637300,6754,09,130,26270
"Haddam town, Lower Connecticut River Valley Planning Region, Connecticut",510509400,8492,09,130,35230
"Killingworth town, Lower Connecticut River Valley Planning Region, Connecticut",429120800,6216,09,130,40710
"Lyme town, Lower Connecticut River Valley Planning Region, Connecticut",207845400,2390,09,130,44210
"Middlefield town, Lower Connecticut River Valley Planning Region, Connecticut",242409000,4240,09,130,47080
"Middletown town, Lower Connecticut River Valley Planning Region, Connecticut",2039343900,48152,09,130,47360
"Old Lyme town, Lower Connecticut River Valley Planning Region, Connecticut",586610400,7648,09,130,57040
"Old Saybrook town, Lower Connecticut River Valley Planning Region, Connecticut",690008900,10492,09,130,57320
"Portland town, Lower Connecticut River Valley Planning Region, Connecticut",461762200,9409,09,130,61800
