District,District Code,fiscal_year,rev_local,rev_state,rev_federal,rev_tuition_other,rev_total,pct_local,pct_state,pct_federal,pct_tuition_other
Ellington School District,480011,2018,28387734.0,9931028.0,598897.0,1258128.0,40175787.0,70.7,24.7,1.5,3.1
Elm City College Preparatory School District,2890013,2018,146168.0,7899757.0,447399.0,3861805.0,12355129.0,1.2,63.9,3.6,31.3
Elm City Montessori School District,2910013,2018,2007556.0,465000.0,67493.0,52111.0,2592160.0,77.4,17.9,2.6,2.0
Enfield School District,490011,2018,52352934.0,26944745.0,3336609.0,852843.0,83487131.0,62.7,32.3,4.0,1.0
Essex School District,500011,2018,7411242.0,66241.0,227167.0,371.0,7705021.0,96.2,0.9,2.9,0.0
Explorations District,2720013,2018,0.0,1012000.0,248643.0,630812.0,1891455.0,0.0,53.5,13.1,33.4
Fairfield School District,510011,2018,172316090.0,5161111.0,2961947.0,472054.0,180911202.0,95.2,2.9,1.6,0.3
Farmington School District,520011,2018,66276108.0,2377224.0,944213.0,1519422.0,71116967.0,93.2,3.3,1.3,2.1
Franklin School District,530011,2018,3231276.0,810801.0,102219.0,3300.0,4147596.0,77.9,19.5,2.5,0.1
Glastonbury School District,540011,2018,99479577.0,7348006.0,1749942.0,997916.0,109575441.0,90.8,6.7,1.6,0.9
Granby School District,560011,2018,22775688.0,6092904.0,458525.0,747967.0,30075085.0,75.7,20.3,1.5,2.5
Great Oaks Charter School District,2940013,2018,479699.0,4231148.0,631152.0,125000.0,5466999.0,8.8,77.4,11.5,2.3
Greenwich School District,570011,2018,189971473.0,1475171.0,3440545.0,1543820.0,196431009.0,96.7,0.8,1.8,0.8
Griswold School District,580011,2018,15732038.0,10020602.0,1530066.0,1885184.0,29167889.0,53.9,34.4,5.2,6.5
Groton School District,590011,2018,50438430.0,27189149.0,2780439.0,114426.0,80522445.0,62.6,33.8,3.5,0.1
Guilford School District,600011,2018,56487601.0,3968519.0,1046280.0,98020.0,61600420.0,91.7,6.4,1.7,0.2
Hamden School District,620011,2018,91162889.0,29113484.0,4392175.0,58464.0,124727012.0,73.1,23.3,3.5,0.0
Hampton School District,630011,2018,1533906.0,720904.0,71178.0,22052.0,2348040.0,65.3,30.7,3.0,0.9
Hartford School District,640011,2018,92136166.0,289253745.0,24544997.0,4331641.0,410266548.0,22.5,70.5,6.0,1.1
Hartland School District,650011,2018,4212575.0,1157684.0,112113.0,11478.0,5493850.0,76.7,21.1,2.0,0.2
Hebron School District,670011,2018,8566677.0,2970067.0,193604.0,986.0,11731334.0,73.0,25.3,1.7,0.0
Highville Charter School District,2860013,2018,76863.0,4901690.0,217744.0,157359.0,5353656.0,1.4,91.6,4.1,2.9
Integrated Day Charter School District,2640013,2018,108362.0,3630000.0,99730.0,111457.0,3949550.0,2.7,91.9,2.5,2.8
Interdistrict School for Arts and Comm District,2650013,2018,7964.0,2636195.0,185298.0,511001.0,3340459.0,0.2,78.9,5.5,15.3
Jumoke Academy District,2610013,2018,214080.0,8282997.0,325478.0,458105.0,9280661.0,2.3,89.3,3.5,4.9
Kent School District,680011,2018,5752562.0,10762.0,144065.0,3031.0,5910420.0,97.3,0.2,2.4,0.1
Killingly School District,690011,2018,25426618.0,17487624.0,1860162.0,2839829.0,47614233.0,53.4,36.7,3.9,6.0
Learn,2450014,2018,0.0,12268798.0,1191682.0,17171428.0,30631909.0,0.0,40.1,3.9,56.1
Lebanon School District,710011,2018,14072698.0,5445074.0,449795.0,749075.0,20716642.0,67.9,26.3,2.2,3.6
Ledyard School District,720011,2018,23392151.0,12125391.0,857630.0,1194773.0,37569946.0,62.3,32.3,2.3,3.2
Lisbon School District,730011,2018,6463215.0,3432729.0,280852.0,71713.0,10248509.0,63.1,33.5,2.7,0.7
Litchfield School District,740011,2018,17598842.0,1388341.0,371160.0,53139.0,19411482.0,90.7,7.2,1.9,0.3
Madison School District,760011,2018,54132684.0,1216268.0,910549.0,352485.0,56611986.0,95.6,2.1,1.6,0.6
Manchester School District,770011,2018,80005207.0,37899234.0,5164060.0,2429297.0,125497799.0,63.8,30.2,4.1,1.9
Mansfield School District,780011,2018,18535143.0,6173187.0,469616.0,0.0,25177946.0,73.6,24.5,1.9,0.0
Marlborough School District,790011,2018,5884024.0,1437858.0,216289.0,0.0,7538171.0,78.1,19.1,2.9,0.0
Meriden School District,800011,2018,47174763.0,67819978.0,7023894.0,2422655.0,124441289.0,37.9,54.5,5.6,1.9
Middletown School District,830011,2018,60457842.0,24874987.0,2932828.0,911843.0,89177500.0,67.8,27.9,3.3,1.0
Milford School District,840011,2018,103384135.0,11091711.0,2608567.0,249506.0,117333919.0,88.1,9.5,2.2,0.2
Monroe School District,850011,2018,49437610.0,6607198.0,931753.0,127587.0,57104148.0,86.6,11.6,1.6,0.2
Montville School District,860011,2018,24544304.0,11586680.0,1033854.0,251060.0,37415897.0,65.6,31.0,2.8,0.7
Naugatuck School District,880011,2018,35749289.0,31260065.0,3319406.0,354631.0,70683391.0,50.6,44.2,4.7,0.5
New Beginnings Inc Family Academy District,2800013,2018,95307.0,5467000.0,257926.0,753016.0,6573249.0,1.4,83.2,3.9,11.5
New Britain School District,890011,2018,47293329.0,97907093.0,12563478.0,239079.0,158002979.0,29.9,62.0,8.0,0.2
New Canaan School District,900011,2018,87966912.0,1459353.0,1055744.0,658085.0,91140094.0,96.5,1.6,1.2,0.7
New Fairfield School District,910011,2018,34548314.0,4021161.0,688379.0,565985.0,39823839.0,86.8,10.1,1.7,1.4
New Hartford School District,920011,2018,6521327.0,1306268.0,192618.0,41539.0,8061752.0,80.9,16.2,2.4,0.5
New Haven School District,930011,2018,116891965.0,213179198.0,36680415.0,4586947.0,371338526.0,31.5,57.4,9.9,1.2
New London School District,950011,2018,20828680.0,36764539.0,5686237.0,3773293.0,67052750.0,31.1,54.8,8.5,5.6
New Milford School District,960011,2018,52017430.0,10631278.0,1387154.0,1507002.0,65542863.0,79.4,16.2,2.1,2.3
Newington School District,940011,2018,62210546.0,12731126.0,1201191.0,284944.0,76427807.0,81.4,16.7,1.6,0.4
Newtown School District,970011,2018,70208975.0,5785655.0,1123628.0,1184792.0,78303050.0,89.7,7.4,1.4,1.5
Norfolk School District,980011,2018,2656015.0,9679.0,90735.0,0.0,2756429.0,96.4,0.4,3.3,0.0
North Branford School District,990011,2018,23279006.0,7474712.0,538897.0,25800.0,31318414.0,74.3,23.9,1.7,0.1
North Canaan School District,1000011,2018,4257387.0,1426848.0,191613.0,0.0,5875848.0,72.5,24.3,3.3,0.0
North Haven School District,1010011,2018,49255263.0,4875759.0,965208.0,0.0,55096230.0,89.4,8.8,1.8,0.0
North Stonington School District,1020011,2018,10389443.0,2463918.0,231966.0,0.0,13085327.0,79.4,18.8,1.8,0.0
Norwalk School District,1030011,2018,181685345.0,26892977.0,5135660.0,1726522.0,215440504.0,84.3,12.5,2.4,0.8
Norwich School District,1040011,2018,44149672.0,41004251.0,6048638.0,299658.0,91502218.0,48.2,44.8,6.6,0.3
Odyssey Community School District,2630013,2018,293062.0,3592611.0,62854.0,87895.0,4036422.0,7.3,89.0,1.6,2.2
Old Saybrook School District,1060011,2018,25269694.0,513843.0,432540.0,375843.0,26591920.0,95.0,1.9,1.6,1.4
Orange School District,1070011,2018,20044652.0,919208.0,366807.0,0.0,21330667.0,94.0,4.3,1.7,0.0
Oxford School District,1080011,2018,25603452.0,4543534.0,628498.0,22726.0,30798211.0,83.1,14.8,2.0,0.1
Park City Prep Charter School District,2830013,2018,147483.0,3871527.0,183321.0,0.0,4202331.0,3.5,92.1,4.4,0.0
