District,District Code,fiscal_year,rev_local,rev_state,rev_federal,rev_tuition_other,rev_total,pct_local,pct_state,pct_federal,pct_tuition_other
East Hampton School District,420011,2019,24082131.0,7773734.0,514485.0,93184.0,32463534.0,74.2,23.9,1.6,0.3
East Hartford School District,430011,2019,47261669.0,59166094.0,7374163.0,9820171.0,123622096.0,38.2,47.9,6.0,7.9
East Haven School District,440011,2019,30527920.0,21292940.0,2527198.0,298953.0,54647010.0,55.9,39.0,4.6,0.5
East Lyme School District,450011,2019,38649623.0,6941514.0,977025.0,2931355.0,49499517.0,78.1,14.0,2.0,5.9
East Windsor School District,470011,2019,18225430.0,7261034.0,455397.0,854256.0,26796117.0,68.0,27.1,1.7,3.2
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,2019,0.0,919350.0,237451.0,14658772.0,15815573.0,0.0,5.8,1.5,92.7
Eastford School District,390011,2019,2847344.0,1138551.0,83958.0,59582.0,4129434.0,69.0,27.6,2.0,1.4
Easton School District,460011,2019,16742782.0,372010.0,232815.0,103603.0,17451211.0,95.9,2.1,1.3,0.6
EdAdvance,2420014,2019,3600641.0,0.0,146.0,1788885.0,5389672.0,66.8,0.0,0.0,33.2
Ellington School District,480011,2019,28645578.0,10971448.0,569867.0,1063919.0,41250812.0,69.4,26.6,1.4,2.6
Elm City College Preparatory School District,2890013,2019,147494.0,8509196.0,419868.0,2543533.0,11620091.0,1.3,73.2,3.6,21.9
Elm City Montessori School District,2910013,2019,2522321.0,540000.0,55686.0,173506.0,3291513.0,76.6,16.4,1.7,5.3
Enfield School District,490011,2019,51286011.0,31297076.0,3412990.0,1180318.0,87176395.0,58.8,35.9,3.9,1.4
Essex School District,500011,2019,7712960.0,80854.0,112772.0,0.0,7906586.0,97.6,1.0,1.4,0.0
Explorations District,2720013,2019,0.0,1065515.0,282508.0,542148.0,1890172.0,0.0,56.4,14.9,28.7
Fairfield School District,510011,2019,179924406.0,5042873.0,2653238.0,643477.0,188263994.0,95.6,2.7,1.4,0.3
Farmington School District,520011,2019,67701147.0,2692144.0,1302967.0,1992961.0,73689219.0,91.9,3.7,1.8,2.7
Franklin School District,530011,2019,3315166.0,831590.0,94609.0,2200.0,4243565.0,78.1,19.6,2.2,0.1
Glastonbury School District,540011,2019,98973840.0,7766588.0,1732847.0,1093069.0,109566344.0,90.3,7.1,1.6,1.0
Granby School District,560011,2019,23519726.0,6795475.0,456496.0,941431.0,31713128.0,74.2,21.4,1.4,3.0
Great Oaks Charter School District,2940013,2019,716175.0,5028748.0,914604.0,0.0,6659527.0,10.8,75.5,13.7,0.0
Greenwich School District,570011,2019,197468583.0,1751122.0,3129020.0,1644062.0,203992787.0,96.8,0.9,1.5,0.8
Griswold School District,580011,2019,13880278.0,11634839.0,1562964.0,2033094.0,29111175.0,47.7,40.0,5.4,7.0
Groton School District,590011,2019,50915511.0,26737763.0,2415055.0,96239.0,80164568.0,63.5,33.4,3.0,0.1
Guilford School District,600011,2019,57417531.0,3511838.0,1062692.0,183731.0,62175792.0,92.3,5.6,1.7,0.3
Hamden School District,620011,2019,96048937.0,30360446.0,3279956.0,156979.0,129846318.0,74.0,23.4,2.5,0.1
Hampton School District,630011,2019,1436661.0,774360.0,65686.0,24308.0,2301015.0,62.4,33.7,2.9,1.1
Hartford School District,640011,2019,87741226.0,292771735.0,21805600.0,11804330.0,414122891.0,21.2,70.7,5.3,2.9
Hartland School District,650011,2019,4168273.0,1261895.0,112960.0,12372.0,5555500.0,75.0,22.7,2.0,0.2
Hebron School District,670011,2019,8558707.0,3164903.0,194943.0,36284.0,11954837.0,71.6,26.5,1.6,0.3
Highville Charter School District,2860013,2019,61980.0,4686133.0,160552.0,72315.0,4980980.0,1.2,94.1,3.2,1.5
Integrated Day Charter School District,2640013,2019,265549.0,3609394.0,105381.0,47028.0,4027353.0,6.6,89.6,2.6,1.2
Interdistrict School for Arts and Comm District,2650013,2019,0.0,3031199.0,170243.0,488000.0,3689442.0,0.0,82.2,4.6,13.2
Jumoke Academy District,2610013,2019,675868.0,8120796.0,299438.0,113922.0,9210024.0,7.3,88.2,3.3,1.2
Kent School District,680011,2019,5726615.0,21508.0,140922.0,3747.0,5892792.0,97.2,0.4,2.4,0.1
Killingly School District,690011,2019,24574606.0,17961391.0,1722014.0,2660620.0,46918632.0,52.4,38.3,3.7,5.7
Learn,2450014,2019,0.0,11978245.0,1964485.0,18535764.0,32478494.0,0.0,36.9,6.0,57.1
Lebanon School District,710011,2019,13759698.0,5784143.0,468003.0,755590.0,20767434.0,66.3,27.9,2.3,3.6
Ledyard School District,720011,2019,21674151.0,13649025.0,816602.0,1363171.0,37502949.0,57.8,36.4,2.2,3.6
Lisbon School District,730011,2019,6526944.0,3380958.0,270357.0,59263.0,10237521.0,63.8,33.0,2.6,0.6
Litchfield School District,740011,2019,17545229.0,1433322.0,362655.0,54107.0,19395313.0,90.5,7.4,1.9,0.3
Madison School District,760011,2019,55451252.0,1494889.0,783589.0,417359.0,58147089.0,95.4,2.6,1.3,0.7
Manchester School District,770011,2019,81192265.0,38707585.0,5307842.0,2890140.0,128097831.0,63.4,30.2,4.1,2.3
Mansfield School District,780011,2019,16515602.0,6936736.0,454152.0,91836.0,23998326.0,68.8,28.9,1.9,0.4
Marlborough School District,790011,2019,5912830.0,1506871.0,175845.0,0.0,7595546.0,77.8,19.8,2.3,0.0
Meriden School District,800011,2019,47605673.0,68870887.0,6090877.0,2260528.0,124827965.0,38.1,55.2,4.9,1.8
Middletown School District,830011,2019,62821618.0,25499659.0,2827565.0,827474.0,91976315.0,68.3,27.7,3.1,0.9
Milford School District,840011,2019,104459724.0,11999671.0,2317226.0,281714.0,119058335.0,87.7,10.1,1.9,0.2
Monroe School District,850011,2019,51374416.0,6464730.0,856283.0,159525.0,58854955.0,87.3,11.0,1.5,0.3
Montville School District,860011,2019,24449060.0,13260005.0,1095512.0,195034.0,38999611.0,62.7,34.0,2.8,0.5
Naugatuck School District,880011,2019,36218804.0,31779263.0,3667618.0,338914.0,72004599.0,50.3,44.1,5.1,0.5
New Beginnings Inc Family Academy District,2800013,2019,36905.0,5589069.0,248085.0,327142.0,6201201.0,0.6,90.1,4.0,5.3
New Britain School District,890011,2019,45599576.0,101840809.0,13052416.0,1263155.0,161755956.0,28.2,63.0,8.1,0.8
New Canaan School District,900011,2019,91249410.0,1491026.0,1017596.0,624238.0,94382270.0,96.7,1.6,1.1,0.7
New Fairfield School District,910011,2019,36145874.0,4079472.0,664651.0,629409.0,41519406.0,87.1,9.8,1.6,1.5
New Hartford School District,920011,2019,6538567.0,1465345.0,161298.0,71055.0,8236265.0,79.4,17.8,2.0,0.9
New Haven School District,930011,2019,109990874.0,215418066.0,34307508.0,4942899.0,364659346.0,30.2,59.1,9.4,1.4
New London School District,950011,2019,19954711.0,37818219.0,5623436.0,3278053.0,66674418.0,29.9,56.7,8.4,4.9
New Milford School District,960011,2019,51575582.0,11929524.0,1277681.0,1414995.0,66197783.0,77.9,18.0,1.9,2.1
Newington School District,940011,2019,59788680.0,14192124.0,1200231.0,269714.0,75450749.0,79.2,18.8,1.6,0.4
Newtown School District,970011,2019,71752424.0,6267645.0,1199193.0,1075398.0,80294660.0,89.4,7.8,1.5,1.3
Norfolk School District,980011,2019,2567233.0,13938.0,57190.0,0.0,2638361.0,97.3,0.5,2.2,0.0
North Branford School District,990011,2019,24015300.0,8118845.0,918405.0,25950.0,33078500.0,72.6,24.5,2.8,0.1
North Canaan School District,1000011,2019,4089871.0,1453767.0,190563.0,0.0,5734201.0,71.3,25.4,3.3,0.0
North Haven School District,1010011,2019,50641547.0,5490218.0,994666.0,36663.0,57163093.0,88.6,9.6,1.7,0.1
North Stonington School District,1020011,2019,10770703.0,2710027.0,269816.0,0.0,13750546.0,78.3,19.7,2.0,0.0
Norwalk School District,1030011,2019,186451054.0,27068027.0,4784414.0,2223064.0,220526559.0,84.5,12.3,2.2,1.0
Norwich School District,1040011,2019,46136999.0,42864384.0,6681385.0,759269.0,96442036.0,47.8,44.4,6.9,0.8
Odyssey Community School District,2630013,2019,258470.0,4068849.0,76396.0,47870.0,4451585.0,5.8,91.4,1.7,1.1
Old Saybrook School District,1060011,2019,25675513.0,599211.0,438432.0,333803.0,27046960.0,94.9,2.2,1.6,1.2
Orange School District,1070011,2019,20284840.0,821122.0,411938.0,0.0,21517900.0,94.3,3.8,1.9,0.0
Oxford School District,1080011,2019,26946964.0,4677122.0,630414.0,56602.0,32311102.0,83.4,14.5,2.0,0.2
Park City Prep Charter School District,2830013,2019,165000.0,4276780.0,192796.0,17279.0,4651855.0,3.5,91.9,4.1,0.4
Plainfield School District,1090011,2019,17919563.0,16301121.0,1033924.0,1613768.0,36868376.0,48.6,44.2,2.8,4.4
Plainville School District,1100011,2019,27484999.0,12994318.0,990250.0,0.0,41469567.0,66.3,31.3,2.4,0.0
Plymouth School District,1110011,2019,13991329.0,10603397.0,525726.0,88626.0,25209079.0,55.5,42.1,2.1,0.4
Pomfret School District,1120011,2019,7225589.0,3013528.0,238477.0,0.0,10477594.0,69.0,28.8,2.3,0.0
Portland School District,1130011,2019,16981964.0,5306989.0,485415.0,25980.0,22800347.0,74.5,23.3,2.1,0.1
Preston School District,1140011,2019,8579975.0,3096084.0,192796.0,145.0,11869000.0,72.3,26.1,1.6,0.0
Putnam School District,1160011,2019,9973677.0,9593437.0,720439.0,382451.0,20670004.0,48.3,46.4,3.5,1.9
Redding School District,1170011,2019,21008345.0,246258.0,254869.0,209453.0,21718925.0,96.7,1.1,1.2,1.0
Regional School District 01,2010012,2019,9797959.0,1517676.0,234738.0,70693.0,11621066.0,84.3,13.1,2.0,0.6
Regional School District 04,2040012,2019,16658832.0,1607760.0,331780.0,0.0,18598372.0,89.6,8.6,1.8,0.0
Regional School District 05,2050012,2019,39896970.0,2720310.0,489079.0,127088.0,43233447.0,92.3,6.3,1.1,0.3
Regional School District 06,2060012,2019,16982842.0,1014520.0,258187.0,1466128.0,19721677.0,86.1,5.1,1.3,7.4
Regional School District 07,2070012,2019,15927356.0,3594928.0,275513.0,1046031.0,20843828.0,76.4,17.2,1.3,5.0
Regional School District 08,2080012,2019,20097142.0,7139618.0,340388.0,150142.0,27727290.0,72.5,25.7,1.2,0.5
Regional School District 09,2090012,2019,21655032.0,1006049.0,165102.0,51357.0,22877540.0,94.7,4.4,0.7,0.2
Regional School District 10,2100012,2019,30297530.0,7715069.0,614343.0,206561.0,38833503.0,78.0,19.9,1.6,0.5
Regional School District 11,2110012,2019,4586856.0,1833074.0,222905.0,44600.0,6687434.0,68.6,27.4,3.3,0.7
Regional School District 12,2120012,2019,19978098.0,111863.0,295638.0,662239.0,21047837.0,94.9,0.5,1.4,3.1
Regional School District 13,2130012,2019,28496832.0,5794925.0,421764.0,95850.0,34809371.0,81.9,16.6,1.2,0.3
Regional School District 14,2140012,2019,27423879.0,3814995.0,499796.0,1886768.0,33625438.0,81.6,11.3,1.5,5.6
Regional School District 15,2150012,2019,62573267.0,6508995.0,1233652.0,190196.0,70506110.0,88.7,9.2,1.7,0.3
Regional School District 16,2160012,2019,26834818.0,9533646.0,583589.0,25640.0,36977693.0,72.6,25.8,1.6,0.1
Regional School District 17,2170012,2019,35113929.0,4441337.0,631696.0,0.0,40186962.0,87.4,11.1,1.6,0.0
Regional School District 18,2180012,2019,28991217.0,558903.0,448238.0,129017.0,30127375.0,96.2,1.9,1.5,0.4
Regional School District 19,2190012,2019,12752110.0,6264005.0,326043.0,3364320.0,22706479.0,56.2,27.6,1.4,14.8
Ridgefield School District,1180011,2019,94622896.0,2245973.0,1157318.0,150093.0,98176280.0,96.4,2.3,1.2,0.2
Rocky Hill School District,1190011,2019,39845973.0,5203100.0,933150.0,128309.0,46110531.0,86.4,11.3,2.0,0.3
Salem School District,1210011,2019,7615298.0,2898342.0,273733.0,80192.0,10867565.0,70.1,26.7,2.5,0.7
Salisbury School District,1220011,2019,6876468.0,10995.0,147744.0,0.0,7035207.0,97.7,0.2,2.1,0.0
Scotland School District,1230011,2019,1645596.0,834589.0,82313.0,50322.0,2612820.0,63.0,31.9,3.2,1.9
Seymour School District,1240011,2019,23332635.0,11058625.0,1439861.0,0.0,35831121.0,65.1,30.9,4.0,0.0
Sharon School District,1250011,2019,4988290.0,7044.0,110830.0,0.0,5106164.0,97.7,0.1,2.2,0.0
Shelton School District,1260011,2019,67657918.0,7950378.0,1914436.0,0.0,77522732.0,87.3,10.3,2.5,0.0
Sherman School District,1270011,2019,9066135.0,47834.0,105719.0,34716.0,9254404.0,98.0,0.5,1.1,0.4
Side By Side Charter School District,2700013,2019,146822.0,2917239.0,80432.0,30000.0,3174493.0,4.6,91.9,2.5,0.9
Simsbury School District,1280011,2019,63057390.0,8847339.0,1267668.0,116865.0,73289262.0,86.0,12.1,1.7,0.2
Somers School District,1290011,2019,17102449.0,6221891.0,381630.0,70009.0,23775980.0,71.9,26.2,1.6,0.3
South Windsor School District,1320011,2019,62115852.0,14073361.0,969013.0,772316.0,77930541.0,79.7,18.1,1.2,1.0
Southington School District,1310011,2019,74231033.0,23253310.0,2101464.0,1275671.0,100861478.0,73.6,23.1,2.1,1.3
Sprague School District,1330011,2019,3602820.0,2877046.0,219637.0,12995.0,6712498.0,53.7,42.9,3.3,0.2
Stafford School District,1340011,2019,17716453.0,10435675.0,720159.0,114807.0,28987094.0,61.1,36.0,2.5,0.4
Stamford Academy District,2820013,2019,889586.0,1586461.0,272882.0,589359.0,3338288.0,26.6,47.5,8.2,17.7
Stamford Charter School for Excellence District,2960013,2019,49993.0,3573036.0,170173.0,0.0,3793202.0,1.3,94.2,4.5,0.0
Stamford School District,1350011,2019,262476067.0,38084922.0,9379271.0,2039867.0,311980127.0,84.1,12.2,3.0,0.7
Sterling School District,1360011,2019,4774208.0,3404740.0,233857.0,0.0,8412804.0,56.7,40.5,2.8,0.0
Stonington School District,1370011,2019,38028217.0,2187633.0,1023669.0,28899.0,41268419.0,92.1,5.3,2.5,0.1
Stratford School District,1380011,2019,93704237.0,24558294.0,3101266.0,257427.0,121621224.0,77.0,20.2,2.5,0.2
Suffield School District,1390011,2019,28493990.0,7863916.0,812291.0,1424690.0,38594886.0,73.8,20.4,2.1,3.7
The Bridge Academy District,2690013,2019,553151.0,2969359.0,152275.0,131015.0,3805800.0,14.5,78.0,4.0,3.4
Thomaston School District,1400011,2019,9587082.0,6209612.0,373271.0,101981.0,16271946.0,58.9,38.2,2.3,0.6
Thompson School District,1410011,2019,10999336.0,8045123.0,546360.0,66898.0,19657717.0,56.0,40.9,2.8,0.3
Tolland School District,1420011,2019,30151359.0,10905862.0,555456.0,78742.0,41691419.0,72.3,26.2,1.3,0.2
Torrington School District,1430011,2019,48461774.0,27153627.0,3371651.0,448228.0,79435280.0,61.0,34.2,4.2,0.6
Trailblazers Academy District,2780013,2019,1686459.0,1133737.0,247366.0,1208838.0,4276400.0,39.4,26.5,5.8,28.3
Trumbull School District,1440011,2019,105110728.0,5381796.0,2161500.0,1655271.0,114309294.0,92.0,4.7,1.9,1.4
Union School District,1450011,2019,1842163.0,221277.0,36935.0,1922.0,2102297.0,87.6,10.5,1.8,0.1
Vernon School District,1460011,2019,34391601.0,20910389.0,1644006.0,576636.0,57522633.0,59.8,36.4,2.9,1.0
Voluntown School District,1470011,2019,4549774.0,2559863.0,169226.0,31323.0,7310186.0,62.2,35.0,2.3,0.4
Wallingford School District,1480011,2019,82812716.0,24446983.0,2100488.0,1569947.0,110930134.0,74.7,22.0,1.9,1.4
Waterbury School District,1510011,2019,103138795.0,172841642.0,23683038.0,1849930.0,301513405.0,34.2,57.3,7.9,0.6
Waterford School District,1520011,2019,49197468.0,992779.0,885891.0,56107.0,51132245.0,96.2,1.9,1.7,0.1
Watertown School District,1530011,2019,32647203.0,12599118.0,1001162.0,392755.0,46640239.0,70.0,27.0,2.1,0.8
West Hartford School District,1550011,2019,142414240.0,26612310.0,3536426.0,1125356.0,173688332.0,82.0,15.3,2.0,0.6
West Haven School District,1560011,2019,48481228.0,50759258.0,4816728.0,392913.0,104450127.0,46.4,48.6,4.6,0.4
Westbrook School District,1540011,2019,17906135.0,218623.0,253954.0,49597.0,18428310.0,97.2,1.2,1.4,0.3
Weston School District,1570011,2019,52145537.0,989822.0,608685.0,171590.0,53915634.0,96.7,1.8,1.1,0.3
Westport School District,1580011,2019,123042450.0,1399260.0,1458747.0,312686.0,126213143.0,97.5,1.1,1.2,0.2
Wethersfield School District,1590011,2019,50147425.0,12420919.0,1179588.0,617317.0,64365249.0,77.9,19.3,1.8,1.0
Willington School District,1600011,2019,6176326.0,2444664.0,240147.0,33538.0,8894675.0,69.4,27.5,2.7,0.4
Wilton School District,1610011,2019,82767179.0,2238729.0,1250208.0,611069.0,86867185.0,95.3,2.6,1.4,0.7
Winchester School District,1620011,2019,12330866.0,10458908.0,587056.0,164418.0,23541248.0,52.4,44.4,2.5,0.7
Windham School District,1630011,2019,23593049.0,35127247.0,5042826.0,1002519.0,64765641.0,36.4,54.2,7.8,1.5
Windsor Locks School District,1650011,2019,25583656.0,6760248.0,715153.0,1703399.0,34762456.0,73.6,19.4,2.1,4.9
Windsor School District,1640011,2019,60045778.0,14000023.0,1838454.0,203000.0,76087255.0,78.9,18.4,2.4,0.3
Wolcott School District,1660011,2019,22515864.0,13928011.0,1254744.0,12608.0,37711227.0,59.7,36.9,3.3,0.0
Woodbridge School District,1670011,2019,14265711.0,671339.0,277478.0,31017.0,15245545.0,93.6,4.4,1.8,0.2
Woodstock School District,1690011,2019,13217318.0,5654714.0,464788.0,78335.0,19415155.0,68.1,29.1,2.4,0.4
Achievement First Bridgeport Academy District,2850013,2020,355504.0,12312000.0,651747.0,506188.0,13825439.0,2.6,89.1,4.7,3.7
Achievement First Hartford Academy District,2880013,2020,985730.0,13006617.0,936514.0,1228374.0,16157235.0,6.1,80.5,5.8,7.6
Amistad Academy District,2790013,2020,299383.0,11743147.0,728849.0,603899.0,13375278.0,2.2,87.8,5.4,4.5
Andover School District,10011,2020,3313717.0,991865.0,94757.0,104532.0,4504871.0,73.6,22.0,2.1,2.3
Ansonia School District,20011,2020,16553425.0,20582008.0,1891193.0,231804.0,39258430.0,42.2,52.4,4.8,0.6
Area Cooperative Educational Services,2440014,2020,794040.0,15420501.0,468120.0,62160392.0,78843053.0,1.0,19.6,0.6,78.8
Ashford School District,30011,2020,5197794.0,2696453.0,224613.0,1825.0,8120685.0,64.0,33.2,2.8,0.0
Avon School District,40011,2020,54700369.0,2519378.0,870706.0,1226682.0,59317135.0,92.2,4.2,1.5,2.1
Barkhamsted School District,50011,2020,3372326.0,699795.0,126741.0,50606.0,4249468.0,79.4,16.5,3.0,1.2
Berlin School District,70011,2020,42087107.0,7932675.0,878414.0,855874.0,51754070.0,81.3,15.3,1.7,1.7
Bethany School District,80011,2020,5993445.0,1016054.0,160025.0,43186.0,7212710.0,83.1,14.1,2.2,0.6
Bethel School District,90011,2020,41304992.0,8501149.0,1068911.0,31429.0,50906480.0,81.1,16.7,2.1,0.1
Bloomfield School District,110011,2020,37218744.0,14117516.0,1292193.0,1515583.0,54144036.0,68.7,26.1,2.4,2.8
Bolton School District,120011,2020,10616978.0,3274426.0,220520.0,798305.0,14910228.0,71.2,22.0,1.5,5.4
Booker T. Washington Academy District,2950013,2020,78003.0,4791527.0,262208.0,366458.0,5498197.0,1.4,87.1,4.8,6.7
Bozrah School District,130011,2020,4542477.0,1312224.0,117858.0,0.0,5972559.0,76.1,22.0,2.0,0.0
Branford School District,140011,2020,54228419.0,3731006.0,736075.0,208814.0,58904314.0,92.1,6.3,1.2,0.4
Brass City Charter School District,2900013,2020,446036.0,3408840.0,128460.0,223500.0,4206837.0,10.6,81.0,3.1,5.3
Bridgeport School District,150011,2020,65849411.0,221926871.0,21650524.0,3043655.0,312470461.0,21.1,71.0,6.9,1.0
Bristol School District,170011,2020,74982647.0,52104172.0,5153089.0,397874.0,132637782.0,56.5,39.3,3.9,0.3
Brookfield School District,180011,2020,42966044.0,1723596.0,792038.0,149333.0,45631010.0,94.2,3.8,1.7,0.3
Brooklyn School District,190011,2020,11692043.0,7627649.0,562695.0,137259.0,20019647.0,58.4,38.1,2.8,0.7
Canaan School District,210011,2020,2254465.0,84754.0,38486.0,1571.0,2379276.0,94.8,3.6,1.6,0.1
Canterbury School District,220011,2020,7351396.0,4402265.0,296546.0,0.0,12050207.0,61.0,36.5,2.5,0.0
Canton School District,230011,2020,22918190.0,4768654.0,366800.0,315987.0,28369631.0,80.8,16.8,1.3,1.1
Capital Preparatory Harbor School District,2970013,2020,548838.0,6898670.0,277712.0,305167.0,8030388.0,6.8,85.9,3.5,3.8
Capitol Region Education Council,2410014,2020,499920.0,115274008.0,5435398.0,88257835.0,209467162.0,0.2,55.0,2.6,42.1
Chaplin School District,240011,2020,2535120.0,1183307.0,98445.0,22315.0,3839188.0,66.0,30.8,2.6,0.6
Cheshire School District,250011,2020,61957424.0,10178748.0,1139901.0,340165.0,73616239.0,84.2,13.8,1.5,0.5
Chester School District,260011,2020,4361056.0,350538.0,88772.0,0.0,4800366.0,90.8,7.3,1.8,0.0
Clinton School District,270011,2020,26319246.0,5989297.0,716495.0,72878.0,33097916.0,79.5,18.1,2.2,0.2
Colchester School District,280011,2020,28049238.0,13353511.0,923635.0,776016.0,43102400.0,65.1,31.0,2.1,1.8
Colebrook School District,290011,2020,1726228.0,208200.0,62771.0,1852.0,1999051.0,86.4,10.4,3.1,0.1
Columbia School District,300011,2020,9561869.0,2497056.0,205313.0,37401.0,12301640.0,77.7,20.3,1.7,0.3
Common Ground High School District,2680013,2020,309245.0,2471978.0,185909.0,685452.0,3652584.0,8.5,67.7,5.1,18.8
Connecticut Technical Education and Career System,9000016,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooperative Educational Services,2430014,2020,576953.0,4771909.0,106439.0,27920959.0,33376260.0,1.7,14.3,0.3,83.7
Cornwall School District,310011,2020,2904230.0,6018.0,75166.0,0.0,2985414.0,97.3,0.2,2.5,0.0
Coventry School District,320011,2020,19447037.0,8829490.0,549903.0,141766.0,28968196.0,67.1,30.5,1.9,0.5
Cromwell School District,330011,2020,25305404.0,6604615.0,608003.0,173484.0,32691506.0,77.4,20.2,1.9,0.5
Danbury School District,340011,2020,107615596.0,42789208.0,6111487.0,662612.0,157178903.0,68.5,27.2,3.9,0.4
Darien School District,350011,2020,99526082.0,3116198.0,1156000.0,408884.0,104207164.0,95.5,3.0,1.1,0.4
Deep River School District,360011,2020,4502509.0,733604.0,112704.0,0.0,5348818.0,84.2,13.7,2.1,0.0
Derby School District,370011,2020,15088014.0,9921055.0,1174361.0,424.0,26183854.0,57.6,37.9,4.5,0.0
East Granby School District,400011,2020,15646356.0,2017640.0,166326.0,0.0,17830322.0,87.8,11.3,0.9,0.0
East Haddam School District,410011,2020,16830861.0,3799873.0,239333.0,670071.0,21540137.0,78.1,17.6,1.1,3.1
East Hampton School District,420011,2020,24491463.0,7715414.0,443376.0,65575.0,32715828.0,74.9,23.6,1.4,0.2
East Hartford School District,430011,2020,45969254.0,60137475.0,7530606.0,9701830.0,123339165.0,37.3,48.8,6.1,7.9
East Haven School District,440011,2020,30238964.0,21456942.0,1748576.0,339088.0,53783570.0,56.2,39.9,3.3,0.6
East Lyme School District,450011,2020,39712438.0,6785347.0,829757.0,2715359.0,50042900.0,79.4,13.6,1.7,5.4
East Windsor School District,470011,2020,17723280.0,6662461.0,9246.0,937999.0,25332986.0,70.0,26.3,0.0,3.7
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,2020,0.0,1358415.0,144206.0,17124397.0,18627018.0,0.0,7.3,0.8,91.9
Eastford School District,390011,2020,2936622.0,1113689.0,74600.0,42094.0,4167005.0,70.5,26.7,1.8,1.0
Easton School District,460011,2020,16375620.0,275542.0,242253.0,59821.0,16953236.0,96.6,1.6,1.4,0.4
EdAdvance,2420014,2020,8584540.0,232222.0,2639145.0,63885.0,11519792.0,74.5,2.0,22.9,0.6
Ellington School District,480011,2020,28859066.0,11171616.0,577870.0,1231705.0,41840258.0,69.0,26.7,1.4,2.9
Elm City College Preparatory School District,2890013,2020,142563.0,8608000.0,450336.0,2140090.0,11340989.0,1.3,75.9,4.0,18.9
Elm City Montessori School District,2910013,2020,3177648.0,347533.0,48016.0,0.0,3573198.0,88.9,9.7,1.3,0.0
Enfield School District,490011,2020,50642478.0,31797050.0,3337438.0,1336380.0,87113347.0,58.1,36.5,3.8,1.5
Essex School District,500011,2020,7090046.0,85723.0,98235.0,0.0,7274003.0,97.5,1.2,1.4,0.0
Explorations District,2720013,2020,0.0,1150130.0,73276.0,544072.0,1767479.0,0.0,65.1,4.1,30.8
Fairfield School District,510011,2020,181957948.0,5775721.0,2641335.0,567818.0,190942822.0,95.3,3.0,1.4,0.3
Farmington School District,520011,2020,68824878.0,2508491.0,1136197.0,2103914.0,74573480.0,92.3,3.4,1.5,2.8
Franklin School District,530011,2020,3574095.0,795218.0,88020.0,0.0,4457333.0,80.2,17.8,2.0,0.0
Glastonbury School District,540011,2020,100935487.0,7524325.0,1838465.0,1327087.0,111625364.0,90.4,6.7,1.6,1.2
Granby School District,560011,2020,23749359.0,6557124.0,524194.0,975949.0,31806625.0,74.7,20.6,1.6,3.1
Great Oaks Charter School District,2940013,2020,543404.0,6463058.0,1221339.0,341105.0,8568906.0,6.3,75.4,14.3,4.0
Greenwich School District,570011,2020,198549120.0,1414333.0,3574105.0,1697667.0,205235225.0,96.7,0.7,1.7,0.8
Griswold School District,580011,2020,14159653.0,11609615.0,1010999.0,2287083.0,29067351.0,48.7,39.9,3.5,7.9
Groton School District,590011,2020,51126665.0,26995806.0,2218848.0,117052.0,80458371.0,63.5,33.6,2.8,0.1
Guilford School District,600011,2020,58563918.0,3374259.0,944615.0,147028.0,63029820.0,92.9,5.4,1.5,0.2
Hamden School District,620011,2020,96210284.0,31631117.0,3226626.0,132927.0,131200954.0,73.3,24.1,2.5,0.1
Hampton School District,630011,2020,1532347.0,728712.0,66518.0,20828.0,2348406.0,65.3,31.0,2.8,0.9
Hartford School District,640011,2020,85930399.0,296473873.0,22152035.0,4051739.0,408608045.0,21.0,72.6,5.4,1.0
Hartland School District,650011,2020,4268527.0,1145003.0,98266.0,7566.0,5519362.0,77.3,20.7,1.8,0.1
Hebron School District,670011,2020,8614608.0,3135001.0,160708.0,25810.0,11936126.0,72.2,26.3,1.3,0.2
Highville Charter School District,2860013,2020,53839.0,4534194.0,171793.0,17167.0,4776993.0,1.1,94.9,3.6,0.4
Integrated Day Charter School District,2640013,2020,246257.0,3806624.0,147490.0,97539.0,4297909.0,5.7,88.6,3.4,2.3
Interdistrict School for Arts and Comm District,2650013,2020,501062.0,3387230.0,136442.0,46585.0,4071319.0,12.3,83.2,3.4,1.1
Jumoke Academy District,2610013,2020,638816.0,7948286.0,358938.0,446201.0,9392241.0,6.8,84.6,3.8,4.8
Kent School District,680011,2020,5508206.0,21719.0,132778.0,5071.0,5667774.0,97.2,0.4,2.3,0.1
Killingly School District,690011,2020,23631631.0,17453165.0,1202222.0,2823928.0,45110947.0,52.4,38.7,2.7,6.3
Learn,2450014,2020,0.0,12121886.0,1780647.0,20374384.0,34276917.0,0.0,35.4,5.2,59.4
Lebanon School District,710011,2020,13997048.0,5679941.0,326411.0,746149.0,20749549.0,67.5,27.4,1.6,3.6
Ledyard School District,720011,2020,23807320.0,13610502.0,811480.0,1164061.0,39393363.0,60.4,34.6,2.1,3.0
Lisbon School District,730011,2020,6518246.0,3187942.0,193296.0,82798.0,9982281.0,65.3,31.9,1.9,0.8
Litchfield School District,740011,2020,17610804.0,1456325.0,492056.0,54107.0,19613292.0,89.8,7.4,2.5,0.3
