district,district_code,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,level1_count,level1_pct,level2_count,level2_pct,level3_count,level3_pct,level4_count,level4_pct,level3_4_count,pct_prof
Simsbury School District,1280011,2022,ELA,All Students,1833.0,1807.0,98.6,1807.0,177.0,9.8,270.0,14.9,616.0,34.1,744.0,41.2,1360.0,75.3
Simsbury School District,1280011,2022,Math,All Students,1833.0,1805.0,98.5,1805.0,226.0,12.5,375.0,20.8,485.0,26.9,719.0,39.8,1204.0,66.7
Somers School District,1290011,2022,ELA,All Students,580.0,570.0,98.3,570.0,104.0,18.2,125.0,21.9,208.0,36.5,133.0,23.3,341.0,59.8
Somers School District,1290011,2022,Math,All Students,580.0,570.0,98.3,570.0,123.0,21.6,177.0,31.1,161.0,28.2,109.0,19.1,270.0,47.4
South Windsor School District,1320011,2022,ELA,All Students,2277.0,2261.0,99.3,2261.0,252.0,11.1,338.0,14.9,751.0,33.2,920.0,40.7,1671.0,73.9
South Windsor School District,1320011,2022,Math,All Students,2277.0,2258.0,99.2,2258.0,317.0,14.0,425.0,18.8,593.0,26.3,923.0,40.9,1516.0,67.1
Southington School District,1310011,2022,ELA,All Students,2744.0,2719.0,99.1,2719.0,384.0,14.1,592.0,21.8,998.0,36.7,745.0,27.4,1743.0,64.1
Southington School District,1310011,2022,Math,All Students,2744.0,2712.0,98.8,2712.0,412.0,15.2,716.0,26.4,808.0,29.8,776.0,28.6,1584.0,58.4
Sprague School District,1330011,2022,ELA,All Students,167.0,167.0,100.0,167.0,68.0,40.7,41.0,24.6,44.0,26.3,14.0,8.4,58.0,34.7
Sprague School District,1330011,2022,Math,All Students,167.0,166.0,99.4,166.0,71.0,42.8,59.0,35.5,25.0,15.1,11.0,6.6,36.0,21.7
Stafford School District,1340011,2022,ELA,All Students,640.0,637.0,99.5,637.0,153.0,24.0,171.0,26.8,191.0,30.0,122.0,19.2,313.0,49.1
Stafford School District,1340011,2022,Math,All Students,640.0,636.0,99.4,636.0,185.0,29.1,200.0,31.4,152.0,23.9,99.0,15.6,251.0,39.5
Stamford Charter School for Excellence District,2960013,2022,ELA,All Students,260.0,260.0,100.0,260.0,22.0,8.5,36.0,13.8,76.0,29.2,126.0,48.5,202.0,77.7
Stamford Charter School for Excellence District,2960013,2022,Math,All Students,260.0,260.0,100.0,260.0,15.0,5.8,46.0,17.7,76.0,29.2,123.0,47.3,199.0,76.5
Stamford School District,1350011,2022,ELA,All Students,7184.0,7105.0,98.9,7104.0,2677.0,37.7,1540.0,21.7,1684.0,23.7,1203.0,16.9,2887.0,40.6
Stamford School District,1350011,2022,Math,All Students,7184.0,7079.0,98.5,7074.0,3086.0,43.6,1729.0,24.4,1206.0,17.0,1053.0,14.9,2259.0,31.9
Sterling School District,1360011,2022,ELA,All Students,212.0,209.0,98.6,209.0,71.0,34.0,55.0,26.3,69.0,33.0,14.0,6.7,83.0,39.7
Sterling School District,1360011,2022,Math,All Students,212.0,209.0,98.6,209.0,104.0,49.8,54.0,25.8,39.0,18.7,12.0,5.7,51.0,24.4
Stonington School District,1370011,2022,ELA,All Students,798.0,792.0,99.2,791.0,77.0,9.7,134.0,16.9,293.0,37.0,287.0,36.3,580.0,73.3
Stonington School District,1370011,2022,Math,All Students,798.0,790.0,99.0,789.0,110.0,13.9,168.0,21.3,228.0,28.9,283.0,35.9,511.0,64.8
Stratford School District,1380011,2022,ELA,All Students,3067.0,3050.0,99.4,3050.0,1080.0,35.4,756.0,24.8,817.0,26.8,397.0,13.0,1214.0,39.8
Stratford School District,1380011,2022,Math,All Students,3066.0,3041.0,99.2,3041.0,1384.0,45.5,857.0,28.2,487.0,16.0,313.0,10.3,800.0,26.3
Suffield School District,1390011,2022,ELA,All Students,851.0,840.0,98.7,840.0,128.0,15.2,171.0,20.4,297.0,35.4,244.0,29.0,541.0,64.4
Suffield School District,1390011,2022,Math,All Students,851.0,843.0,99.1,843.0,118.0,14.0,212.0,25.1,260.0,30.8,253.0,30.0,513.0,60.9
The Bridge Academy District,2690013,2022,ELA,All Students,101.0,101.0,100.0,101.0,44.0,43.6,34.0,33.7,,,,,23.0,22.8
The Bridge Academy District,2690013,2022,Math,All Students,101.0,101.0,100.0,101.0,60.0,59.4,27.0,26.7,,,,,14.0,13.9
The Gilbert School District,9020022,2022,ELA,All Students,167.0,159.0,95.2,159.0,49.0,30.8,47.0,29.6,42.0,26.4,21.0,13.2,63.0,39.6
The Gilbert School District,9020022,2022,Math,All Students,167.0,161.0,96.4,161.0,75.0,46.6,46.0,28.6,26.0,16.1,14.0,8.7,40.0,24.8
Thomaston School District,1400011,2022,ELA,All Students,390.0,382.0,97.9,382.0,98.0,25.7,88.0,23.0,132.0,34.6,64.0,16.8,196.0,51.3
Thomaston School District,1400011,2022,Math,All Students,390.0,377.0,96.7,377.0,116.0,30.8,121.0,32.1,91.0,24.1,49.0,13.0,140.0,37.1
