district,district_code,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,level1_count,level1_pct,level2_count,level2_pct,level3_count,level3_pct,level4_count,level4_pct,level3_4_count,pct_prof
Odyssey Community School District,2630013,2015,Math,All Students,214.0,210.0,98.1,210.0,55.0,26.2,79.0,37.6,49.0,23.3,27.0,12.9,76.0,36.2
Old Saybrook School District,1060011,2015,ELA,All Students,752.0,730.0,97.1,724.0,54.0,7.5,156.0,21.5,303.0,41.9,211.0,29.1,514.0,71.0
Old Saybrook School District,1060011,2015,Math,All Students,752.0,732.0,97.3,728.0,136.0,18.7,231.0,31.7,214.0,29.4,147.0,20.2,361.0,49.6
Orange School District,1070011,2015,ELA,All Students,710.0,695.0,97.9,692.0,42.0,6.1,99.0,14.3,234.0,33.8,317.0,45.8,551.0,79.6
Orange School District,1070011,2015,Math,All Students,710.0,700.0,98.6,699.0,47.0,6.7,198.0,28.3,229.0,32.8,225.0,32.2,454.0,64.9
Oxford School District,1080011,2015,ELA,All Students,1126.0,1106.0,98.2,1106.0,92.0,8.3,225.0,20.3,439.0,39.7,350.0,31.6,789.0,71.3
Oxford School District,1080011,2015,Math,All Students,1126.0,1102.0,97.9,1102.0,249.0,22.6,365.0,33.1,327.0,29.7,161.0,14.6,488.0,44.3
Park City Prep Charter School District,2830013,2015,ELA,All Students,346.0,341.0,98.6,341.0,137.0,40.2,108.0,31.7,88.0,25.8,8.0,2.3,96.0,28.2
Park City Prep Charter School District,2830013,2015,Math,All Students,346.0,344.0,99.4,344.0,178.0,51.7,119.0,34.6,33.0,9.6,14.0,4.1,47.0,13.7
Path Academy District,2930013,2015,ELA,All Students,18.0,,,,,,,,,,,,,
Path Academy District,2930013,2015,Math,All Students,18.0,7.0,,7.0,,,,,,,,,,
Plainfield School District,1090011,2015,ELA,All Students,1235.0,1169.0,94.7,1168.0,287.0,24.6,331.0,28.3,369.0,31.6,181.0,15.5,550.0,47.1
Plainfield School District,1090011,2015,Math,All Students,1235.0,1196.0,96.8,1195.0,437.0,36.6,443.0,37.1,250.0,20.9,65.0,5.4,315.0,26.4
Plainville School District,1100011,2015,ELA,All Students,1255.0,1244.0,99.1,1243.0,222.0,17.9,319.0,25.7,464.0,37.3,238.0,19.1,702.0,56.5
Plainville School District,1100011,2015,Math,All Students,1255.0,1247.0,99.4,1247.0,402.0,32.2,387.0,31.0,312.0,25.0,146.0,11.7,458.0,36.7
Plymouth School District,1110011,2015,ELA,All Students,799.0,775.0,97.0,774.0,160.0,20.7,216.0,27.9,253.0,32.7,145.0,18.7,398.0,51.4
Plymouth School District,1110011,2015,Math,All Students,797.0,772.0,96.9,769.0,262.0,34.1,233.0,30.3,200.0,26.0,74.0,9.6,274.0,35.6
Pomfret School District,1120011,2015,ELA,All Students,293.0,293.0,100.0,289.0,20.0,6.9,54.0,18.7,114.0,39.4,101.0,34.9,215.0,74.4
Pomfret School District,1120011,2015,Math,All Students,293.0,293.0,100.0,289.0,33.0,11.4,80.0,27.7,92.0,31.8,84.0,29.1,176.0,60.9
Portland School District,1130011,2015,ELA,All Students,732.0,696.0,95.1,696.0,45.0,6.5,109.0,15.7,265.0,38.1,277.0,39.8,542.0,77.9
Portland School District,1130011,2015,Math,All Students,734.0,696.0,94.8,696.0,95.0,13.6,187.0,26.9,225.0,32.3,189.0,27.2,414.0,59.5
Preston School District,1140011,2015,ELA,All Students,282.0,263.0,93.3,263.0,41.0,15.6,50.0,19.0,98.0,37.3,74.0,28.1,172.0,65.4
Preston School District,1140011,2015,Math,All Students,282.0,262.0,92.9,262.0,39.0,14.9,86.0,32.8,82.0,31.3,55.0,21.0,137.0,52.3
Putnam School District,1160011,2015,ELA,All Students,630.0,616.0,97.8,608.0,163.0,26.8,177.0,29.1,173.0,28.5,95.0,15.6,268.0,44.1
Putnam School District,1160011,2015,Math,All Students,630.0,619.0,98.3,611.0,242.0,39.6,215.0,35.2,105.0,17.2,49.0,8.0,154.0,25.2
Redding School District,1170011,2015,ELA,All Students,696.0,643.0,92.4,636.0,52.0,8.2,94.0,14.8,234.0,36.8,256.0,40.3,490.0,77.0
Redding School District,1170011,2015,Math,All Students,695.0,629.0,90.5,628.0,69.0,11.0,135.0,21.5,192.0,30.6,232.0,36.9,424.0,67.5
Regional School District 01,2010012,2015,ELA,All Students,112.0,96.0,85.7,96.0,15.0,15.6,27.0,28.1,34.0,35.4,20.0,20.8,54.0,56.3
Regional School District 01,2010012,2015,Math,All Students,112.0,105.0,93.8,103.0,34.0,33.0,35.0,34.0,26.0,25.2,8.0,7.8,34.0,33.0
Regional School District 04,2040012,2015,ELA,All Students,481.0,471.0,97.9,469.0,26.0,5.5,89.0,19.0,230.0,49.0,124.0,26.4,354.0,75.5
Regional School District 04,2040012,2015,Math,All Students,481.0,470.0,97.7,470.0,96.0,20.4,151.0,32.1,147.0,31.3,76.0,16.2,223.0,47.4
Regional School District 05,2050012,2015,ELA,All Students,1158.0,1096.0,94.6,1096.0,164.0,15.0,173.0,15.8,424.0,38.7,335.0,30.6,759.0,69.3
Regional School District 05,2050012,2015,Math,All Students,1158.0,1101.0,95.1,1099.0,236.0,21.5,253.0,23.0,265.0,24.1,345.0,31.4,610.0,55.5
Regional School District 06,2060012,2015,ELA,All Students,446.0,409.0,91.7,408.0,43.0,10.5,109.0,26.7,151.0,37.0,105.0,25.7,256.0,62.7
Regional School District 06,2060012,2015,Math,All Students,446.0,401.0,89.9,401.0,114.0,28.4,129.0,32.2,102.0,25.4,56.0,14.0,158.0,39.4
Regional School District 07,2070012,2015,ELA,All Students,524.0,501.0,95.6,498.0,97.0,19.5,101.0,20.3,179.0,35.9,121.0,24.3,300.0,60.2
Regional School District 07,2070012,2015,Math,All Students,524.0,498.0,95.0,496.0,127.0,25.6,111.0,22.4,140.0,28.2,118.0,23.8,258.0,52.0
Regional School District 08,2080012,2015,ELA,All Students,821.0,814.0,99.1,808.0,90.0,11.1,164.0,20.3,348.0,43.1,206.0,25.5,554.0,68.6
Regional School District 08,2080012,2015,Math,All Students,821.0,814.0,99.1,808.0,178.0,22.0,204.0,25.2,220.0,27.2,206.0,25.5,426.0,52.7
Regional School District 09,2090012,2015,ELA,All Students,251.0,74.0,29.5,73.0,,,,,25.0,34.2,37.0,50.7,62.0,84.9
Regional School District 09,2090012,2015,Math,All Students,251.0,92.0,36.7,92.0,12.0,13.0,17.0,18.5,31.0,33.7,32.0,34.8,63.0,68.5
Regional School District 10,2100012,2015,ELA,All Students,1358.0,1337.0,98.5,1335.0,107.0,8.0,244.0,18.3,523.0,39.2,461.0,34.5,984.0,73.7
Regional School District 10,2100012,2015,Math,All Students,1358.0,1335.0,98.3,1335.0,163.0,12.2,377.0,28.2,426.0,31.9,369.0,27.6,795.0,59.6
Regional School District 11,2110012,2015,ELA,All Students,143.0,142.0,99.3,140.0,28.0,20.0,31.0,22.1,63.0,45.0,18.0,12.9,81.0,57.9
Regional School District 11,2110012,2015,Math,All Students,143.0,139.0,97.2,139.0,70.0,50.4,48.0,34.5,,,,,21.0,15.1
Regional School District 12,2120012,2015,ELA,All Students,411.0,405.0,98.5,403.0,36.0,8.9,73.0,18.1,155.0,38.5,139.0,34.5,294.0,73.0
Regional School District 12,2120012,2015,Math,All Students,413.0,407.0,98.5,403.0,70.0,17.4,122.0,30.3,116.0,28.8,95.0,23.6,211.0,52.4
Regional School District 13,2130012,2015,ELA,All Students,1007.0,994.0,98.7,994.0,110.0,11.1,241.0,24.2,384.0,38.6,259.0,26.1,643.0,64.7
Regional School District 13,2130012,2015,Math,All Students,1009.0,992.0,98.3,992.0,214.0,21.6,332.0,33.5,266.0,26.8,180.0,18.1,446.0,45.0
Regional School District 14,2140012,2015,ELA,All Students,899.0,878.0,97.7,878.0,128.0,14.6,196.0,22.3,334.0,38.0,220.0,25.1,554.0,63.1
Regional School District 14,2140012,2015,Math,All Students,899.0,877.0,97.6,877.0,197.0,22.5,296.0,33.8,233.0,26.6,151.0,17.2,384.0,43.8
Regional School District 15,2150012,2015,ELA,All Students,2171.0,2129.0,98.1,2124.0,150.0,7.1,301.0,14.2,842.0,39.6,831.0,39.1,1673.0,78.8
Regional School District 15,2150012,2015,Math,All Students,2170.0,2122.0,97.8,2121.0,258.0,12.2,604.0,28.5,659.0,31.1,600.0,28.3,1259.0,59.4
Regional School District 16,2160012,2015,ELA,All Students,1260.0,1219.0,96.7,1218.0,217.0,17.8,307.0,25.2,452.0,37.1,242.0,19.9,694.0,57.0
Regional School District 16,2160012,2015,Math,All Students,1260.0,1194.0,94.8,1193.0,301.0,25.2,368.0,30.8,341.0,28.6,183.0,15.3,524.0,43.9
Regional School District 17,2170012,2015,ELA,All Students,1248.0,1238.0,99.2,1238.0,105.0,8.5,234.0,18.9,479.0,38.7,420.0,33.9,899.0,72.6
Regional School District 17,2170012,2015,Math,All Students,1248.0,1239.0,99.3,1239.0,233.0,18.8,366.0,29.5,328.0,26.5,312.0,25.2,640.0,51.7
Regional School District 18,2180012,2015,ELA,All Students,754.0,736.0,97.6,734.0,41.0,5.6,123.0,16.8,273.0,37.2,297.0,40.5,570.0,77.7
Regional School District 18,2180012,2015,Math,All Students,755.0,729.0,96.6,728.0,79.0,10.9,156.0,21.4,219.0,30.1,274.0,37.6,493.0,67.7
Regional School District 19,2190012,2015,ELA,All Students,277.0,53.0,19.1,53.0,13.0,24.5,15.0,28.3,17.0,32.1,8.0,15.1,25.0,47.2
Regional School District 19,2190012,2015,Math,All Students,277.0,52.0,18.8,52.0,21.0,40.4,14.0,26.9,11.0,21.2,6.0,11.5,17.0,32.7
Ridgefield School District,1180011,2015,ELA,All Students,2837.0,2560.0,90.2,2558.0,124.0,4.8,336.0,13.1,866.0,33.9,1232.0,48.2,2098.0,82.0
Ridgefield School District,1180011,2015,Math,All Students,2837.0,2522.0,88.9,2522.0,243.0,9.6,608.0,24.1,823.0,32.6,848.0,33.6,1671.0,66.3
Rocky Hill School District,1190011,2015,ELA,All Students,1313.0,1208.0,92.0,1207.0,123.0,10.2,192.0,15.9,457.0,37.9,435.0,36.0,892.0,73.9
Rocky Hill School District,1190011,2015,Math,All Students,1314.0,1210.0,92.1,1210.0,216.0,17.9,348.0,28.8,343.0,28.3,303.0,25.0,646.0,53.4
Salem School District,1210011,2015,ELA,All Students,266.0,266.0,100.0,266.0,23.0,8.6,43.0,16.2,102.0,38.3,98.0,36.8,200.0,75.2
Salem School District,1210011,2015,Math,All Students,266.0,266.0,100.0,266.0,27.0,10.2,49.0,18.4,96.0,36.1,94.0,35.3,190.0,71.4
Salisbury School District,1220011,2015,ELA,All Students,165.0,162.0,98.2,162.0,8.0,4.9,19.0,11.7,49.0,30.2,86.0,53.1,135.0,83.3
Salisbury School District,1220011,2015,Math,All Students,165.0,163.0,98.8,163.0,21.0,12.9,40.0,24.5,51.0,31.3,51.0,31.3,102.0,62.6
Scotland School District,1230011,2015,ELA,All Students,68.0,68.0,100.0,68.0,8.0,11.8,16.0,23.5,22.0,32.4,22.0,32.4,44.0,64.7
Scotland School District,1230011,2015,Math,All Students,68.0,67.0,98.5,67.0,12.0,17.9,21.0,31.3,17.0,25.4,17.0,25.4,34.0,50.7
Seymour School District,1240011,2015,ELA,All Students,1261.0,1242.0,98.5,1242.0,247.0,19.9,297.0,23.9,440.0,35.4,258.0,20.8,698.0,56.2
Seymour School District,1240011,2015,Math,All Students,1261.0,1240.0,98.3,1238.0,356.0,28.8,377.0,30.5,282.0,22.8,223.0,18.0,505.0,40.8
Sharon School District,1250011,2015,ELA,All Students,109.0,87.0,79.8,87.0,28.0,32.2,19.0,21.8,26.0,29.9,14.0,16.1,40.0,46.0
Sharon School District,1250011,2015,Math,All Students,109.0,87.0,79.8,87.0,25.0,28.7,33.0,37.9,22.0,25.3,7.0,8.0,29.0,33.3
Shelton School District,1260011,2015,ELA,All Students,2738.0,2702.0,98.7,2701.0,339.0,12.6,523.0,19.4,990.0,36.7,849.0,31.4,1839.0,68.1
Shelton School District,1260011,2015,Math,All Students,2735.0,2705.0,98.9,2704.0,531.0,19.6,839.0,31.0,771.0,28.5,563.0,20.8,1334.0,49.3
Sherman School District,1270011,2015,ELA,All Students,224.0,119.0,53.1,117.0,18.0,15.4,21.0,17.9,45.0,38.5,33.0,28.2,78.0,66.7
Sherman School District,1270011,2015,Math,All Students,224.0,120.0,53.6,117.0,22.0,18.8,35.0,29.9,39.0,33.3,21.0,17.9,60.0,51.3
Side By Side Charter School District,2700013,2015,ELA,All Students,129.0,129.0,100.0,129.0,12.0,9.3,36.0,27.9,53.0,41.1,28.0,21.7,81.0,62.8
Side By Side Charter School District,2700013,2015,Math,All Students,129.0,129.0,100.0,129.0,26.0,20.2,47.0,36.4,37.0,28.7,19.0,14.7,56.0,43.4
Simsbury School District,1280011,2015,ELA,All Students,2335.0,2301.0,98.5,2300.0,140.0,6.1,322.0,14.0,760.0,33.0,1078.0,46.9,1838.0,79.9
Simsbury School District,1280011,2015,Math,All Students,2332.0,2301.0,98.7,2299.0,289.0,12.6,520.0,22.6,690.0,30.0,800.0,34.8,1490.0,64.8
Somers School District,1290011,2015,ELA,All Students,834.0,828.0,99.3,827.0,91.0,11.0,179.0,21.6,321.0,38.8,236.0,28.5,557.0,67.4
Somers School District,1290011,2015,Math,All Students,832.0,827.0,99.4,826.0,172.0,20.8,266.0,32.2,239.0,28.9,149.0,18.0,388.0,47.0
South Windsor School District,1320011,2015,ELA,All Students,2208.0,2017.0,91.3,2016.0,215.0,10.7,369.0,18.3,699.0,34.7,733.0,36.4,1432.0,71.0
South Windsor School District,1320011,2015,Math,All Students,2208.0,2016.0,91.3,2015.0,285.0,14.1,492.0,24.4,546.0,27.1,692.0,34.3,1238.0,61.4
Southington School District,1310011,2015,ELA,All Students,3544.0,3502.0,98.8,3496.0,437.0,12.5,731.0,20.9,1325.0,37.9,1003.0,28.7,2328.0,66.6
Southington School District,1310011,2015,Math,All Students,3542.0,3501.0,98.8,3498.0,574.0,16.4,1000.0,28.6,1172.0,33.5,752.0,21.5,1924.0,55.0
Sprague School District,1330011,2015,ELA,All Students,230.0,227.0,98.7,227.0,42.0,18.5,64.0,28.2,87.0,38.3,34.0,15.0,121.0,53.3
Sprague School District,1330011,2015,Math,All Students,231.0,230.0,99.6,230.0,61.0,26.5,97.0,42.2,48.0,20.9,24.0,10.4,72.0,31.3
Stafford School District,1340011,2015,ELA,All Students,816.0,803.0,98.4,803.0,105.0,13.1,170.0,21.2,313.0,39.0,215.0,26.8,528.0,65.8
Stafford School District,1340011,2015,Math,All Students,815.0,802.0,98.4,802.0,159.0,19.8,268.0,33.4,250.0,31.2,125.0,15.6,375.0,46.8
Stamford Academy District,2820013,2015,ELA,All Students,34.0,19.0,55.9,18.0,,,,,,,,,,
Stamford Academy District,2820013,2015,Math,All Students,34.0,21.0,61.8,21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Stamford School District,1350011,2015,ELA,All Students,8056.0,7786.0,96.6,7774.0,1968.0,25.3,1988.0,25.6,2359.0,30.3,1459.0,18.8,3818.0,49.1
Stamford School District,1350011,2015,Math,All Students,8057.0,7850.0,97.4,7842.0,2869.0,36.6,2080.0,26.5,1661.0,21.2,1232.0,15.7,2893.0,36.9
Sterling School District,1360011,2015,ELA,All Students,315.0,312.0,99.0,311.0,74.0,23.8,95.0,30.5,97.0,31.2,45.0,14.5,142.0,45.7
Sterling School District,1360011,2015,Math,All Students,315.0,310.0,98.4,310.0,128.0,41.3,122.0,39.4,50.0,16.1,10.0,3.2,60.0,19.4
Stonington School District,1370011,2015,ELA,All Students,1194.0,1009.0,84.5,1005.0,135.0,13.4,206.0,20.5,319.0,31.7,345.0,34.3,664.0,66.1
Stonington School District,1370011,2015,Math,All Students,1195.0,1001.0,83.8,1000.0,183.0,18.3,252.0,25.2,299.0,29.9,266.0,26.6,565.0,56.5
Stratford School District,1380011,2015,ELA,All Students,3774.0,3697.0,98.0,3692.0,794.0,21.5,984.0,26.7,1226.0,33.2,688.0,18.6,1914.0,51.8
Stratford School District,1380011,2015,Math,All Students,3771.0,3701.0,98.1,3698.0,1618.0,43.8,1221.0,33.0,617.0,16.7,242.0,6.5,859.0,23.2
Suffield School District,1390011,2015,ELA,All Students,1273.0,1232.0,96.8,1228.0,125.0,10.2,232.0,18.9,478.0,38.9,393.0,32.0,871.0,70.9
Suffield School District,1390011,2015,Math,All Students,1273.0,1227.0,96.4,1227.0,238.0,19.4,403.0,32.8,375.0,30.6,211.0,17.2,586.0,47.8
The Bridge Academy District,2690013,2015,ELA,All Students,136.0,135.0,99.3,135.0,,,60.0,44.4,37.0,27.4,,,,
The Bridge Academy District,2690013,2015,Math,All Students,136.0,135.0,99.3,135.0,71.0,52.6,52.0,38.5,,,,,12.0,8.9
The Gilbert School District,9020022,2015,ELA,All Students,284.0,230.0,81.0,230.0,79.0,34.3,78.0,33.9,66.0,28.7,7.0,3.0,73.0,31.7
The Gilbert School District,9020022,2015,Math,All Students,285.0,237.0,83.2,237.0,124.0,52.3,71.0,30.0,31.0,13.1,11.0,4.6,42.0,17.7
The Woodstock Academy District,9030022,2015,ELA,All Students,242.0,54.0,22.3,53.0,,,,,17.0,32.1,24.0,45.3,41.0,77.4
The Woodstock Academy District,9030022,2015,Math,All Students,242.0,54.0,22.3,53.0,9.0,17.0,13.0,24.5,14.0,26.4,17.0,32.1,31.0,58.5
Thomaston School District,1400011,2015,ELA,All Students,508.0,502.0,98.8,501.0,87.0,17.4,131.0,26.1,198.0,39.5,85.0,17.0,283.0,56.5
Thomaston School District,1400011,2015,Math,All Students,508.0,505.0,99.4,503.0,120.0,23.9,168.0,33.4,138.0,27.4,77.0,15.3,215.0,42.7
Thompson School District,1410011,2015,ELA,All Students,574.0,549.0,95.6,547.0,110.0,20.1,160.0,29.3,207.0,37.8,70.0,12.8,277.0,50.6
