School Year,Type,DistrictName,Count*,Percent*
2024-25,Private Schools or Other Settings,Ansonia School District,16.0,3.7
2024-25,Private Schools or Other Settings,Ashford School District,0.0,0.0
2024-25,Private Schools or Other Settings,Avon School District,27.0,7.3
2024-25,Private Schools or Other Settings,Berlin School District,22.0,5.7
2024-25,Private Schools or Other Settings,Bethel School District,18.0,3.5
2024-25,Private Schools or Other Settings,Bloomfield School District,19.0,4.2
2024-25,Private Schools or Other Settings,Bolton School District,,
2024-25,Private Schools or Other Settings,Bozrah School District,0.0,0.0
2024-25,Private Schools or Other Settings,Branford School District,16.0,4.2
2024-25,Private Schools or Other Settings,Bridgeport School District,141.0,3.3
2024-25,Private Schools or Other Settings,Bristol School District,119.0,7.3
2024-25,Private Schools or Other Settings,Brookfield School District,11.0,3.1
2024-25,Private Schools or Other Settings,Brooklyn School District,10.0,4.5
2024-25,Private Schools or Other Settings,Canterbury School District,,
2024-25,Private Schools or Other Settings,Canton School District,22.0,8.1
2024-25,Private Schools or Other Settings,Cheshire School District,18.0,3.0
2024-25,Private Schools or Other Settings,Chester School District,0.0,0.0
2024-25,Private Schools or Other Settings,Clinton School District,6.0,2.4
2024-25,Private Schools or Other Settings,Colchester School District,12.0,3.2
2024-25,Private Schools or Other Settings,Columbia School District,,
2024-25,Private Schools or Other Settings,Connecticut Technical Education and Career System,0.0,0.0
2024-25,Private Schools or Other Settings,Coventry School District,,
2024-25,Private Schools or Other Settings,Cromwell School District,25.0,9.1
2024-25,Private Schools or Other Settings,Danbury School District,75.0,4.7
2024-25,Private Schools or Other Settings,Darien School District,24.0,2.6
2024-25,Private Schools or Other Settings,Deep River School District,0.0,0.0
2024-25,Private Schools or Other Settings,Department of Mental Health and Addiction Services,,
2024-25,Private Schools or Other Settings,Derby School District,12.0,3.8
2024-25,Private Schools or Other Settings,East Granby School District,7.0,5.6
2024-25,Private Schools or Other Settings,East Haddam School District,,
2024-25,Private Schools or Other Settings,East Hampton School District,10.0,3.2
2024-25,Private Schools or Other Settings,East Hartford School District,21.0,1.3
2024-25,Private Schools or Other Settings,East Haven School District,25.0,4.4
2024-25,Private Schools or Other Settings,East Lyme School District,9.0,1.9
2024-25,Private Schools or Other Settings,East Windsor School District,7.0,3.4
2024-25,Private Schools or Other Settings,Eastford School District,0.0,0.0
2024-25,Private Schools or Other Settings,Easton School District,,
2024-25,Private Schools or Other Settings,Ellington School District,,
2024-25,Private Schools or Other Settings,Enfield School District,30.0,3.1
2024-25,Private Schools or Other Settings,Essex School District,,
2024-25,Private Schools or Other Settings,Fairfield School District,67.0,4.0
2024-25,Private Schools or Other Settings,Farmington School District,15.0,2.7
2024-25,Private Schools or Other Settings,Franklin School District,,
2024-25,Private Schools or Other Settings,Glastonbury School District,18.0,2.4
2024-25,Private Schools or Other Settings,Granby School District,14.0,4.7
2024-25,Private Schools or Other Settings,Greenwich School District,26.0,2.1
2024-25,Private Schools or Other Settings,Griswold School District,14.0,4.8
2024-25,Private Schools or Other Settings,Groton School District,27.0,3.3
2024-25,Private Schools or Other Settings,Guilford School District,16.0,3.4
2024-25,Private Schools or Other Settings,Hamden School District,97.0,8.1
2024-25,Private Schools or Other Settings,Hampton School District,,
2024-25,Private Schools or Other Settings,Hartford School District,320.0,8.0
2024-25,Private Schools or Other Settings,Hartland School District,,
2024-25,Private Schools or Other Settings,Hebron School District,0.0,0.0
2024-25,Private Schools or Other Settings,Kent School District,0.0,0.0
2024-25,Private Schools or Other Settings,Killingly School District,44.0,9.4
2024-25,Private Schools or Other Settings,Lebanon School District,10.0,6.7
2024-25,Private Schools or Other Settings,Ledyard School District,19.0,4.3
2024-25,Private Schools or Other Settings,Lisbon School District,10.0,10.6
2024-25,Private Schools or Other Settings,Madison School District,17.0,4.5
2024-25,Private Schools or Other Settings,Manchester School District,96.0,7.1
2024-25,Private Schools or Other Settings,Mansfield School District,,
2024-25,Private Schools or Other Settings,Meriden School District,59.0,3.3
2024-25,Private Schools or Other Settings,Middletown School District,109.0,13.1
2024-25,Private Schools or Other Settings,Milford School District,63.0,6.3
2024-25,Private Schools or Other Settings,Monroe School District,9.0,1.6
2024-25,Private Schools or Other Settings,Montville School District,44.0,9.8
2024-25,Private Schools or Other Settings,Naugatuck School District,22.0,2.7
2024-25,Private Schools or Other Settings,New Britain School District,109.0,4.3
2024-25,Private Schools or Other Settings,New Canaan School District,13.0,2.5
2024-25,Private Schools or Other Settings,New Fairfield School District,11.0,3.0
2024-25,Private Schools or Other Settings,New Hartford School District,,
2024-25,Private Schools or Other Settings,New Haven School District,104.0,3.4
2024-25,Private Schools or Other Settings,New London School District,36.0,5.1
2024-25,Private Schools or Other Settings,New Milford School District,23.0,3.8
2024-25,Private Schools or Other Settings,Newington School District,19.0,3.2
2024-25,Private Schools or Other Settings,Newtown School District,17.0,2.9
2024-25,Private Schools or Other Settings,Norfolk School District,0.0,0.0
2024-25,Private Schools or Other Settings,North Branford School District,,
2024-25,Private Schools or Other Settings,North Canaan School District,0.0,0.0
2024-25,Private Schools or Other Settings,North Haven School District,8.0,1.8
2024-25,Private Schools or Other Settings,North Stonington School District,,
2024-25,Private Schools or Other Settings,Norwalk School District,70.0,3.5
2024-25,Private Schools or Other Settings,Norwich School District,77.0,7.3
2024-25,Private Schools or Other Settings,Old Saybrook School District,,
2024-25,Private Schools or Other Settings,Orange School District,,
2024-25,Private Schools or Other Settings,Oxford School District,9.0,3.3
2024-25,Private Schools or Other Settings,Plainfield School District,14.0,3.9
2024-25,Private Schools or Other Settings,Plainville School District,14.0,4.4
2024-25,Private Schools or Other Settings,Plymouth School District,6.0,1.9
2024-25,Private Schools or Other Settings,Pomfret School District,,
2024-25,Private Schools or Other Settings,Portland School District,17.0,6.5
2024-25,Private Schools or Other Settings,Preston School District,7.0,8.0
2024-25,Private Schools or Other Settings,Putnam School District,7.0,3.1
2024-25,Private Schools or Other Settings,Redding School District,,
2024-25,Private Schools or Other Settings,Regional School District 01,,
2024-25,Private Schools or Other Settings,Regional School District 04,12.0,9.4
2024-25,Private Schools or Other Settings,Regional School District 05,13.0,4.3
2024-25,Private Schools or Other Settings,Regional School District 07,10.0,5.6
2024-25,Private Schools or Other Settings,Regional School District 08,9.0,5.2
2024-25,Private Schools or Other Settings,Regional School District 09,14.0,11.9
2024-25,Private Schools or Other Settings,Regional School District 10,17.0,4.8
2024-25,Private Schools or Other Settings,Regional School District 11,,
2024-25,Private Schools or Other Settings,Regional School District 12,24.0,23.5
2024-25,Private Schools or Other Settings,Regional School District 13,10.0,3.7
2024-25,Private Schools or Other Settings,Regional School District 14,,
2024-25,Private Schools or Other Settings,Regional School District 15,18.0,2.9
2024-25,Private Schools or Other Settings,Regional School District 16,8.0,2.6
2024-25,Private Schools or Other Settings,Regional School District 17,11.0,3.7
2024-25,Private Schools or Other Settings,Regional School District 18,,
2024-25,Private Schools or Other Settings,Regional School District 19,9.0,4.9
2024-25,Private Schools or Other Settings,Regional School District 20,7.0,2.6
2024-25,Private Schools or Other Settings,Ridgefield School District,30.0,3.8
2024-25,Private Schools or Other Settings,Rocky Hill School District,6.0,1.6
2024-25,Private Schools or Other Settings,Salem School District,,
2024-25,Private Schools or Other Settings,Salisbury School District,0.0,0.0
2024-25,Private Schools or Other Settings,Scotland School District,,
2024-25,Private Schools or Other Settings,Seymour School District,12.0,3.3
2024-25,Private Schools or Other Settings,Sharon School District,0.0,0.0
2024-25,Private Schools or Other Settings,Shelton School District,20.0,2.6
2024-25,Private Schools or Other Settings,Sherman School District,,
2024-25,Private Schools or Other Settings,Simsbury School District,85.0,11.3
2024-25,Private Schools or Other Settings,Somers School District,8.0,4.1
2024-25,Private Schools or Other Settings,South Windsor School District,19.0,3.0
2024-25,Private Schools or Other Settings,Southington School District,47.0,4.7
2024-25,Private Schools or Other Settings,Sprague School District,12.0,16.0
2024-25,Private Schools or Other Settings,Stafford School District,10.0,4.0
2024-25,Private Schools or Other Settings,Stamford School District,133.0,5.2
2024-25,Private Schools or Other Settings,State Total,3938.0,4.5
2024-25,Private Schools or Other Settings,Sterling School District,9.0,10.5
2024-25,Private Schools or Other Settings,Stonington School District,33.0,11.3
2024-25,Private Schools or Other Settings,Stratford School District,49.0,4.0
2024-25,Private Schools or Other Settings,Suffield School District,16.0,5.2
2024-25,Private Schools or Other Settings,Thomaston School District,,
2024-25,Private Schools or Other Settings,Thompson School District,18.0,11.0
2024-25,Private Schools or Other Settings,Tolland School District,17.0,4.7
2024-25,Private Schools or Other Settings,Torrington School District,48.0,6.1
2024-25,Private Schools or Other Settings,Trumbull School District,30.0,3.0
2024-25,Private Schools or Other Settings,Unified School District #2,19.0,27.5
2024-25,Private Schools or Other Settings,Union School District,0.0,0.0
2024-25,Private Schools or Other Settings,Vernon School District,10.0,1.6
2024-25,Private Schools or Other Settings,Voluntown School District,,
2024-25,Private Schools or Other Settings,Wallingford School District,43.0,4.7
2024-25,Private Schools or Other Settings,Waterbury School District,140.0,3.7
2024-25,Private Schools or Other Settings,Waterford School District,18.0,4.5
2024-25,Private Schools or Other Settings,Watertown School District,19.0,4.2
2024-25,Private Schools or Other Settings,West Hartford School District,188.0,11.2
2024-25,Private Schools or Other Settings,West Haven School District,66.0,5.4
2024-25,Private Schools or Other Settings,Westbrook School District,,
2024-25,Private Schools or Other Settings,Weston School District,15.0,5.0
2024-25,Private Schools or Other Settings,Westport School District,34.0,4.6
2024-25,Private Schools or Other Settings,Wethersfield School District,28.0,4.9
2024-25,Private Schools or Other Settings,Willington School District,,
2024-25,Private Schools or Other Settings,Wilton School District,14.0,2.2
2024-25,Private Schools or Other Settings,Winchester School District,18.0,10.1
2024-25,Private Schools or Other Settings,Windham School District,24.0,3.9
2024-25,Private Schools or Other Settings,Windsor Locks School District,15.0,5.1
2024-25,Private Schools or Other Settings,Windsor School District,37.0,5.1
2024-25,Private Schools or Other Settings,Wolcott School District,16.0,4.8
2024-25,Private Schools or Other Settings,Woodbridge School District,0.0,0.0
2024-25,Private Schools or Other Settings,Woodstock School District,,
2024-25,Public Schools in Other Districts,Ansonia School District,49.0,11.4
2024-25,Public Schools in Other Districts,Ashford School District,,
2024-25,Public Schools in Other Districts,Avon School District,13.0,3.5
2024-25,Public Schools in Other Districts,Berlin School District,6.0,1.6
2024-25,Public Schools in Other Districts,Bethel School District,9.0,1.7
2024-25,Public Schools in Other Districts,Bloomfield School District,139.0,30.9
2024-25,Public Schools in Other Districts,Bolton School District,,
2024-25,Public Schools in Other Districts,Bozrah School District,10.0,22.7
2024-25,Public Schools in Other Districts,Branford School District,15.0,3.9
2024-25,Public Schools in Other Districts,Bridgeport School District,600.0,14.2
2024-25,Public Schools in Other Districts,Bristol School District,83.0,5.1
2024-25,Public Schools in Other Districts,Brookfield School District,19.0,5.4
2024-25,Public Schools in Other Districts,Brooklyn School District,57.0,25.7
2024-25,Public Schools in Other Districts,Canterbury School District,16.0,19.5
2024-25,Public Schools in Other Districts,Canton School District,15.0,5.5
2024-25,Public Schools in Other Districts,Cheshire School District,10.0,1.7
2024-25,Public Schools in Other Districts,Chester School District,,
2024-25,Public Schools in Other Districts,Clinton School District,21.0,8.4
2024-25,Public Schools in Other Districts,Colchester School District,15.0,4.0
2024-25,Public Schools in Other Districts,Columbia School District,26.0,32.1
2024-25,Public Schools in Other Districts,Connecticut Technical Education and Career System,,
2024-25,Public Schools in Other Districts,Coventry School District,14.0,6.0
2024-25,Public Schools in Other Districts,Cromwell School District,32.0,11.7
2024-25,Public Schools in Other Districts,Danbury School District,15.0,0.9
2024-25,Public Schools in Other Districts,Darien School District,8.0,0.9
2024-25,Public Schools in Other Districts,Deep River School District,6.0,15.0
2024-25,Public Schools in Other Districts,Department of Mental Health and Addiction Services,0.0,0.0
2024-25,Public Schools in Other Districts,Derby School District,22.0,7.0
2024-25,Public Schools in Other Districts,East Granby School District,8.0,6.3
2024-25,Public Schools in Other Districts,East Haddam School District,6.0,4.8
2024-25,Public Schools in Other Districts,East Hampton School District,14.0,4.5
2024-25,Public Schools in Other Districts,East Hartford School District,302.0,18.0
2024-25,Public Schools in Other Districts,East Haven School District,56.0,9.9
2024-25,Public Schools in Other Districts,East Lyme School District,13.0,2.7
2024-25,Public Schools in Other Districts,East Windsor School District,15.0,7.3
2024-25,Public Schools in Other Districts,Eastford School District,8.0,22.2
2024-25,Public Schools in Other Districts,Easton School District,,
2024-25,Public Schools in Other Districts,Ellington School District,10.0,2.5
2024-25,Public Schools in Other Districts,Enfield School District,42.0,4.3
2024-25,Public Schools in Other Districts,Essex School District,0.0,0.0
2024-25,Public Schools in Other Districts,Fairfield School District,16.0,1.0
2024-25,Public Schools in Other Districts,Farmington School District,22.0,4.0
2024-25,Public Schools in Other Districts,Franklin School District,,
2024-25,Public Schools in Other Districts,Glastonbury School District,29.0,3.8
2024-25,Public Schools in Other Districts,Granby School District,20.0,6.8
2024-25,Public Schools in Other Districts,Greenwich School District,7.0,0.6
2024-25,Public Schools in Other Districts,Griswold School District,11.0,3.8
2024-25,Public Schools in Other Districts,Groton School District,52.0,6.4
2024-25,Public Schools in Other Districts,Guilford School District,8.0,1.7
2024-25,Public Schools in Other Districts,Hamden School District,200.0,16.6
2024-25,Public Schools in Other Districts,Hampton School District,,
2024-25,Public Schools in Other Districts,Hartford School District,1212.0,30.1
2024-25,Public Schools in Other Districts,Hartland School District,14.0,37.8
2024-25,Public Schools in Other Districts,Hebron School District,,
2024-25,Public Schools in Other Districts,Kent School District,,
2024-25,Public Schools in Other Districts,Killingly School District,24.0,5.1
2024-25,Public Schools in Other Districts,Lebanon School District,,
2024-25,Public Schools in Other Districts,Ledyard School District,18.0,4.1
2024-25,Public Schools in Other Districts,Lisbon School District,17.0,18.1
2024-25,Public Schools in Other Districts,Madison School District,11.0,2.9
2024-25,Public Schools in Other Districts,Manchester School District,205.0,15.2
2024-25,Public Schools in Other Districts,Mansfield School District,,
2024-25,Public Schools in Other Districts,Meriden School District,78.0,4.4
2024-25,Public Schools in Other Districts,Middletown School District,44.0,5.3
2024-25,Public Schools in Other Districts,Milford School District,32.0,3.2
2024-25,Public Schools in Other Districts,Monroe School District,23.0,4.1
2024-25,Public Schools in Other Districts,Montville School District,30.0,6.7
2024-25,Public Schools in Other Districts,Naugatuck School District,63.0,7.8
2024-25,Public Schools in Other Districts,New Britain School District,300.0,11.9
2024-25,Public Schools in Other Districts,New Canaan School District,6.0,1.2
2024-25,Public Schools in Other Districts,New Fairfield School District,,
2024-25,Public Schools in Other Districts,New Hartford School District,0.0,0.0
2024-25,Public Schools in Other Districts,New Haven School District,548.0,17.7
2024-25,Public Schools in Other Districts,New London School District,119.0,16.9
2024-25,Public Schools in Other Districts,New Milford School District,20.0,3.3
2024-25,Public Schools in Other Districts,Newington School District,30.0,5.0
2024-25,Public Schools in Other Districts,Newtown School District,22.0,3.7
2024-25,Public Schools in Other Districts,Norfolk School District,,
2024-25,Public Schools in Other Districts,North Branford School District,13.0,6.0
2024-25,Public Schools in Other Districts,North Canaan School District,,
2024-25,Public Schools in Other Districts,North Haven School District,23.0,5.1
2024-25,Public Schools in Other Districts,North Stonington School District,,
2024-25,Public Schools in Other Districts,Norwalk School District,79.0,4.0
2024-25,Public Schools in Other Districts,Norwich School District,380.0,35.8
2024-25,Public Schools in Other Districts,Old Saybrook School District,,
2024-25,Public Schools in Other Districts,Orange School District,0.0,0.0
2024-25,Public Schools in Other Districts,Oxford School District,20.0,7.4
2024-25,Public Schools in Other Districts,Plainfield School District,25.0,7.0
2024-25,Public Schools in Other Districts,Plainville School District,6.0,1.9
2024-25,Public Schools in Other Districts,Plymouth School District,18.0,5.8
2024-25,Public Schools in Other Districts,Pomfret School District,20.0,26.0
2024-25,Public Schools in Other Districts,Portland School District,,
2024-25,Public Schools in Other Districts,Preston School District,27.0,30.7
2024-25,Public Schools in Other Districts,Putnam School District,16.0,7.1
2024-25,Public Schools in Other Districts,Redding School District,0.0,0.0
2024-25,Public Schools in Other Districts,Regional School District 01,,
2024-25,Public Schools in Other Districts,Regional School District 04,8.0,6.3
2024-25,Public Schools in Other Districts,Regional School District 05,12.0,4.0
2024-25,Public Schools in Other Districts,Regional School District 07,,
2024-25,Public Schools in Other Districts,Regional School District 08,11.0,6.3
2024-25,Public Schools in Other Districts,Regional School District 09,14.0,11.9
2024-25,Public Schools in Other Districts,Regional School District 10,18.0,5.1
2024-25,Public Schools in Other Districts,Regional School District 11,7.0,12.5
2024-25,Public Schools in Other Districts,Regional School District 12,0.0,0.0
2024-25,Public Schools in Other Districts,Regional School District 13,6.0,2.2
2024-25,Public Schools in Other Districts,Regional School District 14,,
2024-25,Public Schools in Other Districts,Regional School District 15,25.0,4.1
2024-25,Public Schools in Other Districts,Regional School District 16,13.0,4.3
2024-25,Public Schools in Other Districts,Regional School District 17,6.0,2.0
2024-25,Public Schools in Other Districts,Regional School District 18,,
2024-25,Public Schools in Other Districts,Regional School District 19,13.0,7.1
2024-25,Public Schools in Other Districts,Regional School District 20,0.0,0.0
2024-25,Public Schools in Other Districts,Ridgefield School District,,
2024-25,Public Schools in Other Districts,Rocky Hill School District,21.0,5.6
2024-25,Public Schools in Other Districts,Salem School District,26.0,33.3
2024-25,Public Schools in Other Districts,Salisbury School District,,
2024-25,Public Schools in Other Districts,Scotland School District,0.0,0.0
2024-25,Public Schools in Other Districts,Seymour School District,15.0,4.2
2024-25,Public Schools in Other Districts,Sharon School District,,
2024-25,Public Schools in Other Districts,Shelton School District,36.0,4.7
2024-25,Public Schools in Other Districts,Sherman School District,14.0,48.3
2024-25,Public Schools in Other Districts,Simsbury School District,27.0,3.6
2024-25,Public Schools in Other Districts,Somers School District,6.0,3.1
2024-25,Public Schools in Other Districts,South Windsor School District,21.0,3.4
2024-25,Public Schools in Other Districts,Southington School District,13.0,1.3
2024-25,Public Schools in Other Districts,Sprague School District,27.0,36.0
2024-25,Public Schools in Other Districts,Stafford School District,19.0,7.6
2024-25,Public Schools in Other Districts,Stamford School District,85.0,3.4
2024-25,Public Schools in Other Districts,State Total,7120.0,8.2
2024-25,Public Schools in Other Districts,Sterling School District,27.0,31.4
2024-25,Public Schools in Other Districts,Stonington School District,8.0,2.7
2024-25,Public Schools in Other Districts,Stratford School District,67.0,5.5
2024-25,Public Schools in Other Districts,Suffield School District,14.0,4.5
2024-25,Public Schools in Other Districts,Thomaston School District,11.0,9.2
2024-25,Public Schools in Other Districts,Thompson School District,,
2024-25,Public Schools in Other Districts,Tolland School District,11.0,3.1
2024-25,Public Schools in Other Districts,Torrington School District,71.0,9.1
2024-25,Public Schools in Other Districts,Trumbull School District,28.0,2.8
2024-25,Public Schools in Other Districts,Unified School District #2,0.0,0.0
2024-25,Public Schools in Other Districts,Union School District,,
2024-25,Public Schools in Other Districts,Vernon School District,60.0,9.5
2024-25,Public Schools in Other Districts,Voluntown School District,18.0,37.5
2024-25,Public Schools in Other Districts,Wallingford School District,30.0,3.3
2024-25,Public Schools in Other Districts,Waterbury School District,208.0,5.5
2024-25,Public Schools in Other Districts,Waterford School District,21.0,5.2
2024-25,Public Schools in Other Districts,Watertown School District,31.0,6.9
2024-25,Public Schools in Other Districts,West Hartford School District,35.0,2.1
2024-25,Public Schools in Other Districts,West Haven School District,162.0,13.1
2024-25,Public Schools in Other Districts,Westbrook School District,,
2024-25,Public Schools in Other Districts,Weston School District,,
2024-25,Public Schools in Other Districts,Westport School District,,
2024-25,Public Schools in Other Districts,Wethersfield School District,54.0,9.5
2024-25,Public Schools in Other Districts,Willington School District,,
2024-25,Public Schools in Other Districts,Wilton School District,,
2024-25,Public Schools in Other Districts,Winchester School District,78.0,43.6
2024-25,Public Schools in Other Districts,Windham School District,39.0,6.4
2024-25,Public Schools in Other Districts,Windsor Locks School District,26.0,8.8
2024-25,Public Schools in Other Districts,Windsor School District,56.0,7.7
2024-25,Public Schools in Other Districts,Wolcott School District,9.0,2.7
2024-25,Public Schools in Other Districts,Woodbridge School District,,
2024-25,Public Schools in Other Districts,Woodstock School District,41.0,26.8
2023-24,Private Schools or Other Settings,Andover School District,0.0,0.0
2023-24,Private Schools or Other Settings,Ansonia School District,19.0,4.5
2023-24,Private Schools or Other Settings,Ashford School District,0.0,0.0
2023-24,Private Schools or Other Settings,Avon School District,24.0,6.6
2023-24,Private Schools or Other Settings,Berlin School District,21.0,5.4
2023-24,Private Schools or Other Settings,Bethel School District,19.0,3.8
2023-24,Private Schools or Other Settings,Bloomfield School District,17.0,3.8
2023-24,Private Schools or Other Settings,Bolton School District,,
2023-24,Private Schools or Other Settings,Bozrah School District,,
2023-24,Private Schools or Other Settings,Branford School District,14.0,3.9
2023-24,Private Schools or Other Settings,Bridgeport School District,148.0,3.6
2023-24,Private Schools or Other Settings,Bristol School District,115.0,6.9
2023-24,Private Schools or Other Settings,Brookfield School District,10.0,2.6
2023-24,Private Schools or Other Settings,Brooklyn School District,11.0,5.5
2023-24,Private Schools or Other Settings,Canterbury School District,9.0,11.1
2023-24,Private Schools or Other Settings,Canton School District,23.0,8.6
2023-24,Private Schools or Other Settings,Chaplin School District,,
2023-24,Private Schools or Other Settings,Cheshire School District,17.0,2.9
2023-24,Private Schools or Other Settings,Chester School District,0.0,0.0
2023-24,Private Schools or Other Settings,Clinton School District,,
2023-24,Private Schools or Other Settings,Colchester School District,13.0,3.5
2023-24,Private Schools or Other Settings,Colebrook School District,0.0,0.0
2023-24,Private Schools or Other Settings,Columbia School District,,
2023-24,Private Schools or Other Settings,Cornwall School District,0.0,0.0
2023-24,Private Schools or Other Settings,Coventry School District,7.0,3.2
2023-24,Private Schools or Other Settings,Cromwell School District,21.0,7.7
2023-24,Private Schools or Other Settings,Danbury School District,72.0,4.4
2023-24,Private Schools or Other Settings,Darien School District,29.0,3.2
2023-24,Private Schools or Other Settings,Deep River School District,0.0,0.0
2023-24,Private Schools or Other Settings,Department of Mental Health and Addiction Services,,
2023-24,Private Schools or Other Settings,Derby School District,10.0,3.3
2023-24,Private Schools or Other Settings,East Granby School District,7.0,6.4
2023-24,Private Schools or Other Settings,East Haddam School District,8.0,6.1
2023-24,Private Schools or Other Settings,East Hampton School District,8.0,2.7
2023-24,Private Schools or Other Settings,East Hartford School District,29.0,1.8
2023-24,Private Schools or Other Settings,East Haven School District,30.0,5.5
2023-24,Private Schools or Other Settings,East Lyme School District,6.0,1.3
2023-24,Private Schools or Other Settings,East Windsor School District,,
2023-24,Private Schools or Other Settings,Eastford School District,,
2023-24,Private Schools or Other Settings,Ellington School District,,
2023-24,Private Schools or Other Settings,Enfield School District,33.0,3.5
2023-24,Private Schools or Other Settings,Essex School District,,
2023-24,Private Schools or Other Settings,Fairfield School District,73.0,4.5
2023-24,Private Schools or Other Settings,Farmington School District,10.0,1.8
2023-24,Private Schools or Other Settings,Franklin School District,,
2023-24,Private Schools or Other Settings,Glastonbury School District,14.0,2.0
2023-24,Private Schools or Other Settings,Granby School District,13.0,4.8
2023-24,Private Schools or Other Settings,Greenwich School District,29.0,2.3
2023-24,Private Schools or Other Settings,Griswold School District,15.0,5.3
2023-24,Private Schools or Other Settings,Groton School District,28.0,3.6
2023-24,Private Schools or Other Settings,Guilford School District,19.0,4.3
2023-24,Private Schools or Other Settings,Hamden School District,89.0,7.6
2023-24,Private Schools or Other Settings,Hampton School District,,
2023-24,Private Schools or Other Settings,Hartford School District,327.0,8.1
2023-24,Private Schools or Other Settings,Hartland School District,0.0,0.0
2023-24,Private Schools or Other Settings,Hebron School District,0.0,0.0
2023-24,Private Schools or Other Settings,Killingly School District,38.0,8.2
2023-24,Private Schools or Other Settings,Lebanon School District,,
2023-24,Private Schools or Other Settings,Ledyard School District,15.0,3.4
2023-24,Private Schools or Other Settings,Lisbon School District,9.0,8.7
2023-24,Private Schools or Other Settings,Litchfield School District,7.0,4.8
2023-24,Private Schools or Other Settings,Madison School District,18.0,4.9
2023-24,Private Schools or Other Settings,Manchester School District,75.0,6.0
2023-24,Private Schools or Other Settings,Mansfield School District,,
2023-24,Private Schools or Other Settings,Marlborough School District,0.0,0.0
2023-24,Private Schools or Other Settings,Meriden School District,58.0,3.1
2023-24,Private Schools or Other Settings,Middletown School District,103.0,13.5
2023-24,Private Schools or Other Settings,Milford School District,66.0,7.1
2023-24,Private Schools or Other Settings,Monroe School District,10.0,1.9
2023-24,Private Schools or Other Settings,Montville School District,36.0,8.1
2023-24,Private Schools or Other Settings,Naugatuck School District,18.0,2.2
2023-24,Private Schools or Other Settings,New Britain School District,108.0,4.5
2023-24,Private Schools or Other Settings,New Canaan School District,11.0,2.1
2023-24,Private Schools or Other Settings,New Fairfield School District,10.0,2.7
2023-24,Private Schools or Other Settings,New Hartford School District,,
2023-24,Private Schools or Other Settings,New Haven School District,112.0,3.7
2023-24,Private Schools or Other Settings,New London School District,37.0,5.7
2023-24,Private Schools or Other Settings,New Milford School District,21.0,3.6
2023-24,Private Schools or Other Settings,Newington School District,21.0,3.5
2023-24,Private Schools or Other Settings,Newtown School District,19.0,3.1
2023-24,Private Schools or Other Settings,Norfolk School District,0.0,0.0
2023-24,Private Schools or Other Settings,North Branford School District,6.0,2.5
2023-24,Private Schools or Other Settings,North Canaan School District,0.0,0.0
2023-24,Private Schools or Other Settings,North Haven School District,11.0,2.5
2023-24,Private Schools or Other Settings,North Stonington School District,7.0,7.4
2023-24,Private Schools or Other Settings,Norwalk School District,68.0,3.6
2023-24,Private Schools or Other Settings,Norwich School District,101.0,10.0
2023-24,Private Schools or Other Settings,Old Saybrook School District,6.0,3.8
2023-24,Private Schools or Other Settings,Orange School District,,
2023-24,Private Schools or Other Settings,Oxford School District,9.0,3.4
2023-24,Private Schools or Other Settings,Plainfield School District,14.0,4.0
2023-24,Private Schools or Other Settings,Plainville School District,14.0,4.5
2023-24,Private Schools or Other Settings,Plymouth School District,8.0,2.7
2023-24,Private Schools or Other Settings,Pomfret School District,7.0,9.1
2023-24,Private Schools or Other Settings,Portland School District,18.0,7.1
2023-24,Private Schools or Other Settings,Preston School District,7.0,8.0
2023-24,Private Schools or Other Settings,Putnam School District,12.0,5.2
2023-24,Private Schools or Other Settings,Redding School District,,
2023-24,Private Schools or Other Settings,Regional School District 01,,
2023-24,Private Schools or Other Settings,Regional School District 04,8.0,5.6
2023-24,Private Schools or Other Settings,Regional School District 05,14.0,4.9
2023-24,Private Schools or Other Settings,Regional School District 06,,
2023-24,Private Schools or Other Settings,Regional School District 07,10.0,5.5
2023-24,Private Schools or Other Settings,Regional School District 08,13.0,6.7
2023-24,Private Schools or Other Settings,Regional School District 09,11.0,8.7
2023-24,Private Schools or Other Settings,Regional School District 10,13.0,3.6
2023-24,Private Schools or Other Settings,Regional School District 11,,
2023-24,Private Schools or Other Settings,Regional School District 12,21.0,21.6
2023-24,Private Schools or Other Settings,Regional School District 13,,
2023-24,Private Schools or Other Settings,Regional School District 14,,
2023-24,Private Schools or Other Settings,Regional School District 15,24.0,3.9
2023-24,Private Schools or Other Settings,Regional School District 16,7.0,2.3
2023-24,Private Schools or Other Settings,Regional School District 17,11.0,3.5
2023-24,Private Schools or Other Settings,Regional School District 18,,
2023-24,Private Schools or Other Settings,Regional School District 19,8.0,4.4
2023-24,Private Schools or Other Settings,Ridgefield School District,32.0,4.3
2023-24,Private Schools or Other Settings,Rocky Hill School District,7.0,2.0
2023-24,Private Schools or Other Settings,Salem School District,,
2023-24,Private Schools or Other Settings,Salisbury School District,0.0,0.0
2023-24,Private Schools or Other Settings,Scotland School District,0.0,0.0
2023-24,Private Schools or Other Settings,Seymour School District,15.0,4.4
2023-24,Private Schools or Other Settings,Sharon School District,0.0,0.0
2023-24,Private Schools or Other Settings,Shelton School District,20.0,2.8
2023-24,Private Schools or Other Settings,Sherman School District,,
2023-24,Private Schools or Other Settings,Simsbury School District,84.0,11.2
