fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.01994141699413069,0.006087965621635291,426207.3333333333,all
2019,1,0.019388598679394208,0.00608396586526432,212779.33333333334,mth
2019,1,0.02049255514125331,0.006091953221641432,213428.0,rla
2020,2,0.04299799766076041,0.013126181273785214,426207.3333333333,all
2020,2,0.041810629622399884,0.013117855022975494,212779.33333333334,mth
2020,2,0.04418175695955747,0.013134482218818005,213428.0,rla
2021,3,0.06686610415516347,0.020411961648211595,426207.3333333333,all
2021,3,0.06502492913800134,0.020399860904294336,212779.33333333334,mth
2021,3,0.06870168333269289,0.020424025614624405,213428.0,rla
2022,4,0.08990437423665516,0.027444347708546736,426207.3333333333,all
2022,4,0.0874335816871102,0.027428921166468636,212779.33333333334,mth
2022,4,0.09236765736490987,0.027459727365100776,213428.0,rla
2023,5,0.0938283817990102,0.028641049552365273,426207.3333333333,all
2023,5,0.09125909682955372,0.02862615993378596,212779.33333333334,mth
2023,5,0.09638985800149674,0.028655893917279403,213428.0,rla
2024,6,0.09629249359271964,0.02939292185160997,426207.3333333333,all
2024,6,0.09366097064605383,0.029378797741015282,212779.33333333334,mth
2024,6,0.09891601861400509,0.029407003035129775,213428.0,rla
2025,7,0.09709512091059282,0.02963780565005894,426207.3333333333,all
2025,7,0.09444418297986877,0.02962413755990082,212779.33333333334,mth
2025,7,0.09973800190843521,0.029651432199114282,213428.0,rla
