District,fiscal_year,cohort_count,graduation_count,graduation_rate
Amistad Academy District,2012,18.0,17.0,
Ansonia School District,2012,200.0,165.0,82.5
Avon School District,2012,283.0,277.0,97.9
Berlin School District,2012,258.0,252.0,97.7
Bethel School District,2012,237.0,229.0,96.6
Bloomfield School District,2012,193.0,172.0,89.1
Bolton School District,2012,70.0,67.0,95.7
Branford School District,2012,259.0,244.0,94.2
Bridgeport School District,2012,1266.0,898.0,70.9
Bristol School District,2012,628.0,558.0,88.9
Brookfield School District,2012,254.0,250.0,98.4
Canton School District,2012,118.0,116.0,98.3
Capitol Region Education Council,2012,333.0,273.0,82.0
Cheshire School District,2012,408.0,399.0,97.8
Clinton School District,2012,121.0,114.0,94.2
Colchester School District,2012,243.0,237.0,97.5
Common Ground High School District,2012,30.0,29.0,96.7
Connecticut Technical Education and Career System,2012,2531.0,2445.0,96.6
Coventry School District,2012,150.0,138.0,92.0
Cromwell School District,2012,151.0,140.0,92.7
Danbury School District,2012,754.0,638.0,84.6
Darien School District,2012,311.0,302.0,97.1
Derby School District,2012,112.0,89.0,79.5
East Granby School District,2012,60.0,58.0,96.7
East Haddam School District,2012,103.0,96.0,93.2
East Hampton School District,2012,164.0,156.0,95.1
East Hartford School District,2012,579.0,481.0,83.1
East Haven School District,2012,225.0,172.0,76.4
East Lyme School District,2012,302.0,284.0,94.0
East Windsor School District,2012,88.0,79.0,89.8
Eastern Connecticut Regional Educational Service Center (EASTCONN),2012,85.0,70.0,82.4
Ellington School District,2012,200.0,185.0,92.5
Elm City College Preparatory School District,2012,19.0,16.0,
Enfield School District,2012,513.0,447.0,87.1
Explorations District,2012,29.0,17.0,58.6
Fairfield School District,2012,692.0,667.0,96.4
Farmington School District,2012,305.0,292.0,95.7
Glastonbury School District,2012,513.0,499.0,97.3
Granby School District,2012,188.0,185.0,98.4
Greenwich School District,2012,642.0,612.0,95.3
Griswold School District,2012,186.0,163.0,87.6
Groton School District,2012,347.0,286.0,82.4
Guilford School District,2012,286.0,282.0,98.6
Hamden School District,2012,516.0,460.0,89.1
Hartford School District,2012,1395.0,1033.0,74.1
Killingly School District,2012,185.0,155.0,83.8
Lebanon School District,2012,129.0,117.0,90.7
Ledyard School District,2012,210.0,196.0,93.3
Lisbon School District,2012,,,
Litchfield School District,2012,103.0,101.0,98.1
Madison School District,2012,335.0,328.0,97.9
Manchester School District,2012,512.0,405.0,79.1
Meriden School District,2012,623.0,462.0,74.2
Middletown School District,2012,341.0,285.0,83.6
Milford School District,2012,511.0,465.0,91.0
Monroe School District,2012,339.0,336.0,99.1
Montville School District,2012,221.0,193.0,87.3
Naugatuck School District,2012,369.0,319.0,86.4
New Britain School District,2012,668.0,453.0,67.8
New Canaan School District,2012,330.0,328.0,99.4
New Fairfield School District,2012,232.0,228.0,98.3
New Haven School District,2012,1329.0,1000.0,75.2
New London School District,2012,240.0,165.0,68.8
New Milford School District,2012,391.0,362.0,92.6
Newington School District,2012,335.0,308.0,91.9
Newtown School District,2012,404.0,388.0,96.0
North Branford School District,2012,162.0,147.0,90.7
North Haven School District,2012,291.0,273.0,93.8
North Stonington School District,2012,54.0,48.0,88.9
Norwalk School District,2012,872.0,765.0,87.7
Norwich Free Academy District,2012,636.0,558.0,87.7
Norwich School District,2012,70.0,23.0,32.9
Old Saybrook School District,2012,144.0,141.0,97.9
Oxford School District,2012,146.0,134.0,91.8
Plainfield School District,2012,201.0,179.0,89.1
Plainville School District,2012,205.0,192.0,93.7
Plymouth School District,2012,139.0,122.0,87.8
Portland School District,2012,90.0,84.0,93.3
Putnam School District,2012,69.0,61.0,88.4
Regional School District 01,2012,140.0,133.0,95.0
Regional School District 04,2012,159.0,148.0,93.1
Regional School District 05,2012,434.0,423.0,97.5
Regional School District 06,2012,87.0,83.0,95.4
Regional School District 07,2012,203.0,190.0,93.6
Regional School District 08,2012,296.0,279.0,94.3
Regional School District 09,2012,239.0,233.0,97.5
Regional School District 10,2012,229.0,224.0,97.8
Regional School District 11,2012,43.0,42.0,97.7
Regional School District 12,2012,74.0,64.0,86.5
Regional School District 13,2012,142.0,138.0,97.2
Regional School District 14,2012,196.0,192.0,98.0
Regional School District 15,2012,327.0,314.0,96.0
Regional School District 16,2012,195.0,186.0,95.4
Regional School District 17,2012,189.0,179.0,94.7
Regional School District 18,2012,104.0,102.0,98.1
Regional School District 19,2012,302.0,275.0,91.1
Ridgefield School District,2012,443.0,440.0,99.3
Rocky Hill School District,2012,209.0,196.0,93.8
Seymour School District,2012,153.0,139.0,90.8
Shelton School District,2012,427.0,400.0,93.7
Simsbury School District,2012,407.0,399.0,98.0
Somers School District,2012,141.0,137.0,97.2
South Windsor School District,2012,384.0,372.0,96.9
Southington School District,2012,495.0,470.0,94.9
