District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2019,47.0,41.0,87.2
Achievement First Hartford Academy District,2019,32.0,32.0,100.0
Amistad Academy District,2019,53.0,46.0,86.8
Ansonia School District,2019,181.0,161.0,89.0
Avon School District,2019,222.0,214.0,96.4
Berlin School District,2019,234.0,231.0,98.7
Bethel School District,2019,237.0,228.0,96.2
Bloomfield School District,2019,161.0,147.0,91.3
Bolton School District,2019,66.0,62.0,93.9
Branford School District,2019,226.0,205.0,90.7
Bridgeport School District,2019,1447.0,1150.0,79.5
Bristol School District,2019,628.0,564.0,89.8
Brookfield School District,2019,214.0,208.0,97.2
Canton School District,2019,123.0,119.0,96.7
Capital Preparatory Harbor School District,2019,27.0,26.0,96.3
Capitol Region Education Council,2019,499.0,480.0,96.2
Cheshire School District,2019,372.0,367.0,98.7
Clinton School District,2019,143.0,139.0,97.2
Colchester School District,2019,192.0,180.0,93.8
Common Ground High School District,2019,46.0,43.0,93.5
Connecticut Technical Education and Career System,2019,2333.0,2284.0,97.9
Coventry School District,2019,107.0,104.0,97.2
Cromwell School District,2019,131.0,127.0,96.9
Danbury School District,2019,781.0,676.0,86.6
Darien School District,2019,335.0,331.0,98.8
Department of Mental Health and Addiction Services,2019,8.0,,
Derby School District,2019,82.0,70.0,85.4
East Granby School District,2019,72.0,72.0,100.0
East Haddam School District,2019,75.0,73.0,97.3
East Hampton School District,2019,131.0,127.0,96.9
East Hartford School District,2019,565.0,511.0,90.4
East Haven School District,2019,230.0,191.0,83.0
East Lyme School District,2019,256.0,244.0,95.3
East Windsor School District,2019,77.0,71.0,92.2
Eastern Connecticut Regional Educational Service Center (EASTCONN),2019,74.0,49.0,66.2
Ellington School District,2019,201.0,198.0,98.5
Elm City College Preparatory School District,2019,30.0,27.0,90.0
Enfield School District,2019,364.0,332.0,91.2
Explorations District,2019,32.0,28.0,87.5
Fairfield School District,2019,777.0,759.0,97.7
Farmington School District,2019,283.0,283.0,100.0
Glastonbury School District,2019,513.0,505.0,98.4
Granby School District,2019,172.0,171.0,99.4
Greenwich School District,2019,682.0,669.0,98.1
Griswold School District,2019,132.0,118.0,89.4
Groton School District,2019,295.0,257.0,87.1
Guilford School District,2019,265.0,262.0,98.9
Hamden School District,2019,402.0,360.0,89.6
Hartford School District,2019,1354.0,1062.0,78.4
Highville Charter School District,2019,12.0,12.0,
Jumoke Academy District,2019,16.0,14.0,
Killingly School District,2019,211.0,189.0,89.6
Learn,2019,204.0,191.0,93.6
Lebanon School District,2019,94.0,82.0,87.2
Ledyard School District,2019,198.0,186.0,93.9
Litchfield School District,2019,73.0,72.0,98.6
Madison School District,2019,267.0,263.0,98.5
Manchester School District,2019,479.0,411.0,85.8
Meriden School District,2019,583.0,500.0,85.8
Middletown School District,2019,339.0,321.0,94.7
Milford School District,2019,457.0,433.0,94.7
Monroe School District,2019,242.0,238.0,98.3
Montville School District,2019,155.0,142.0,91.6
Naugatuck School District,2019,308.0,272.0,88.3
New Britain School District,2019,662.0,555.0,83.8
New Canaan School District,2019,314.0,310.0,98.7
New Fairfield School District,2019,220.0,218.0,99.1
New Haven School District,2019,1451.0,1227.0,84.6
New London School District,2019,274.0,222.0,81.0
New Milford School District,2019,317.0,292.0,92.1
Newington School District,2019,335.0,323.0,96.4
Newtown School District,2019,408.0,399.0,97.8
North Branford School District,2019,128.0,122.0,95.3
North Haven School District,2019,257.0,247.0,96.1
North Stonington School District,2019,46.0,42.0,91.3
Norwalk School District,2019,854.0,793.0,92.9
Norwich Free Academy District,2019,573.0,512.0,89.4
Old Saybrook School District,2019,110.0,104.0,94.5
Oxford School District,2019,160.0,157.0,98.1
Plainfield School District,2019,171.0,140.0,81.9
Plainville School District,2019,185.0,174.0,94.1
Plymouth School District,2019,126.0,118.0,93.7
Portland School District,2019,105.0,97.0,92.4
Putnam School District,2019,93.0,86.0,92.5
Regional School District 01,2019,114.0,110.0,96.5
Regional School District 04,2019,150.0,141.0,94.0
Regional School District 05,2019,356.0,345.0,96.9
Regional School District 06,2019,90.0,87.0,96.7
Regional School District 07,2019,199.0,192.0,96.5
Regional School District 08,2019,234.0,221.0,94.4
Regional School District 09,2019,233.0,232.0,99.6
Regional School District 10,2019,197.0,194.0,98.5
Regional School District 11,2019,42.0,40.0,95.2
Regional School District 12,2019,67.0,65.0,97.0
Regional School District 13,2019,142.0,137.0,96.5
Regional School District 14,2019,194.0,189.0,97.4
Regional School District 15,2019,306.0,303.0,99.0
Regional School District 16,2019,171.0,162.0,94.7
Regional School District 17,2019,160.0,157.0,98.1
Regional School District 18,2019,114.0,113.0,99.1
Regional School District 19,2019,290.0,273.0,94.1
Ridgefield School District,2019,394.0,383.0,97.2
Rocky Hill School District,2019,191.0,184.0,96.3
Seymour School District,2019,178.0,159.0,89.3
Shelton School District,2019,375.0,347.0,92.5
Simsbury School District,2019,370.0,354.0,95.7
Somers School District,2019,130.0,123.0,94.6
South Windsor School District,2019,320.0,304.0,95.0
Southington School District,2019,472.0,449.0,95.1
Stafford School District,2019,97.0,94.0,96.9
Stamford Academy District,2019,77.0,45.0,58.4
Stamford School District,2019,1150.0,1027.0,89.3
Stonington School District,2019,176.0,166.0,94.3
Stratford School District,2019,518.0,490.0,94.6
Suffield School District,2019,209.0,200.0,95.7
The Bridge Academy District,2019,33.0,29.0,87.9
The Gilbert School District,2019,122.0,116.0,95.1
The Woodstock Academy District,2019,310.0,307.0,99.0
Thomaston School District,2019,69.0,66.0,95.7
Thompson School District,2019,69.0,63.0,91.3
Tolland School District,2019,197.0,194.0,98.5
Torrington School District,2019,225.0,194.0,86.2
Trumbull School District,2019,533.0,521.0,97.7
Unified School District #1,2019,507.0,18.0,3.6
Unified School District #2,2019,16.0,,
Vernon School District,2019,212.0,181.0,85.4
Wallingford School District,2019,461.0,438.0,95.0
Waterbury School District,2019,1221.0,1031.0,84.4
Waterford School District,2019,201.0,192.0,95.5
Watertown School District,2019,214.0,194.0,90.7
West Hartford School District,2019,772.0,744.0,96.4
West Haven School District,2019,439.0,376.0,85.6
Westbrook School District,2019,60.0,55.0,91.7
Weston School District,2019,210.0,206.0,98.1
Westport School District,2019,479.0,476.0,99.4
Wethersfield School District,2019,298.0,282.0,94.6
Wilton School District,2019,314.0,308.0,98.1
Windham School District,2019,169.0,132.0,78.1
Windsor Locks School District,2019,123.0,114.0,92.7
Windsor School District,2019,291.0,260.0,89.3
Wolcott School District,2019,210.0,204.0,97.1
