District,fiscal_year,cohort_count,graduation_count,graduation_rate
Amistad Academy District,2013,23.0,20.0,87.0
Ansonia School District,2013,210.0,173.0,82.4
Avon School District,2013,263.0,257.0,97.7
Berlin School District,2013,263.0,253.0,96.2
Bethel School District,2013,233.0,222.0,95.3
Bloomfield School District,2013,161.0,151.0,93.8
Bolton School District,2013,82.0,79.0,96.3
Branford School District,2013,271.0,253.0,93.4
Bridgeport School District,2013,1218.0,885.0,72.7
Bristol School District,2013,629.0,536.0,85.2
Brookfield School District,2013,240.0,234.0,97.5
Canton School District,2013,124.0,122.0,98.4
Capitol Region Education Council,2013,253.0,216.0,85.4
Cheshire School District,2013,384.0,368.0,95.8
Clinton School District,2013,145.0,131.0,90.3
Colchester School District,2013,254.0,241.0,94.9
Common Ground High School District,2013,38.0,36.0,94.7
Connecticut Technical Education and Career System,2013,2473.0,2399.0,97.0
Coventry School District,2013,138.0,125.0,90.6
Cromwell School District,2013,142.0,134.0,94.4
Danbury School District,2013,775.0,645.0,83.2
Darien School District,2013,316.0,308.0,97.5
Department of Mental Health and Addiction Services,2013,,,
Derby School District,2013,87.0,70.0,80.5
East Granby School District,2013,71.0,67.0,94.4
East Haddam School District,2013,99.0,96.0,97.0
East Hampton School District,2013,132.0,127.0,96.2
East Hartford School District,2013,546.0,456.0,83.5
East Haven School District,2013,246.0,187.0,76.0
East Lyme School District,2013,310.0,295.0,95.2
East Windsor School District,2013,95.0,82.0,86.3
Eastern Connecticut Regional Educational Service Center (EASTCONN),2013,71.0,60.0,84.5
Ellington School District,2013,198.0,187.0,94.4
Elm City College Preparatory School District,2013,13.0,10.0,
Enfield School District,2013,443.0,400.0,90.3
Explorations District,2013,30.0,21.0,70.0
Fairfield School District,2013,705.0,665.0,94.3
Farmington School District,2013,326.0,315.0,96.6
Glastonbury School District,2013,551.0,537.0,97.5
Granby School District,2013,198.0,192.0,97.0
Greenwich School District,2013,691.0,667.0,96.5
Griswold School District,2013,168.0,152.0,90.5
Groton School District,2013,327.0,272.0,83.2
Guilford School District,2013,280.0,265.0,94.6
Hamden School District,2013,450.0,403.0,89.6
Hartford School District,2013,1442.0,1098.0,76.1
Killingly School District,2013,225.0,175.0,77.8
Learn,2013,42.0,39.0,92.9
Lebanon School District,2013,118.0,111.0,94.1
Ledyard School District,2013,231.0,209.0,90.5
Lisbon School District,2013,6.0,,
Litchfield School District,2013,89.0,87.0,97.8
Madison School District,2013,316.0,315.0,99.7
Manchester School District,2013,473.0,386.0,81.6
