District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2017,31.0,25.0,80.6
Achievement First Hartford Academy District,2017,31.0,28.0,90.3
Amistad Academy District,2017,43.0,35.0,81.4
Ansonia School District,2017,178.0,151.0,84.8
Avon School District,2017,247.0,241.0,97.6
Berlin School District,2017,235.0,222.0,94.5
Bethel School District,2017,209.0,196.0,93.8
Bloomfield School District,2017,193.0,167.0,86.5
Bolton School District,2017,69.0,67.0,97.1
Branford School District,2017,258.0,242.0,93.8
Bridgeport School District,2017,1393.0,1056.0,75.8
Bristol School District,2017,632.0,552.0,87.3
Brookfield School District,2017,228.0,220.0,96.5
Canton School District,2017,118.0,113.0,95.8
Capital Preparatory Harbor School District,2017,16.0,8.0,
Capitol Region Education Council,2017,505.0,461.0,91.3
Cheshire School District,2017,392.0,381.0,97.2
Clinton School District,2017,136.0,126.0,92.6
Colchester School District,2017,211.0,194.0,91.9
Common Ground High School District,2017,43.0,37.0,86.0
Connecticut Technical Education and Career System,2017,2431.0,2370.0,97.5
Coventry School District,2017,131.0,128.0,97.7
Cromwell School District,2017,142.0,141.0,99.3
Danbury School District,2017,782.0,616.0,78.8
Darien School District,2017,329.0,320.0,97.3
Department of Mental Health and Addiction Services,2017,,,
Derby School District,2017,95.0,85.0,89.5
East Granby School District,2017,58.0,56.0,96.6
East Haddam School District,2017,83.0,80.0,96.4
East Hampton School District,2017,133.0,127.0,95.5
East Hartford School District,2017,519.0,463.0,89.2
East Haven School District,2017,239.0,186.0,77.8
East Lyme School District,2017,260.0,251.0,96.5
East Windsor School District,2017,72.0,61.0,84.7
Eastern Connecticut Regional Educational Service Center (EASTCONN),2017,54.0,40.0,74.1
Ellington School District,2017,206.0,199.0,96.6
Elm City College Preparatory School District,2017,35.0,30.0,85.7
Enfield School District,2017,389.0,331.0,85.1
Explorations District,2017,22.0,18.0,81.8
Fairfield School District,2017,734.0,704.0,95.9
Farmington School District,2017,303.0,299.0,98.7
Glastonbury School District,2017,485.0,476.0,98.1
Granby School District,2017,156.0,149.0,95.5
Greenwich School District,2017,640.0,606.0,94.7
Griswold School District,2017,141.0,133.0,94.3
Groton School District,2017,275.0,235.0,85.5
Guilford School District,2017,259.0,257.0,99.2
Hamden School District,2017,441.0,388.0,88.0
Hartford School District,2017,1544.0,1071.0,69.4
Highville Charter School District,2017,13.0,10.0,
Jumoke Academy District,2017,8.0,,
Killingly School District,2017,227.0,191.0,84.1
Learn,2017,190.0,177.0,93.2
Lebanon School District,2017,89.0,84.0,94.4
Ledyard School District,2017,205.0,193.0,94.1
Litchfield School District,2017,76.0,72.0,94.7
Madison School District,2017,302.0,299.0,99.0
Manchester School District,2017,429.0,373.0,86.9
Meriden School District,2017,595.0,456.0,76.6
Middletown School District,2017,334.0,308.0,92.2
Milford School District,2017,505.0,456.0,90.3
Monroe School District,2017,284.0,277.0,97.5
Montville School District,2017,152.0,137.0,90.1
Naugatuck School District,2017,328.0,279.0,85.1
New Britain School District,2017,662.0,492.0,74.3
New Canaan School District,2017,328.0,326.0,99.4
New Fairfield School District,2017,232.0,230.0,99.1
New Haven School District,2017,1508.0,1214.0,80.5
New London School District,2017,228.0,171.0,75.0
New Milford School District,2017,342.0,282.0,82.5
Newington School District,2017,317.0,296.0,93.4
Newtown School District,2017,424.0,404.0,95.3
North Branford School District,2017,155.0,144.0,92.9
North Haven School District,2017,255.0,244.0,95.7
North Stonington School District,2017,55.0,51.0,92.7
Norwalk School District,2017,865.0,806.0,93.2
Norwich Free Academy District,2017,637.0,555.0,87.1
