District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2018,30.0,28.0,93.3
Achievement First Hartford Academy District,2018,34.0,34.0,100.0
Amistad Academy District,2018,44.0,44.0,100.0
Ansonia School District,2018,171.0,149.0,87.1
Avon School District,2018,281.0,276.0,98.2
Berlin School District,2018,215.0,207.0,96.3
Bethel School District,2018,202.0,196.0,97.0
Bloomfield School District,2018,175.0,157.0,89.7
Bolton School District,2018,80.0,79.0,98.8
Branford School District,2018,225.0,213.0,94.7
Bridgeport School District,2018,1440.0,1116.0,77.5
Bristol School District,2018,598.0,538.0,90.0
Brookfield School District,2018,212.0,205.0,96.7
Canton School District,2018,116.0,110.0,94.8
Capitol Region Education Council,2018,534.0,519.0,97.2
Cheshire School District,2018,347.0,339.0,97.7
Clinton School District,2018,133.0,119.0,89.5
Colchester School District,2018,219.0,211.0,96.3
Common Ground High School District,2018,37.0,36.0,97.3
Connecticut Technical Education and Career System,2018,2402.0,2355.0,98.0
Coventry School District,2018,124.0,118.0,95.2
Cromwell School District,2018,156.0,151.0,96.8
Danbury School District,2018,792.0,678.0,85.6
Darien School District,2018,341.0,336.0,98.5
Derby School District,2018,99.0,82.0,82.8
East Granby School District,2018,61.0,60.0,98.4
East Haddam School District,2018,82.0,79.0,96.3
East Hampton School District,2018,111.0,106.0,95.5
East Hartford School District,2018,523.0,476.0,91.0
East Haven School District,2018,251.0,217.0,86.5
East Lyme School District,2018,283.0,273.0,96.5
East Windsor School District,2018,95.0,89.0,93.7
Eastern Connecticut Regional Educational Service Center (EASTCONN),2018,85.0,65.0,76.5
Ellington School District,2018,180.0,175.0,97.2
Elm City College Preparatory School District,2018,26.0,26.0,100.0
Enfield School District,2018,407.0,371.0,91.2
Explorations District,2018,30.0,25.0,83.3
Fairfield School District,2018,789.0,771.0,97.7
Farmington School District,2018,295.0,285.0,96.6
Glastonbury School District,2018,494.0,483.0,97.8
Granby School District,2018,163.0,159.0,97.5
Greenwich School District,2018,627.0,615.0,98.1
Griswold School District,2018,151.0,136.0,90.1
Groton School District,2018,277.0,241.0,87.0
Guilford School District,2018,294.0,285.0,96.9
Hamden School District,2018,428.0,389.0,90.9
Hartford School District,2018,1477.0,1111.0,75.2
Highville Charter School District,2018,22.0,22.0,100.0
Jumoke Academy District,2018,14.0,9.0,
Killingly School District,2018,196.0,172.0,87.8
Learn,2018,198.0,185.0,93.4
Lebanon School District,2018,89.0,84.0,94.4
Ledyard School District,2018,191.0,185.0,96.9
Litchfield School District,2018,65.0,64.0,98.5
Madison School District,2018,296.0,292.0,98.6
Manchester School District,2018,410.0,358.0,87.3
Meriden School District,2018,624.0,511.0,81.9
Middletown School District,2018,329.0,301.0,91.5
Milford School District,2018,438.0,419.0,95.7
Monroe School District,2018,306.0,296.0,96.7
Montville School District,2018,180.0,166.0,92.2
Naugatuck School District,2018,317.0,284.0,89.6
New Britain School District,2018,639.0,505.0,79.0
New Canaan School District,2018,313.0,310.0,99.0
New Fairfield School District,2018,201.0,197.0,98.0
New Haven School District,2018,1510.0,1242.0,82.3
New London School District,2018,263.0,222.0,84.4
New Milford School District,2018,350.0,323.0,92.3
Newington School District,2018,299.0,288.0,96.3
Newtown School District,2018,419.0,408.0,97.4
North Branford School District,2018,151.0,144.0,95.4
North Haven School District,2018,252.0,237.0,94.0
North Stonington School District,2018,45.0,42.0,93.3
Norwalk School District,2018,888.0,824.0,92.8
Norwich Free Academy District,2018,572.0,515.0,90.0
Old Saybrook School District,2018,110.0,108.0,98.2
Oxford School District,2018,142.0,135.0,95.1
Path Academy District,2018,31.0,,
Plainfield School District,2018,170.0,146.0,85.9
Plainville School District,2018,174.0,161.0,92.5
Plymouth School District,2018,132.0,125.0,94.7
Portland School District,2018,84.0,79.0,94.0
Putnam School District,2018,72.0,62.0,86.1
Regional School District 01,2018,87.0,84.0,96.6
Regional School District 04,2018,156.0,152.0,97.4
Regional School District 05,2018,359.0,343.0,95.5
Regional School District 06,2018,107.0,105.0,98.1
Regional School District 07,2018,166.0,164.0,98.8
Regional School District 08,2018,278.0,265.0,95.3
Regional School District 09,2018,238.0,234.0,98.3
Regional School District 10,2018,201.0,196.0,97.5
Regional School District 11,2018,33.0,28.0,84.8
Regional School District 12,2018,63.0,60.0,95.2
Regional School District 13,2018,134.0,127.0,94.8
Regional School District 14,2018,191.0,188.0,98.4
Regional School District 15,2018,297.0,287.0,96.6
Regional School District 16,2018,173.0,171.0,98.8
Regional School District 17,2018,167.0,157.0,94.0
Regional School District 18,2018,118.0,114.0,96.6
Regional School District 19,2018,304.0,295.0,97.0
Ridgefield School District,2018,422.0,414.0,98.1
Rocky Hill School District,2018,180.0,174.0,96.7
Seymour School District,2018,160.0,152.0,95.0
Shelton School District,2018,357.0,328.0,91.9
Simsbury School District,2018,340.0,325.0,95.6
Somers School District,2018,115.0,113.0,98.3
South Windsor School District,2018,348.0,342.0,98.3
Southington School District,2018,541.0,522.0,96.5
Stafford School District,2018,97.0,90.0,92.8
Stamford Academy District,2018,70.0,41.0,58.6
Stamford School District,2018,1191.0,1054.0,88.5
Stonington School District,2018,173.0,165.0,95.4
Stratford School District,2018,535.0,504.0,94.2
Suffield School District,2018,188.0,181.0,96.3
The Bridge Academy District,2018,38.0,32.0,84.2
The Gilbert School District,2018,88.0,81.0,92.0
The Woodstock Academy District,2018,248.0,245.0,98.8
Thomaston School District,2018,58.0,56.0,96.6
Thompson School District,2018,70.0,58.0,82.9
Tolland School District,2018,220.0,212.0,96.4
Torrington School District,2018,237.0,203.0,85.7
Trumbull School District,2018,571.0,558.0,97.7
Unified School District #1,2018,368.0,14.0,3.8
Unified School District #2,2018,25.0,7.0,28.0
Vernon School District,2018,218.0,176.0,80.7
Wallingford School District,2018,470.0,440.0,93.6
Waterbury School District,2018,1332.0,1074.0,80.6
Waterford School District,2018,205.0,191.0,93.2
Watertown School District,2018,222.0,211.0,95.0
West Hartford School District,2018,749.0,716.0,95.6
West Haven School District,2018,419.0,357.0,85.2
Westbrook School District,2018,90.0,83.0,92.2
Weston School District,2018,205.0,201.0,98.0
Westport School District,2018,456.0,455.0,99.8
Wethersfield School District,2018,318.0,301.0,94.7
Wilton School District,2018,329.0,327.0,99.4
Windham School District,2018,182.0,153.0,84.1
Windsor Locks School District,2018,121.0,112.0,92.6
Windsor School District,2018,318.0,294.0,92.5
Wolcott School District,2018,184.0,178.0,96.7
