District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2020,50.0,45.0,90.0
Achievement First Hartford Academy District,2020,39.0,37.0,94.9
Amistad Academy District,2020,53.0,51.0,96.2
Ansonia School District,2020,180.0,156.0,86.7
Avon School District,2020,232.0,225.0,97.0
Berlin School District,2020,205.0,194.0,94.6
Bethel School District,2020,228.0,220.0,96.5
Bloomfield School District,2020,169.0,158.0,93.5
Bolton School District,2020,58.0,58.0,100.0
Branford School District,2020,239.0,227.0,95.0
Bridgeport School District,2020,1462.0,1135.0,77.6
Bristol School District,2020,577.0,528.0,91.5
Brookfield School District,2020,201.0,192.0,95.5
Canton School District,2020,116.0,115.0,99.1
Capital Preparatory Harbor School District,2020,37.0,35.0,94.6
Capitol Region Education Council,2020,467.0,460.0,98.5
Cheshire School District,2020,348.0,336.0,96.6
Clinton School District,2020,156.0,149.0,95.5
Colchester School District,2020,193.0,174.0,90.2
Common Ground High School District,2020,40.0,38.0,95.0
Connecticut Technical Education and Career System,2020,2364.0,2316.0,98.0
Coventry School District,2020,127.0,122.0,96.1
Cromwell School District,2020,125.0,119.0,95.2
Danbury School District,2020,827.0,700.0,84.6
Darien School District,2020,360.0,355.0,98.6
Department of Mental Health and Addiction Services,2020,,,
Derby School District,2020,90.0,74.0,82.2
East Granby School District,2020,54.0,53.0,98.1
East Haddam School District,2020,77.0,71.0,92.2
East Hampton School District,2020,121.0,119.0,98.3
East Hartford School District,2020,537.0,479.0,89.2
East Haven School District,2020,264.0,210.0,79.5
East Lyme School District,2020,242.0,229.0,94.6
East Windsor School District,2020,74.0,64.0,86.5
Eastern Connecticut Regional Educational Service Center (EASTCONN),2020,76.0,69.0,90.8
Ellington School District,2020,189.0,183.0,96.8
Elm City College Preparatory School District,2020,42.0,39.0,92.9
Enfield School District,2020,381.0,354.0,92.9
Explorations District,2020,28.0,21.0,75.0
Fairfield School District,2020,750.0,724.0,96.5
Farmington School District,2020,302.0,299.0,99.0
Glastonbury School District,2020,498.0,486.0,97.6
Granby School District,2020,159.0,157.0,98.7
Greenwich School District,2020,704.0,688.0,97.7
Griswold School District,2020,135.0,125.0,92.6
Groton School District,2020,247.0,216.0,87.4
Guilford School District,2020,291.0,277.0,95.2
Hamden School District,2020,434.0,389.0,89.6
Hartford School District,2020,1404.0,1047.0,74.6
Highville Charter School District,2020,13.0,13.0,
Jumoke Academy District,2020,,,
Killingly School District,2020,203.0,174.0,85.7
Learn,2020,209.0,202.0,96.7
Lebanon School District,2020,79.0,74.0,93.7
Ledyard School District,2020,187.0,175.0,93.6
Litchfield School District,2020,80.0,79.0,98.8
Madison School District,2020,288.0,277.0,96.2
Manchester School District,2020,425.0,361.0,84.9
Meriden School District,2020,596.0,529.0,88.8
Middletown School District,2020,344.0,308.0,89.5
Milford School District,2020,455.0,428.0,94.1
Monroe School District,2020,236.0,231.0,97.9
Montville School District,2020,160.0,140.0,87.5
Naugatuck School District,2020,332.0,298.0,89.8
New Britain School District,2020,627.0,513.0,81.8
New Canaan School District,2020,303.0,299.0,98.7
New Fairfield School District,2020,192.0,190.0,99.0
New Haven School District,2020,1459.0,1181.0,80.9
New London School District,2020,245.0,197.0,80.4
New Milford School District,2020,357.0,323.0,90.5
Newington School District,2020,332.0,321.0,96.7
Newtown School District,2020,427.0,421.0,98.6
North Branford School District,2020,139.0,127.0,91.4
North Haven School District,2020,271.0,252.0,93.0
North Stonington School District,2020,48.0,45.0,93.8
Norwalk School District,2020,911.0,809.0,88.8
Norwich Free Academy District,2020,623.0,564.0,90.5
Old Saybrook School District,2020,129.0,122.0,94.6
Oxford School District,2020,138.0,132.0,95.7
Plainfield School District,2020,170.0,151.0,88.8
Plainville School District,2020,160.0,153.0,95.6
Plymouth School District,2020,103.0,92.0,89.3
Portland School District,2020,89.0,85.0,95.5
Putnam School District,2020,63.0,59.0,93.7
Regional School District 01,2020,95.0,91.0,95.8
Regional School District 04,2020,157.0,142.0,90.4
Regional School District 05,2020,377.0,359.0,95.2
Regional School District 06,2020,111.0,109.0,98.2
Regional School District 07,2020,154.0,148.0,96.1
Regional School District 08,2020,255.0,246.0,96.5
Regional School District 09,2020,207.0,203.0,98.1
Regional School District 10,2020,164.0,158.0,96.3
Regional School District 11,2020,28.0,27.0,96.4
Regional School District 12,2020,76.0,73.0,96.1
Regional School District 13,2020,131.0,123.0,93.9
Regional School District 14,2020,149.0,145.0,97.3
Regional School District 15,2020,326.0,316.0,96.9
Regional School District 16,2020,174.0,168.0,96.6
Regional School District 17,2020,165.0,154.0,93.3
Regional School District 18,2020,129.0,127.0,98.4
Regional School District 19,2020,297.0,280.0,94.3
Ridgefield School District,2020,393.0,386.0,98.2
Rocky Hill School District,2020,183.0,171.0,93.4
Seymour School District,2020,162.0,150.0,92.6
Shelton School District,2020,376.0,358.0,95.2
Simsbury School District,2020,360.0,351.0,97.5
Somers School District,2020,106.0,101.0,95.3
South Windsor School District,2020,334.0,321.0,96.1
Southington School District,2020,543.0,512.0,94.3
Stafford School District,2020,106.0,98.0,92.5
Stamford Academy District,2020,60.0,31.0,51.7
Stamford School District,2020,1224.0,1089.0,89.0
Stonington School District,2020,161.0,156.0,96.9
Stratford School District,2020,527.0,489.0,92.8
Suffield School District,2020,189.0,185.0,97.9
The Bridge Academy District,2020,38.0,34.0,89.5
The Gilbert School District,2020,96.0,89.0,92.7
The Woodstock Academy District,2020,293.0,285.0,97.3
Thomaston School District,2020,54.0,52.0,96.3
Thompson School District,2020,50.0,44.0,88.0
Tolland School District,2020,212.0,205.0,96.7
Torrington School District,2020,229.0,189.0,82.5
Trumbull School District,2020,506.0,487.0,96.2
Unified School District #1,2020,284.0,11.0,3.9
Unified School District #2,2020,14.0,,
Vernon School District,2020,203.0,173.0,85.2
Wallingford School District,2020,478.0,454.0,95.0
Waterbury School District,2020,1191.0,1013.0,85.1
Waterford School District,2020,224.0,198.0,88.4
Watertown School District,2020,207.0,194.0,93.7
West Hartford School District,2020,739.0,688.0,93.1
West Haven School District,2020,431.0,369.0,85.6
Westbrook School District,2020,55.0,51.0,92.7
Weston School District,2020,184.0,184.0,100.0
Westport School District,2020,442.0,435.0,98.4
Wethersfield School District,2020,279.0,267.0,95.7
Wilton School District,2020,314.0,307.0,97.8
Windham School District,2020,162.0,131.0,80.9
Windsor Locks School District,2020,116.0,104.0,89.7
Windsor School District,2020,309.0,279.0,90.3
Wolcott School District,2020,210.0,201.0,95.7
