District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2016,31.0,29.0,93.5
Achievement First Hartford Academy District,2016,36.0,34.0,94.4
Amistad Academy District,2016,30.0,28.0,93.3
Ansonia School District,2016,140.0,122.0,87.1
Avon School District,2016,240.0,235.0,97.9
Berlin School District,2016,249.0,240.0,96.4
Bethel School District,2016,250.0,242.0,96.8
Bloomfield School District,2016,156.0,145.0,92.9
Bolton School District,2016,85.0,79.0,92.9
Branford School District,2016,256.0,245.0,95.7
Bridgeport School District,2016,1383.0,982.0,71.0
Bristol School District,2016,658.0,578.0,87.8
Brookfield School District,2016,216.0,209.0,96.8
Canton School District,2016,105.0,102.0,97.1
Capital Preparatory Harbor School District,2016,6.0,6.0,
Capitol Region Education Council,2016,427.0,402.0,94.1
Cheshire School District,2016,388.0,379.0,97.7
Clinton School District,2016,139.0,125.0,89.9
Colchester School District,2016,217.0,204.0,94.0
Common Ground High School District,2016,34.0,31.0,91.2
Connecticut Technical Education and Career System,2016,2473.0,2405.0,97.3
Coventry School District,2016,130.0,120.0,92.3
Cromwell School District,2016,144.0,136.0,94.4
Danbury School District,2016,760.0,644.0,84.7
Darien School District,2016,333.0,329.0,98.8
Department of Mental Health and Addiction Services,2016,,,
Derby School District,2016,98.0,81.0,82.7
East Granby School District,2016,72.0,71.0,98.6
East Haddam School District,2016,80.0,77.0,96.3
East Hampton School District,2016,151.0,147.0,97.4
East Hartford School District,2016,545.0,502.0,92.1
East Haven School District,2016,241.0,189.0,78.4
East Lyme School District,2016,258.0,247.0,95.7
East Windsor School District,2016,78.0,68.0,87.2
Eastern Connecticut Regional Educational Service Center (EASTCONN),2016,75.0,61.0,81.3
Ellington School District,2016,187.0,182.0,97.3
Elm City College Preparatory School District,2016,17.0,16.0,
Enfield School District,2016,440.0,388.0,88.2
Explorations District,2016,27.0,21.0,77.8
Fairfield School District,2016,758.0,732.0,96.6
Farmington School District,2016,336.0,327.0,97.3
Glastonbury School District,2016,537.0,524.0,97.6
Granby School District,2016,194.0,192.0,99.0
Greenwich School District,2016,633.0,617.0,97.5
Griswold School District,2016,150.0,132.0,88.0
Groton School District,2016,266.0,233.0,87.6
Guilford School District,2016,250.0,239.0,95.6
Hamden School District,2016,463.0,414.0,89.4
Hartford School District,2016,1486.0,1153.0,77.6
Jumoke Academy District,2016,7.0,7.0,
Killingly School District,2016,207.0,175.0,84.5
Learn,2016,193.0,183.0,94.8
Lebanon School District,2016,101.0,97.0,96.0
Ledyard School District,2016,230.0,212.0,92.2
Litchfield School District,2016,86.0,84.0,97.7
Madison School District,2016,301.0,297.0,98.7
Manchester School District,2016,405.0,354.0,87.4
Meriden School District,2016,609.0,465.0,76.4
Middletown School District,2016,334.0,308.0,92.2
Milford School District,2016,483.0,457.0,94.6
Monroe School District,2016,290.0,288.0,99.3
Montville School District,2016,179.0,166.0,92.7
Naugatuck School District,2016,311.0,277.0,89.1
New Britain School District,2016,645.0,501.0,77.7
New Canaan School District,2016,283.0,279.0,98.6
New Fairfield School District,2016,244.0,238.0,97.5
New Haven School District,2016,1447.0,1198.0,82.8
New London School District,2016,243.0,193.0,79.4
New Milford School District,2016,339.0,315.0,92.9
Newington School District,2016,307.0,291.0,94.8
Newtown School District,2016,421.0,408.0,96.9
North Branford School District,2016,144.0,134.0,93.1
North Haven School District,2016,266.0,253.0,95.1
North Stonington School District,2016,46.0,44.0,95.7
Norwalk School District,2016,810.0,758.0,93.6
Norwich Free Academy District,2016,579.0,491.0,84.8
Old Saybrook School District,2016,134.0,128.0,95.5
Oxford School District,2016,143.0,134.0,93.7
Path Academy District,2016,43.0,,
Plainfield School District,2016,193.0,163.0,84.5
Plainville School District,2016,201.0,185.0,92.0
Plymouth School District,2016,105.0,94.0,89.5
Portland School District,2016,89.0,86.0,96.6
Putnam School District,2016,71.0,68.0,95.8
Regional School District 01,2016,102.0,99.0,97.1
Regional School District 04,2016,152.0,151.0,99.3
Regional School District 05,2016,393.0,379.0,96.4
Regional School District 06,2016,102.0,100.0,98.0
Regional School District 07,2016,186.0,182.0,97.8
Regional School District 08,2016,255.0,242.0,94.9
Regional School District 09,2016,254.0,245.0,96.5
Regional School District 10,2016,195.0,188.0,96.4
Regional School District 11,2016,32.0,28.0,87.5
Regional School District 12,2016,78.0,76.0,97.4
Regional School District 13,2016,145.0,138.0,95.2
Regional School District 14,2016,186.0,182.0,97.8
Regional School District 15,2016,288.0,280.0,97.2
Regional School District 16,2016,185.0,178.0,96.2
Regional School District 17,2016,148.0,142.0,95.9
Regional School District 18,2016,103.0,99.0,96.1
Regional School District 19,2016,286.0,270.0,94.4
Ridgefield School District,2016,430.0,423.0,98.4
Rocky Hill School District,2016,183.0,174.0,95.1
Seymour School District,2016,165.0,159.0,96.4
Shelton School District,2016,418.0,390.0,93.3
Simsbury School District,2016,366.0,354.0,96.7
Somers School District,2016,125.0,117.0,93.6
South Windsor School District,2016,325.0,307.0,94.5
Southington School District,2016,498.0,478.0,96.0
Stafford School District,2016,115.0,108.0,93.9
Stamford Academy District,2016,47.0,20.0,42.6
Stamford School District,2016,1197.0,1089.0,91.0
Stonington School District,2016,193.0,183.0,94.8
Stratford School District,2016,586.0,546.0,93.2
Suffield School District,2016,210.0,198.0,94.3
The Bridge Academy District,2016,34.0,29.0,85.3
The Gilbert School District,2016,99.0,90.0,90.9
The Woodstock Academy District,2016,245.0,240.0,98.0
Thomaston School District,2016,52.0,51.0,98.1
Thompson School District,2016,74.0,71.0,95.9
Tolland School District,2016,217.0,208.0,95.9
Torrington School District,2016,293.0,248.0,84.6
Trumbull School District,2016,536.0,527.0,98.3
Unified School District #1,2016,380.0,8.0,2.1
Unified School District #2,2016,43.0,15.0,34.9
Vernon School District,2016,203.0,164.0,80.8
Wallingford School District,2016,559.0,519.0,92.8
Waterbury School District,2016,1280.0,983.0,76.8
