District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2023,64.0,59.0,92.2
Achievement First Hartford Academy District,2023,70.0,64.0,91.4
Amistad Academy District,2023,66.0,65.0,98.5
Ansonia School District,2023,139.0,113.0,81.3
Avon School District,2023,229.0,221.0,96.5
Berlin School District,2023,244.0,232.0,95.1
Bethel School District,2023,247.0,237.0,96.0
Bloomfield School District,2023,155.0,143.0,92.3
Bolton School District,2023,74.0,71.0,95.9
Branford School District,2023,208.0,195.0,93.8
Bridgeport School District,2023,1346.0,1046.0,77.7
Bristol School District,2023,653.0,595.0,91.1
Brookfield School District,2023,212.0,207.0,97.6
Canton School District,2023,128.0,121.0,94.5
Capital Preparatory Harbor School District,2023,35.0,35.0,100.0
Capitol Region Education Council,2023,494.0,463.0,93.7
Cheshire School District,2023,340.0,328.0,96.5
Clinton School District,2023,162.0,157.0,96.9
Colchester School District,2023,187.0,168.0,89.8
Common Ground High School District,2023,55.0,44.0,80.0
Connecticut Technical Education and Career System,2023,2615.0,2528.0,96.7
Coventry School District,2023,104.0,98.0,94.2
Cromwell School District,2023,149.0,147.0,98.7
Danbury School District,2023,789.0,659.0,83.5
Darien School District,2023,340.0,337.0,99.1
Derby School District,2023,91.0,71.0,78.0
East Granby School District,2023,72.0,72.0,100.0
East Haddam School District,2023,61.0,58.0,95.1
East Hampton School District,2023,124.0,121.0,97.6
East Hartford School District,2023,429.0,378.0,88.1
East Haven School District,2023,226.0,186.0,82.3
East Lyme School District,2023,259.0,250.0,96.5
East Windsor School District,2023,73.0,63.0,86.3
Eastern Connecticut Regional Educational Service Center (EASTCONN),2023,97.0,80.0,82.5
Ellington School District,2023,210.0,200.0,95.2
Elm City College Preparatory School District,2023,43.0,43.0,100.0
Enfield School District,2023,414.0,370.0,89.4
Explorations District,2023,36.0,22.0,61.1
Fairfield School District,2023,741.0,717.0,96.8
Farmington School District,2023,297.0,293.0,98.7
Glastonbury School District,2023,479.0,467.0,97.5
Goodwin University Educational Services (GUES),2023,118.0,110.0,93.2
Granby School District,2023,131.0,127.0,96.9
Great Oaks Charter School District,2023,67.0,58.0,86.6
Greenwich School District,2023,690.0,665.0,96.4
Griswold School District,2023,137.0,118.0,86.1
Groton School District,2023,240.0,204.0,85.0
Guilford School District,2023,292.0,279.0,95.5
Hamden School District,2023,462.0,393.0,85.1
Hartford School District,2023,1186.0,972.0,82.0
Highville Charter School District,2023,11.0,10.0,
Jumoke Academy District,2023,7.0,7.0,
Killingly School District,2023,189.0,166.0,87.8
Learn,2023,108.0,101.0,93.5
Lebanon School District,2023,69.0,67.0,97.1
Ledyard School District,2023,188.0,182.0,96.8
Litchfield School District,2023,57.0,56.0,98.2
Madison School District,2023,219.0,217.0,99.1
Manchester School District,2023,453.0,391.0,86.3
Meriden School District,2023,649.0,551.0,84.9
Middletown School District,2023,335.0,310.0,92.5
Milford School District,2023,430.0,407.0,94.7
Monroe School District,2023,250.0,247.0,98.8
Montville School District,2023,120.0,105.0,87.5
Naugatuck School District,2023,335.0,302.0,90.1
New Britain School District,2023,660.0,488.0,73.9
New Canaan School District,2023,329.0,326.0,99.1
New Fairfield School District,2023,153.0,153.0,100.0
New Haven School District,2023,1465.0,1147.0,78.3
New London School District,2023,228.0,167.0,73.2
New Milford School District,2023,345.0,308.0,89.3
Newington School District,2023,335.0,318.0,94.9
Newtown School District,2023,362.0,352.0,97.2
North Branford School District,2023,122.0,120.0,98.4
North Haven School District,2023,223.0,211.0,94.6
North Stonington School District,2023,56.0,56.0,100.0
Norwalk School District,2023,895.0,835.0,93.3
Norwich Free Academy District,2023,547.0,502.0,91.8
Old Saybrook School District,2023,96.0,94.0,97.9
Oxford School District,2023,143.0,141.0,98.6
Plainfield School District,2023,136.0,128.0,94.1
Plainville School District,2023,184.0,157.0,85.3
Plymouth School District,2023,93.0,86.0,92.5
Portland School District,2023,82.0,70.0,85.4
Putnam School District,2023,71.0,60.0,84.5
Regional School District 01,2023,82.0,79.0,96.3
Regional School District 04,2023,130.0,126.0,96.9
Regional School District 05,2023,319.0,309.0,96.9
Regional School District 06,2023,98.0,97.0,99.0
Regional School District 07,2023,152.0,149.0,98.0
Regional School District 08,2023,215.0,206.0,95.8
Regional School District 09,2023,202.0,193.0,95.5
Regional School District 10,2023,164.0,160.0,97.6
Regional School District 11,2023,33.0,26.0,78.8
Regional School District 12,2023,68.0,66.0,97.1
Regional School District 13,2023,123.0,114.0,92.7
Regional School District 14,2023,166.0,161.0,97.0
Regional School District 15,2023,280.0,272.0,97.1
Regional School District 16,2023,160.0,149.0,93.1
Regional School District 17,2023,154.0,148.0,96.1
Regional School District 18,2023,108.0,106.0,98.1
Regional School District 19,2023,258.0,243.0,94.2
Ridgefield School District,2023,392.0,381.0,97.2
Rocky Hill School District,2023,179.0,167.0,93.3
Seymour School District,2023,156.0,138.0,88.5
Shelton School District,2023,351.0,320.0,91.2
Simsbury School District,2023,292.0,276.0,94.5
Somers School District,2023,113.0,109.0,96.5
South Windsor School District,2023,346.0,337.0,97.4
Southington School District,2023,550.0,524.0,95.3
Stafford School District,2023,102.0,94.0,92.2
Stamford School District,2023,1166.0,962.0,82.5
