District,fiscal_year,cohort_count,graduation_count,graduation_rate
Amistad Academy District,2014,23.0,21.0,91.3
Ansonia School District,2014,156.0,125.0,80.1
Avon School District,2014,272.0,267.0,98.2
Berlin School District,2014,235.0,227.0,96.6
Bethel School District,2014,244.0,231.0,94.7
Bloomfield School District,2014,171.0,158.0,92.4
Bolton School District,2014,101.0,99.0,98.0
Branford School District,2014,298.0,275.0,92.3
Bridgeport School District,2014,1225.0,927.0,75.7
Bristol School District,2014,697.0,602.0,86.4
Brookfield School District,2014,232.0,231.0,99.6
Canton School District,2014,136.0,131.0,96.3
Capitol Region Education Council,2014,343.0,293.0,85.4
Cheshire School District,2014,389.0,378.0,97.2
Clinton School District,2014,130.0,124.0,95.4
Colchester School District,2014,248.0,241.0,97.2
Common Ground High School District,2014,29.0,26.0,89.7
Connecticut Technical Education and Career System,2014,2418.0,2335.0,96.6
Coventry School District,2014,132.0,129.0,97.7
Cromwell School District,2014,135.0,123.0,91.1
Danbury School District,2014,748.0,629.0,84.1
Darien School District,2014,336.0,327.0,97.3
Department of Mental Health and Addiction Services,2014,,,
Derby School District,2014,102.0,88.0,86.3
East Granby School District,2014,65.0,61.0,93.8
East Haddam School District,2014,105.0,99.0,94.3
East Hampton School District,2014,121.0,118.0,97.5
East Hartford School District,2014,502.0,421.0,83.9
East Haven School District,2014,257.0,214.0,83.3
East Lyme School District,2014,275.0,260.0,94.5
East Windsor School District,2014,109.0,102.0,93.6
Eastern Connecticut Regional Educational Service Center (EASTCONN),2014,69.0,54.0,78.3
Ellington School District,2014,194.0,186.0,95.9
Elm City College Preparatory School District,2014,23.0,21.0,91.3
Enfield School District,2014,426.0,376.0,88.3
Explorations District,2014,26.0,21.0,80.8
Fairfield School District,2014,727.0,694.0,95.5
Farmington School District,2014,340.0,333.0,97.9
Glastonbury School District,2014,584.0,566.0,96.9
Granby School District,2014,201.0,194.0,96.5
Greenwich School District,2014,667.0,651.0,97.6
Griswold School District,2014,170.0,149.0,87.6
Groton School District,2014,317.0,271.0,85.5
Guilford School District,2014,284.0,270.0,95.1
Hamden School District,2014,457.0,418.0,91.5
Hartford School District,2014,1350.0,1048.0,77.6
Killingly School District,2014,217.0,183.0,84.3
Learn,2014,153.0,144.0,94.1
Lebanon School District,2014,105.0,99.0,94.3
Ledyard School District,2014,244.0,233.0,95.5
Lisbon School District,2014,,,
Litchfield School District,2014,68.0,64.0,94.1
Madison School District,2014,320.0,314.0,98.1
Manchester School District,2014,454.0,388.0,85.5
Meriden School District,2014,606.0,488.0,80.5
Middletown School District,2014,329.0,285.0,86.6
Milford School District,2014,504.0,478.0,94.8
Monroe School District,2014,299.0,293.0,98.0
Montville School District,2014,192.0,175.0,91.1
Naugatuck School District,2014,332.0,280.0,84.3
New Britain School District,2014,644.0,470.0,73.0
New Canaan School District,2014,312.0,309.0,99.0
New Fairfield School District,2014,240.0,233.0,97.1
New Haven School District,2014,1295.0,1029.0,79.5
New London School District,2014,224.0,174.0,77.7
New Milford School District,2014,381.0,351.0,92.1
Newington School District,2014,366.0,346.0,94.5
Newtown School District,2014,423.0,414.0,97.9
North Branford School District,2014,149.0,137.0,91.9
North Haven School District,2014,317.0,287.0,90.5
North Stonington School District,2014,56.0,54.0,96.4
Norwalk School District,2014,818.0,705.0,86.2
Norwich Free Academy District,2014,605.0,537.0,88.8
Old Saybrook School District,2014,137.0,127.0,92.7
Oxford School District,2014,174.0,168.0,96.6
Plainfield School District,2014,171.0,150.0,87.7
Plainville School District,2014,177.0,161.0,91.0
Plymouth School District,2014,138.0,122.0,88.4
Portland School District,2014,113.0,107.0,94.7
Putnam School District,2014,67.0,60.0,89.6
Regional School District 01,2014,121.0,113.0,93.4
Regional School District 04,2014,136.0,133.0,97.8
Regional School District 05,2014,419.0,407.0,97.1
Regional School District 06,2014,94.0,88.0,93.6
Regional School District 07,2014,215.0,199.0,92.6
Regional School District 08,2014,296.0,283.0,95.6
Regional School District 09,2014,252.0,246.0,97.6
Regional School District 10,2014,216.0,207.0,95.8
Regional School District 11,2014,40.0,39.0,97.5
Regional School District 12,2014,81.0,77.0,95.1
Regional School District 13,2014,136.0,128.0,94.1
Regional School District 14,2014,210.0,205.0,97.6
Regional School District 15,2014,329.0,322.0,97.9
Regional School District 16,2014,181.0,174.0,96.1
Regional School District 17,2014,153.0,151.0,98.7
Regional School District 18,2014,107.0,105.0,98.1
Regional School District 19,2014,291.0,279.0,95.9
Ridgefield School District,2014,458.0,449.0,98.0
Rocky Hill School District,2014,181.0,170.0,93.9
Seymour School District,2014,136.0,122.0,89.7
Shelton School District,2014,369.0,344.0,93.2
Simsbury School District,2014,406.0,383.0,94.3
Somers School District,2014,130.0,127.0,97.7
South Windsor School District,2014,346.0,332.0,96.0
Southington School District,2014,511.0,490.0,95.9
Stafford School District,2014,141.0,134.0,95.0
Stamford Academy District,2014,55.0,22.0,40.0
Stamford School District,2014,1192.0,1107.0,92.9
Stonington School District,2014,177.0,167.0,94.4
Stratford School District,2014,643.0,609.0,94.7
Suffield School District,2014,214.0,205.0,95.8
The Bridge Academy District,2014,34.0,32.0,94.1
The Gilbert School District,2014,89.0,81.0,91.0
The Woodstock Academy District,2014,275.0,269.0,97.8
Thomaston School District,2014,72.0,67.0,93.1
Thompson School District,2014,85.0,78.0,91.8
Tolland School District,2014,228.0,211.0,92.5
Torrington School District,2014,265.0,236.0,89.1
Trumbull School District,2014,555.0,536.0,96.6
Unified School District #1,2014,423.0,,
Unified School District #2,2014,44.0,21.0,47.7
Vernon School District,2014,295.0,254.0,86.1
Wallingford School District,2014,485.0,450.0,92.8
Waterbury School District,2014,1343.0,957.0,71.3
Waterford School District,2014,202.0,188.0,93.1
Watertown School District,2014,228.0,215.0,94.3
West Hartford School District,2014,740.0,707.0,95.5
West Haven School District,2014,420.0,327.0,77.9
Westbrook School District,2014,72.0,69.0,95.8
Weston School District,2014,180.0,175.0,97.2
Westport School District,2014,450.0,445.0,98.9
Wethersfield School District,2014,304.0,288.0,94.7
Wilton School District,2014,301.0,296.0,98.3
Windham School District,2014,168.0,137.0,81.5
Windsor Locks School District,2014,137.0,129.0,94.2
Windsor School District,2014,296.0,276.0,93.2
Wolcott School District,2014,242.0,233.0,96.3
